scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,30.32,55.0,4.0,48.0,4.0
2023-09-05,34.02,62.0,4.0,55.0,4.0
2023-09-06,33.51,60.0,4.0,55.0,4.0
2023-09-07,29.26,50.0,4.0,48.0,4.0
2023-09-08,32.26,55.0,4.0,55.0,4.0
2023-09-11,30.98,50.0,4.0,55.0,4.0
2023-09-12,3.57,13.0,4.0,38.0,17.0
2023-09-13,26.63,52.0,4.0,38.0,4.0
2023-09-14,21.02,42.0,4.0,38.0,7.0
2023-09-15,5.71,17.0,4.0,20.0,12.0
2023-09-18,37.09,75.0,4.0,55.0,4.0
2023-09-20,28.84,50.0,4.0,48.0,4.0
2023-09-21,30.0,55.0,4.0,48.0,4.0
2023-09-22,26.54,50.0,4.0,38.0,4.0
2023-09-25,21.3,42.0,4.0,38.0,7.0
2023-09-26,21.28,42.0,4.0,38.0,7.0
2023-09-27,22.59,47.0,4.0,38.0,7.0
2023-09-28,21.46,42.0,4.0,38.0,7.0
2023-09-29,32.54,60.0,4.0,63.0,7.0
2023-10-03,17.57,42.0,4.0,20.0,7.0
2023-10-04,18.56,47.0,4.0,20.0,7.0
2023-10-05,20.37,42.0,4.0,20.0,4.0
2023-10-06,20.35,42.0,4.0,20.0,4.0
2023-10-09,0.33,8.0,4.0,20.0,15.0
2023-10-10,27.22,70.0,4.0,20.0,4.0
2023-10-11,23.68,65.0,4.0,10.0,4.0
2023-10-12,41.98,75.0,4.0,70.0,4.0
2023-10-13,36.36,60.0,4.0,63.0,4.0
2023-10-16,27.03,50.0,4.0,48.0,7.0
2023-10-17,34.97,55.0,4.0,63.0,4.0
2023-10-18,22.85,50.0,4.0,20.0,4.0
2023-10-19,21.04,55.0,4.0,20.0,7.0
2023-10-20,22.58,50.0,4.0,20.0,4.0
2023-10-23,11.65,23.0,4.0,20.0,7.0
2023-10-25,6.13,23.0,4.0,0.0,7.0
2023-10-26,11.88,23.0,4.0,10.0,4.0
2023-10-27,11.64,32.0,4.0,10.0,7.0
2023-10-30,29.58,65.0,4.0,38.0,4.0
2023-10-31,21.26,50.0,4.0,20.0,4.0
2023-11-01,12.64,27.0,4.0,10.0,4.0
2023-11-02,10.24,27.0,4.0,10.0,7.0
2023-11-03,11.44,32.0,4.0,10.0,7.0
2023-11-06,35.06,75.0,4.0,48.0,4.0
2023-11-07,33.83,55.0,4.0,63.0,4.0
2023-11-08,31.26,55.0,4.0,53.0,4.0
2023-11-09,37.14,70.0,4.0,63.0,4.0
2023-11-10,28.72,65.0,4.0,35.0,4.0
