scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-08-21,69.26,65.0,56.0,98.0,0.0
2023-08-22,69.76,67.0,56.0,98.0,0.0
2023-08-23,69.89,67.0,56.0,98.0,0.0
2023-08-24,69.2,65.0,56.0,98.0,0.0
2023-08-25,67.71,60.0,56.0,98.0,0.0
2023-08-28,67.23,57.0,56.0,98.0,0.0
2023-08-29,67.88,60.0,56.0,98.0,0.0
2023-08-30,69.25,65.0,56.0,98.0,0.0
2023-08-31,70.11,65.0,56.0,100.0,0.0
2023-09-01,66.56,52.0,56.0,100.0,0.0
2023-09-04,66.61,52.0,56.0,100.0,0.0
2023-09-05,66.56,52.0,56.0,100.0,0.0
2023-09-06,65.2,47.0,56.0,100.0,0.0
2023-09-07,68.67,60.0,56.0,100.0,0.0
2023-09-08,70.08,65.0,56.0,100.0,0.0
2023-09-11,68.8,60.0,56.0,100.0,0.0
2023-09-12,61.98,47.0,56.0,88.0,0.0
2023-09-13,70.08,80.0,56.0,88.0,0.0
2023-09-14,67.64,70.0,56.0,88.0,0.0
2023-09-15,65.21,60.0,56.0,88.0,0.0
2023-09-18,61.86,60.0,56.0,88.0,3.0
2023-09-20,69.73,80.0,56.0,88.0,0.0
2023-09-21,66.84,70.0,56.0,88.0,0.0
2023-09-22,65.66,65.0,56.0,88.0,0.0
2023-09-25,68.27,75.0,56.0,88.0,0.0
2023-09-26,64.64,60.0,56.0,88.0,0.0
2023-09-27,69.63,80.0,56.0,88.0,0.0
2023-09-28,66.96,70.0,56.0,88.0,0.0
2023-09-29,65.8,65.0,56.0,88.0,0.0
2023-10-03,67.13,70.0,56.0,88.0,0.0
2023-10-04,64.3,60.0,56.0,88.0,0.0
2023-10-05,59.85,60.0,56.0,70.0,0.0
2023-10-06,61.17,65.0,56.0,70.0,0.0
2023-10-09,59.12,60.0,56.0,70.0,0.0
2023-10-10,65.33,65.0,56.0,88.0,0.0
2023-10-11,65.42,65.0,56.0,88.0,0.0
2023-10-12,68.32,65.0,56.0,98.0,0.0
2023-10-13,68.12,65.0,56.0,98.0,0.0
2023-10-16,70.7,75.0,56.0,98.0,0.0
2023-10-17,70.95,75.0,56.0,98.0,0.0
2023-10-18,70.64,75.0,56.0,98.0,0.0
2023-10-19,65.66,75.0,56.0,78.0,0.0
2023-10-20,58.24,47.0,56.0,78.0,0.0
2023-10-23,57.2,47.0,56.0,78.0,0.0
2023-10-25,43.92,28.0,56.0,45.0,0.0
2023-10-26,45.2,33.0,56.0,45.0,0.0
2023-10-27,47.0,38.0,56.0,45.0,0.0
2023-10-30,43.09,23.0,56.0,45.0,0.0
2023-10-31,43.01,23.0,56.0,45.0,0.0
2023-11-01,42.94,23.0,56.0,45.0,0.0
2023-11-02,51.98,42.0,56.0,60.0,0.0
2023-11-03,44.58,27.0,56.0,45.0,0.0
2023-11-06,55.59,55.0,56.0,60.0,0.0
2023-11-07,50.11,45.0,56.0,60.0,3.0
2023-11-08,51.55,50.0,56.0,60.0,3.0
2023-11-09,51.33,50.0,56.0,60.0,3.0
2023-11-10,51.51,50.0,56.0,60.0,3.0
2023-11-13,53.35,45.0,56.0,60.0,0.0
2023-11-15,50.84,50.0,56.0,45.0,0.0
2023-11-16,55.77,70.0,56.0,45.0,0.0
2023-11-17,54.88,65.0,56.0,45.0,0.0
2023-11-20,59.43,65.0,56.0,63.0,0.0
2023-11-21,59.64,65.0,56.0,63.0,0.0
2023-11-22,59.58,65.0,56.0,63.0,0.0
2023-11-23,59.68,65.0,56.0,63.0,0.0
2023-11-24,62.33,75.0,56.0,63.0,0.0
2023-11-28,61.02,70.0,56.0,63.0,0.0
2023-11-29,52.65,37.0,56.0,63.0,0.0
2023-11-30,65.24,85.0,56.0,63.0,0.0
2023-12-01,58.75,60.0,56.0,63.0,0.0
2023-12-04,61.48,70.0,56.0,63.0,0.0
2023-12-05,56.8,65.0,56.0,63.0,3.0
2023-12-06,58.49,60.0,56.0,63.0,0.0
2023-12-07,57.05,65.0,56.0,63.0,3.0
2023-12-08,59.79,65.0,56.0,63.0,0.0
2023-12-11,60.93,62.0,56.0,70.0,0.0
2023-12-12,58.3,60.0,56.0,63.0,0.0
2023-12-13,58.5,65.0,56.0,70.0,3.0
2023-12-14,57.61,60.0,56.0,70.0,3.0
2023-12-15,57.18,65.0,56.0,63.0,3.0
2023-12-18,56.92,65.0,56.0,63.0,3.0
2023-12-19,55.49,60.0,56.0,63.0,3.0
2023-12-20,54.91,60.0,56.0,63.0,3.0
2023-12-21,57.95,70.0,56.0,63.0,3.0
2023-12-22,57.89,57.0,56.0,63.0,0.0
2023-12-26,55.57,47.0,56.0,63.0,0.0
2023-12-27,57.07,65.0,56.0,63.0,3.0
2023-12-28,57.0,65.0,56.0,63.0,3.0
2023-12-29,59.98,65.0,56.0,63.0,0.0
2024-01-01,55.76,60.0,56.0,63.0,3.0
2024-01-02,54.07,42.0,56.0,63.0,0.0
2024-01-03,55.44,47.0,56.0,63.0,0.0
2024-01-04,54.37,42.0,56.0,63.0,0.0
2024-01-05,48.03,47.0,56.0,45.0,3.0
2024-01-08,49.78,42.0,56.0,45.0,0.0
2024-01-09,40.36,34.0,56.0,35.0,5.0
2024-01-10,47.7,43.0,56.0,35.0,0.0
2024-01-11,14.3,19.0,56.0,10.0,21.0
