scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,49.88,72.0,10.0,100.0,4.0
2023-09-06,49.96,72.0,10.0,100.0,4.0
2023-09-07,43.79,47.0,10.0,100.0,4.0
2023-09-08,47.07,60.0,10.0,100.0,4.0
2023-09-11,48.25,65.0,10.0,100.0,4.0
2023-09-12,41.06,60.0,10.0,100.0,9.0
2023-09-13,48.86,70.0,10.0,100.0,4.0
2023-09-14,44.83,65.0,10.0,100.0,7.0
2023-09-15,43.57,60.0,10.0,100.0,7.0
2023-09-18,43.38,60.0,10.0,100.0,7.0
2023-09-20,40.75,50.0,10.0,100.0,7.0
2023-09-21,48.51,70.0,10.0,100.0,4.0
2023-09-22,43.03,60.0,10.0,100.0,7.0
2023-09-25,45.44,70.0,10.0,100.0,7.0
2023-09-26,43.04,60.0,10.0,100.0,7.0
2023-09-27,41.29,65.0,10.0,88.0,7.0
2023-09-28,40.02,60.0,10.0,88.0,7.0
2023-09-29,41.43,65.0,10.0,88.0,7.0
2023-10-03,44.11,65.0,10.0,98.0,7.0
2023-10-04,35.45,42.0,10.0,88.0,7.0
2023-10-05,32.37,47.0,10.0,70.0,7.0
2023-10-06,40.08,65.0,10.0,70.0,4.0
2023-10-09,33.55,42.0,10.0,70.0,4.0
2023-10-10,43.49,80.0,10.0,70.0,4.0
2023-10-11,39.91,65.0,10.0,70.0,4.0
2023-10-12,46.12,60.0,10.0,98.0,4.0
2023-10-13,43.52,60.0,10.0,88.0,4.0
2023-10-16,28.26,42.0,10.0,45.0,4.0
2023-10-17,38.7,65.0,10.0,63.0,4.0
2023-10-18,32.71,42.0,10.0,63.0,4.0
2023-10-19,36.59,42.0,10.0,78.0,4.0
2023-10-20,41.39,80.0,10.0,60.0,4.0
2023-10-23,23.44,33.0,10.0,60.0,9.0
2023-10-25,20.83,38.0,10.0,45.0,9.0
2023-10-26,30.91,43.0,10.0,60.0,4.0
2023-10-27,26.36,38.0,10.0,45.0,4.0
2023-10-30,26.28,23.0,10.0,60.0,4.0
2023-10-31,26.26,23.0,10.0,60.0,4.0
2023-11-01,19.41,23.0,10.0,45.0,7.0
2023-11-02,20.84,28.0,10.0,45.0,7.0
2023-11-03,23.98,28.0,10.0,45.0,4.0
2023-11-06,25.05,32.0,10.0,45.0,4.0
2023-11-07,20.01,23.0,10.0,45.0,7.0
2023-11-08,22.04,32.0,10.0,45.0,7.0
2023-11-09,22.62,23.0,10.0,45.0,4.0
2023-11-10,22.46,33.0,10.0,35.0,4.0
2023-11-13,23.94,28.0,10.0,45.0,4.0
2023-11-15,22.88,23.0,10.0,45.0,4.0
2023-11-16,20.27,23.0,10.0,35.0,4.0
2023-11-17,24.09,38.0,10.0,35.0,4.0
2023-11-20,25.44,33.0,10.0,45.0,4.0
2023-11-21,25.54,33.0,10.0,45.0,4.0
2023-11-22,23.24,23.0,10.0,45.0,4.0
2023-11-23,29.14,28.0,10.0,63.0,4.0
2023-11-24,25.67,32.0,10.0,45.0,4.0
2023-11-28,23.27,23.0,10.0,45.0,4.0
2023-11-29,20.61,23.0,10.0,35.0,4.0
2023-11-30,20.74,23.0,10.0,35.0,4.0
2023-12-01,20.68,23.0,10.0,35.0,4.0
2023-12-04,21.97,28.0,10.0,35.0,4.0
2023-12-05,20.48,23.0,10.0,35.0,4.0
2023-12-06,22.95,33.0,10.0,35.0,4.0
2023-12-07,25.49,42.0,10.0,35.0,4.0
2023-12-08,21.54,27.0,10.0,35.0,4.0
2023-12-11,26.23,45.0,10.0,35.0,4.0
2023-12-12,35.57,75.0,10.0,43.0,4.0
2023-12-13,37.28,75.0,10.0,50.0,4.0
2023-12-14,31.05,50.0,10.0,50.0,4.0
2023-12-15,30.99,50.0,10.0,50.0,4.0
2023-12-18,25.67,35.0,10.0,43.0,4.0
2023-12-19,25.63,35.0,10.0,43.0,4.0
2023-12-20,9.66,28.0,10.0,10.0,9.0
2023-12-21,14.99,28.0,10.0,10.0,4.0
2023-12-22,16.2,32.0,10.0,10.0,4.0
2023-12-26,21.94,32.0,10.0,33.0,4.0
2023-12-27,20.22,27.0,10.0,43.0,7.0
2023-12-28,16.86,27.0,10.0,18.0,4.0
2023-12-29,29.0,75.0,10.0,18.0,4.0
2024-01-01,37.28,75.0,10.0,50.0,4.0
2024-01-02,36.14,60.0,10.0,60.0,4.0
2024-01-03,41.22,80.0,10.0,60.0,4.0
2024-01-04,41.44,60.0,10.0,80.0,4.0
2024-01-05,31.98,50.0,10.0,53.0,4.0
2024-01-08,38.7,70.0,10.0,60.0,4.0
2024-01-09,41.45,60.0,10.0,80.0,4.0
2024-01-10,32.37,60.0,10.0,43.0,4.0
2024-01-11,27.87,50.0,10.0,35.0,4.0
2024-01-12,27.8,50.0,10.0,35.0,4.0
2024-01-15,27.77,42.0,10.0,43.0,4.0
2024-01-16,19.31,42.0,10.0,10.0,4.0
2024-01-17,8.8,23.0,10.0,0.0,7.0
2024-01-18,14.16,23.0,10.0,8.0,4.0
2024-01-19,15.53,28.0,10.0,8.0,4.0
2024-01-23,11.76,23.0,10.0,0.0,4.0
2024-01-24,12.26,23.0,10.0,0.0,4.0
2024-01-25,16.22,28.0,10.0,10.0,4.0
2024-01-29,12.48,23.0,10.0,0.0,4.0
2024-01-30,13.73,28.0,10.0,0.0,4.0
2024-01-31,12.63,23.0,10.0,0.0,4.0
2024-02-01,13.69,28.0,10.0,0.0,4.0
2024-02-02,12.39,23.0,10.0,0.0,4.0
2024-02-05,12.15,23.0,10.0,0.0,4.0
2024-02-06,13.67,28.0,10.0,0.0,4.0
