scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,44.9,60.0,4.0,100.0,4.0
2023-09-05,45.4,62.0,4.0,100.0,4.0
2023-09-06,42.91,57.0,4.0,95.0,4.0
2023-09-07,42.52,50.0,4.0,100.0,4.0
2023-09-08,35.97,50.0,4.0,73.0,4.0
2023-09-11,37.62,50.0,4.0,80.0,4.0
2023-09-12,22.09,47.0,4.0,45.0,9.0
2023-09-13,23.65,42.0,4.0,35.0,4.0
2023-09-14,22.07,47.0,4.0,35.0,7.0
2023-09-15,23.72,42.0,4.0,35.0,4.0
2023-09-18,29.45,55.0,4.0,45.0,4.0
2023-09-20,22.99,42.0,4.0,45.0,7.0
2023-09-21,25.6,42.0,4.0,45.0,4.0
2023-09-22,28.46,55.0,4.0,53.0,7.0
2023-09-25,21.63,42.0,4.0,38.0,7.0
2023-09-26,46.96,75.0,4.0,95.0,4.0
2023-09-27,48.47,75.0,4.0,100.0,4.0
2023-09-28,44.56,60.0,4.0,100.0,4.0
2023-09-29,42.5,50.0,4.0,100.0,4.0
2023-10-03,37.32,55.0,4.0,88.0,7.0
2023-10-04,31.37,50.0,4.0,60.0,4.0
2023-10-05,29.82,55.0,4.0,60.0,7.0
2023-10-06,32.96,55.0,4.0,60.0,4.0
2023-10-09,44.1,75.0,4.0,88.0,4.0
2023-10-10,48.0,75.0,4.0,98.0,4.0
2023-10-11,42.85,55.0,4.0,98.0,4.0
2023-10-12,47.98,72.0,4.0,100.0,4.0
2023-10-13,48.02,72.0,4.0,100.0,4.0
2023-10-16,45.71,62.0,4.0,100.0,4.0
2023-10-17,46.48,65.0,4.0,100.0,4.0
2023-10-18,42.27,50.0,4.0,100.0,4.0
2023-10-19,43.06,65.0,4.0,100.0,7.0
2023-10-20,39.2,50.0,4.0,100.0,7.0
2023-10-23,30.91,43.0,4.0,88.0,9.0
2023-10-25,33.1,43.0,4.0,88.0,7.0
2023-10-26,41.18,52.0,4.0,98.0,4.0
2023-10-27,29.38,42.0,4.0,70.0,7.0
2023-10-30,43.59,60.0,4.0,98.0,4.0
2023-10-31,38.17,50.0,4.0,98.0,7.0
2023-11-01,35.57,50.0,4.0,88.0,7.0
2023-11-02,41.42,60.0,4.0,100.0,7.0
2023-11-03,43.29,55.0,4.0,100.0,4.0
2023-11-06,38.81,50.0,4.0,98.0,7.0
2023-11-07,44.6,60.0,4.0,98.0,4.0
2023-11-08,36.57,50.0,4.0,88.0,7.0
2023-11-09,36.42,50.0,4.0,88.0,7.0
2023-11-10,32.88,55.0,4.0,70.0,7.0
2023-11-13,24.93,42.0,4.0,70.0,12.0
2023-11-15,36.51,65.0,4.0,60.0,4.0
2023-11-16,33.77,55.0,4.0,60.0,4.0
2023-11-17,35.14,60.0,4.0,60.0,4.0
