scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,32.87,42.0,3.0,70.0,4.0
2023-09-05,25.64,23.0,3.0,60.0,4.0
2023-09-06,31.04,47.0,3.0,70.0,7.0
2023-09-07,32.23,52.0,3.0,70.0,7.0
2023-09-08,31.18,47.0,3.0,70.0,7.0
2023-09-11,30.06,42.0,3.0,70.0,7.0
2023-09-12,27.17,23.0,3.0,70.0,4.0
2023-09-13,31.84,52.0,3.0,70.0,7.0
2023-09-14,39.84,65.0,3.0,88.0,7.0
2023-09-15,35.39,65.0,3.0,70.0,7.0
2023-09-18,42.64,65.0,3.0,88.0,4.0
2023-09-20,36.76,60.0,3.0,70.0,4.0
2023-09-21,33.75,60.0,3.0,70.0,7.0
2023-09-22,33.81,60.0,3.0,70.0,7.0
2023-09-25,35.21,65.0,3.0,70.0,7.0
2023-09-26,25.62,27.0,3.0,70.0,7.0
2023-09-27,22.1,27.0,3.0,55.0,7.0
2023-09-28,15.92,23.0,3.0,35.0,7.0
2023-09-29,28.15,28.0,3.0,78.0,7.0
2023-10-03,23.0,28.0,3.0,45.0,4.0
2023-10-04,36.81,52.0,3.0,78.0,4.0
2023-10-05,47.89,85.0,3.0,88.0,4.0
2023-10-06,50.98,85.0,3.0,100.0,4.0
2023-10-09,45.86,67.0,3.0,100.0,4.0
2023-10-10,43.79,57.0,3.0,100.0,4.0
2023-10-11,44.6,60.0,3.0,100.0,4.0
2023-10-12,50.09,80.0,3.0,100.0,4.0
2023-10-13,46.79,67.0,3.0,100.0,4.0
2023-10-16,42.02,60.0,3.0,100.0,7.0
2023-10-17,47.66,70.0,3.0,100.0,4.0
2023-10-18,46.73,67.0,3.0,100.0,4.0
2023-10-19,44.85,60.0,3.0,100.0,4.0
2023-10-20,43.07,70.0,3.0,95.0,7.0
2023-10-23,44.88,70.0,3.0,95.0,4.0
2023-10-25,39.02,60.0,3.0,95.0,7.0
2023-10-26,42.04,60.0,3.0,95.0,4.0
2023-10-27,46.33,75.0,3.0,95.0,4.0
2023-10-30,36.22,42.0,3.0,88.0,4.0
