scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,41.82,62.0,9.0,80.0,4.0
2023-09-05,39.52,52.0,9.0,80.0,4.0
2023-09-06,40.76,57.0,9.0,80.0,4.0
2023-09-07,42.01,62.0,9.0,80.0,4.0
2023-09-08,40.76,57.0,9.0,80.0,4.0
2023-09-11,40.98,65.0,9.0,73.0,4.0
2023-09-12,37.57,65.0,9.0,63.0,4.0
2023-09-13,35.38,65.0,9.0,53.0,4.0
2023-09-14,36.52,60.0,9.0,63.0,4.0
2023-09-15,36.96,60.0,9.0,63.0,4.0
2023-09-18,33.84,47.0,9.0,63.0,4.0
2023-09-20,33.6,47.0,9.0,63.0,4.0
2023-09-21,23.75,38.0,9.0,45.0,7.0
2023-09-22,29.29,47.0,9.0,45.0,4.0
2023-09-25,24.8,42.0,9.0,45.0,7.0
2023-09-26,26.78,38.0,9.0,45.0,4.0
2023-09-27,29.09,47.0,9.0,45.0,4.0
2023-09-28,27.96,42.0,9.0,45.0,4.0
2023-09-29,29.54,47.0,9.0,45.0,4.0
2023-10-03,25.57,42.0,9.0,45.0,7.0
2023-10-04,23.56,23.0,9.0,45.0,4.0
2023-10-05,26.62,47.0,9.0,45.0,7.0
2023-10-06,22.85,42.0,9.0,35.0,7.0
2023-10-09,20.58,23.0,9.0,35.0,4.0
2023-10-10,19.22,28.0,9.0,35.0,7.0
2023-10-11,24.68,37.0,9.0,35.0,4.0
2023-10-12,39.98,85.0,9.0,45.0,4.0
2023-10-13,36.11,70.0,9.0,45.0,4.0
2023-10-16,34.78,65.0,9.0,45.0,4.0
2023-10-17,37.22,75.0,9.0,45.0,4.0
2023-10-18,41.6,65.0,9.0,73.0,4.0
2023-10-19,41.54,75.0,9.0,63.0,4.0
2023-10-20,25.08,38.0,9.0,35.0,4.0
2023-10-23,22.65,33.0,9.0,35.0,4.0
2023-10-25,22.13,33.0,9.0,35.0,4.0
2023-10-26,8.13,23.0,9.0,20.0,12.0
2023-10-27,19.14,33.0,9.0,20.0,4.0
2023-10-30,17.58,28.0,9.0,20.0,4.0
2023-10-31,15.76,33.0,9.0,20.0,7.0
2023-11-01,18.39,33.0,9.0,20.0,4.0
2023-11-02,15.99,33.0,9.0,20.0,7.0
2023-11-03,14.69,28.0,9.0,20.0,7.0
2023-11-06,18.56,42.0,9.0,20.0,7.0
2023-11-07,19.33,45.0,9.0,20.0,7.0
2023-11-08,18.01,40.0,9.0,20.0,7.0
2023-11-09,15.64,32.0,9.0,20.0,7.0
2023-11-10,18.72,45.0,9.0,20.0,7.0
2023-11-13,15.23,28.0,9.0,10.0,4.0
2023-11-15,14.82,37.0,9.0,10.0,7.0
2023-11-16,17.58,37.0,9.0,10.0,4.0
2023-11-17,16.47,32.0,9.0,10.0,4.0
2023-11-20,16.7,45.0,9.0,10.0,7.0
2023-11-21,26.01,55.0,9.0,25.0,4.0
2023-11-22,18.5,32.0,9.0,18.0,4.0
2023-11-23,19.91,37.0,9.0,18.0,4.0
2023-11-24,19.69,37.0,9.0,18.0,4.0
2023-11-28,24.42,55.0,9.0,18.0,4.0
2023-11-29,30.64,80.0,9.0,18.0,4.0
2023-11-30,30.39,80.0,9.0,18.0,4.0
2023-12-01,30.69,80.0,9.0,18.0,4.0
2023-12-04,29.3,75.0,9.0,18.0,4.0
2023-12-05,28.19,70.0,9.0,18.0,4.0
2023-12-06,27.01,65.0,9.0,18.0,4.0
2023-12-07,27.02,65.0,9.0,18.0,4.0
2023-12-08,26.89,65.0,9.0,18.0,4.0
2023-12-11,31.19,80.0,9.0,18.0,4.0
2023-12-12,26.0,60.0,9.0,18.0,4.0
2023-12-13,27.54,65.0,9.0,18.0,4.0
2023-12-14,35.23,75.0,9.0,38.0,4.0
2023-12-15,29.88,75.0,9.0,18.0,4.0
2023-12-18,33.17,67.0,9.0,38.0,4.0
2023-12-19,29.37,52.0,9.0,38.0,4.0
2023-12-20,33.08,70.0,9.0,38.0,4.0
2023-12-21,33.56,70.0,9.0,38.0,4.0
2023-12-22,23.04,48.0,9.0,18.0,4.0
2023-12-26,20.52,38.0,9.0,18.0,4.0
2023-12-27,18.08,28.0,9.0,18.0,4.0
2023-12-28,15.72,28.0,9.0,10.0,4.0
2023-12-29,19.67,43.0,9.0,10.0,4.0
2024-01-01,17.57,33.0,9.0,10.0,4.0
2024-01-02,17.87,33.0,9.0,10.0,4.0
2024-01-03,29.73,80.0,9.0,10.0,4.0
2024-01-04,19.2,38.0,9.0,10.0,4.0
2024-01-05,17.96,33.0,9.0,10.0,4.0
2024-01-08,7.98,23.0,9.0,10.0,12.0
2024-01-09,5.2,13.0,9.0,10.0,12.0
2024-01-10,7.13,19.0,9.0,10.0,12.0
2024-01-11,4.51,9.0,9.0,10.0,12.0
2024-01-12,5.25,14.0,9.0,10.0,12.0
2024-01-15,0.96,9.0,9.0,10.0,15.0
2024-01-16,3.8,9.0,9.0,10.0,12.0
2024-01-17,4.85,14.0,9.0,10.0,12.0
2024-01-18,0.0,14.0,9.0,10.0,20.0
2024-01-19,7.26,23.0,9.0,10.0,12.0
2024-01-23,2.94,9.0,9.0,10.0,12.0
2024-01-24,0.0,19.0,9.0,0.0,20.0
2024-01-25,3.73,19.0,9.0,0.0,12.0
2024-01-29,8.32,28.0,9.0,10.0,12.0
2024-01-30,2.96,16.0,9.0,0.0,12.0
2024-01-31,5.81,26.0,9.0,0.0,12.0
2024-02-01,1.19,9.0,9.0,0.0,12.0
2024-02-02,0.0,9.0,9.0,0.0,15.0
2024-02-05,0.93,9.0,9.0,0.0,12.0
2024-02-06,0.0,9.0,9.0,0.0,15.0
2024-02-07,2.49,14.0,9.0,0.0,12.0
2024-02-08,6.71,31.0,9.0,0.0,12.0
2024-02-09,0.54,9.0,9.0,0.0,12.0
2024-02-12,0.0,9.0,9.0,0.0,12.0
2024-02-13,0.0,9.0,9.0,0.0,20.0
