scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-02-11,15.74,26.0,26.0,0.0,4.0
2026-02-12,8.83,19.0,26.0,0.0,9.0
2026-02-13,18.22,38.0,26.0,0.0,4.0
2026-02-16,12.95,16.0,26.0,0.0,4.0
2026-02-17,13.0,16.0,26.0,0.0,4.0
2026-02-18,10.28,16.0,26.0,0.0,7.0
2026-02-19,12.78,16.0,26.0,0.0,4.0
2026-02-20,14.24,21.0,26.0,0.0,4.0
2026-02-23,11.56,9.0,26.0,0.0,4.0
2026-02-24,8.97,19.0,26.0,0.0,9.0
2026-02-25,13.99,19.0,26.0,0.0,4.0
2026-02-26,11.41,9.0,26.0,0.0,4.0
2026-02-27,3.05,9.0,26.0,0.0,12.0
2026-03-02,0.0,9.0,26.0,0.0,17.0
2026-03-04,4.86,19.0,26.0,0.0,12.0
2026-03-05,14.72,24.0,26.0,0.0,4.0
2026-03-06,12.19,14.0,26.0,0.0,4.0
2026-03-09,11.88,14.0,26.0,0.0,4.0
2026-03-10,7.87,9.0,26.0,0.0,7.0
2026-03-11,7.61,9.0,26.0,0.0,7.0
2026-03-12,11.64,14.0,26.0,0.0,4.0
2026-03-13,7.34,9.0,26.0,0.0,7.0
2026-03-16,10.35,9.0,26.0,0.0,4.0
2026-03-17,7.14,9.0,26.0,0.0,7.0
2026-03-18,13.94,23.0,26.0,0.0,4.0
2026-03-19,10.79,13.0,26.0,0.0,4.0
2026-03-20,18.71,42.0,26.0,0.0,4.0
2026-03-23,10.8,13.0,26.0,0.0,4.0
2026-03-24,12.79,18.0,26.0,0.0,4.0
2026-03-25,11.97,13.0,26.0,0.0,4.0
2026-03-27,18.8,32.0,26.0,10.0,4.0
2026-03-30,11.09,13.0,26.0,10.0,7.0
2026-04-01,12.82,22.0,44.0,18.0,18.0
2026-04-02,14.36,22.0,44.0,25.0,18.0
2026-04-06,20.82,35.0,44.0,25.0,15.0
2026-04-07,17.62,35.0,44.0,25.0,18.0
2026-04-08,20.45,45.0,44.0,25.0,18.0
2026-04-09,23.46,45.0,44.0,25.0,15.0
2026-04-10,19.48,40.0,44.0,25.0,18.0
2026-04-13,17.9,35.0,44.0,25.0,18.0
2026-04-15,25.42,50.0,44.0,25.0,15.0
2026-04-16,19.78,40.0,44.0,25.0,18.0
2026-04-17,24.35,42.0,44.0,25.0,15.0
2026-04-20,19.25,35.0,44.0,25.0,18.0
2026-04-21,19.05,32.0,44.0,25.0,18.0
2026-04-22,20.15,35.0,44.0,25.0,18.0
2026-04-23,19.91,35.0,44.0,25.0,18.0
