scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,14.78,50.0,8.0,18.0,13.0
2023-09-06,12.92,55.0,8.0,18.0,16.0
2023-09-07,9.19,50.0,8.0,8.0,16.0
2023-09-08,12.21,50.0,8.0,8.0,13.0
2023-09-11,12.32,50.0,8.0,8.0,13.0
2023-09-12,0.25,13.0,8.0,0.0,13.0
2023-09-13,4.81,31.0,8.0,0.0,13.0
2023-09-14,4.2,28.0,8.0,0.0,13.0
2023-09-15,0.0,18.0,8.0,0.0,16.0
2023-09-18,12.09,60.0,8.0,0.0,13.0
2023-09-20,6.39,50.0,8.0,0.0,16.0
2023-09-21,4.64,32.0,8.0,0.0,13.0
2023-09-22,9.88,55.0,8.0,10.0,16.0
2023-09-25,0.0,13.0,8.0,0.0,16.0
2023-09-26,3.78,28.0,8.0,0.0,13.0
2023-09-27,0.0,13.0,8.0,0.0,13.0
2023-09-28,0.58,16.0,8.0,0.0,13.0
2023-09-29,0.0,18.0,8.0,0.0,16.0
2023-10-03,0.0,18.0,8.0,0.0,16.0
2023-10-04,0.0,16.0,8.0,0.0,16.0
2023-10-05,0.77,16.0,8.0,0.0,13.0
2023-10-06,0.97,16.0,8.0,0.0,13.0
2023-10-09,0.37,16.0,8.0,0.0,13.0
2023-10-10,2.07,21.0,8.0,0.0,13.0
2023-10-11,0.0,21.0,8.0,0.0,16.0
2023-10-12,3.75,26.0,8.0,0.0,13.0
2023-10-13,2.35,21.0,8.0,0.0,13.0
2023-10-16,1.17,16.0,8.0,0.0,13.0
2023-10-17,3.95,26.0,8.0,0.0,13.0
2023-10-18,0.0,21.0,8.0,0.0,16.0
2023-10-19,2.66,21.0,8.0,0.0,13.0
2023-10-20,1.3,16.0,8.0,0.0,13.0
2023-10-23,2.29,24.0,8.0,0.0,13.0
2023-10-25,2.43,26.0,8.0,0.0,13.0
2023-10-26,0.0,9.0,8.0,0.0,13.0
2023-10-27,2.94,26.0,8.0,0.0,13.0
2023-10-30,0.0,22.0,8.0,0.0,16.0
2023-10-31,12.05,45.0,8.0,18.0,13.0
2023-11-01,15.62,60.0,8.0,18.0,13.0
2023-11-02,19.57,65.0,8.0,28.0,13.0
2023-11-03,19.61,65.0,8.0,28.0,13.0
2023-11-06,16.06,50.0,8.0,28.0,13.0
2023-11-07,18.5,60.0,8.0,28.0,13.0
2023-11-08,23.61,60.0,8.0,48.0,13.0
2023-11-09,19.63,55.0,8.0,38.0,13.0
2023-11-10,28.89,75.0,8.0,55.0,13.0
2023-11-13,30.94,52.0,8.0,85.0,13.0
2023-11-15,21.02,42.0,8.0,55.0,13.0
2023-11-16,25.94,47.0,8.0,70.0,13.0
2023-11-17,32.3,57.0,8.0,85.0,13.0
2023-11-20,33.53,52.0,8.0,95.0,13.0
2023-11-21,32.47,47.0,8.0,95.0,13.0
2023-11-22,28.69,32.0,8.0,95.0,13.0
2023-11-23,32.52,47.0,8.0,95.0,13.0
2023-11-24,35.09,52.0,8.0,100.0,13.0
2023-11-28,31.27,37.0,8.0,100.0,13.0
2023-11-29,36.22,57.0,8.0,100.0,13.0
2023-11-30,32.61,42.0,8.0,100.0,13.0
2023-12-01,35.11,52.0,8.0,100.0,13.0
2023-12-04,36.3,57.0,8.0,100.0,13.0
