scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,70.61,85.0,63.0,78.0,0.0
2023-09-05,59.27,65.0,63.0,53.0,0.0
2023-09-06,56.42,65.0,63.0,53.0,3.0
2023-09-07,65.61,65.0,63.0,78.0,0.0
2023-09-08,64.36,70.0,63.0,68.0,0.0
2023-09-11,68.11,75.0,63.0,78.0,0.0
2023-09-12,57.07,60.0,63.0,53.0,0.0
2023-09-13,50.7,60.0,63.0,38.0,3.0
2023-09-14,57.3,70.0,63.0,53.0,3.0
2023-09-15,50.88,60.0,63.0,38.0,3.0
2023-09-18,54.95,65.0,63.0,38.0,0.0
2023-09-20,50.53,60.0,63.0,38.0,3.0
2023-09-21,43.16,38.0,63.0,20.0,0.0
2023-09-22,47.73,38.0,63.0,38.0,0.0
2023-09-25,39.55,23.0,63.0,20.0,0.0
2023-09-26,40.83,28.0,63.0,20.0,0.0
2023-09-27,36.62,23.0,63.0,20.0,3.0
2023-09-28,40.17,23.0,63.0,35.0,3.0
2023-09-29,53.25,37.0,63.0,60.0,0.0
2023-10-03,57.64,37.0,63.0,78.0,0.0
2023-10-04,46.53,27.0,63.0,45.0,0.0
2023-10-05,46.77,27.0,63.0,45.0,0.0
2023-10-06,42.56,32.0,63.0,35.0,3.0
2023-10-09,43.57,27.0,63.0,35.0,0.0
2023-10-10,49.8,50.0,63.0,35.0,0.0
2023-10-11,45.23,45.0,63.0,20.0,0.0
2023-10-12,46.69,50.0,63.0,20.0,0.0
2023-10-13,55.39,70.0,63.0,35.0,0.0
2023-10-16,38.42,27.0,63.0,10.0,0.0
2023-10-17,43.56,37.0,63.0,20.0,0.0
2023-10-18,63.6,85.0,63.0,53.0,0.0
2023-10-19,58.67,65.0,63.0,53.0,0.0
2023-10-20,50.46,60.0,63.0,38.0,3.0
2023-10-23,52.26,60.0,63.0,38.0,0.0
2023-10-25,56.58,65.0,63.0,63.0,3.0
2023-10-26,59.69,65.0,63.0,63.0,0.0
2023-10-27,61.3,70.0,63.0,63.0,0.0
2023-10-30,67.46,70.0,63.0,88.0,0.0
2023-10-31,55.71,60.0,63.0,63.0,3.0
2023-11-01,56.67,65.0,63.0,63.0,3.0
2023-11-02,63.31,65.0,63.0,88.0,3.0
2023-11-03,69.95,72.0,63.0,95.0,0.0
2023-11-06,67.18,60.0,63.0,95.0,0.0
2023-11-07,71.54,72.0,63.0,100.0,0.0
2023-11-08,71.5,72.0,63.0,100.0,0.0
2023-11-09,68.68,62.0,63.0,100.0,0.0
2023-11-10,64.89,47.0,63.0,100.0,0.0
2023-11-13,63.25,52.0,63.0,100.0,3.0
2023-11-15,63.34,52.0,63.0,100.0,3.0
2023-11-16,63.24,52.0,63.0,100.0,3.0
2023-11-17,66.36,52.0,63.0,100.0,0.0
2023-11-20,68.77,62.0,63.0,100.0,0.0
2023-11-21,63.47,52.0,63.0,100.0,3.0
2023-11-22,63.53,52.0,63.0,100.0,3.0
2023-11-23,63.65,52.0,63.0,100.0,3.0
2023-11-24,65.3,47.0,63.0,100.0,0.0
2023-11-28,62.4,47.0,63.0,100.0,3.0
2023-11-29,67.9,57.0,63.0,100.0,0.0
2023-11-30,69.13,62.0,63.0,100.0,0.0
2023-12-01,70.47,67.0,63.0,100.0,0.0
2023-12-04,66.87,52.0,63.0,100.0,0.0
2023-12-05,66.81,52.0,63.0,100.0,0.0
2023-12-06,65.84,47.0,63.0,100.0,0.0
2023-12-07,71.55,70.0,63.0,100.0,0.0
2023-12-08,65.69,60.0,63.0,88.0,0.0
2023-12-11,68.47,70.0,63.0,88.0,0.0
2023-12-12,68.39,70.0,63.0,88.0,0.0
2023-12-13,61.42,42.0,63.0,88.0,0.0
2023-12-14,57.04,42.0,63.0,70.0,0.0
2023-12-15,72.43,85.0,63.0,88.0,0.0
2023-12-18,57.15,42.0,63.0,70.0,0.0
2023-12-19,54.25,42.0,63.0,70.0,3.0
2023-12-20,53.36,42.0,63.0,70.0,3.0
