scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,33.11,50.0,20.0,73.0,12.0
2023-09-05,39.38,75.0,20.0,73.0,12.0
2023-09-06,31.96,45.0,20.0,73.0,12.0
2023-09-07,45.54,72.0,20.0,100.0,12.0
2023-09-08,43.07,62.0,20.0,100.0,12.0
2023-09-11,45.5,72.0,20.0,100.0,12.0
2023-09-12,44.56,72.0,20.0,100.0,12.0
2023-09-13,44.86,72.0,20.0,100.0,12.0
2023-09-14,42.58,62.0,20.0,100.0,12.0
2023-09-15,45.07,72.0,20.0,100.0,12.0
2023-09-18,30.63,47.0,20.0,100.0,20.0
2023-09-20,38.75,60.0,20.0,100.0,15.0
2023-09-21,40.76,57.0,20.0,100.0,12.0
2023-09-22,36.53,52.0,20.0,100.0,15.0
2023-09-25,38.44,60.0,20.0,100.0,15.0
2023-09-26,39.79,70.0,20.0,95.0,15.0
2023-09-27,38.54,65.0,20.0,95.0,15.0
2023-09-28,40.77,57.0,20.0,100.0,12.0
2023-09-29,40.93,57.0,20.0,100.0,12.0
2023-10-03,38.86,60.0,20.0,100.0,15.0
2023-10-04,38.45,60.0,20.0,100.0,15.0
2023-10-05,38.62,60.0,20.0,100.0,15.0
2023-10-06,40.08,65.0,20.0,100.0,15.0
2023-10-09,38.05,60.0,20.0,100.0,15.0
2023-10-10,40.99,70.0,20.0,100.0,15.0
2023-10-11,39.91,65.0,20.0,100.0,15.0
2023-10-12,41.62,70.0,20.0,100.0,15.0
2023-10-13,38.52,60.0,20.0,98.0,15.0
2023-10-16,39.76,65.0,20.0,98.0,15.0
2023-10-17,40.45,65.0,20.0,88.0,12.0
2023-10-18,41.46,60.0,20.0,98.0,12.0
2023-10-19,38.59,60.0,20.0,98.0,15.0
2023-10-20,46.39,80.0,20.0,98.0,12.0
2023-10-23,23.69,52.0,20.0,60.0,17.0
2023-10-25,26.08,42.0,20.0,60.0,12.0
2023-10-26,31.16,52.0,20.0,70.0,12.0
2023-10-27,30.36,47.0,20.0,70.0,12.0
2023-10-30,31.78,53.0,20.0,70.0,12.0
2023-10-31,26.26,43.0,20.0,70.0,15.0
2023-11-01,24.91,38.0,20.0,70.0,15.0
2023-11-02,26.34,43.0,20.0,70.0,15.0
2023-11-03,21.48,23.0,20.0,70.0,15.0
2023-11-06,21.55,23.0,20.0,70.0,15.0
2023-11-07,26.01,28.0,20.0,70.0,12.0
2023-11-08,22.79,28.0,20.0,70.0,15.0
2023-11-09,21.37,23.0,20.0,70.0,15.0
2023-11-10,21.21,23.0,20.0,70.0,15.0
2023-11-13,22.7,28.0,20.0,70.0,15.0
2023-11-15,21.62,23.0,20.0,70.0,15.0
2023-11-16,22.77,28.0,20.0,70.0,15.0
2023-11-17,23.84,32.0,20.0,70.0,15.0
2023-11-20,23.94,32.0,20.0,70.0,15.0
2023-11-21,29.04,40.0,20.0,70.0,12.0
2023-11-22,26.24,40.0,20.0,70.0,15.0
2023-11-23,23.14,27.0,20.0,70.0,15.0
2023-11-24,29.42,40.0,20.0,70.0,12.0
2023-11-28,35.02,45.0,20.0,88.0,12.0
2023-11-29,32.36,35.0,20.0,88.0,12.0
2023-11-30,33.74,40.0,20.0,88.0,12.0
2023-12-01,30.68,40.0,20.0,88.0,15.0
2023-12-04,43.72,80.0,20.0,88.0,12.0
2023-12-05,38.48,60.0,20.0,88.0,12.0
2023-12-06,30.2,27.0,20.0,88.0,12.0
2023-12-07,33.74,40.0,20.0,88.0,12.0
2023-12-08,31.54,32.0,20.0,88.0,12.0
2023-12-11,24.23,27.0,20.0,63.0,12.0
2023-12-12,24.07,27.0,20.0,63.0,12.0
2023-12-13,24.28,40.0,20.0,63.0,15.0
2023-12-14,24.05,27.0,20.0,63.0,12.0
2023-12-15,17.99,23.0,20.0,43.0,12.0
2023-12-18,18.17,23.0,20.0,43.0,12.0
2023-12-19,9.88,23.0,20.0,10.0,12.0
2023-12-20,11.41,33.0,20.0,10.0,12.0
2023-12-21,10.49,28.0,20.0,10.0,12.0
2023-12-22,38.2,85.0,20.0,63.0,12.0
2023-12-26,24.44,50.0,20.0,43.0,12.0
2023-12-27,21.97,50.0,20.0,45.0,15.0
2023-12-28,16.61,42.0,20.0,20.0,12.0
2023-12-29,13.0,37.0,20.0,10.0,12.0
2024-01-01,10.78,27.0,20.0,10.0,12.0
2024-01-02,10.89,27.0,20.0,10.0,12.0
2024-01-03,12.22,32.0,20.0,10.0,12.0
2024-01-04,13.2,47.0,20.0,10.0,15.0
2024-01-05,11.73,42.0,20.0,10.0,15.0
2024-01-08,17.95,55.0,20.0,10.0,12.0
2024-01-09,8.2,27.0,20.0,10.0,15.0
2024-01-10,9.62,32.0,20.0,10.0,15.0
2024-01-11,8.37,27.0,20.0,10.0,15.0
2024-01-12,9.55,32.0,20.0,10.0,15.0
2024-01-15,14.52,32.0,20.0,18.0,12.0
2024-01-16,22.56,65.0,20.0,18.0,12.0
2024-01-17,29.8,85.0,20.0,28.0,12.0
2024-01-18,23.91,60.0,20.0,28.0,12.0
2024-01-19,20.28,55.0,20.0,18.0,12.0
2024-01-23,7.76,27.0,20.0,10.0,15.0
2024-01-24,8.26,27.0,20.0,10.0,15.0
2024-01-25,23.47,65.0,20.0,20.0,12.0
2024-01-29,9.23,38.0,20.0,10.0,17.0
2024-01-30,12.98,33.0,20.0,10.0,12.0
2024-01-31,10.63,23.0,20.0,10.0,12.0
2024-02-01,10.44,23.0,20.0,10.0,12.0
2024-02-02,12.89,33.0,20.0,10.0,12.0
2024-02-05,10.15,23.0,20.0,10.0,12.0
2024-02-06,10.42,23.0,20.0,10.0,12.0
2024-02-07,7.46,23.0,20.0,10.0,15.0
2024-02-08,10.09,23.0,20.0,10.0,12.0
2024-02-09,12.23,33.0,20.0,10.0,12.0
2024-02-12,35.4,75.0,20.0,63.0,12.0
2024-02-13,39.18,80.0,20.0,73.0,12.0
2024-02-14,29.49,50.0,20.0,63.0,12.0
2024-02-15,19.48,50.0,20.0,35.0,15.0
2024-02-16,12.67,35.0,20.0,10.0,12.0
2024-02-19,24.85,60.0,20.0,45.0,15.0
2024-02-20,16.04,35.0,20.0,35.0,15.0
2024-02-21,7.68,27.0,20.0,10.0,15.0
2024-02-22,8.84,32.0,20.0,10.0,15.0
2024-02-23,10.91,40.0,20.0,10.0,15.0
2024-02-26,9.69,27.0,20.0,18.0,15.0
2024-02-27,8.46,23.0,20.0,18.0,15.0
2024-02-28,6.09,23.0,20.0,10.0,15.0
2024-02-29,0.0,8.0,20.0,10.0,23.0
2024-03-01,0.0,13.0,20.0,18.0,23.0
2024-03-04,0.0,8.0,20.0,18.0,23.0
2024-03-05,0.0,8.0,20.0,10.0,23.0
2024-03-06,0.0,8.0,20.0,10.0,23.0
2024-03-07,0.0,8.0,20.0,10.0,23.0
2024-03-11,0.0,8.0,20.0,10.0,23.0
2024-03-12,0.0,8.0,20.0,10.0,20.0
2024-03-13,0.0,9.0,20.0,0.0,33.0
2024-03-14,0.0,23.0,20.0,0.0,20.0
2024-03-15,0.0,13.0,20.0,0.0,20.0
2024-03-18,0.0,8.0,20.0,0.0,20.0
2024-03-19,0.0,8.0,20.0,0.0,23.0
2024-03-20,0.0,13.0,20.0,0.0,20.0
2024-03-21,0.0,13.0,20.0,0.0,20.0
2024-03-22,0.0,8.0,20.0,0.0,20.0
2024-03-26,0.0,18.0,20.0,0.0,20.0
2024-03-27,0.0,23.0,20.0,0.0,20.0
2024-03-28,0.0,13.0,20.0,0.0,20.0
2024-04-01,18.17,40.0,42.0,0.0,12.0
2024-04-02,13.35,20.0,42.0,0.0,12.0
