scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,50.47,55.0,50.0,48.0,0.0
2023-09-05,29.97,35.0,50.0,18.0,8.0
2023-09-06,27.5,35.0,50.0,8.0,8.0
2023-09-07,33.82,50.0,50.0,18.0,8.0
2023-09-08,31.85,35.0,50.0,25.0,8.0
2023-09-11,52.32,55.0,50.0,55.0,0.0
2023-09-12,27.88,40.0,50.0,8.0,8.0
2023-09-13,27.67,40.0,50.0,18.0,11.0
2023-09-14,32.12,40.0,50.0,35.0,11.0
2023-09-15,35.1,40.0,50.0,35.0,8.0
2023-09-18,28.94,35.0,50.0,28.0,11.0
2023-09-20,26.8,27.0,50.0,28.0,11.0
2023-09-21,22.82,12.0,50.0,28.0,11.0
2023-09-22,21.58,17.0,50.0,18.0,11.0
2023-09-25,17.31,8.0,50.0,10.0,11.0
2023-09-26,17.35,8.0,50.0,10.0,11.0
2023-09-27,20.4,8.0,50.0,10.0,8.0
2023-09-28,20.38,8.0,50.0,10.0,8.0
2023-09-29,20.51,8.0,50.0,10.0,8.0
2023-10-03,25.18,13.0,50.0,35.0,11.0
2023-10-04,17.25,8.0,50.0,10.0,11.0
2023-10-05,18.71,13.0,50.0,10.0,11.0
2023-10-06,22.9,17.0,50.0,10.0,8.0
2023-10-09,19.92,8.0,50.0,10.0,8.0
2023-10-10,23.82,22.0,50.0,10.0,8.0
2023-10-11,29.73,45.0,50.0,10.0,8.0
2023-10-12,25.93,40.0,50.0,10.0,11.0
2023-10-13,31.3,50.0,50.0,10.0,8.0
2023-10-16,36.31,60.0,50.0,20.0,8.0
2023-10-17,30.21,35.0,50.0,20.0,8.0
2023-10-18,33.73,50.0,50.0,20.0,8.0
2023-10-19,63.61,62.0,50.0,95.0,0.0
2023-10-20,57.21,52.0,50.0,80.0,0.0
2023-10-23,55.52,60.0,50.0,70.0,0.0
2023-10-25,54.12,55.0,50.0,70.0,0.0
2023-10-26,54.2,55.0,50.0,70.0,0.0
2023-10-27,61.42,57.0,50.0,95.0,0.0
2023-10-30,61.35,57.0,50.0,95.0,0.0
2023-10-31,57.58,42.0,50.0,95.0,0.0
2023-11-01,56.23,37.0,50.0,95.0,0.0
2023-11-02,55.91,42.0,50.0,100.0,3.0
2023-11-03,54.83,37.0,50.0,100.0,3.0
2023-11-06,54.91,50.0,50.0,95.0,5.0
2023-11-07,57.6,50.0,50.0,85.0,0.0
2023-11-08,63.66,60.0,50.0,100.0,0.0
2023-11-09,56.76,50.0,50.0,95.0,3.0
2023-11-10,52.84,50.0,50.0,80.0,3.0
2023-11-13,53.09,50.0,50.0,80.0,3.0
2023-11-15,54.51,55.0,50.0,80.0,3.0
2023-11-16,56.12,50.0,50.0,80.0,0.0
2023-11-17,63.69,65.0,50.0,95.0,0.0
2023-11-20,58.3,60.0,50.0,78.0,0.0
2023-11-21,58.41,50.0,50.0,88.0,0.0
2023-11-22,59.95,55.0,50.0,88.0,0.0
2023-11-23,68.05,75.0,50.0,100.0,0.0
2023-11-24,64.75,62.0,50.0,100.0,0.0
2023-11-28,59.87,55.0,50.0,88.0,0.0
2023-11-29,58.49,50.0,50.0,88.0,0.0
2023-11-30,59.82,55.0,50.0,88.0,0.0
2023-12-01,58.56,50.0,50.0,88.0,0.0
2023-12-04,59.85,55.0,50.0,88.0,0.0
2023-12-05,46.56,50.0,50.0,53.0,3.0
2023-12-06,42.74,50.0,50.0,38.0,3.0
2023-12-07,56.49,60.0,50.0,70.0,0.0
2023-12-08,52.04,50.0,50.0,63.0,0.0
2023-12-11,49.26,50.0,50.0,63.0,3.0
2023-12-12,49.13,50.0,50.0,63.0,3.0
2023-12-13,50.41,55.0,50.0,63.0,3.0
2023-12-14,49.15,50.0,50.0,63.0,3.0
2023-12-15,49.1,50.0,50.0,63.0,3.0
2023-12-18,49.26,50.0,50.0,63.0,3.0
2023-12-19,58.47,75.0,50.0,63.0,0.0
2023-12-20,52.51,55.0,50.0,63.0,0.0
2023-12-21,52.84,55.0,50.0,63.0,0.0
2023-12-22,54.3,60.0,50.0,63.0,0.0
2023-12-26,47.3,50.0,50.0,45.0,0.0
2023-12-27,47.34,50.0,50.0,45.0,0.0
2023-12-28,64.27,75.0,50.0,88.0,0.0
2023-12-29,54.31,60.0,50.0,63.0,0.0
2024-01-01,52.83,50.0,50.0,78.0,3.0
2024-01-02,55.89,50.0,50.0,78.0,0.0
2024-01-03,52.98,50.0,50.0,78.0,3.0
2024-01-04,56.25,50.0,50.0,78.0,0.0
2024-01-05,56.79,55.0,50.0,88.0,3.0
2024-01-08,53.95,42.0,50.0,78.0,0.0
2024-01-09,59.93,55.0,50.0,88.0,0.0
2024-01-10,57.62,55.0,50.0,78.0,0.0
2024-01-11,53.42,50.0,50.0,78.0,3.0
2024-01-12,50.85,55.0,50.0,63.0,3.0
2024-01-15,52.54,50.0,50.0,63.0,0.0
2024-01-16,53.06,50.0,50.0,78.0,3.0
2024-01-17,49.31,42.0,50.0,60.0,0.0
2024-01-18,49.32,23.0,50.0,78.0,0.0
2024-01-19,51.74,47.0,50.0,63.0,0.0
2024-01-23,38.17,23.0,50.0,35.0,0.0
2024-01-24,56.22,65.0,50.0,63.0,0.0
2024-01-25,50.66,60.0,50.0,45.0,0.0
2024-01-29,39.95,27.0,50.0,35.0,0.0
2024-01-30,38.94,23.0,50.0,35.0,0.0
2024-01-31,32.87,23.0,50.0,10.0,0.0
2024-02-01,32.74,23.0,50.0,10.0,0.0
2024-02-02,32.69,23.0,50.0,10.0,0.0
2024-02-05,35.01,33.0,50.0,10.0,0.0
2024-02-06,33.98,28.0,50.0,10.0,0.0
2024-02-07,32.29,23.0,50.0,20.0,3.0
2024-02-08,36.23,28.0,50.0,20.0,0.0
2024-02-09,33.33,28.0,50.0,10.0,0.0
2024-02-12,30.44,19.0,50.0,10.0,0.0
2024-02-13,32.69,28.0,50.0,10.0,0.0
2024-02-14,32.56,28.0,50.0,20.0,3.0
2024-02-15,31.76,23.0,50.0,10.0,0.0
2024-02-16,30.29,28.0,50.0,10.0,3.0
2024-02-19,30.4,28.0,50.0,10.0,3.0
2024-02-20,32.1,23.0,50.0,10.0,0.0
2024-02-21,28.97,23.0,50.0,10.0,3.0
2024-02-22,49.87,60.0,50.0,45.0,0.0
2024-02-23,49.93,70.0,50.0,35.0,0.0
2024-02-26,50.68,65.0,50.0,43.0,0.0
2024-02-27,46.72,50.0,50.0,43.0,0.0
2024-02-28,32.3,27.0,50.0,10.0,0.0
2024-02-29,32.4,27.0,50.0,10.0,0.0
2024-03-01,34.55,27.0,50.0,18.0,0.0
2024-03-04,33.96,33.0,50.0,10.0,0.0
2024-03-05,31.2,23.0,50.0,10.0,0.0
2024-03-06,31.89,28.0,50.0,10.0,0.0
2024-03-07,30.8,23.0,50.0,10.0,0.0
2024-03-11,13.83,9.0,50.0,10.0,13.0
2024-03-12,18.49,9.0,50.0,10.0,8.0
2024-03-13,8.7,14.0,50.0,0.0,16.0
2024-03-14,22.04,23.0,50.0,10.0,8.0
2024-03-15,12.59,8.0,50.0,0.0,11.0
2024-03-18,18.31,8.0,50.0,10.0,8.0
2024-03-19,18.02,8.0,50.0,10.0,8.0
2024-03-20,14.53,4.0,50.0,0.0,8.0
2024-03-21,17.16,13.0,50.0,0.0,8.0
2024-03-22,24.64,33.0,50.0,10.0,8.0
2024-03-26,19.42,13.0,50.0,10.0,8.0
2024-03-27,19.57,13.0,50.0,10.0,8.0
2024-03-28,20.87,18.0,50.0,10.0,8.0
2024-04-01,13.88,27.0,41.0,10.0,15.0
2024-04-02,13.59,25.0,41.0,10.0,15.0
2024-04-03,10.85,25.0,41.0,10.0,18.0
2024-04-04,9.59,20.0,41.0,10.0,18.0
2024-04-05,26.86,45.0,41.0,10.0,7.0
2024-04-08,9.6,20.0,41.0,10.0,18.0
2024-04-09,10.66,13.0,41.0,10.0,15.0
2024-04-10,10.81,13.0,41.0,10.0,15.0
2024-04-12,16.54,28.0,41.0,18.0,15.0
2024-04-15,12.56,13.0,41.0,18.0,15.0
2024-04-16,6.46,8.0,41.0,10.0,18.0
2024-04-18,8.51,8.0,41.0,18.0,18.0
2024-04-19,6.25,8.0,41.0,10.0,18.0
2024-04-22,17.24,30.0,41.0,18.0,15.0
2024-04-23,15.45,12.0,41.0,28.0,15.0
2024-04-24,13.22,25.0,41.0,18.0,18.0
2024-04-25,13.01,25.0,41.0,18.0,18.0
2024-04-26,9.39,20.0,41.0,8.0,18.0
2024-04-29,10.48,12.0,41.0,8.0,15.0
2024-04-30,13.33,25.0,41.0,18.0,18.0
2024-05-02,8.29,12.0,41.0,0.0,15.0
2024-05-03,33.81,75.0,41.0,8.0,7.0
2024-05-06,32.09,70.0,41.0,8.0,7.0
2024-05-07,22.98,35.0,41.0,8.0,7.0
2024-05-08,13.17,35.0,41.0,0.0,15.0
2024-05-09,31.44,60.0,41.0,18.0,7.0
2024-05-10,3.68,18.0,41.0,0.0,20.0
2024-05-13,6.02,8.0,41.0,0.0,15.0
2024-05-14,6.44,8.0,41.0,0.0,15.0
2024-05-15,7.86,13.0,41.0,0.0,15.0
2024-05-16,21.67,60.0,41.0,8.0,15.0
2024-05-17,19.5,50.0,41.0,8.0,15.0
2024-05-21,9.99,12.0,41.0,8.0,15.0
2024-05-22,13.85,40.0,41.0,8.0,18.0
2024-05-23,7.66,12.0,41.0,0.0,15.0
2024-05-24,17.71,45.0,41.0,8.0,15.0
2024-05-27,18.87,50.0,41.0,8.0,15.0
2024-05-28,30.28,65.0,41.0,8.0,7.0
2024-05-29,30.27,55.0,41.0,18.0,7.0
2024-05-30,30.05,55.0,41.0,18.0,7.0
2024-05-31,25.89,50.0,41.0,18.0,10.0
2024-06-03,12.78,35.0,41.0,0.0,15.0
2024-06-04,0.27,8.0,41.0,0.0,20.0
2024-06-05,9.47,22.0,41.0,0.0,15.0
2024-06-06,8.61,17.0,41.0,0.0,15.0
2024-06-07,12.7,32.0,41.0,0.0,15.0
2024-06-10,16.9,40.0,41.0,8.0,15.0
2024-06-11,17.14,40.0,41.0,8.0,15.0
2024-06-12,12.94,35.0,41.0,8.0,18.0
2024-06-13,16.87,40.0,41.0,18.0,18.0
2024-06-14,15.91,35.0,41.0,18.0,18.0
