scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,8.4,27.0,31.0,28.0,24.0
2023-09-05,5.43,27.0,31.0,28.0,27.0
2023-09-06,8.33,27.0,31.0,28.0,24.0
2023-09-07,14.11,50.0,31.0,28.0,24.0
2023-09-08,16.61,40.0,31.0,48.0,24.0
2023-09-11,10.45,40.0,31.0,35.0,27.0
2023-09-12,13.92,45.0,31.0,35.0,24.0
2023-09-13,29.47,55.0,31.0,55.0,16.0
2023-09-14,25.36,55.0,31.0,38.0,16.0
2023-09-15,21.17,50.0,31.0,38.0,19.0
2023-09-18,16.48,50.0,31.0,20.0,19.0
2023-09-20,4.55,35.0,31.0,20.0,27.0
2023-09-21,5.32,27.0,31.0,20.0,24.0
2023-09-22,4.31,23.0,31.0,20.0,24.0
2023-09-25,12.44,55.0,31.0,20.0,24.0
2023-09-26,11.21,50.0,31.0,20.0,24.0
2023-09-27,33.72,75.0,31.0,53.0,16.0
2023-09-28,42.31,75.0,31.0,88.0,16.0
2023-09-29,40.96,57.0,31.0,100.0,16.0
2023-10-03,38.6,47.0,31.0,100.0,16.0
2023-10-04,38.32,47.0,31.0,100.0,16.0
2023-10-05,39.75,52.0,31.0,100.0,16.0
2023-10-06,38.65,47.0,31.0,100.0,16.0
2023-10-09,40.58,57.0,31.0,100.0,16.0
2023-10-10,37.23,42.0,31.0,100.0,16.0
2023-10-11,37.28,42.0,31.0,100.0,16.0
2023-10-12,37.67,42.0,31.0,100.0,16.0
2023-10-13,37.56,42.0,31.0,100.0,16.0
2023-10-16,41.43,57.0,31.0,100.0,16.0
2023-10-17,37.92,42.0,31.0,100.0,16.0
2023-10-18,37.75,42.0,31.0,100.0,16.0
2023-10-19,37.91,42.0,31.0,100.0,16.0
2023-10-20,37.78,42.0,31.0,100.0,16.0
2023-10-23,39.26,52.0,31.0,100.0,16.0
2023-10-25,32.2,37.0,31.0,100.0,19.0
2023-10-26,32.36,37.0,31.0,100.0,19.0
2023-10-27,40.75,57.0,31.0,100.0,16.0
2023-10-30,38.88,50.0,31.0,100.0,16.0
2023-10-31,35.83,50.0,31.0,100.0,19.0
2023-11-01,35.66,50.0,31.0,100.0,19.0
2023-11-02,35.36,50.0,31.0,98.0,19.0
2023-11-03,43.44,70.0,31.0,98.0,16.0
2023-11-06,43.6,70.0,31.0,98.0,16.0
2023-11-07,43.6,70.0,31.0,98.0,16.0
2023-11-08,36.92,55.0,31.0,98.0,19.0
2023-11-09,36.71,55.0,31.0,98.0,19.0
2023-11-10,36.43,42.0,31.0,98.0,16.0
2023-11-13,40.97,57.0,31.0,100.0,16.0
2023-11-15,36.8,52.0,31.0,100.0,19.0
2023-11-16,41.68,62.0,31.0,98.0,16.0
2023-11-17,41.83,62.0,31.0,98.0,16.0
2023-11-20,36.28,50.0,31.0,88.0,16.0
2023-11-21,43.96,80.0,31.0,88.0,16.0
2023-11-22,33.94,52.0,31.0,88.0,19.0
2023-11-23,37.02,52.0,31.0,100.0,19.0
2023-11-24,37.05,52.0,31.0,100.0,19.0
2023-11-28,37.0,52.0,31.0,100.0,19.0
2023-11-29,36.94,52.0,31.0,100.0,19.0
2023-11-30,42.55,62.0,31.0,100.0,16.0
2023-12-01,37.06,52.0,31.0,100.0,19.0
2023-12-04,37.01,52.0,31.0,100.0,19.0
2023-12-05,36.8,52.0,31.0,100.0,19.0
2023-12-06,36.75,52.0,31.0,100.0,19.0
2023-12-07,42.38,62.0,31.0,100.0,16.0
2023-12-08,38.45,47.0,31.0,100.0,16.0
2023-12-11,42.44,62.0,31.0,100.0,16.0
2023-12-12,42.26,62.0,31.0,100.0,16.0
2023-12-13,35.74,47.0,31.0,100.0,19.0
2023-12-14,44.6,70.0,31.0,100.0,16.0
2023-12-15,44.52,70.0,31.0,100.0,16.0
2023-12-18,40.7,60.0,31.0,95.0,16.0
2023-12-19,37.57,60.0,31.0,95.0,19.0
2023-12-20,40.48,70.0,31.0,88.0,16.0
2023-12-21,31.01,42.0,31.0,88.0,19.0
2023-12-22,43.6,80.0,31.0,88.0,16.0
2023-12-26,45.0,85.0,31.0,88.0,16.0
2023-12-27,36.76,52.0,31.0,88.0,16.0
2023-12-28,28.65,38.0,31.0,70.0,16.0
2023-12-29,37.98,75.0,31.0,70.0,16.0
2024-01-01,36.94,70.0,31.0,70.0,16.0
2024-01-02,38.03,75.0,31.0,70.0,16.0
2024-01-03,34.42,60.0,31.0,70.0,16.0
2024-01-04,39.66,80.0,31.0,70.0,16.0
2024-01-05,44.15,80.0,31.0,88.0,16.0
2024-01-08,41.54,70.0,31.0,88.0,16.0
2024-01-09,31.64,60.0,31.0,70.0,19.0
2024-01-10,35.95,65.0,31.0,70.0,16.0
2024-01-11,31.8,60.0,31.0,70.0,19.0
2024-01-12,34.67,60.0,31.0,70.0,16.0
2024-01-15,41.58,70.0,31.0,88.0,16.0
2024-01-16,29.92,42.0,31.0,70.0,16.0
2024-01-17,13.68,23.0,31.0,45.0,21.0
2024-01-18,26.96,37.0,31.0,63.0,16.0
2024-01-19,19.05,23.0,31.0,45.0,16.0
2024-01-23,23.24,42.0,31.0,45.0,16.0
2024-01-24,18.98,23.0,31.0,45.0,16.0
2024-01-25,24.14,37.0,31.0,63.0,19.0
2024-01-29,33.5,42.0,31.0,83.0,16.0
2024-01-30,20.13,27.0,31.0,45.0,16.0
2024-01-31,44.4,80.0,31.0,88.0,16.0
2024-02-01,45.53,85.0,31.0,88.0,16.0
2024-02-02,44.67,70.0,31.0,100.0,16.0
2024-02-05,41.56,70.0,31.0,100.0,19.0
2024-02-06,38.51,57.0,31.0,100.0,19.0
2024-02-07,41.47,57.0,31.0,100.0,16.0
2024-02-08,43.82,67.0,31.0,100.0,16.0
2024-02-09,42.25,62.0,31.0,100.0,16.0
2024-02-12,38.53,50.0,31.0,100.0,16.0
2024-02-13,35.53,50.0,31.0,100.0,19.0
2024-02-14,41.99,65.0,31.0,98.0,16.0
2024-02-15,43.85,70.0,31.0,100.0,16.0
2024-02-16,41.48,60.0,31.0,100.0,16.0
2024-02-19,44.17,70.0,31.0,100.0,16.0
2024-02-20,41.05,70.0,31.0,100.0,19.0
2024-02-21,45.02,75.0,31.0,100.0,16.0
2024-02-22,46.36,80.0,31.0,100.0,16.0
2024-02-23,41.34,60.0,31.0,100.0,16.0
2024-02-26,38.8,50.0,31.0,100.0,16.0
2024-02-27,40.67,70.0,31.0,100.0,19.0
2024-02-28,45.68,80.0,31.0,100.0,16.0
2024-02-29,45.8,80.0,31.0,100.0,16.0
2024-03-01,43.39,70.0,31.0,100.0,16.0
2024-03-04,40.77,60.0,31.0,100.0,16.0
2024-03-05,37.5,60.0,31.0,100.0,19.0
2024-03-06,29.5,60.0,31.0,70.0,19.0
2024-03-07,33.97,65.0,31.0,70.0,16.0
2024-03-11,28.92,57.0,31.0,60.0,16.0
2024-03-12,20.17,38.0,31.0,45.0,16.0
2024-03-13,12.87,23.0,31.0,45.0,19.0
2024-03-14,20.3,38.0,31.0,45.0,16.0
2024-03-15,17.53,28.0,31.0,45.0,16.0
2024-03-18,19.6,33.0,31.0,60.0,19.0
2024-03-19,24.16,52.0,31.0,60.0,19.0
2024-03-20,31.68,60.0,31.0,70.0,16.0
2024-03-21,38.12,65.0,31.0,88.0,16.0
2024-03-22,33.61,65.0,31.0,70.0,16.0
2024-03-26,40.47,75.0,31.0,88.0,16.0
2024-03-27,37.0,60.0,31.0,88.0,16.0
2024-03-28,36.92,60.0,31.0,88.0,16.0
2024-04-01,59.68,85.0,52.0,88.0,8.0
2024-04-02,63.04,85.0,52.0,100.0,8.0
2024-04-03,56.46,70.0,52.0,88.0,8.0
2024-04-04,61.45,80.0,52.0,98.0,8.0
2024-04-05,56.63,60.0,52.0,98.0,8.0
2024-04-08,63.33,85.0,52.0,100.0,8.0
2024-04-09,59.89,72.0,52.0,100.0,8.0
2024-04-10,53.34,65.0,52.0,100.0,13.0
2024-04-12,57.09,60.0,52.0,100.0,8.0
2024-04-15,49.39,50.0,52.0,100.0,13.0
2024-04-16,52.82,55.0,52.0,100.0,11.0
2024-04-18,47.54,42.0,52.0,100.0,13.0
2024-04-19,53.89,60.0,52.0,100.0,11.0
2024-04-22,54.43,60.0,52.0,100.0,11.0
2024-04-23,55.02,50.0,52.0,100.0,8.0
2024-04-24,52.54,42.0,52.0,98.0,8.0
2024-04-25,51.26,47.0,52.0,100.0,11.0
2024-04-26,57.61,60.0,52.0,100.0,8.0
2024-04-29,54.57,60.0,52.0,100.0,11.0
2024-04-30,52.16,50.0,52.0,100.0,11.0
2024-05-02,42.5,42.0,52.0,70.0,11.0
2024-05-03,42.12,42.0,52.0,70.0,11.0
2024-05-06,41.57,42.0,52.0,70.0,11.0
2024-05-07,36.39,23.0,52.0,70.0,11.0
2024-05-08,35.41,28.0,52.0,60.0,11.0
2024-05-09,33.6,23.0,52.0,60.0,11.0
2024-05-10,30.12,23.0,52.0,45.0,11.0
2024-05-13,27.59,23.0,52.0,35.0,11.0
2024-05-14,29.39,28.0,52.0,35.0,11.0
2024-05-15,29.68,28.0,52.0,35.0,11.0
2024-05-16,31.03,23.0,52.0,45.0,11.0
2024-05-17,41.61,37.0,52.0,60.0,8.0
2024-05-21,46.84,60.0,52.0,70.0,11.0
2024-05-22,32.1,27.0,52.0,45.0,11.0
2024-05-23,33.93,23.0,52.0,45.0,8.0
2024-05-24,37.32,37.0,52.0,45.0,8.0
2024-05-27,28.17,23.0,52.0,35.0,11.0
2024-05-28,28.0,23.0,52.0,35.0,11.0
2024-05-29,28.03,23.0,52.0,35.0,11.0
2024-05-30,30.72,23.0,52.0,35.0,8.0
2024-05-31,21.67,23.0,52.0,10.0,11.0
2024-06-03,31.25,38.0,52.0,20.0,8.0
2024-06-04,23.83,23.0,52.0,10.0,8.0
2024-06-05,28.08,38.0,52.0,10.0,8.0
2024-06-06,27.4,33.0,52.0,10.0,8.0
2024-06-07,27.71,33.0,52.0,10.0,8.0
2024-06-10,27.7,32.0,52.0,10.0,8.0
2024-06-11,25.86,23.0,52.0,10.0,8.0
2024-06-12,28.24,32.0,52.0,10.0,8.0
2024-06-13,29.53,27.0,52.0,20.0,8.0
2024-06-14,36.75,55.0,52.0,20.0,8.0
2024-06-18,53.95,65.0,52.0,78.0,8.0
2024-06-19,50.36,70.0,52.0,60.0,8.0
2024-06-20,42.51,35.0,52.0,63.0,8.0
2024-06-21,41.29,40.0,52.0,53.0,8.0
2024-06-24,40.11,35.0,52.0,53.0,8.0
2024-06-25,40.06,35.0,52.0,53.0,8.0
2024-06-26,48.8,60.0,52.0,63.0,8.0
2024-06-27,40.31,27.0,52.0,63.0,8.0
2024-06-28,32.44,27.0,52.0,43.0,11.0
2024-07-01,53.32,60.0,52.0,80.0,8.0
2024-07-02,27.0,37.0,52.0,18.0,13.0
2024-07-03,49.69,75.0,52.0,50.0,8.0
2024-07-04,52.23,75.0,52.0,60.0,8.0
2024-07-05,52.11,75.0,52.0,60.0,8.0
2024-07-08,48.23,60.0,52.0,60.0,8.0
2024-07-09,38.41,50.0,52.0,43.0,11.0
2024-07-10,40.99,50.0,52.0,43.0,8.0
2024-07-11,47.92,60.0,52.0,60.0,8.0
2024-07-12,50.2,70.0,52.0,60.0,8.0
2024-07-15,40.93,50.0,52.0,43.0,8.0
2024-07-16,44.77,65.0,52.0,43.0,8.0
2024-07-18,31.14,65.0,52.0,10.0,13.0
2024-07-19,21.06,27.0,52.0,10.0,13.0
2024-07-22,37.62,57.0,52.0,25.0,8.0
2024-07-23,26.23,27.0,52.0,10.0,8.0
2024-07-24,41.32,52.0,52.0,43.0,8.0
2024-07-25,33.69,42.0,52.0,35.0,11.0
2024-07-26,43.44,60.0,52.0,43.0,8.0
2024-07-29,43.55,60.0,52.0,43.0,8.0
2024-07-30,42.31,55.0,52.0,43.0,8.0
2024-07-31,33.91,42.0,52.0,43.0,13.0
2024-08-01,28.06,23.0,52.0,20.0,8.0
2024-08-02,41.45,62.0,52.0,35.0,8.0
2024-08-05,32.1,28.0,52.0,35.0,8.0
2024-08-06,21.46,23.0,52.0,10.0,11.0
2024-08-07,25.55,37.0,52.0,10.0,11.0
2024-08-08,31.64,52.0,52.0,20.0,11.0
2024-08-09,45.04,75.0,52.0,38.0,8.0
