scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,23.26,70.0,14.0,73.0,25.0
2023-09-06,10.64,57.0,14.0,35.0,25.0
2023-09-07,18.09,52.0,14.0,70.0,25.0
2023-09-08,10.09,55.0,14.0,35.0,25.0
2023-09-11,4.1,50.0,14.0,28.0,28.0
2023-09-12,0.57,50.0,14.0,18.0,28.0
2023-09-13,0.9,50.0,14.0,18.0,28.0
2023-09-14,1.29,50.0,14.0,18.0,28.0
2023-09-15,0.0,42.0,14.0,18.0,28.0
2023-09-18,0.0,27.0,14.0,18.0,28.0
2023-09-20,0.0,23.0,14.0,10.0,28.0
2023-09-21,0.0,23.0,14.0,10.0,28.0
2023-09-22,0.0,23.0,14.0,18.0,28.0
2023-09-25,0.0,23.0,14.0,18.0,28.0
2023-09-26,0.0,23.0,14.0,10.0,28.0
2023-09-27,0.0,23.0,14.0,10.0,25.0
2023-09-28,0.0,23.0,14.0,10.0,25.0
2023-09-29,0.0,8.0,14.0,10.0,36.0
2023-10-03,0.0,8.0,14.0,25.0,36.0
2023-10-04,0.0,4.0,14.0,10.0,33.0
2023-10-05,0.0,4.0,14.0,10.0,36.0
2023-10-06,0.0,4.0,14.0,10.0,36.0
2023-10-09,0.0,4.0,14.0,10.0,33.0
2023-10-10,0.0,9.0,14.0,10.0,41.0
2023-10-11,0.0,9.0,14.0,10.0,41.0
2023-10-12,0.0,24.0,14.0,10.0,33.0
2023-10-13,0.0,13.0,14.0,10.0,36.0
2023-10-16,0.0,32.0,14.0,10.0,33.0
2023-10-17,3.25,55.0,14.0,10.0,25.0
2023-10-18,8.05,75.0,14.0,10.0,25.0
2023-10-19,1.84,50.0,14.0,10.0,25.0
2023-10-20,12.42,75.0,14.0,28.0,25.0
2023-10-23,11.2,60.0,14.0,43.0,25.0
2023-10-25,0.0,27.0,14.0,10.0,25.0
2023-10-26,12.41,65.0,14.0,43.0,25.0
2023-10-27,0.0,32.0,14.0,18.0,25.0
