scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,42.07,65.0,6.0,80.0,4.0
2023-09-05,37.46,47.0,6.0,80.0,4.0
2023-09-06,41.34,62.0,6.0,80.0,4.0
2023-09-07,37.54,47.0,6.0,80.0,4.0
2023-09-08,35.29,50.0,6.0,80.0,7.0
2023-09-11,35.3,50.0,6.0,80.0,7.0
2023-09-12,21.02,47.0,6.0,38.0,9.0
2023-09-13,29.61,60.0,6.0,38.0,4.0
2023-09-14,21.24,55.0,6.0,20.0,7.0
2023-09-15,31.07,50.0,6.0,53.0,4.0
2023-09-18,38.35,70.0,6.0,63.0,4.0
2023-09-20,30.64,50.0,6.0,53.0,4.0
2023-09-21,22.76,50.0,6.0,35.0,7.0
2023-09-22,22.82,50.0,6.0,35.0,7.0
2023-09-25,17.19,42.0,6.0,20.0,7.0
2023-09-26,22.98,47.0,6.0,38.0,7.0
2023-09-27,21.79,42.0,6.0,38.0,7.0
2023-09-28,20.8,42.0,6.0,35.0,7.0
2023-09-29,22.36,47.0,6.0,35.0,7.0
2023-10-03,21.01,42.0,6.0,35.0,7.0
2023-10-04,19.61,38.0,6.0,35.0,7.0
2023-10-05,22.14,47.0,6.0,35.0,7.0
2023-10-06,20.91,42.0,6.0,35.0,7.0
2023-10-09,18.41,23.0,6.0,35.0,4.0
2023-10-10,28.14,60.0,6.0,35.0,4.0
2023-10-11,34.8,75.0,6.0,45.0,4.0
2023-10-12,39.57,65.0,6.0,73.0,4.0
2023-10-13,30.74,50.0,6.0,53.0,4.0
2023-10-16,34.52,55.0,6.0,63.0,4.0
2023-10-17,32.2,55.0,6.0,53.0,4.0
2023-10-18,26.25,50.0,6.0,35.0,4.0
2023-10-19,23.29,50.0,6.0,35.0,7.0
2023-10-20,22.86,37.0,6.0,35.0,4.0
2023-10-23,15.65,33.0,6.0,35.0,9.0
2023-10-25,19.17,28.0,6.0,35.0,4.0
2023-10-26,21.86,38.0,6.0,35.0,4.0
2023-10-27,17.72,32.0,6.0,35.0,7.0
2023-10-30,17.56,32.0,6.0,35.0,7.0
2023-10-31,16.32,27.0,6.0,35.0,7.0
2023-11-01,20.53,33.0,6.0,35.0,4.0
2023-11-02,22.13,38.0,6.0,35.0,4.0
2023-11-03,18.49,38.0,6.0,20.0,4.0
2023-11-06,1.91,23.0,6.0,20.0,17.0
2023-11-07,7.03,23.0,6.0,20.0,12.0
2023-11-08,17.5,33.0,6.0,20.0,4.0
2023-11-09,4.13,13.0,6.0,20.0,12.0
2023-11-10,4.1,13.0,6.0,20.0,12.0
2023-11-13,3.05,18.0,6.0,10.0,12.0
2023-11-15,1.95,13.0,6.0,10.0,12.0
2023-11-16,3.04,18.0,6.0,10.0,12.0
2023-11-17,1.88,13.0,6.0,10.0,12.0
2023-11-20,0.0,13.0,6.0,10.0,15.0
2023-11-21,0.29,18.0,6.0,10.0,15.0
2023-11-22,2.11,13.0,6.0,10.0,12.0
2023-11-23,2.21,13.0,6.0,10.0,12.0
2023-11-24,0.34,18.0,6.0,10.0,15.0
2023-11-28,4.71,23.0,6.0,10.0,12.0
2023-11-29,3.43,18.0,6.0,10.0,12.0
2023-11-30,3.43,18.0,6.0,10.0,12.0
2023-12-01,2.33,13.0,6.0,10.0,12.0
2023-12-04,2.42,13.0,6.0,10.0,12.0
2023-12-05,23.38,65.0,6.0,10.0,4.0
2023-12-06,25.65,65.0,6.0,18.0,4.0
2023-12-07,28.1,75.0,6.0,18.0,4.0
2023-12-08,25.26,65.0,6.0,18.0,4.0
2023-12-11,29.04,62.0,6.0,35.0,4.0
2023-12-12,26.42,52.0,6.0,35.0,4.0
2023-12-13,42.74,72.0,6.0,80.0,4.0
2023-12-14,40.36,62.0,6.0,80.0,4.0
2023-12-15,36.74,47.0,6.0,80.0,4.0
2023-12-18,41.76,67.0,6.0,80.0,4.0
2023-12-19,30.59,47.0,6.0,55.0,4.0
2023-12-20,34.24,65.0,6.0,55.0,4.0
2023-12-21,33.05,70.0,6.0,55.0,7.0
2023-12-22,30.76,60.0,6.0,55.0,7.0
2023-12-26,32.3,65.0,6.0,55.0,7.0
2023-12-27,31.06,60.0,6.0,55.0,7.0
2023-12-28,30.9,60.0,6.0,55.0,7.0
2023-12-29,30.9,60.0,6.0,55.0,7.0
2024-01-01,32.55,65.0,6.0,55.0,7.0
2024-01-02,28.77,50.0,6.0,55.0,7.0
2024-01-03,32.54,65.0,6.0,55.0,7.0
2024-01-04,35.62,65.0,6.0,55.0,4.0
2024-01-05,26.95,60.0,6.0,38.0,7.0
2024-01-08,26.77,60.0,6.0,38.0,7.0
2024-01-09,20.89,42.0,6.0,20.0,4.0
2024-01-10,17.81,42.0,6.0,20.0,7.0
2024-01-11,24.94,70.0,6.0,20.0,7.0
2024-01-12,26.58,65.0,6.0,20.0,4.0
2024-01-15,36.51,80.0,6.0,45.0,4.0
2024-01-16,26.33,65.0,6.0,20.0,4.0
2024-01-17,20.14,42.0,6.0,20.0,4.0
2024-01-18,20.49,42.0,6.0,20.0,4.0
2024-01-19,32.83,75.0,6.0,35.0,4.0
2024-01-23,23.83,42.0,6.0,35.0,4.0
2024-01-24,19.5,38.0,6.0,20.0,4.0
2024-01-25,22.01,47.0,6.0,20.0,4.0
2024-01-29,22.12,47.0,6.0,20.0,4.0
2024-01-30,34.08,80.0,6.0,35.0,4.0
2024-01-31,40.01,75.0,6.0,63.0,4.0
2024-02-01,30.88,50.0,6.0,53.0,4.0
2024-02-02,20.61,42.0,6.0,20.0,4.0
2024-02-05,15.52,23.0,6.0,20.0,4.0
2024-02-06,17.89,32.0,6.0,20.0,4.0
2024-02-07,17.79,32.0,6.0,20.0,4.0
2024-02-08,15.36,23.0,6.0,20.0,4.0
2024-02-09,15.01,23.0,6.0,20.0,4.0
2024-02-12,1.49,23.0,6.0,20.0,17.0
2024-02-13,5.25,18.0,6.0,20.0,12.0
2024-02-14,17.19,33.0,6.0,20.0,4.0
2024-02-15,13.17,28.0,6.0,20.0,7.0
2024-02-16,10.7,28.0,6.0,10.0,7.0
2024-02-19,17.41,32.0,6.0,20.0,4.0
2024-02-20,9.55,23.0,6.0,10.0,7.0
2024-02-21,14.75,32.0,6.0,10.0,4.0
2024-02-22,16.06,27.0,6.0,20.0,4.0
2024-02-23,16.03,27.0,6.0,20.0,4.0
2024-02-26,9.29,23.0,6.0,10.0,7.0
2024-02-27,9.01,23.0,6.0,10.0,7.0
2024-02-28,1.05,13.0,6.0,10.0,12.0
2024-02-29,3.67,23.0,6.0,10.0,12.0
2024-03-01,13.08,28.0,6.0,10.0,4.0
2024-03-04,1.15,13.0,6.0,10.0,12.0
2024-03-05,0.99,13.0,6.0,10.0,12.0
2024-03-06,0.0,18.0,6.0,0.0,12.0
2024-03-07,0.0,18.0,6.0,0.0,12.0
2024-03-11,0.0,13.0,6.0,0.0,12.0
2024-03-12,0.0,14.0,6.0,0.0,12.0
2024-03-13,0.0,24.0,6.0,0.0,25.0
2024-03-14,3.71,38.0,6.0,0.0,12.0
2024-03-15,0.0,21.0,6.0,0.0,12.0
2024-03-18,0.5,26.0,6.0,0.0,12.0
2024-03-19,0.0,21.0,6.0,0.0,12.0
2024-03-20,0.0,16.0,6.0,0.0,12.0
2024-03-21,0.0,21.0,6.0,0.0,12.0
2024-03-22,2.16,31.0,6.0,0.0,12.0
2024-03-26,0.0,21.0,6.0,0.0,12.0
2024-03-27,0.73,26.0,6.0,0.0,12.0
2024-03-28,1.92,31.0,6.0,0.0,12.0
2024-04-01,3.24,32.0,6.0,0.0,12.0
2024-04-02,5.5,40.0,6.0,0.0,12.0
2024-04-03,3.42,30.0,6.0,0.0,12.0
