scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,22.5,32.0,7.0,45.0,7.0
2023-09-05,21.28,27.0,7.0,45.0,7.0
2023-09-06,17.68,23.0,7.0,35.0,7.0
2023-09-07,19.96,32.0,7.0,35.0,7.0
2023-09-08,19.71,23.0,7.0,43.0,7.0
2023-09-11,17.8,23.0,7.0,35.0,7.0
2023-09-12,8.77,23.0,7.0,10.0,9.0
2023-09-13,21.32,28.0,7.0,35.0,4.0
2023-09-14,24.71,33.0,7.0,43.0,4.0
2023-09-15,24.77,33.0,7.0,43.0,4.0
2023-09-18,15.33,23.0,7.0,28.0,7.0
2023-09-20,20.15,28.0,7.0,43.0,7.0
2023-09-21,12.92,23.0,7.0,20.0,7.0
2023-09-22,14.66,28.0,7.0,10.0,4.0
2023-09-25,10.54,23.0,7.0,10.0,7.0
2023-09-26,10.56,23.0,7.0,10.0,7.0
2023-09-27,14.82,28.0,7.0,10.0,4.0
2023-09-28,10.41,23.0,7.0,10.0,7.0
2023-09-29,8.06,23.0,7.0,0.0,7.0
2023-10-03,13.7,33.0,7.0,0.0,4.0
2023-10-04,13.42,23.0,7.0,10.0,4.0
2023-10-05,14.85,28.0,7.0,10.0,4.0
2023-10-06,12.0,28.0,7.0,10.0,7.0
2023-10-09,13.18,23.0,7.0,10.0,4.0
2023-10-10,14.83,28.0,7.0,10.0,4.0
2023-10-11,23.63,55.0,7.0,18.0,4.0
2023-10-12,26.52,55.0,7.0,28.0,4.0
2023-10-13,16.91,27.0,7.0,18.0,4.0
2023-10-16,19.53,37.0,7.0,18.0,4.0
2023-10-17,19.77,45.0,7.0,10.0,4.0
2023-10-18,17.1,27.0,7.0,18.0,4.0
2023-10-19,28.01,70.0,7.0,18.0,4.0
2023-10-20,22.88,50.0,7.0,18.0,4.0
2023-10-23,0.0,18.0,7.0,10.0,17.0
2023-10-25,2.3,13.0,7.0,10.0,12.0
2023-10-26,4.95,23.0,7.0,10.0,12.0
2023-10-27,16.84,37.0,7.0,10.0,4.0
2023-10-30,1.48,8.0,7.0,10.0,12.0
2023-10-31,2.68,13.0,7.0,10.0,12.0
2023-11-01,1.52,13.0,7.0,18.0,15.0
2023-11-02,25.71,55.0,7.0,28.0,4.0
2023-11-03,18.29,35.0,7.0,18.0,4.0
2023-11-06,2.95,13.0,7.0,10.0,12.0
2023-11-07,4.95,13.0,7.0,18.0,12.0
2023-11-08,0.52,13.0,7.0,0.0,12.0
2023-11-09,21.31,55.0,7.0,10.0,4.0
2023-11-10,17.53,40.0,7.0,10.0,4.0
2023-11-13,15.32,40.0,7.0,0.0,4.0
2023-11-15,28.64,55.0,7.0,38.0,4.0
2023-11-16,4.78,20.0,7.0,10.0,12.0
2023-11-17,31.18,65.0,7.0,38.0,4.0
2023-11-20,7.38,20.0,7.0,20.0,12.0
2023-11-21,24.31,55.0,7.0,20.0,4.0
2023-11-22,27.54,50.0,7.0,38.0,4.0
2023-11-23,19.62,50.0,7.0,18.0,7.0
2023-11-24,20.9,55.0,7.0,18.0,7.0
2023-11-28,25.1,60.0,7.0,18.0,4.0
2023-11-29,22.54,50.0,7.0,18.0,4.0
2023-11-30,27.65,70.0,7.0,18.0,4.0
2023-12-01,22.66,50.0,7.0,18.0,4.0
2023-12-04,25.11,60.0,7.0,18.0,4.0
2023-12-05,23.65,55.0,7.0,18.0,4.0
2023-12-06,22.35,60.0,7.0,8.0,4.0
2023-12-07,19.98,50.0,7.0,8.0,4.0
2023-12-08,21.05,55.0,7.0,8.0,4.0
2023-12-11,21.29,55.0,7.0,8.0,4.0
2023-12-12,22.36,60.0,7.0,8.0,4.0
2023-12-13,7.59,32.0,7.0,8.0,12.0
2023-12-14,8.2,32.0,7.0,10.0,12.0
2023-12-15,23.87,55.0,7.0,18.0,4.0
2023-12-18,22.55,50.0,7.0,18.0,4.0
2023-12-19,8.17,35.0,7.0,8.0,12.0
2023-12-20,3.33,17.0,7.0,10.0,12.0
2023-12-21,0.0,8.0,7.0,0.0,12.0
2023-12-22,6.45,27.0,7.0,10.0,12.0
2023-12-26,11.85,40.0,7.0,18.0,12.0
2023-12-27,8.61,35.0,7.0,10.0,12.0
2023-12-28,6.5,27.0,7.0,10.0,12.0
2023-12-29,12.33,50.0,7.0,10.0,12.0
2024-01-01,25.54,62.0,7.0,18.0,4.0
2024-01-02,26.13,65.0,7.0,18.0,4.0
2024-01-03,24.27,47.0,7.0,28.0,4.0
2024-01-04,26.51,65.0,7.0,18.0,4.0
2024-01-05,32.0,70.0,7.0,35.0,4.0
2024-01-08,25.14,50.0,7.0,28.0,4.0
2024-01-09,26.49,55.0,7.0,28.0,4.0
2024-01-10,22.8,50.0,7.0,18.0,4.0
2024-01-11,23.65,55.0,7.0,28.0,7.0
2024-01-12,19.77,50.0,7.0,18.0,7.0
2024-01-15,19.68,50.0,7.0,18.0,7.0
2024-01-16,23.77,55.0,7.0,18.0,4.0
2024-01-17,22.28,50.0,7.0,18.0,4.0
2024-01-18,26.31,55.0,7.0,28.0,4.0
2024-01-19,23.4,55.0,7.0,28.0,7.0
