scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,4.17,45.0,2.0,8.0,17.0
2023-09-06,5.45,50.0,2.0,8.0,17.0
2023-09-07,6.77,55.0,2.0,8.0,17.0
2023-09-08,1.05,40.0,2.0,0.0,17.0
2023-09-11,3.52,50.0,2.0,0.0,17.0
2023-09-12,0.08,40.0,2.0,0.0,17.0
2023-09-13,0.0,37.0,2.0,0.0,17.0
2023-09-14,0.0,28.0,2.0,0.0,17.0
2023-09-15,1.3,43.0,2.0,0.0,17.0
2023-09-18,0.0,28.0,2.0,8.0,17.0
2023-09-20,0.5,33.0,2.0,8.0,17.0
2023-09-21,0.0,28.0,2.0,8.0,17.0
2023-09-22,0.0,33.0,2.0,0.0,17.0
2023-09-25,0.0,33.0,2.0,0.0,17.0
2023-09-26,0.0,33.0,2.0,0.0,17.0
2023-09-27,0.85,43.0,2.0,0.0,17.0
2023-09-28,0.0,37.0,2.0,0.0,17.0
2023-09-29,0.0,18.0,2.0,0.0,17.0
2023-10-03,2.88,50.0,2.0,0.0,17.0
2023-10-04,0.0,28.0,2.0,0.0,17.0
2023-10-05,0.0,13.0,2.0,0.0,20.0
2023-10-06,0.0,13.0,2.0,0.0,20.0
2023-10-09,0.0,13.0,2.0,0.0,20.0
2023-10-10,0.0,9.0,2.0,0.0,20.0
2023-10-11,0.0,9.0,2.0,0.0,28.0
2023-10-12,0.0,9.0,2.0,0.0,28.0
2023-10-13,0.0,9.0,2.0,0.0,25.0
2023-10-16,0.0,9.0,2.0,0.0,25.0
2023-10-17,0.0,29.0,2.0,0.0,17.0
2023-10-18,0.0,26.0,2.0,0.0,17.0
2023-10-19,0.0,26.0,2.0,0.0,17.0
2023-10-20,0.0,23.0,2.0,0.0,17.0
2023-10-23,0.0,16.0,2.0,0.0,17.0
2023-10-25,0.0,16.0,2.0,0.0,20.0
2023-10-26,0.0,16.0,2.0,0.0,20.0
2023-10-27,0.0,31.0,2.0,0.0,17.0
2023-10-30,0.0,16.0,2.0,0.0,17.0
2023-10-31,0.0,26.0,2.0,0.0,17.0
2023-11-01,0.0,21.0,2.0,0.0,17.0
2023-11-02,0.0,14.0,2.0,0.0,17.0
2023-11-03,0.0,19.0,2.0,0.0,17.0
2023-11-06,0.0,21.0,2.0,0.0,17.0
2023-11-07,0.0,21.0,2.0,0.0,17.0
2023-11-08,0.0,21.0,2.0,0.0,17.0
2023-11-09,0.0,24.0,2.0,0.0,17.0
2023-11-10,0.0,21.0,2.0,0.0,17.0
2023-11-13,0.0,21.0,2.0,0.0,17.0
2023-11-15,0.0,9.0,2.0,0.0,17.0
2023-11-16,0.0,21.0,2.0,0.0,17.0
2023-11-17,0.0,31.0,2.0,0.0,17.0
2023-11-20,0.0,14.0,2.0,0.0,17.0
2023-11-21,0.0,21.0,2.0,0.0,17.0
2023-11-22,0.0,14.0,2.0,0.0,17.0
2023-11-23,0.0,14.0,2.0,0.0,25.0
2023-11-24,0.0,19.0,2.0,0.0,25.0
2023-11-28,0.0,19.0,2.0,0.0,25.0
2023-11-29,0.0,19.0,2.0,0.0,25.0
2023-11-30,0.0,14.0,2.0,0.0,25.0
2023-12-01,0.0,19.0,2.0,0.0,25.0
2023-12-04,0.0,19.0,2.0,0.0,25.0
2023-12-05,0.0,14.0,2.0,0.0,25.0
2023-12-06,0.0,14.0,2.0,0.0,25.0
2023-12-07,0.0,9.0,2.0,0.0,25.0
2023-12-08,0.0,29.0,2.0,0.0,25.0
2023-12-11,0.0,29.0,2.0,0.0,25.0
2023-12-12,0.0,24.0,2.0,0.0,25.0
2023-12-13,0.0,9.0,2.0,0.0,25.0
2023-12-14,0.0,14.0,2.0,0.0,25.0
2023-12-15,0.0,14.0,2.0,0.0,25.0
2023-12-18,0.0,14.0,2.0,0.0,25.0
2023-12-19,0.0,9.0,2.0,0.0,25.0
2023-12-20,0.0,9.0,2.0,0.0,25.0
2023-12-21,0.0,9.0,2.0,0.0,25.0
2023-12-22,0.0,9.0,2.0,0.0,25.0
2023-12-26,0.0,24.0,2.0,0.0,25.0
2023-12-27,0.0,14.0,2.0,0.0,25.0
2023-12-28,0.0,31.0,2.0,0.0,17.0
2023-12-29,0.0,21.0,2.0,0.0,20.0
2024-01-01,0.0,18.0,2.0,0.0,20.0
2024-01-02,0.0,22.0,2.0,0.0,20.0
2024-01-03,0.0,30.0,2.0,0.0,20.0
2024-01-04,0.0,30.0,2.0,8.0,20.0
2024-01-05,2.24,40.0,2.0,8.0,17.0
2024-01-08,0.0,25.0,2.0,8.0,17.0
2024-01-09,0.0,17.0,2.0,0.0,17.0
2024-01-10,0.07,30.0,2.0,8.0,17.0
2024-01-11,3.86,45.0,2.0,8.0,17.0
2024-01-12,3.8,45.0,2.0,8.0,17.0
2024-01-15,1.99,40.0,2.0,18.0,20.0
2024-01-16,10.26,55.0,2.0,25.0,17.0
2024-01-17,6.26,40.0,2.0,25.0,17.0
2024-01-18,3.27,27.0,2.0,25.0,17.0
2024-01-19,9.19,50.0,2.0,25.0,17.0
2024-01-23,6.12,40.0,2.0,25.0,17.0
2024-01-24,3.67,40.0,2.0,25.0,20.0
2024-01-25,8.11,45.0,2.0,25.0,17.0
2024-01-29,5.15,45.0,2.0,25.0,20.0
2024-01-30,8.14,45.0,2.0,25.0,17.0
2024-01-31,8.32,45.0,2.0,25.0,17.0
2024-02-01,6.94,40.0,2.0,25.0,17.0
2024-02-02,3.89,35.0,2.0,18.0,17.0
2024-02-05,0.0,40.0,2.0,8.0,20.0
2024-02-06,2.68,40.0,2.0,8.0,17.0
2024-02-07,2.74,40.0,2.0,8.0,17.0
2024-02-08,4.93,40.0,2.0,18.0,17.0
2024-02-09,0.28,45.0,2.0,8.0,20.0
2024-02-12,0.0,32.0,2.0,8.0,20.0
2024-02-13,0.0,28.0,2.0,0.0,20.0
2024-02-14,0.0,18.0,2.0,0.0,17.0
2024-02-15,0.0,18.0,2.0,0.0,17.0
2024-02-16,0.49,42.0,2.0,0.0,17.0
2024-02-19,0.0,37.0,2.0,0.0,20.0
2024-02-20,0.0,32.0,2.0,0.0,17.0
2024-02-21,0.0,32.0,2.0,0.0,17.0
2024-02-22,0.0,28.0,2.0,0.0,17.0
2024-02-23,0.0,28.0,2.0,0.0,20.0
2024-02-26,0.38,42.0,2.0,0.0,17.0
2024-02-27,0.0,37.0,2.0,0.0,17.0
2024-02-28,0.0,13.0,2.0,0.0,17.0
2024-02-29,0.0,23.0,2.0,0.0,17.0
2024-03-01,0.0,23.0,2.0,0.0,17.0
2024-03-04,0.0,18.0,2.0,0.0,17.0
2024-03-05,0.0,13.0,2.0,0.0,17.0
2024-03-06,0.0,13.0,2.0,0.0,17.0
2024-03-07,0.0,13.0,2.0,0.0,20.0
2024-03-11,0.0,21.0,2.0,0.0,17.0
2024-03-12,0.0,9.0,2.0,0.0,17.0
2024-03-13,0.0,9.0,2.0,0.0,17.0
2024-03-14,0.0,19.0,2.0,0.0,17.0
2024-03-15,0.0,21.0,2.0,0.0,17.0
2024-03-18,0.0,31.0,2.0,0.0,17.0
2024-03-19,0.0,31.0,2.0,0.0,17.0
2024-03-20,0.0,9.0,2.0,0.0,17.0
2024-03-21,0.0,9.0,2.0,0.0,17.0
2024-03-22,0.0,19.0,2.0,0.0,25.0
2024-03-26,0.0,9.0,2.0,0.0,25.0
2024-03-27,0.0,19.0,2.0,0.0,25.0
2024-03-28,0.0,19.0,2.0,0.0,25.0
2024-04-01,0.0,14.0,2.0,0.0,28.0
2024-04-02,0.0,26.0,2.0,0.0,20.0
2024-04-03,0.0,21.0,2.0,0.0,20.0
2024-04-04,0.0,21.0,2.0,0.0,20.0
2024-04-05,1.96,50.0,2.0,0.0,17.0
2024-04-08,0.0,35.0,2.0,8.0,20.0
2024-04-09,5.01,45.0,2.0,18.0,17.0
2024-04-10,5.16,55.0,2.0,8.0,17.0
2024-04-12,0.0,30.0,2.0,8.0,17.0
2024-04-15,0.0,25.0,2.0,8.0,17.0
2024-04-16,1.31,40.0,2.0,8.0,17.0
2024-04-18,0.0,30.0,2.0,8.0,17.0
2024-04-19,0.0,17.0,2.0,0.0,17.0
2024-04-22,2.84,45.0,2.0,8.0,17.0
2024-04-23,0.0,30.0,2.0,8.0,17.0
2024-04-24,4.32,40.0,2.0,18.0,17.0
2024-04-25,0.36,25.0,2.0,18.0,17.0
2024-04-26,0.0,22.0,2.0,18.0,17.0
2024-04-29,0.33,17.0,2.0,25.0,17.0
2024-04-30,1.93,23.0,2.0,25.0,17.0
2024-05-02,0.64,26.0,2.0,18.0,17.0
2024-05-03,0.0,16.0,2.0,18.0,20.0
2024-05-06,0.0,16.0,2.0,8.0,20.0
2024-05-07,0.0,16.0,2.0,0.0,20.0
2024-05-08,0.0,21.0,2.0,0.0,17.0
2024-05-09,0.0,16.0,2.0,0.0,17.0
2024-05-10,0.0,16.0,2.0,0.0,17.0
2024-05-13,0.0,16.0,2.0,0.0,17.0
2024-05-14,0.0,16.0,2.0,0.0,17.0
2024-05-15,0.0,9.0,2.0,0.0,17.0
2024-05-16,0.0,14.0,2.0,0.0,17.0
2024-05-17,0.0,21.0,2.0,0.0,17.0
2024-05-21,0.0,21.0,2.0,0.0,17.0
2024-05-22,0.0,21.0,2.0,0.0,17.0
2024-05-23,0.0,21.0,2.0,0.0,17.0
2024-05-24,0.0,31.0,2.0,0.0,17.0
2024-05-27,0.0,26.0,2.0,0.0,17.0
2024-05-28,0.0,31.0,2.0,0.0,17.0
2024-05-29,0.0,21.0,2.0,0.0,17.0
2024-05-30,0.0,26.0,2.0,0.0,17.0
2024-05-31,0.0,24.0,2.0,0.0,17.0
2024-06-03,0.0,24.0,2.0,0.0,17.0
2024-06-04,0.0,31.0,2.0,0.0,17.0
2024-06-05,0.0,9.0,2.0,0.0,17.0
2024-06-06,0.0,14.0,2.0,0.0,17.0
2024-06-07,0.0,31.0,2.0,0.0,17.0
2024-06-10,0.0,41.0,2.0,0.0,17.0
2024-06-11,0.0,31.0,2.0,0.0,17.0
2024-06-12,0.0,26.0,2.0,0.0,17.0
2024-06-13,0.0,26.0,2.0,0.0,17.0
2024-06-14,0.0,31.0,2.0,0.0,17.0
2024-06-18,0.0,31.0,2.0,0.0,17.0
2024-06-19,0.0,31.0,2.0,0.0,17.0
2024-06-20,0.0,16.0,2.0,0.0,17.0
2024-06-21,0.0,21.0,2.0,0.0,17.0
2024-06-24,0.0,16.0,2.0,0.0,17.0
2024-06-25,0.0,9.0,2.0,0.0,17.0
2024-06-26,0.0,9.0,2.0,0.0,17.0
2024-06-27,0.0,9.0,2.0,0.0,25.0
2024-06-28,0.0,19.0,2.0,0.0,17.0
2024-07-01,0.0,21.0,2.0,0.0,17.0
2024-07-02,0.0,14.0,2.0,0.0,17.0
2024-07-03,0.0,14.0,2.0,0.0,17.0
2024-07-04,0.0,9.0,2.0,0.0,17.0
2024-07-05,0.0,9.0,2.0,0.0,17.0
2024-07-08,0.0,9.0,2.0,0.0,17.0
2024-07-09,0.0,9.0,2.0,0.0,20.0
2024-07-10,0.0,21.0,2.0,0.0,17.0
2024-07-11,0.0,21.0,2.0,0.0,20.0
2024-07-12,0.0,19.0,2.0,0.0,17.0
2024-07-15,0.0,14.0,2.0,0.0,20.0
2024-07-16,0.0,9.0,2.0,0.0,20.0
2024-07-18,0.0,9.0,2.0,0.0,20.0
2024-07-19,0.0,9.0,2.0,0.0,17.0
2024-07-22,0.0,9.0,2.0,0.0,17.0
2024-07-23,0.0,9.0,2.0,0.0,17.0
2024-07-24,0.0,21.0,2.0,0.0,17.0
2024-07-25,0.0,21.0,2.0,0.0,17.0
2024-07-26,0.0,21.0,2.0,0.0,17.0
2024-07-29,0.0,31.0,2.0,0.0,17.0
2024-07-30,0.0,31.0,2.0,0.0,17.0
2024-07-31,0.0,36.0,2.0,0.0,17.0
2024-08-01,0.0,24.0,2.0,0.0,17.0
2024-08-02,0.0,36.0,2.0,0.0,17.0
2024-08-05,0.0,24.0,2.0,0.0,30.0
2024-08-06,0.0,38.0,2.0,0.0,17.0
2024-08-07,10.97,60.0,2.0,25.0,17.0
2024-08-08,21.83,62.0,2.0,35.0,9.0
2024-08-09,19.39,52.0,2.0,35.0,9.0
2024-08-12,3.3,40.0,2.0,35.0,22.0
2024-08-13,0.0,35.0,2.0,25.0,22.0
2024-08-14,0.0,35.0,2.0,18.0,20.0
2024-08-16,3.82,45.0,2.0,25.0,20.0
