scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,9.72,28.0,0.0,10.0,7.0
2023-09-05,9.72,28.0,0.0,10.0,7.0
2023-09-06,12.75,28.0,0.0,10.0,4.0
2023-09-07,9.82,28.0,0.0,10.0,7.0
2023-09-08,11.1,33.0,0.0,10.0,7.0
2023-09-11,11.07,33.0,0.0,10.0,7.0
2023-09-12,0.0,13.0,0.0,10.0,15.0
2023-09-13,0.0,9.0,0.0,10.0,15.0
2023-09-14,0.12,23.0,0.0,10.0,15.0
2023-09-15,0.0,13.0,0.0,10.0,15.0
2023-09-18,0.0,13.0,0.0,10.0,15.0
2023-09-20,0.0,18.0,0.0,10.0,15.0
2023-09-21,0.0,13.0,0.0,10.0,15.0
2023-09-22,0.0,13.0,0.0,10.0,15.0
2023-09-25,0.0,13.0,0.0,10.0,15.0
2023-09-26,0.1,13.0,0.0,10.0,12.0
2023-09-27,0.0,9.0,0.0,10.0,12.0
2023-09-28,0.0,9.0,0.0,10.0,20.0
2023-09-29,4.01,28.0,0.0,10.0,12.0
2023-10-03,0.43,13.0,0.0,10.0,12.0
2023-10-04,0.0,13.0,0.0,10.0,15.0
2023-10-05,0.0,18.0,0.0,10.0,15.0
2023-10-06,0.4,13.0,0.0,10.0,12.0
2023-10-09,0.0,9.0,0.0,10.0,15.0
2023-10-10,0.0,18.0,0.0,10.0,15.0
2023-10-11,1.48,18.0,0.0,10.0,12.0
2023-10-12,7.93,42.0,0.0,10.0,12.0
2023-10-13,4.05,27.0,0.0,10.0,12.0
2023-10-16,0.0,17.0,0.0,10.0,15.0
2023-10-17,0.0,17.0,0.0,10.0,15.0
2023-10-18,2.73,22.0,0.0,10.0,12.0
2023-10-19,4.36,28.0,0.0,10.0,12.0
2023-10-20,2.96,23.0,0.0,10.0,12.0
2023-10-23,0.0,13.0,0.0,10.0,15.0
2023-10-25,0.0,13.0,0.0,10.0,12.0
2023-10-26,0.45,18.0,0.0,10.0,12.0
2023-10-27,0.0,18.0,0.0,0.0,12.0
2023-10-30,0.0,18.0,0.0,0.0,15.0
2023-10-31,0.0,18.0,0.0,0.0,12.0
2023-11-01,0.0,16.0,0.0,0.0,12.0
2023-11-02,0.0,18.0,0.0,0.0,15.0
2023-11-03,0.0,16.0,0.0,0.0,15.0
2023-11-06,0.0,23.0,0.0,0.0,15.0
2023-11-07,0.0,13.0,0.0,0.0,15.0
2023-11-08,4.66,42.0,0.0,0.0,12.0
2023-11-09,0.0,17.0,0.0,0.0,15.0
2023-11-10,0.0,22.0,0.0,0.0,15.0
2023-11-13,4.09,40.0,0.0,0.0,12.0
2023-11-15,1.76,30.0,0.0,0.0,12.0
2023-11-16,0.0,30.0,0.0,0.0,15.0
2023-11-17,0.0,17.0,0.0,0.0,12.0
2023-11-20,0.0,22.0,0.0,0.0,12.0
2023-11-21,0.0,17.0,0.0,0.0,15.0
2023-11-22,1.2,30.0,0.0,8.0,15.0
2023-11-23,1.3,30.0,0.0,8.0,15.0
2023-11-24,8.0,45.0,0.0,8.0,12.0
2023-11-28,7.87,45.0,0.0,8.0,12.0
2023-11-29,8.99,50.0,0.0,8.0,12.0
2023-11-30,7.82,45.0,0.0,8.0,12.0
2023-12-01,10.3,55.0,0.0,8.0,12.0
2023-12-04,11.6,60.0,0.0,8.0,12.0
2023-12-05,6.31,40.0,0.0,8.0,12.0
