scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,33.98,70.0,9.0,38.0,4.0
2023-09-06,36.38,80.0,9.0,38.0,4.0
2023-09-07,31.41,60.0,9.0,38.0,4.0
2023-09-08,36.41,80.0,9.0,38.0,4.0
2023-09-11,36.5,80.0,9.0,38.0,4.0
2023-09-12,30.72,60.0,9.0,38.0,4.0
2023-09-13,32.02,65.0,9.0,38.0,4.0
2023-09-14,29.16,65.0,9.0,38.0,7.0
2023-09-15,26.47,42.0,9.0,38.0,4.0
2023-09-18,29.03,65.0,9.0,38.0,7.0
2023-09-20,19.35,27.0,9.0,38.0,7.0
2023-09-21,19.12,27.0,9.0,38.0,7.0
2023-09-22,14.61,27.0,9.0,20.0,7.0
2023-09-25,18.24,23.0,9.0,38.0,7.0
2023-09-26,23.51,32.0,9.0,38.0,4.0
2023-09-27,23.52,32.0,9.0,38.0,4.0
2023-09-28,28.61,65.0,9.0,38.0,7.0
2023-09-29,14.76,27.0,9.0,20.0,7.0
2023-10-03,34.4,75.0,9.0,38.0,4.0
2023-10-04,31.62,65.0,9.0,38.0,4.0
2023-10-05,31.8,65.0,9.0,38.0,4.0
2023-10-06,31.95,65.0,9.0,38.0,4.0
2023-10-09,27.13,60.0,9.0,38.0,7.0
2023-10-10,26.03,60.0,9.0,20.0,4.0
2023-10-11,26.08,60.0,9.0,20.0,4.0
2023-10-12,27.72,65.0,9.0,20.0,4.0
2023-10-13,18.36,42.0,9.0,18.0,7.0
2023-10-16,27.23,65.0,9.0,18.0,4.0
2023-10-17,27.47,65.0,9.0,18.0,4.0
2023-10-18,33.55,75.0,9.0,33.0,4.0
2023-10-19,23.21,60.0,9.0,18.0,7.0
2023-10-20,26.83,60.0,9.0,33.0,7.0
2023-10-23,15.06,28.0,9.0,10.0,4.0
2023-10-25,18.5,28.0,9.0,25.0,4.0
2023-10-26,18.65,28.0,9.0,25.0,4.0
2023-10-27,14.05,23.0,9.0,10.0,4.0
2023-10-30,10.93,23.0,9.0,10.0,7.0
2023-10-31,11.13,24.0,9.0,10.0,7.0
2023-11-01,13.96,24.0,9.0,10.0,4.0
2023-11-02,8.66,34.0,9.0,10.0,12.0
2023-11-03,15.49,29.0,9.0,10.0,4.0
2023-11-06,16.65,33.0,9.0,10.0,4.0
2023-11-07,13.65,33.0,9.0,10.0,7.0
2023-11-08,17.72,37.0,9.0,10.0,4.0
2023-11-09,1.26,24.0,9.0,10.0,17.0
2023-11-10,6.23,24.0,9.0,10.0,12.0
2023-11-13,5.27,19.0,9.0,10.0,12.0
2023-11-15,6.34,23.0,9.0,10.0,12.0
2023-11-16,3.73,13.0,9.0,10.0,12.0
2023-11-17,2.13,18.0,9.0,10.0,15.0
2023-11-20,3.83,13.0,9.0,10.0,12.0
2023-11-21,5.26,18.0,9.0,10.0,12.0
2023-11-22,8.99,33.0,9.0,10.0,12.0
2023-11-23,7.82,28.0,9.0,10.0,12.0
2023-11-24,1.1,13.0,9.0,10.0,15.0
2023-11-28,4.05,13.0,9.0,10.0,12.0
2023-11-29,0.99,13.0,9.0,10.0,15.0
2023-11-30,5.35,18.0,9.0,10.0,12.0
2023-12-01,4.11,13.0,9.0,10.0,12.0
2023-12-04,4.06,13.0,9.0,10.0,12.0
2023-12-05,8.6,32.0,9.0,10.0,12.0
2023-12-06,6.3,23.0,9.0,10.0,12.0
2023-12-07,0.93,13.0,9.0,10.0,15.0
2023-12-08,0.0,13.0,9.0,0.0,15.0
2023-12-11,3.99,23.0,9.0,0.0,12.0
2023-12-12,1.32,13.0,9.0,0.0,12.0
2023-12-13,1.54,13.0,9.0,0.0,12.0
2023-12-14,2.9,18.0,9.0,0.0,12.0
2023-12-15,6.32,32.0,9.0,0.0,12.0
2023-12-18,7.75,30.0,9.0,8.0,12.0
2023-12-19,4.62,30.0,9.0,8.0,15.0
2023-12-20,1.53,17.0,9.0,0.0,12.0
2023-12-21,9.06,45.0,9.0,0.0,12.0
2023-12-22,9.9,40.0,9.0,8.0,12.0
2023-12-26,3.3,25.0,9.0,8.0,15.0
2023-12-27,8.06,32.0,9.0,8.0,12.0
2023-12-28,3.2,13.0,9.0,8.0,12.0
2023-12-29,4.78,27.0,9.0,0.0,12.0
2024-01-01,5.74,22.0,9.0,8.0,12.0
2024-01-02,1.33,13.0,9.0,0.0,12.0
2024-01-03,0.0,18.0,9.0,0.0,15.0
2024-01-04,0.0,13.0,9.0,0.0,15.0
2024-01-05,3.95,22.0,9.0,0.0,12.0
2024-01-08,7.84,30.0,9.0,8.0,12.0
2024-01-09,4.69,17.0,9.0,8.0,12.0
2024-01-10,1.75,17.0,9.0,8.0,15.0
2024-01-11,0.85,13.0,9.0,8.0,15.0
2024-01-12,5.97,22.0,9.0,8.0,12.0
2024-01-15,2.88,18.0,9.0,0.0,12.0
2024-01-16,16.47,65.0,9.0,8.0,12.0
2024-01-17,7.98,40.0,9.0,0.0,12.0
2024-01-18,0.0,17.0,9.0,0.0,15.0
2024-01-19,6.6,45.0,9.0,0.0,15.0
2024-01-23,0.0,17.0,9.0,0.0,15.0
2024-01-24,9.53,45.0,9.0,0.0,12.0
2024-01-25,4.69,17.0,9.0,8.0,12.0
2024-01-29,13.05,50.0,9.0,8.0,12.0
2024-01-30,14.18,55.0,9.0,8.0,12.0
2024-01-31,13.2,50.0,9.0,8.0,12.0
2024-02-01,8.58,32.0,9.0,8.0,12.0
2024-02-02,1.72,13.0,9.0,0.0,12.0
2024-02-05,1.86,18.0,9.0,8.0,15.0
2024-02-06,14.31,55.0,9.0,8.0,12.0
2024-02-07,16.77,65.0,9.0,8.0,12.0
2024-02-08,11.62,45.0,9.0,8.0,12.0
2024-02-09,5.05,28.0,9.0,0.0,12.0
2024-02-12,0.58,13.0,9.0,0.0,12.0
2024-02-13,1.83,18.0,9.0,0.0,12.0
2024-02-14,3.04,22.0,9.0,0.0,12.0
2024-02-15,0.9,13.0,9.0,0.0,12.0
2024-02-16,7.03,37.0,9.0,0.0,12.0
2024-02-19,3.72,23.0,9.0,0.0,12.0
2024-02-20,2.35,18.0,9.0,0.0,12.0
2024-02-21,3.07,22.0,9.0,0.0,12.0
2024-02-22,0.0,17.0,9.0,0.0,15.0
2024-02-23,0.14,22.0,9.0,0.0,15.0
2024-02-26,3.1,22.0,9.0,0.0,12.0
2024-02-27,0.0,22.0,9.0,0.0,15.0
2024-02-28,0.0,22.0,9.0,0.0,15.0
2024-02-29,19.1,70.0,9.0,18.0,12.0
2024-03-01,11.69,40.0,9.0,18.0,12.0
2024-03-04,4.82,25.0,9.0,18.0,15.0
2024-03-05,0.0,13.0,9.0,0.0,15.0
2024-03-06,0.0,13.0,9.0,0.0,12.0
2024-03-07,0.0,13.0,9.0,0.0,15.0
2024-03-11,1.22,21.0,9.0,0.0,12.0
2024-03-12,0.97,21.0,9.0,0.0,12.0
2024-03-13,1.17,24.0,9.0,0.0,12.0
2024-03-14,1.1,21.0,9.0,0.0,12.0
2024-03-15,4.58,36.0,9.0,0.0,12.0
2024-03-18,3.4,31.0,9.0,0.0,12.0
2024-03-19,0.0,21.0,9.0,0.0,15.0
2024-03-20,0.73,21.0,9.0,0.0,12.0
2024-03-21,2.67,26.0,9.0,0.0,12.0
2024-03-22,0.16,16.0,9.0,0.0,12.0
2024-03-26,2.52,26.0,9.0,0.0,12.0
2024-03-27,0.3,16.0,9.0,0.0,12.0
2024-03-28,1.47,21.0,9.0,0.0,12.0
2024-04-01,6.12,35.0,9.0,0.0,12.0
2024-04-02,2.24,30.0,9.0,0.0,15.0
2024-04-03,2.41,30.0,9.0,0.0,15.0
2024-04-04,6.15,45.0,9.0,0.0,15.0
2024-04-05,11.33,45.0,9.0,8.0,12.0
2024-04-08,7.03,40.0,9.0,8.0,15.0
2024-04-09,8.09,45.0,9.0,8.0,15.0
2024-04-10,10.79,45.0,9.0,18.0,15.0
2024-04-12,20.53,55.0,9.0,35.0,12.0
2024-04-15,11.09,40.0,9.0,25.0,15.0
2024-04-16,9.52,40.0,9.0,18.0,15.0
2024-04-18,17.49,50.0,9.0,28.0,12.0
2024-04-19,17.34,50.0,9.0,28.0,12.0
2024-04-22,10.38,40.0,9.0,8.0,12.0
2024-04-23,11.22,45.0,9.0,18.0,15.0
2024-04-24,13.74,45.0,9.0,28.0,15.0
2024-04-25,16.71,45.0,9.0,28.0,12.0
2024-04-26,17.31,40.0,9.0,35.0,12.0
2024-04-29,13.02,40.0,9.0,18.0,12.0
2024-04-30,18.61,45.0,9.0,35.0,12.0
2024-05-02,22.95,70.0,9.0,28.0,12.0
2024-05-03,12.57,40.0,9.0,18.0,12.0
2024-05-06,17.02,60.0,9.0,18.0,12.0
2024-05-07,14.09,50.0,9.0,18.0,12.0
2024-05-08,11.86,40.0,9.0,18.0,12.0
2024-05-09,39.8,85.0,9.0,55.0,4.0
2024-05-10,37.57,75.0,9.0,55.0,4.0
2024-05-13,33.04,57.0,9.0,55.0,4.0
2024-05-14,32.59,60.0,9.0,48.0,4.0
2024-05-15,40.13,67.0,9.0,70.0,4.0
2024-05-16,43.98,72.0,9.0,80.0,4.0
2024-05-17,43.06,67.0,9.0,80.0,4.0
2024-05-21,43.04,57.0,9.0,90.0,4.0
2024-05-22,42.8,47.0,9.0,100.0,4.0
2024-05-23,42.13,57.0,9.0,100.0,7.0
2024-05-24,45.02,57.0,9.0,100.0,4.0
2024-05-27,36.87,47.0,9.0,90.0,7.0
2024-05-28,40.45,52.0,9.0,100.0,7.0
2024-05-29,43.48,52.0,9.0,100.0,4.0
2024-05-30,37.17,60.0,9.0,80.0,7.0
2024-05-31,37.37,60.0,9.0,80.0,7.0
2024-06-03,41.45,65.0,9.0,90.0,7.0
2024-06-04,40.28,60.0,9.0,95.0,7.0
2024-06-05,44.53,70.0,9.0,100.0,7.0
2024-06-06,43.85,65.0,9.0,100.0,7.0
2024-06-07,44.16,65.0,9.0,100.0,7.0
2024-06-10,44.4,65.0,9.0,100.0,7.0
2024-06-11,43.56,60.0,9.0,100.0,7.0
2024-06-12,50.44,75.0,9.0,100.0,4.0
2024-06-13,49.23,70.0,9.0,100.0,4.0
2024-06-14,49.95,72.0,9.0,100.0,4.0
2024-06-18,47.65,62.0,9.0,100.0,4.0
2024-06-19,48.06,65.0,9.0,100.0,4.0
2024-06-20,44.96,52.0,9.0,100.0,4.0
