scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-12-26,6.43,31.0,0.0,0.0,4.0
2025-12-29,9.98,45.0,0.0,0.0,4.0
2025-12-30,2.63,16.0,0.0,0.0,4.0
2025-12-31,0.0,16.0,0.0,0.0,7.0
2026-01-01,0.0,16.0,0.0,0.0,7.0
2026-01-02,6.36,30.0,0.0,0.0,4.0
2026-01-05,0.85,20.0,0.0,0.0,7.0
2026-01-06,1.94,25.0,0.0,0.0,7.0
2026-01-07,3.96,33.0,0.0,0.0,7.0
2026-01-08,0.21,20.0,0.0,0.0,7.0
2026-01-09,0.0,16.0,0.0,0.0,7.0
2026-01-12,0.0,16.0,0.0,0.0,7.0
2026-01-13,2.71,30.0,0.0,0.0,7.0
2026-01-14,0.17,20.0,0.0,0.0,7.0
2026-01-15,0.11,20.0,0.0,0.0,7.0
2026-01-16,0.0,16.0,0.0,0.0,7.0
2026-01-19,0.0,16.0,0.0,0.0,7.0
2026-01-20,0.0,16.0,0.0,0.0,7.0
2026-01-21,0.0,16.0,0.0,0.0,7.0
2026-01-22,0.17,21.0,0.0,0.0,7.0
2026-01-23,0.0,9.0,0.0,0.0,7.0
2026-01-27,1.31,26.0,0.0,0.0,7.0
2026-01-28,0.84,31.0,0.0,0.0,9.0
2026-01-29,5.75,31.0,0.0,0.0,4.0
2026-01-30,2.83,19.0,0.0,0.0,4.0
2026-02-02,0.0,9.0,0.0,0.0,4.0
2026-02-03,7.26,36.0,0.0,0.0,4.0
2026-02-04,3.27,21.0,0.0,0.0,4.0
2026-02-05,4.52,26.0,0.0,0.0,4.0
2026-02-06,1.57,14.0,0.0,0.0,4.0
2026-02-09,8.96,41.0,0.0,0.0,4.0
2026-02-10,5.41,26.0,0.0,0.0,4.0
2026-02-11,0.14,26.0,0.0,0.0,9.0
2026-02-12,3.75,21.0,0.0,0.0,4.0
2026-02-13,4.26,24.0,0.0,0.0,4.0
2026-02-16,0.54,9.0,0.0,0.0,4.0
2026-02-17,3.85,21.0,0.0,0.0,4.0
2026-02-18,3.95,21.0,0.0,0.0,4.0
2026-02-19,0.0,16.0,0.0,0.0,7.0
2026-02-20,0.0,9.0,0.0,0.0,7.0
2026-02-23,0.0,9.0,0.0,0.0,7.0
2026-02-24,0.0,9.0,0.0,0.0,7.0
2026-02-25,0.59,9.0,0.0,0.0,4.0
2026-02-26,0.77,9.0,0.0,0.0,4.0
2026-02-27,0.0,9.0,0.0,0.0,7.0
2026-03-02,0.0,9.0,0.0,0.0,12.0
2026-03-04,0.0,9.0,0.0,0.0,12.0
2026-03-05,0.0,14.0,0.0,0.0,12.0
2026-03-06,0.0,9.0,0.0,0.0,12.0
2026-03-09,0.0,14.0,0.0,0.0,12.0
2026-03-10,0.0,19.0,0.0,0.0,12.0
2026-03-11,0.0,19.0,0.0,0.0,12.0
2026-03-12,0.0,9.0,0.0,0.0,12.0
2026-03-13,0.0,19.0,0.0,0.0,17.0
2026-03-16,0.0,19.0,0.0,0.0,12.0
2026-03-17,0.0,29.0,0.0,0.0,12.0
2026-03-18,6.62,33.0,0.0,0.0,4.0
2026-03-19,1.39,14.0,0.0,0.0,4.0
2026-03-20,1.77,14.0,0.0,0.0,4.0
