scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,24.69,42.0,0.0,45.0,4.0
2023-09-05,24.84,42.0,0.0,45.0,4.0
2023-09-06,24.76,42.0,0.0,45.0,4.0
2023-09-07,21.99,42.0,0.0,45.0,7.0
2023-09-08,23.41,47.0,0.0,45.0,7.0
2023-09-11,30.88,65.0,0.0,45.0,4.0
2023-09-12,20.9,28.0,0.0,45.0,4.0
2023-09-13,21.04,28.0,0.0,45.0,4.0
2023-09-14,23.27,37.0,0.0,45.0,4.0
2023-09-15,19.16,32.0,0.0,45.0,7.0
2023-09-18,19.87,23.0,0.0,45.0,4.0
2023-09-20,19.06,32.0,0.0,45.0,7.0
2023-09-21,16.82,23.0,0.0,45.0,7.0
2023-09-22,16.87,23.0,0.0,45.0,7.0
2023-09-25,24.78,43.0,0.0,45.0,4.0
2023-09-26,22.97,32.0,0.0,60.0,7.0
2023-09-27,19.12,32.0,0.0,45.0,7.0
2023-09-28,27.78,55.0,0.0,45.0,4.0
2023-09-29,43.99,85.0,0.0,78.0,4.0
2023-10-03,34.52,65.0,0.0,60.0,4.0
2023-10-04,38.83,65.0,0.0,78.0,4.0
2023-10-05,30.64,50.0,0.0,60.0,4.0
2023-10-06,35.08,50.0,0.0,78.0,4.0
2023-10-09,21.99,27.0,0.0,63.0,7.0
2023-10-10,39.87,70.0,0.0,78.0,4.0
2023-10-11,37.42,75.0,0.0,63.0,4.0
2023-10-12,40.39,60.0,0.0,88.0,4.0
2023-10-13,32.53,45.0,0.0,73.0,4.0
2023-10-16,25.45,27.0,0.0,63.0,4.0
2023-10-17,34.94,65.0,0.0,63.0,4.0
2023-10-18,26.1,27.0,0.0,78.0,7.0
2023-10-19,45.15,80.0,0.0,88.0,4.0
2023-10-20,44.9,80.0,0.0,88.0,4.0
2023-10-23,22.02,27.0,0.0,53.0,4.0
2023-10-25,36.46,65.0,0.0,73.0,4.0
2023-10-26,37.8,70.0,0.0,73.0,4.0
2023-10-27,47.38,85.0,0.0,95.0,4.0
2023-10-30,44.06,72.0,0.0,95.0,4.0
2023-10-31,43.0,75.0,0.0,88.0,4.0
2023-11-01,41.99,70.0,0.0,88.0,4.0
2023-11-02,35.72,60.0,0.0,73.0,4.0
2023-11-03,46.36,80.0,0.0,95.0,4.0
2023-11-06,42.7,65.0,0.0,95.0,4.0
2023-11-07,45.59,75.0,0.0,95.0,4.0
2023-11-08,42.91,65.0,0.0,95.0,4.0
2023-11-09,44.04,70.0,0.0,95.0,4.0
2023-11-10,40.68,57.0,0.0,95.0,4.0
2023-11-13,41.96,57.0,0.0,100.0,4.0
2023-11-15,42.21,57.0,0.0,100.0,4.0
2023-11-16,41.01,52.0,0.0,100.0,4.0
2023-11-17,40.74,52.0,0.0,100.0,4.0
2023-11-20,37.88,60.0,0.0,100.0,9.0
2023-11-21,40.92,65.0,0.0,100.0,7.0
2023-11-22,40.86,65.0,0.0,100.0,7.0
2023-11-23,38.53,60.0,0.0,95.0,7.0
2023-11-24,40.02,65.0,0.0,95.0,7.0
2023-11-28,34.55,60.0,0.0,78.0,7.0
2023-11-29,39.52,70.0,0.0,88.0,7.0
2023-11-30,48.0,80.0,0.0,100.0,4.0
2023-12-01,42.85,60.0,0.0,100.0,4.0
2023-12-04,45.45,70.0,0.0,100.0,4.0
2023-12-05,41.57,60.0,0.0,95.0,4.0
2023-12-06,38.64,60.0,0.0,95.0,7.0
2023-12-07,40.06,60.0,0.0,88.0,4.0
2023-12-08,39.8,60.0,0.0,88.0,4.0
2023-12-11,42.45,70.0,0.0,88.0,4.0
2023-12-12,44.91,80.0,0.0,88.0,4.0
2023-12-13,41.06,65.0,0.0,88.0,4.0
2023-12-14,46.23,85.0,0.0,88.0,4.0
2023-12-15,41.13,65.0,0.0,88.0,4.0
2023-12-18,36.97,60.0,0.0,88.0,7.0
