scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,39.34,65.0,0.0,80.0,4.0
2023-09-06,39.26,65.0,0.0,80.0,4.0
2023-09-07,39.49,65.0,0.0,80.0,4.0
2023-09-08,32.91,50.0,0.0,80.0,7.0
2023-09-11,32.88,50.0,0.0,80.0,7.0
2023-09-12,35.15,50.0,0.0,80.0,4.0
2023-09-13,21.54,42.0,0.0,45.0,7.0
2023-09-14,29.02,60.0,0.0,45.0,4.0
2023-09-15,26.16,60.0,0.0,45.0,7.0
2023-09-18,27.87,55.0,0.0,45.0,4.0
2023-09-20,23.56,50.0,0.0,45.0,7.0
2023-09-21,21.57,42.0,0.0,45.0,7.0
2023-09-22,24.62,42.0,0.0,45.0,4.0
2023-09-25,21.53,42.0,0.0,45.0,7.0
2023-09-26,35.47,60.0,0.0,70.0,4.0
2023-09-27,36.62,65.0,0.0,70.0,4.0
2023-09-28,23.53,50.0,0.0,45.0,7.0
2023-09-29,31.49,55.0,0.0,70.0,7.0
2023-10-03,33.27,50.0,0.0,70.0,4.0
2023-10-04,33.08,50.0,0.0,70.0,4.0
2023-10-05,38.14,70.0,0.0,70.0,4.0
2023-10-06,38.08,70.0,0.0,70.0,4.0
2023-10-09,33.74,55.0,0.0,70.0,4.0
2023-10-10,46.12,75.0,0.0,98.0,4.0
2023-10-11,43.42,62.0,0.0,100.0,4.0
2023-10-12,45.14,67.0,0.0,100.0,4.0
2023-10-13,41.03,52.0,0.0,100.0,4.0
2023-10-16,45.95,72.0,0.0,100.0,4.0
2023-10-17,40.94,52.0,0.0,100.0,4.0
2023-10-18,39.6,47.0,0.0,100.0,4.0
2023-10-19,43.15,60.0,0.0,100.0,4.0
2023-10-20,42.9,60.0,0.0,100.0,4.0
2023-10-23,33.77,47.0,0.0,100.0,9.0
2023-10-25,41.21,57.0,0.0,100.0,4.0
2023-10-26,43.3,65.0,0.0,100.0,4.0
2023-10-27,37.38,42.0,0.0,98.0,4.0
2023-10-30,37.32,42.0,0.0,98.0,4.0
2023-10-31,37.26,42.0,0.0,98.0,4.0
2023-11-01,38.74,47.0,0.0,98.0,4.0
2023-11-02,35.72,47.0,0.0,98.0,7.0
2023-11-03,42.11,60.0,0.0,98.0,4.0
2023-11-06,42.2,60.0,0.0,98.0,4.0
2023-11-07,38.84,55.0,0.0,100.0,7.0
2023-11-08,34.41,50.0,0.0,88.0,7.0
2023-11-09,30.79,42.0,0.0,70.0,4.0
2023-11-10,28.93,47.0,0.0,70.0,7.0
2023-11-13,27.71,42.0,0.0,70.0,7.0
2023-11-15,35.46,60.0,0.0,70.0,4.0
2023-11-16,28.51,42.0,0.0,60.0,4.0
2023-11-17,22.74,47.0,0.0,45.0,7.0
2023-11-20,25.88,47.0,0.0,45.0,4.0
2023-11-21,24.42,42.0,0.0,45.0,4.0
2023-11-22,19.61,23.0,0.0,45.0,4.0
2023-11-23,17.28,23.0,0.0,35.0,4.0
2023-11-24,23.52,37.0,0.0,45.0,4.0
2023-11-28,37.55,75.0,0.0,63.0,4.0
2023-11-29,31.27,50.0,0.0,63.0,4.0
2023-11-30,22.5,27.0,0.0,63.0,7.0
2023-12-01,36.1,70.0,0.0,63.0,4.0
2023-12-04,33.7,60.0,0.0,63.0,4.0
2023-12-05,26.57,50.0,0.0,45.0,4.0
2023-12-06,26.64,50.0,0.0,45.0,4.0
2023-12-07,40.06,85.0,0.0,63.0,4.0
2023-12-08,34.8,65.0,0.0,63.0,4.0
2023-12-11,45.95,72.0,0.0,100.0,4.0
2023-12-12,43.41,62.0,0.0,100.0,4.0
2023-12-13,45.81,72.0,0.0,100.0,4.0
2023-12-14,43.48,62.0,0.0,100.0,4.0
2023-12-15,40.88,52.0,0.0,100.0,4.0
2023-12-18,40.97,52.0,0.0,100.0,4.0
2023-12-19,39.87,47.0,0.0,100.0,4.0
2023-12-20,43.75,65.0,0.0,100.0,4.0
2023-12-21,45.42,70.0,0.0,100.0,4.0
2023-12-22,45.35,70.0,0.0,100.0,4.0
2023-12-26,39.87,60.0,0.0,100.0,7.0
2023-12-27,39.7,60.0,0.0,100.0,7.0
2023-12-28,42.75,60.0,0.0,100.0,4.0
2023-12-29,45.34,70.0,0.0,100.0,4.0
2024-01-01,46.22,72.0,0.0,100.0,4.0
2024-01-02,44.34,65.0,0.0,100.0,4.0
2024-01-03,43.36,60.0,0.0,100.0,4.0
2024-01-04,44.68,65.0,0.0,100.0,4.0
2024-01-05,44.56,65.0,0.0,100.0,4.0
2024-01-08,44.8,65.0,0.0,100.0,4.0
2024-01-09,46.06,70.0,0.0,100.0,4.0
2024-01-10,46.05,70.0,0.0,100.0,4.0
2024-01-11,47.27,75.0,0.0,100.0,4.0
2024-01-12,47.1,75.0,0.0,100.0,4.0
2024-01-15,44.49,65.0,0.0,100.0,4.0
2024-01-16,37.08,60.0,0.0,88.0,7.0
2024-01-17,37.0,60.0,0.0,88.0,7.0
2024-01-18,37.34,60.0,0.0,88.0,7.0
2024-01-19,46.56,75.0,0.0,98.0,4.0
2024-01-23,18.22,38.0,0.0,45.0,9.0
2024-01-24,45.11,70.0,0.0,98.0,4.0
2024-01-25,42.94,60.0,0.0,98.0,4.0
2024-01-29,43.09,60.0,0.0,100.0,4.0
2024-01-30,45.21,70.0,0.0,98.0,4.0
2024-01-31,38.38,70.0,0.0,70.0,4.0
2024-02-01,41.56,65.0,0.0,88.0,4.0
2024-02-02,42.82,70.0,0.0,88.0,4.0
2024-02-05,43.99,75.0,0.0,88.0,4.0
2024-02-06,35.42,60.0,0.0,70.0,4.0
2024-02-07,49.18,85.0,0.0,98.0,4.0
2024-02-08,40.08,60.0,0.0,88.0,4.0
2024-02-09,45.04,80.0,0.0,88.0,4.0
2024-02-12,34.74,60.0,0.0,70.0,4.0
2024-02-13,39.55,80.0,0.0,70.0,4.0
2024-02-14,31.79,60.0,0.0,70.0,7.0
2024-02-15,44.41,70.0,0.0,98.0,4.0
2024-02-16,47.77,80.0,0.0,100.0,4.0
2024-02-19,44.13,65.0,0.0,100.0,4.0
2024-02-20,42.45,60.0,0.0,98.0,4.0
2024-02-21,39.51,60.0,0.0,100.0,7.0
2024-02-22,38.86,60.0,0.0,98.0,7.0
2024-02-23,42.43,60.0,0.0,100.0,4.0
2024-02-26,40.64,65.0,0.0,100.0,7.0
2024-02-27,45.79,75.0,0.0,100.0,4.0
2024-02-28,42.56,65.0,0.0,98.0,4.0
2024-02-29,38.46,60.0,0.0,98.0,7.0
2024-03-01,39.94,65.0,0.0,98.0,7.0
2024-03-04,44.16,70.0,0.0,98.0,4.0
2024-03-05,36.12,60.0,0.0,88.0,7.0
2024-03-06,29.49,42.0,0.0,70.0,4.0
2024-03-07,27.33,33.0,0.0,70.0,4.0
2024-03-11,17.12,23.0,0.0,60.0,9.0
2024-03-12,11.57,33.0,0.0,10.0,4.0
2024-03-13,6.23,34.0,0.0,10.0,9.0
2024-03-14,14.01,43.0,0.0,10.0,4.0
2024-03-15,10.14,28.0,0.0,10.0,4.0
2024-03-18,10.29,28.0,0.0,10.0,4.0
2024-03-19,12.53,23.0,0.0,25.0,4.0
2024-03-20,9.99,28.0,0.0,10.0,4.0
2024-03-21,7.28,28.0,0.0,10.0,7.0
2024-03-22,11.48,33.0,0.0,10.0,4.0
2024-03-26,0.0,14.0,0.0,10.0,17.0
2024-03-27,10.24,29.0,0.0,10.0,4.0
2024-03-28,3.83,4.0,0.0,10.0,4.0
2024-04-01,9.21,33.0,0.0,10.0,7.0
2024-04-02,12.25,33.0,0.0,10.0,4.0
2024-04-03,13.77,37.0,0.0,10.0,4.0
2024-04-04,22.02,45.0,0.0,35.0,4.0
2024-04-05,20.84,40.0,0.0,35.0,4.0
2024-04-08,24.64,55.0,0.0,35.0,4.0
2024-04-09,19.38,35.0,0.0,35.0,4.0
2024-04-10,17.6,40.0,0.0,35.0,7.0
2024-04-12,10.83,27.0,0.0,10.0,4.0
2024-04-15,16.99,27.0,0.0,35.0,4.0
2024-04-16,8.94,23.0,0.0,18.0,7.0
2024-04-18,13.01,28.0,0.0,18.0,4.0
2024-04-19,12.7,28.0,0.0,18.0,4.0
2024-04-22,8.97,23.0,0.0,18.0,7.0
2024-04-23,14.69,33.0,0.0,18.0,4.0
2024-04-24,9.17,23.0,0.0,18.0,7.0
2024-04-25,8.98,23.0,0.0,18.0,7.0
2024-04-26,23.31,50.0,0.0,35.0,4.0
2024-04-29,25.81,60.0,0.0,35.0,4.0
2024-04-30,16.59,35.0,0.0,35.0,7.0
2024-05-02,23.14,50.0,0.0,35.0,4.0
2024-05-03,19.26,35.0,0.0,35.0,4.0
2024-05-06,14.44,35.0,0.0,18.0,4.0
2024-05-07,10.03,27.0,0.0,10.0,4.0
2024-05-08,6.01,23.0,0.0,10.0,7.0
2024-05-09,0.0,8.0,0.0,10.0,20.0
2024-05-10,0.0,13.0,0.0,10.0,12.0
2024-05-13,0.0,13.0,0.0,10.0,12.0
2024-05-14,12.72,37.0,0.0,10.0,4.0
2024-05-15,11.47,32.0,0.0,10.0,4.0
2024-05-16,0.0,8.0,0.0,10.0,15.0
2024-05-17,0.0,8.0,0.0,10.0,12.0
2024-05-21,0.0,8.0,0.0,10.0,12.0
2024-05-22,0.0,8.0,0.0,10.0,15.0
2024-05-23,0.81,22.0,0.0,10.0,12.0
2024-05-24,11.51,32.0,0.0,10.0,4.0
2024-05-27,0.0,8.0,0.0,10.0,12.0
2024-05-28,0.0,13.0,0.0,10.0,12.0
2024-05-29,1.87,28.0,0.0,10.0,12.0
2024-05-30,0.34,23.0,0.0,10.0,12.0
2024-05-31,0.0,8.0,0.0,10.0,12.0
2024-06-03,6.12,45.0,0.0,10.0,12.0
2024-06-04,0.0,8.0,0.0,0.0,17.0
2024-06-05,1.73,28.0,0.0,10.0,12.0
2024-06-06,4.07,37.0,0.0,10.0,12.0
2024-06-07,1.34,17.0,0.0,18.0,12.0
2024-06-10,6.05,35.0,0.0,18.0,12.0
2024-06-11,4.83,30.0,0.0,18.0,12.0
2024-06-12,24.37,75.0,0.0,18.0,4.0
2024-06-13,28.78,75.0,0.0,35.0,4.0
2024-06-14,36.35,85.0,0.0,55.0,4.0
2024-06-18,38.08,67.0,0.0,80.0,4.0
2024-06-19,25.91,50.0,0.0,70.0,9.0
2024-06-20,41.66,80.0,0.0,80.0,4.0
2024-06-21,33.99,50.0,0.0,80.0,4.0
2024-06-24,34.08,50.0,0.0,80.0,4.0
2024-06-25,43.0,85.0,0.0,80.0,4.0
2024-06-26,37.93,65.0,0.0,80.0,4.0
2024-06-27,24.65,50.0,0.0,55.0,7.0
2024-06-28,30.87,50.0,0.0,80.0,7.0
2024-07-01,30.2,55.0,0.0,60.0,4.0
2024-07-02,32.44,55.0,0.0,80.0,7.0
2024-07-03,28.63,50.0,0.0,70.0,7.0
2024-07-04,26.18,55.0,0.0,55.0,7.0
2024-07-05,30.32,60.0,0.0,55.0,4.0
2024-07-08,19.68,50.0,0.0,35.0,7.0
2024-07-09,25.23,60.0,0.0,35.0,4.0
2024-07-10,18.08,42.0,0.0,25.0,4.0
2024-07-11,23.44,70.0,0.0,18.0,4.0
2024-07-12,12.79,47.0,0.0,0.0,4.0
2024-07-15,14.46,55.0,0.0,10.0,7.0
2024-07-16,11.21,42.0,0.0,10.0,7.0
2024-07-18,15.28,47.0,0.0,10.0,4.0
2024-07-19,15.21,48.0,0.0,10.0,4.0
2024-07-22,12.9,38.0,0.0,10.0,4.0
2024-07-23,0.0,8.0,0.0,10.0,12.0
2024-07-24,1.65,23.0,0.0,10.0,12.0
2024-07-25,0.0,8.0,0.0,10.0,12.0
2024-07-26,0.0,8.0,0.0,10.0,12.0
2024-07-29,0.0,13.0,0.0,0.0,12.0
2024-07-30,25.59,75.0,0.0,20.0,4.0
2024-07-31,19.39,60.0,0.0,10.0,4.0
2024-08-01,0.0,18.0,0.0,0.0,17.0
2024-08-02,20.18,75.0,0.0,0.0,4.0
2024-08-05,0.0,18.0,0.0,0.0,17.0
2024-08-06,0.0,8.0,0.0,0.0,12.0
2024-08-07,0.0,8.0,0.0,0.0,12.0
2024-08-08,0.0,8.0,0.0,0.0,15.0
2024-08-09,0.0,8.0,0.0,0.0,12.0
2024-08-12,0.0,13.0,0.0,0.0,12.0
2024-08-13,0.0,8.0,0.0,0.0,12.0
2024-08-14,0.0,8.0,0.0,0.0,20.0
2024-08-16,0.0,13.0,0.0,0.0,15.0
2024-08-19,0.0,18.0,0.0,0.0,12.0
2024-08-20,0.0,22.0,0.0,0.0,12.0
2024-08-21,1.61,22.0,0.0,10.0,12.0
2024-08-22,0.0,12.0,0.0,0.0,15.0
2024-08-23,0.0,17.0,0.0,0.0,12.0
2024-08-26,0.0,12.0,0.0,0.0,15.0
2024-08-27,0.0,12.0,0.0,10.0,15.0
2024-08-28,0.0,8.0,0.0,0.0,12.0
2024-08-29,0.0,8.0,0.0,0.0,12.0
2024-08-30,0.0,8.0,0.0,0.0,15.0
2024-09-02,0.0,23.0,0.0,0.0,12.0
2024-09-03,0.0,8.0,0.0,10.0,12.0
2024-09-04,3.72,32.0,0.0,10.0,12.0
2024-09-05,3.07,27.0,0.0,10.0,12.0
2024-09-06,0.0,8.0,0.0,0.0,12.0
2024-09-09,0.0,13.0,0.0,0.0,12.0
2024-09-10,0.0,13.0,0.0,0.0,12.0
2024-09-11,0.0,8.0,0.0,0.0,12.0
2024-09-12,0.0,18.0,0.0,8.0,12.0
2024-09-13,0.0,8.0,0.0,8.0,15.0
2024-09-16,0.0,13.0,0.0,0.0,12.0
2024-09-17,0.57,28.0,0.0,0.0,12.0
2024-09-18,0.0,27.0,0.0,0.0,12.0
2024-09-19,0.0,8.0,0.0,0.0,12.0
2024-09-20,0.0,23.0,0.0,0.0,12.0
2024-09-23,0.0,8.0,0.0,0.0,12.0
2024-09-24,0.0,22.0,0.0,0.0,12.0
2024-09-25,0.0,8.0,0.0,0.0,15.0
2024-09-26,0.0,22.0,0.0,0.0,12.0
2024-09-27,0.0,8.0,0.0,0.0,15.0
2024-09-30,0.0,8.0,0.0,0.0,12.0
2024-10-01,0.0,13.0,0.0,0.0,12.0
2024-10-03,0.0,8.0,0.0,0.0,12.0
2024-10-04,0.0,18.0,0.0,0.0,12.0
2024-10-07,0.0,14.0,0.0,0.0,17.0
2024-10-08,0.0,28.0,0.0,0.0,12.0
2024-10-09,0.0,18.0,0.0,0.0,12.0
2024-10-10,3.62,35.0,0.0,8.0,12.0
2024-10-11,2.35,30.0,0.0,8.0,12.0
2024-10-14,4.95,40.0,0.0,8.0,12.0
2024-10-15,9.89,50.0,0.0,18.0,12.0
2024-10-16,5.13,40.0,0.0,8.0,12.0
2024-10-17,3.5,35.0,0.0,8.0,12.0
2024-10-18,9.74,50.0,0.0,18.0,12.0
2024-10-21,0.0,12.0,0.0,8.0,12.0
2024-10-22,0.0,13.0,0.0,0.0,17.0
2024-10-23,0.0,18.0,0.0,0.0,12.0
2024-10-24,0.0,8.0,0.0,0.0,15.0
2024-10-25,0.0,18.0,0.0,0.0,17.0
2024-10-28,0.0,23.0,0.0,0.0,12.0
2024-10-29,0.0,8.0,0.0,0.0,15.0
2024-10-30,0.0,22.0,0.0,0.0,12.0
2024-10-31,3.92,30.0,0.0,18.0,12.0
2024-11-01,0.0,20.0,0.0,18.0,15.0
2024-11-04,0.0,12.0,0.0,18.0,12.0
2024-11-05,4.51,30.0,0.0,18.0,12.0
2024-11-06,9.89,50.0,0.0,18.0,12.0
2024-11-07,1.55,35.0,0.0,0.0,12.0
2024-11-08,5.17,50.0,0.0,0.0,12.0
2024-11-11,1.2,35.0,0.0,0.0,12.0
2024-11-12,0.0,12.0,0.0,10.0,12.0
2024-11-13,0.0,13.0,0.0,0.0,17.0
2024-11-14,0.0,8.0,0.0,0.0,12.0
2024-11-18,0.0,8.0,0.0,0.0,12.0
2024-11-19,0.0,28.0,0.0,0.0,12.0
2024-11-21,0.0,8.0,0.0,0.0,17.0
2024-11-22,0.0,18.0,0.0,0.0,12.0
2024-11-25,0.0,8.0,0.0,0.0,12.0
2024-11-26,0.0,13.0,0.0,8.0,12.0
2024-11-27,0.0,13.0,0.0,0.0,12.0
2024-11-28,0.0,18.0,0.0,0.0,12.0
2024-11-29,0.0,18.0,0.0,0.0,17.0
2024-12-02,0.0,23.0,0.0,0.0,12.0
2024-12-03,0.0,8.0,0.0,0.0,12.0
2024-12-04,10.03,60.0,0.0,8.0,12.0
2024-12-05,2.8,40.0,0.0,0.0,12.0
2024-12-06,3.34,40.0,0.0,0.0,12.0
2024-12-09,0.0,20.0,0.0,0.0,12.0
2024-12-10,0.0,12.0,0.0,0.0,12.0
2024-12-11,0.0,17.0,0.0,0.0,15.0
2024-12-12,0.0,17.0,0.0,0.0,12.0
2024-12-13,0.0,12.0,0.0,8.0,15.0
2024-12-16,0.0,17.0,0.0,8.0,15.0
2024-12-17,0.0,8.0,0.0,8.0,17.0
2024-12-18,0.0,8.0,0.0,0.0,12.0
2024-12-19,0.0,8.0,0.0,0.0,17.0
2024-12-20,1.08,33.0,0.0,0.0,12.0
2024-12-23,0.0,13.0,0.0,0.0,12.0
2024-12-24,0.0,13.0,0.0,0.0,12.0
2024-12-26,0.0,13.0,0.0,0.0,12.0
2024-12-27,0.0,13.0,0.0,0.0,15.0
2024-12-30,0.0,8.0,0.0,0.0,17.0
2024-12-31,0.0,8.0,0.0,0.0,12.0
2025-01-01,0.0,28.0,0.0,0.0,12.0
2025-01-02,0.0,18.0,0.0,0.0,12.0
2025-01-03,0.0,24.0,0.0,0.0,17.0
2025-01-06,0.0,24.0,0.0,0.0,30.0
2025-01-07,0.0,9.0,0.0,0.0,33.0
2025-01-08,0.0,9.0,0.0,0.0,33.0
2025-01-09,0.0,9.0,0.0,0.0,33.0
2025-01-10,0.0,9.0,0.0,0.0,33.0
2025-01-13,0.0,9.0,0.0,0.0,33.0
2025-01-14,0.0,9.0,0.0,0.0,28.0
2025-01-15,0.0,9.0,0.0,0.0,33.0
2025-01-16,0.0,9.0,0.0,0.0,33.0
2025-01-17,0.0,34.0,0.0,0.0,25.0
2025-01-20,0.0,34.0,0.0,0.0,25.0
2025-01-21,0.0,29.0,0.0,0.0,25.0
2025-01-22,0.0,9.0,0.0,0.0,33.0
2025-01-23,0.0,9.0,0.0,0.0,33.0
2025-01-24,0.0,9.0,0.0,0.0,33.0
2025-01-27,0.0,9.0,0.0,0.0,33.0
2025-01-28,0.0,9.0,0.0,0.0,33.0
2025-01-29,0.0,29.0,0.0,0.0,25.0
2025-01-30,0.0,14.0,0.0,0.0,25.0
2025-01-31,0.0,19.0,0.0,0.0,25.0
2025-02-01,0.0,19.0,0.0,0.0,20.0
2025-02-03,0.0,19.0,0.0,0.0,17.0
2025-02-04,0.0,18.0,0.0,0.0,17.0
2025-02-05,0.0,13.0,0.0,0.0,20.0
2025-02-06,0.0,8.0,0.0,0.0,20.0
2025-02-07,0.0,8.0,0.0,0.0,20.0
2025-02-10,0.0,13.0,0.0,0.0,20.0
2025-02-11,0.0,8.0,0.0,0.0,20.0
2025-02-12,0.0,8.0,0.0,8.0,20.0
2025-02-13,0.0,13.0,0.0,0.0,20.0
2025-02-14,0.0,13.0,0.0,0.0,20.0
2025-02-17,0.0,23.0,0.0,0.0,17.0
2025-02-18,0.0,13.0,0.0,0.0,20.0
2025-02-19,0.0,13.0,0.0,0.0,20.0
2025-02-20,0.0,18.0,0.0,8.0,20.0
2025-02-21,0.0,18.0,0.0,25.0,20.0
2025-02-24,0.0,18.0,0.0,25.0,20.0
2025-02-25,0.0,13.0,0.0,25.0,20.0
2025-02-27,0.0,13.0,0.0,25.0,20.0
2025-02-28,0.0,8.0,0.0,25.0,20.0
2025-03-03,0.0,13.0,0.0,18.0,20.0
2025-03-04,0.0,13.0,0.0,0.0,20.0
2025-03-05,0.0,13.0,0.0,0.0,20.0
2025-03-06,0.0,23.0,0.0,0.0,17.0
2025-03-07,0.0,13.0,0.0,0.0,17.0
2025-03-10,0.0,28.0,0.0,0.0,17.0
2025-03-11,0.0,33.0,0.0,0.0,17.0
2025-03-12,0.0,33.0,0.0,0.0,17.0
2025-03-13,0.0,23.0,0.0,0.0,17.0
2025-03-17,0.0,18.0,0.0,0.0,17.0
2025-03-18,0.0,13.0,0.0,0.0,20.0
2025-03-19,0.0,9.0,0.0,0.0,22.0
2025-03-20,0.0,14.0,0.0,0.0,30.0
2025-03-21,0.0,34.0,0.0,0.0,17.0
2025-03-24,0.0,33.0,0.0,0.0,17.0
2025-03-25,0.0,28.0,0.0,0.0,17.0
2025-03-26,0.0,28.0,0.0,0.0,17.0
2025-03-27,0.0,18.0,0.0,0.0,17.0
2025-03-28,0.0,16.0,0.0,0.0,17.0
2025-04-01,0.0,23.0,0.0,0.0,20.0
2025-04-02,0.0,23.0,0.0,0.0,20.0
2025-04-03,0.0,27.0,0.0,0.0,20.0
2025-04-04,0.0,17.0,0.0,0.0,17.0
2025-04-07,0.0,22.0,0.0,0.0,20.0
2025-04-08,0.0,45.0,0.0,0.0,20.0
2025-04-09,0.0,45.0,0.0,8.0,20.0
2025-04-11,0.0,45.0,0.0,8.0,17.0
2025-04-15,0.0,45.0,0.0,18.0,20.0
2025-04-16,5.48,50.0,0.0,25.0,17.0
2025-04-17,5.58,40.0,0.0,35.0,17.0
2025-04-21,3.51,27.0,0.0,50.0,20.0
2025-04-22,2.56,27.0,0.0,35.0,17.0
2025-04-23,3.81,32.0,0.0,35.0,17.0
2025-04-24,1.51,35.0,0.0,35.0,20.0
2025-04-25,4.15,35.0,0.0,35.0,17.0
2025-04-28,6.58,45.0,0.0,35.0,17.0
2025-04-29,4.23,35.0,0.0,35.0,17.0
2025-04-30,0.97,35.0,0.0,35.0,20.0
2025-05-02,2.79,27.0,0.0,50.0,20.0
2025-05-05,0.0,27.0,0.0,35.0,20.0
2025-05-06,6.63,32.0,0.0,50.0,17.0
2025-05-07,0.0,27.0,0.0,18.0,20.0
2025-05-08,0.0,13.0,0.0,18.0,17.0
2025-05-09,0.0,8.0,0.0,8.0,20.0
2025-05-12,0.0,13.0,0.0,8.0,17.0
2025-05-13,0.0,38.0,0.0,0.0,17.0
2025-05-14,0.0,8.0,0.0,0.0,20.0
2025-05-15,0.0,8.0,0.0,0.0,17.0
2025-05-16,0.0,13.0,0.0,0.0,20.0
2025-05-19,0.0,32.0,0.0,0.0,17.0
2025-05-20,0.0,32.0,0.0,0.0,20.0
2025-05-21,0.0,40.0,0.0,10.0,17.0
2025-05-22,0.88,45.0,0.0,10.0,17.0
