scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-11-16,8.58,40.0,10.0,0.0,12.0
2023-11-17,16.95,45.0,10.0,8.0,7.0
2023-11-20,15.68,40.0,10.0,8.0,7.0
2023-11-21,15.66,40.0,10.0,8.0,7.0
2023-11-22,31.76,65.0,10.0,35.0,4.0
2023-11-23,31.85,50.0,10.0,50.0,4.0
2023-11-24,26.38,40.0,10.0,50.0,7.0
2023-11-28,29.26,40.0,10.0,50.0,4.0
2023-11-29,26.15,40.0,10.0,50.0,7.0
2023-11-30,22.36,40.0,10.0,35.0,7.0
2023-12-01,18.12,40.0,10.0,18.0,7.0
2023-12-04,28.12,60.0,10.0,25.0,4.0
2023-12-05,21.21,40.0,10.0,18.0,4.0
2023-12-06,19.4,45.0,10.0,18.0,7.0
2023-12-07,19.47,45.0,10.0,18.0,7.0
2023-12-08,19.47,45.0,10.0,18.0,7.0
2023-12-11,18.41,40.0,10.0,18.0,7.0
2023-12-12,19.55,45.0,10.0,18.0,7.0
2023-12-13,16.23,40.0,10.0,10.0,7.0
2023-12-14,14.45,32.0,10.0,10.0,7.0
2023-12-15,39.54,70.0,10.0,60.0,4.0
2023-12-18,20.24,55.0,10.0,18.0,9.0
2023-12-19,21.28,40.0,10.0,18.0,4.0
2023-12-20,19.74,37.0,10.0,18.0,4.0
2023-12-21,15.17,37.0,10.0,10.0,7.0
2023-12-22,22.95,60.0,10.0,18.0,7.0
2023-12-26,15.88,40.0,10.0,10.0,7.0
2023-12-27,15.88,40.0,10.0,10.0,7.0
2023-12-28,15.86,40.0,10.0,10.0,7.0
2023-12-29,19.11,45.0,10.0,18.0,7.0
2024-01-01,18.25,40.0,10.0,18.0,7.0
2024-01-02,16.01,40.0,10.0,10.0,7.0
2024-01-03,19.41,45.0,10.0,18.0,7.0
2024-01-04,14.82,32.0,10.0,10.0,7.0
2024-01-05,14.59,32.0,10.0,10.0,7.0
2024-01-08,15.6,37.0,10.0,10.0,7.0
2024-01-09,14.51,32.0,10.0,10.0,7.0
2024-01-10,19.66,45.0,10.0,18.0,7.0
2024-01-11,16.73,32.0,10.0,18.0,7.0
2024-01-12,16.72,32.0,10.0,18.0,7.0
2024-01-15,12.09,32.0,10.0,0.0,7.0
2024-01-16,28.31,57.0,10.0,28.0,4.0
2024-01-17,28.6,60.0,10.0,28.0,4.0
2024-01-18,19.84,45.0,10.0,18.0,7.0
2024-01-19,25.55,55.0,10.0,18.0,4.0
2024-01-23,26.05,60.0,10.0,18.0,4.0
2024-01-24,36.59,65.0,10.0,53.0,4.0
2024-01-25,31.65,45.0,10.0,53.0,4.0
2024-01-29,21.83,40.0,10.0,18.0,4.0
2024-01-30,19.93,32.0,10.0,18.0,4.0
2024-01-31,18.8,27.0,10.0,18.0,4.0
2024-02-01,24.36,50.0,10.0,18.0,4.0
2024-02-02,17.89,32.0,10.0,10.0,4.0
2024-02-05,14.14,18.0,10.0,10.0,4.0
2024-02-06,14.28,22.0,10.0,18.0,7.0
2024-02-07,17.27,22.0,10.0,18.0,4.0
2024-02-08,12.96,17.0,10.0,18.0,7.0
2024-02-09,16.9,22.0,10.0,18.0,4.0
2024-02-12,21.8,45.0,10.0,18.0,4.0
2024-02-13,14.79,17.0,10.0,18.0,4.0
2024-02-14,12.15,23.0,10.0,0.0,4.0
2024-02-15,12.2,23.0,10.0,0.0,4.0
2024-02-16,14.83,23.0,10.0,10.0,4.0
2024-02-19,10.73,18.0,10.0,10.0,7.0
2024-02-20,13.51,18.0,10.0,10.0,4.0
2024-02-21,15.8,28.0,10.0,10.0,4.0
2024-02-22,6.54,13.0,10.0,0.0,7.0
2024-02-23,23.84,50.0,10.0,20.0,4.0
2024-02-26,18.75,40.0,10.0,10.0,4.0
2024-02-27,14.27,23.0,10.0,10.0,4.0
2024-02-28,8.19,13.0,10.0,10.0,7.0
2024-02-29,10.65,22.0,10.0,10.0,7.0
2024-03-01,11.47,13.0,10.0,10.0,4.0
2024-03-04,16.36,33.0,10.0,10.0,4.0
2024-03-05,9.54,18.0,10.0,10.0,7.0
2024-03-06,13.16,35.0,10.0,10.0,7.0
2024-03-07,7.84,13.0,10.0,10.0,7.0
2024-03-11,12.84,35.0,10.0,10.0,7.0
2024-03-12,13.71,30.0,10.0,20.0,7.0
2024-03-13,1.25,13.0,10.0,10.0,12.0
2024-03-14,10.37,27.0,10.0,10.0,7.0
2024-03-15,4.05,13.0,10.0,0.0,7.0
2024-03-18,10.05,27.0,10.0,10.0,7.0
2024-03-19,6.3,13.0,10.0,10.0,7.0
2024-03-20,8.52,22.0,10.0,10.0,7.0
2024-03-21,19.28,35.0,10.0,38.0,7.0
2024-03-22,11.82,25.0,10.0,18.0,7.0
2024-03-26,7.59,17.0,10.0,10.0,7.0
2024-03-27,12.2,35.0,10.0,10.0,7.0
2024-03-28,7.72,17.0,10.0,10.0,7.0
2024-04-01,15.49,22.0,10.0,18.0,4.0
2024-04-02,9.4,17.0,10.0,10.0,7.0
2024-04-03,15.01,30.0,10.0,18.0,7.0
2024-04-04,30.7,60.0,10.0,38.0,4.0
2024-04-05,14.03,25.0,10.0,18.0,7.0
2024-04-08,16.22,30.0,10.0,10.0,4.0
2024-04-09,14.8,17.0,10.0,18.0,4.0
2024-04-10,12.92,17.0,10.0,10.0,4.0
2024-04-12,14.24,22.0,10.0,10.0,4.0
2024-04-15,14.67,17.0,10.0,18.0,4.0
2024-04-16,19.75,37.0,10.0,18.0,4.0
2024-04-18,21.62,45.0,10.0,18.0,4.0
2024-04-19,12.46,17.0,10.0,10.0,4.0
2024-04-22,9.95,17.0,10.0,8.0,7.0
2024-04-23,17.93,37.0,10.0,8.0,4.0
2024-04-24,21.7,50.0,10.0,10.0,4.0
2024-04-25,16.14,40.0,10.0,10.0,7.0
2024-04-26,22.42,45.0,10.0,18.0,4.0
2024-04-29,13.45,17.0,10.0,10.0,4.0
2024-04-30,23.78,50.0,10.0,18.0,4.0
2024-05-02,24.74,55.0,10.0,18.0,4.0
2024-05-03,24.4,55.0,10.0,18.0,4.0
2024-05-06,23.92,55.0,10.0,18.0,4.0
2024-05-07,18.15,42.0,10.0,10.0,4.0
2024-05-08,12.8,32.0,10.0,10.0,7.0
2024-05-09,8.43,17.0,10.0,10.0,7.0
2024-05-10,17.82,45.0,10.0,18.0,7.0
2024-05-13,8.49,17.0,10.0,10.0,7.0
2024-05-14,17.82,45.0,10.0,18.0,7.0
2024-05-15,21.05,45.0,10.0,18.0,4.0
2024-05-16,19.93,40.0,10.0,18.0,4.0
2024-05-17,26.5,45.0,10.0,38.0,4.0
2024-05-21,26.59,45.0,10.0,38.0,4.0
2024-05-22,21.31,45.0,10.0,18.0,4.0
2024-05-23,29.95,60.0,10.0,38.0,4.0
2024-05-24,27.28,50.0,10.0,38.0,4.0
2024-05-27,27.34,50.0,10.0,38.0,4.0
2024-05-28,28.17,55.0,10.0,38.0,4.0
2024-05-29,21.37,40.0,10.0,38.0,7.0
2024-05-30,20.34,45.0,10.0,18.0,4.0
2024-05-31,26.7,50.0,10.0,38.0,4.0
2024-06-03,28.62,55.0,10.0,38.0,4.0
2024-06-04,33.55,70.0,10.0,48.0,4.0
2024-06-05,21.19,40.0,10.0,38.0,7.0
2024-06-06,21.89,40.0,10.0,38.0,7.0
2024-06-07,37.64,57.0,10.0,70.0,4.0
2024-06-10,33.95,42.0,10.0,70.0,4.0
2024-06-11,30.57,42.0,10.0,55.0,4.0
2024-06-12,40.92,57.0,10.0,80.0,4.0
2024-06-13,37.16,52.0,10.0,70.0,4.0
2024-06-14,43.65,67.0,10.0,80.0,4.0
2024-06-18,42.89,62.0,10.0,80.0,4.0
2024-06-19,41.38,57.0,10.0,80.0,4.0
2024-06-20,39.09,47.0,10.0,80.0,4.0
2024-06-21,39.13,60.0,10.0,80.0,7.0
2024-06-24,42.4,60.0,10.0,80.0,4.0
2024-06-25,40.55,65.0,10.0,80.0,7.0
2024-06-26,37.75,65.0,10.0,70.0,7.0
2024-06-27,43.08,65.0,10.0,80.0,4.0
2024-06-28,40.44,65.0,10.0,80.0,7.0
2024-07-01,42.44,60.0,10.0,80.0,4.0
2024-07-02,43.42,65.0,10.0,80.0,4.0
2024-07-03,50.33,72.0,10.0,100.0,4.0
2024-07-04,47.6,62.0,10.0,100.0,4.0
2024-07-05,45.05,52.0,10.0,100.0,4.0
2024-07-08,46.01,57.0,10.0,100.0,4.0
2024-07-09,44.34,70.0,10.0,100.0,9.0
2024-07-10,48.97,70.0,10.0,100.0,4.0
2024-07-11,44.78,65.0,10.0,100.0,7.0
2024-07-12,40.35,60.0,10.0,88.0,7.0
2024-07-15,43.03,70.0,10.0,88.0,7.0
2024-07-16,43.13,60.0,10.0,98.0,7.0
2024-07-18,45.85,70.0,10.0,100.0,7.0
2024-07-19,48.34,70.0,10.0,100.0,4.0
2024-07-22,43.03,60.0,10.0,100.0,7.0
2024-07-23,42.67,60.0,10.0,100.0,7.0
2024-07-24,47.48,70.0,10.0,95.0,4.0
2024-07-25,38.03,60.0,10.0,80.0,7.0
2024-07-26,44.8,65.0,10.0,100.0,7.0
