scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,22.92,27.0,12.0,45.0,7.0
2023-09-06,32.83,55.0,12.0,45.0,4.0
2023-09-07,22.79,27.0,12.0,45.0,7.0
2023-09-08,22.96,27.0,12.0,45.0,7.0
2023-09-11,21.38,27.0,12.0,38.0,7.0
2023-09-12,21.95,40.0,12.0,20.0,4.0
2023-09-13,19.89,27.0,12.0,35.0,7.0
2023-09-14,21.37,32.0,12.0,35.0,7.0
2023-09-15,37.99,70.0,12.0,63.0,7.0
2023-09-18,24.48,27.0,12.0,53.0,7.0
2023-09-20,21.06,32.0,12.0,35.0,7.0
2023-09-21,23.54,32.0,12.0,45.0,7.0
2023-09-22,19.86,27.0,12.0,35.0,7.0
2023-09-25,40.78,70.0,12.0,63.0,4.0
2023-09-26,22.43,27.0,12.0,45.0,7.0
2023-09-27,24.61,27.0,12.0,53.0,7.0
2023-09-28,17.38,32.0,12.0,20.0,7.0
2023-09-29,25.62,37.0,12.0,35.0,4.0
2023-10-03,21.49,32.0,12.0,35.0,7.0
2023-10-04,30.55,60.0,12.0,45.0,7.0
2023-10-05,20.12,27.0,12.0,35.0,7.0
2023-10-06,21.44,32.0,12.0,35.0,7.0
2023-10-09,41.62,75.0,12.0,63.0,4.0
2023-10-10,39.57,65.0,12.0,63.0,4.0
2023-10-11,36.62,65.0,12.0,63.0,7.0
2023-10-12,34.36,60.0,12.0,45.0,4.0
2023-10-13,47.51,85.0,12.0,73.0,4.0
2023-10-16,38.29,60.0,12.0,73.0,7.0
2023-10-17,33.12,65.0,12.0,35.0,4.0
2023-10-18,33.15,50.0,12.0,63.0,7.0
2023-10-19,33.05,50.0,12.0,63.0,7.0
2023-10-20,36.01,70.0,12.0,43.0,4.0
2023-10-23,21.11,23.0,12.0,35.0,4.0
2023-10-25,24.57,38.0,12.0,35.0,4.0
2023-10-26,40.85,85.0,12.0,53.0,4.0
2023-10-27,46.45,85.0,12.0,73.0,4.0
2023-10-30,38.78,65.0,12.0,63.0,4.0
2023-10-31,48.05,85.0,12.0,80.0,4.0
2023-11-01,48.49,72.0,12.0,95.0,4.0
2023-11-02,41.48,70.0,12.0,88.0,9.0
2023-11-03,40.41,60.0,12.0,73.0,4.0
2023-11-06,52.21,85.0,12.0,95.0,4.0
2023-11-07,36.74,50.0,12.0,88.0,9.0
2023-11-08,37.93,50.0,12.0,73.0,4.0
2023-11-09,34.65,50.0,12.0,73.0,7.0
2023-11-10,35.94,55.0,12.0,73.0,7.0
2023-11-13,43.96,70.0,12.0,88.0,7.0
2023-11-15,48.73,70.0,12.0,95.0,4.0
2023-11-16,50.28,72.0,12.0,100.0,4.0
2023-11-17,50.4,72.0,12.0,100.0,4.0
2023-11-20,42.38,60.0,12.0,100.0,9.0
2023-11-21,39.86,50.0,12.0,100.0,9.0
2023-11-22,51.21,75.0,12.0,100.0,4.0
2023-11-23,45.05,50.0,12.0,100.0,4.0
2023-11-24,42.08,50.0,12.0,100.0,7.0
2023-11-28,43.21,55.0,12.0,100.0,7.0
2023-11-29,41.85,50.0,12.0,100.0,7.0
2023-11-30,41.81,50.0,12.0,100.0,7.0
2023-12-01,43.07,55.0,12.0,100.0,7.0
2023-12-04,43.32,55.0,12.0,100.0,7.0
2023-12-05,49.91,70.0,12.0,100.0,4.0
2023-12-06,49.1,67.0,12.0,100.0,4.0
2023-12-07,46.67,57.0,12.0,100.0,4.0
2023-12-08,44.42,60.0,12.0,100.0,7.0
2023-12-11,44.61,60.0,12.0,100.0,7.0
2023-12-12,44.5,60.0,12.0,100.0,7.0
2023-12-13,45.68,65.0,12.0,100.0,7.0
2023-12-14,45.9,65.0,12.0,100.0,7.0
2023-12-15,46.49,60.0,12.0,95.0,4.0
2023-12-18,42.69,70.0,12.0,70.0,4.0
2023-12-19,47.48,65.0,12.0,95.0,4.0
2023-12-20,41.69,60.0,12.0,100.0,9.0
2023-12-21,48.87,67.0,12.0,100.0,4.0
2023-12-22,50.15,72.0,12.0,100.0,4.0
2023-12-26,50.08,72.0,12.0,100.0,4.0
2023-12-27,40.83,47.0,12.0,100.0,7.0
2023-12-28,40.81,47.0,12.0,100.0,7.0
2023-12-29,44.06,60.0,12.0,100.0,7.0
2024-01-01,41.95,50.0,12.0,100.0,7.0
2024-01-02,44.21,60.0,12.0,100.0,7.0
2024-01-03,41.86,50.0,12.0,100.0,7.0
2024-01-04,42.52,50.0,12.0,100.0,7.0
2024-01-05,42.29,50.0,12.0,100.0,7.0
2024-01-08,43.3,55.0,12.0,100.0,7.0
2024-01-09,42.21,50.0,12.0,100.0,7.0
2024-01-10,42.11,50.0,12.0,100.0,7.0
2024-01-11,42.43,50.0,12.0,100.0,7.0
2024-01-12,43.67,55.0,12.0,100.0,7.0
2024-01-15,42.29,50.0,12.0,100.0,7.0
2024-01-16,44.76,60.0,12.0,100.0,7.0
2024-01-17,44.3,60.0,12.0,100.0,7.0
2024-01-18,43.54,55.0,12.0,100.0,7.0
2024-01-19,42.5,50.0,12.0,100.0,7.0
2024-01-23,34.25,50.0,12.0,70.0,7.0
2024-01-24,37.29,60.0,12.0,70.0,7.0
2024-01-25,39.1,55.0,12.0,70.0,4.0
2024-01-29,35.03,50.0,12.0,70.0,7.0
2024-01-30,36.38,55.0,12.0,70.0,7.0
2024-01-31,35.25,50.0,12.0,70.0,7.0
2024-02-01,33.06,42.0,12.0,70.0,7.0
2024-02-02,33.09,42.0,12.0,70.0,7.0
2024-02-05,34.84,38.0,12.0,70.0,4.0
2024-02-06,34.98,38.0,12.0,70.0,4.0
2024-02-07,38.47,52.0,12.0,70.0,4.0
2024-02-08,44.91,60.0,12.0,88.0,4.0
2024-02-09,39.1,50.0,12.0,88.0,7.0
2024-02-12,31.75,42.0,12.0,70.0,7.0
2024-02-13,32.99,47.0,12.0,70.0,7.0
2024-02-14,46.6,60.0,12.0,98.0,4.0
2024-02-15,32.65,32.0,12.0,70.0,4.0
2024-02-16,31.78,28.0,12.0,70.0,4.0
2024-02-19,26.93,33.0,12.0,45.0,4.0
2024-02-20,36.71,48.0,12.0,70.0,4.0
2024-02-21,32.5,32.0,12.0,70.0,4.0
2024-02-22,30.74,37.0,12.0,70.0,7.0
2024-02-23,35.04,42.0,12.0,70.0,4.0
2024-02-26,32.45,32.0,12.0,70.0,4.0
2024-02-27,29.97,23.0,12.0,70.0,4.0
2024-02-28,27.64,28.0,12.0,70.0,7.0
2024-02-29,28.85,32.0,12.0,70.0,7.0
2024-03-01,39.67,45.0,12.0,88.0,4.0
2024-03-04,50.06,75.0,12.0,100.0,4.0
2024-03-05,46.99,65.0,12.0,98.0,4.0
2024-03-06,33.36,35.0,12.0,88.0,7.0
2024-03-07,26.54,35.0,12.0,60.0,7.0
2024-03-11,26.54,27.0,12.0,70.0,7.0
2024-03-12,26.16,27.0,12.0,70.0,7.0
2024-03-13,24.45,23.0,12.0,70.0,7.0
2024-03-14,22.57,23.0,12.0,60.0,7.0
2024-03-15,18.5,23.0,12.0,45.0,7.0
2024-03-18,18.5,23.0,12.0,45.0,7.0
2024-03-19,18.25,23.0,12.0,45.0,7.0
2024-03-20,18.22,23.0,12.0,45.0,7.0
2024-03-21,18.73,23.0,12.0,45.0,7.0
2024-03-22,16.27,23.0,12.0,35.0,7.0
2024-03-26,15.04,19.0,12.0,35.0,7.0
2024-03-27,24.15,43.0,12.0,35.0,4.0
2024-03-28,22.92,38.0,12.0,35.0,4.0
2024-04-01,18.94,28.0,12.0,35.0,7.0
2024-04-02,19.1,28.0,12.0,35.0,7.0
2024-04-03,24.96,38.0,12.0,35.0,4.0
2024-04-04,21.4,23.0,12.0,35.0,4.0
2024-04-05,18.48,23.0,12.0,35.0,7.0
2024-04-08,21.42,23.0,12.0,35.0,4.0
2024-04-09,18.26,23.0,12.0,35.0,7.0
2024-04-10,23.88,33.0,12.0,35.0,4.0
2024-04-12,19.69,28.0,12.0,35.0,7.0
2024-04-15,22.37,28.0,12.0,35.0,4.0
2024-04-16,22.45,28.0,12.0,35.0,4.0
2024-04-18,23.57,33.0,12.0,35.0,4.0
2024-04-19,17.91,23.0,12.0,35.0,7.0
2024-04-22,26.65,42.0,12.0,35.0,4.0
2024-04-23,31.88,55.0,12.0,43.0,4.0
2024-04-24,35.65,60.0,12.0,53.0,4.0
2024-04-25,37.34,60.0,12.0,60.0,4.0
2024-04-26,31.12,35.0,12.0,60.0,4.0
2024-04-29,26.9,35.0,12.0,43.0,4.0
2024-04-30,28.72,42.0,12.0,43.0,4.0
2024-05-02,24.69,27.0,12.0,43.0,4.0
2024-05-03,19.35,27.0,12.0,35.0,7.0
2024-05-06,18.87,27.0,12.0,35.0,7.0
2024-05-07,18.35,27.0,12.0,35.0,7.0
2024-05-08,20.5,27.0,12.0,43.0,7.0
2024-05-09,19.88,23.0,12.0,35.0,4.0
2024-05-10,17.27,23.0,12.0,35.0,7.0
2024-05-13,16.94,23.0,12.0,35.0,7.0
2024-05-14,17.27,23.0,12.0,35.0,7.0
2024-05-15,20.75,28.0,12.0,43.0,7.0
2024-05-16,20.88,28.0,12.0,43.0,7.0
2024-05-17,17.95,23.0,12.0,35.0,7.0
2024-05-21,24.79,38.0,12.0,35.0,4.0
2024-05-22,23.26,33.0,12.0,35.0,4.0
2024-05-23,17.65,23.0,12.0,35.0,7.0
2024-05-24,11.23,23.0,12.0,10.0,7.0
2024-05-27,11.79,23.0,12.0,0.0,4.0
2024-05-28,10.87,23.0,12.0,10.0,7.0
2024-05-29,3.57,14.0,12.0,10.0,12.0
2024-05-30,0.79,4.0,12.0,10.0,12.0
2024-05-31,0.0,14.0,12.0,10.0,20.0
2024-06-03,0.0,19.0,12.0,10.0,20.0
2024-06-04,0.0,4.0,12.0,0.0,23.0
2024-06-05,0.0,4.0,12.0,0.0,23.0
2024-06-06,0.0,4.0,12.0,0.0,20.0
2024-06-07,5.59,18.0,12.0,10.0,12.0
2024-06-10,2.65,18.0,12.0,10.0,15.0
2024-06-11,9.02,30.0,12.0,10.0,12.0
2024-06-12,0.0,8.0,12.0,0.0,15.0
2024-06-13,0.0,13.0,12.0,0.0,15.0
2024-06-14,21.35,55.0,12.0,0.0,4.0
2024-06-18,32.34,62.0,12.0,35.0,4.0
2024-06-19,50.83,72.0,12.0,100.0,4.0
2024-06-20,36.79,65.0,12.0,70.0,9.0
2024-06-21,41.58,65.0,12.0,70.0,4.0
2024-06-24,35.1,50.0,12.0,70.0,7.0
2024-06-25,31.25,50.0,12.0,55.0,7.0
2024-06-26,37.7,65.0,12.0,55.0,4.0
2024-06-27,36.28,60.0,12.0,55.0,4.0
2024-06-28,36.64,60.0,12.0,55.0,4.0
2024-07-01,31.89,60.0,12.0,35.0,4.0
2024-07-02,26.12,50.0,12.0,35.0,7.0
2024-07-03,27.53,55.0,12.0,35.0,7.0
2024-07-04,26.05,50.0,12.0,35.0,7.0
2024-07-05,26.0,50.0,12.0,35.0,7.0
2024-07-08,26.96,55.0,12.0,35.0,7.0
2024-07-09,25.79,50.0,12.0,35.0,7.0
2024-07-10,23.42,42.0,12.0,35.0,7.0
2024-07-11,26.73,55.0,12.0,35.0,7.0
2024-07-12,23.3,42.0,12.0,35.0,7.0
2024-07-15,27.98,60.0,12.0,35.0,7.0
2024-07-16,17.33,42.0,12.0,10.0,7.0
2024-07-18,18.3,47.0,12.0,10.0,7.0
2024-07-19,21.04,60.0,12.0,10.0,7.0
2024-07-22,16.73,42.0,12.0,10.0,7.0
2024-07-23,11.62,23.0,12.0,10.0,7.0
2024-07-24,18.93,48.0,12.0,0.0,4.0
2024-07-25,16.73,52.0,12.0,0.0,7.0
2024-07-26,14.75,42.0,12.0,0.0,7.0
2024-07-29,14.66,42.0,12.0,0.0,7.0
2024-07-30,14.58,42.0,12.0,0.0,7.0
2024-07-31,17.11,42.0,12.0,10.0,7.0
2024-08-01,0.8,8.0,12.0,0.0,12.0
2024-08-02,0.0,8.0,12.0,0.0,15.0
2024-08-05,0.0,8.0,12.0,0.0,15.0
2024-08-06,0.0,18.0,12.0,0.0,15.0
