scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,49.6,72.0,8.0,100.0,4.0
2023-09-05,49.63,72.0,8.0,100.0,4.0
2023-09-06,47.03,62.0,8.0,100.0,4.0
2023-09-07,44.56,52.0,8.0,100.0,4.0
2023-09-08,41.56,52.0,8.0,100.0,7.0
2023-09-11,45.9,57.0,8.0,100.0,4.0
2023-09-12,39.62,55.0,8.0,100.0,9.0
2023-09-13,48.42,70.0,8.0,100.0,4.0
2023-09-14,45.56,70.0,8.0,100.0,7.0
2023-09-15,43.12,60.0,8.0,100.0,7.0
2023-09-18,40.43,50.0,8.0,100.0,7.0
2023-09-20,41.5,55.0,8.0,100.0,7.0
2023-09-21,43.77,65.0,8.0,100.0,7.0
2023-09-22,43.76,65.0,8.0,100.0,7.0
2023-09-25,45.14,70.0,8.0,100.0,7.0
2023-09-26,42.66,60.0,8.0,100.0,7.0
2023-09-27,40.17,50.0,8.0,100.0,7.0
2023-09-28,40.01,50.0,8.0,100.0,7.0
2023-09-29,45.16,70.0,8.0,100.0,7.0
2023-10-03,43.55,65.0,8.0,98.0,7.0
2023-10-04,37.02,50.0,8.0,88.0,7.0
2023-10-05,33.95,55.0,8.0,70.0,7.0
2023-10-06,35.85,50.0,8.0,70.0,4.0
2023-10-09,33.28,42.0,8.0,70.0,4.0
2023-10-10,33.18,52.0,8.0,70.0,7.0
2023-10-11,30.73,42.0,8.0,70.0,7.0
2023-10-12,51.87,85.0,8.0,98.0,4.0
2023-10-13,50.51,80.0,8.0,98.0,4.0
2023-10-16,49.13,72.0,8.0,100.0,4.0
2023-10-17,49.37,72.0,8.0,100.0,4.0
2023-10-18,39.95,55.0,8.0,100.0,9.0
2023-10-19,40.11,55.0,8.0,100.0,9.0
2023-10-20,44.48,55.0,8.0,98.0,4.0
2023-10-23,30.2,42.0,8.0,70.0,7.0
2023-10-25,25.15,23.0,8.0,70.0,7.0
2023-10-26,25.3,23.0,8.0,70.0,7.0
2023-10-27,28.2,33.0,8.0,70.0,7.0
2023-10-30,37.33,52.0,8.0,88.0,7.0
2023-10-31,26.53,27.0,8.0,70.0,7.0
2023-11-01,25.36,23.0,8.0,70.0,7.0
2023-11-02,27.81,32.0,8.0,70.0,7.0
2023-11-03,26.64,27.0,8.0,70.0,7.0
2023-11-06,26.8,27.0,8.0,70.0,7.0
2023-11-07,30.3,23.0,8.0,88.0,7.0
2023-11-08,27.12,28.0,8.0,70.0,7.0
2023-11-09,25.66,23.0,8.0,70.0,7.0
2023-11-10,24.38,28.0,8.0,60.0,7.0
2023-11-13,27.17,28.0,8.0,70.0,7.0
2023-11-15,25.99,23.0,8.0,70.0,7.0
2023-11-16,28.13,32.0,8.0,70.0,7.0
2023-11-17,26.03,23.0,8.0,70.0,7.0
2023-11-20,25.98,23.0,8.0,70.0,7.0
2023-11-21,35.16,47.0,8.0,70.0,4.0
2023-11-22,35.14,47.0,8.0,70.0,4.0
2023-11-23,37.97,40.0,8.0,88.0,4.0
2023-11-24,25.5,27.0,8.0,63.0,7.0
2023-11-28,23.95,27.0,8.0,45.0,4.0
2023-11-29,20.89,27.0,8.0,45.0,7.0
2023-11-30,23.0,23.0,8.0,45.0,4.0
2023-12-01,35.51,55.0,8.0,63.0,4.0
2023-12-04,40.46,60.0,8.0,78.0,4.0
2023-12-05,42.0,75.0,8.0,70.0,4.0
2023-12-06,39.45,65.0,8.0,70.0,4.0
2023-12-07,39.58,75.0,8.0,60.0,4.0
2023-12-08,35.65,60.0,8.0,60.0,4.0
2023-12-11,33.39,50.0,8.0,60.0,4.0
2023-12-12,44.46,75.0,8.0,80.0,4.0
2023-12-13,44.69,75.0,8.0,80.0,4.0
2023-12-14,35.55,50.0,8.0,80.0,7.0
2023-12-15,38.47,50.0,8.0,80.0,4.0
2023-12-18,38.4,50.0,8.0,80.0,4.0
2023-12-19,39.52,55.0,8.0,80.0,4.0
2023-12-20,39.93,60.0,8.0,80.0,4.0
2023-12-21,37.46,60.0,8.0,80.0,7.0
2023-12-22,39.3,55.0,8.0,80.0,4.0
2023-12-26,44.45,75.0,8.0,80.0,4.0
2023-12-27,35.21,50.0,8.0,80.0,7.0
2023-12-28,38.1,50.0,8.0,80.0,4.0
2023-12-29,35.18,50.0,8.0,80.0,7.0
2024-01-01,39.64,55.0,8.0,80.0,4.0
2024-01-02,39.48,55.0,8.0,80.0,4.0
2024-01-03,31.12,50.0,8.0,63.0,7.0
2024-01-04,43.61,70.0,8.0,80.0,4.0
2024-01-05,31.35,50.0,8.0,63.0,7.0
2024-01-08,47.24,65.0,8.0,100.0,4.0
2024-01-09,46.09,60.0,8.0,100.0,4.0
2024-01-10,47.4,65.0,8.0,100.0,4.0
2024-01-11,46.25,62.0,8.0,98.0,4.0
2024-01-12,45.37,57.0,8.0,100.0,4.0
2024-01-15,49.03,72.0,8.0,100.0,4.0
2024-01-16,43.37,70.0,8.0,80.0,4.0
2024-01-17,37.38,67.0,8.0,60.0,4.0
2024-01-18,40.91,60.0,8.0,80.0,4.0
2024-01-19,45.25,57.0,8.0,100.0,4.0
2024-01-23,46.69,65.0,8.0,100.0,4.0
2024-01-24,47.68,67.0,8.0,100.0,4.0
2024-01-25,42.84,47.0,8.0,100.0,4.0
2024-01-29,49.2,72.0,8.0,100.0,4.0
2024-01-30,46.08,60.0,8.0,100.0,4.0
2024-01-31,46.35,60.0,8.0,100.0,4.0
2024-02-01,51.23,80.0,8.0,100.0,4.0
2024-02-02,49.12,72.0,8.0,100.0,4.0
2024-02-05,46.51,62.0,8.0,100.0,4.0
2024-02-06,45.46,57.0,8.0,100.0,4.0
2024-02-07,42.92,47.0,8.0,100.0,4.0
2024-02-08,43.02,60.0,8.0,100.0,7.0
2024-02-09,42.7,60.0,8.0,100.0,7.0
2024-02-12,31.98,42.0,8.0,98.0,12.0
2024-02-13,44.48,70.0,8.0,100.0,7.0
2024-02-14,41.69,60.0,8.0,98.0,7.0
2024-02-15,39.3,50.0,8.0,98.0,7.0
2024-02-16,36.93,50.0,8.0,88.0,7.0
2024-02-19,42.12,70.0,8.0,88.0,7.0
2024-02-20,37.0,50.0,8.0,88.0,7.0
2024-02-21,34.72,42.0,8.0,88.0,7.0
2024-02-22,31.56,47.0,8.0,70.0,7.0
2024-02-23,30.29,42.0,8.0,70.0,7.0
2024-02-26,29.25,38.0,8.0,70.0,7.0
2024-02-27,25.37,23.0,8.0,70.0,7.0
2024-02-28,31.63,38.0,8.0,70.0,4.0
2024-02-29,25.0,23.0,8.0,70.0,7.0
2024-03-01,27.59,33.0,8.0,70.0,7.0
2024-03-04,24.97,23.0,8.0,70.0,7.0
2024-03-05,21.45,23.0,8.0,45.0,4.0
2024-03-06,14.7,23.0,8.0,20.0,4.0
2024-03-07,13.17,28.0,8.0,20.0,7.0
2024-03-11,15.62,28.0,8.0,20.0,4.0
2024-03-12,10.62,19.0,8.0,10.0,4.0
2024-03-13,0.0,9.0,8.0,0.0,25.0
2024-03-14,13.0,38.0,8.0,0.0,4.0
2024-03-15,10.23,28.0,8.0,0.0,4.0
2024-03-18,12.8,28.0,8.0,10.0,4.0
