scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,41.92,65.0,7.0,80.0,4.0
2023-09-06,38.7,52.0,7.0,80.0,4.0
2023-09-07,40.77,60.0,7.0,80.0,4.0
2023-09-08,38.8,52.0,7.0,80.0,4.0
2023-09-11,40.77,60.0,7.0,80.0,4.0
2023-09-12,35.58,70.0,7.0,73.0,9.0
2023-09-13,45.12,80.0,7.0,80.0,4.0
2023-09-14,40.32,60.0,7.0,80.0,4.0
2023-09-15,35.3,57.0,7.0,63.0,4.0
2023-09-18,31.39,42.0,7.0,63.0,4.0
2023-09-20,32.0,47.0,7.0,73.0,7.0
2023-09-21,30.52,42.0,7.0,73.0,7.0
2023-09-22,28.03,42.0,7.0,63.0,7.0
2023-09-25,35.01,70.0,7.0,63.0,7.0
2023-09-26,29.3,65.0,7.0,45.0,7.0
2023-09-27,38.1,70.0,7.0,63.0,4.0
2023-09-28,32.58,60.0,7.0,63.0,7.0
2023-09-29,26.71,42.0,7.0,45.0,4.0
2023-10-03,26.88,42.0,7.0,45.0,4.0
2023-10-04,27.7,47.0,7.0,45.0,4.0
2023-10-05,24.91,47.0,7.0,45.0,7.0
2023-10-06,32.6,65.0,7.0,45.0,4.0
2023-10-09,31.12,47.0,7.0,60.0,4.0
2023-10-10,37.27,70.0,7.0,60.0,4.0
2023-10-11,36.18,65.0,7.0,60.0,4.0
2023-10-12,39.88,60.0,7.0,78.0,4.0
2023-10-13,35.25,60.0,7.0,60.0,4.0
2023-10-16,36.51,65.0,7.0,60.0,4.0
2023-10-17,47.41,80.0,7.0,88.0,4.0
2023-10-18,35.18,42.0,7.0,78.0,4.0
2023-10-19,30.81,42.0,7.0,60.0,4.0
2023-10-20,22.16,23.0,7.0,45.0,4.0
2023-10-23,20.97,23.0,7.0,45.0,4.0
2023-10-25,20.82,33.0,7.0,35.0,4.0
2023-10-26,24.65,38.0,7.0,45.0,4.0
2023-10-27,24.87,37.0,7.0,45.0,4.0
2023-10-30,24.8,37.0,7.0,45.0,4.0
2023-10-31,23.53,32.0,7.0,45.0,4.0
2023-11-01,20.43,32.0,7.0,45.0,7.0
2023-11-02,25.11,50.0,7.0,45.0,7.0
2023-11-03,37.78,70.0,7.0,63.0,4.0
2023-11-06,40.36,80.0,7.0,63.0,4.0
2023-11-07,25.55,45.0,7.0,38.0,4.0
2023-11-08,22.86,50.0,7.0,35.0,7.0
2023-11-09,33.21,65.0,7.0,50.0,4.0
2023-11-10,17.54,45.0,7.0,20.0,7.0
2023-11-13,32.29,70.0,7.0,53.0,7.0
2023-11-15,30.46,65.0,7.0,38.0,4.0
2023-11-16,30.32,65.0,7.0,38.0,4.0
2023-11-17,29.14,60.0,7.0,38.0,4.0
2023-11-20,40.5,80.0,7.0,63.0,4.0
2023-11-21,42.36,80.0,7.0,70.0,4.0
2023-11-22,37.65,60.0,7.0,70.0,4.0
2023-11-23,34.75,60.0,7.0,70.0,7.0
2023-11-24,34.7,60.0,7.0,70.0,7.0
2023-11-28,27.82,65.0,7.0,38.0,7.0
2023-11-29,27.69,65.0,7.0,38.0,7.0
2023-11-30,37.52,75.0,7.0,55.0,4.0
2023-12-01,32.01,70.0,7.0,38.0,4.0
2023-12-04,29.55,60.0,7.0,38.0,4.0
2023-12-05,29.26,60.0,7.0,38.0,4.0
2023-12-06,25.44,65.0,7.0,18.0,4.0
2023-12-07,19.94,42.0,7.0,18.0,4.0
2023-12-08,12.99,33.0,7.0,0.0,4.0
2023-12-11,14.46,38.0,7.0,0.0,4.0
2023-12-12,21.08,47.0,7.0,18.0,4.0
2023-12-13,19.11,47.0,7.0,10.0,4.0
2023-12-14,14.1,27.0,7.0,10.0,4.0
2023-12-15,19.05,47.0,7.0,10.0,4.0
2023-12-18,13.21,23.0,7.0,10.0,4.0
2023-12-19,17.92,32.0,7.0,20.0,4.0
2023-12-20,14.71,23.0,7.0,20.0,4.0
2023-12-21,26.79,70.0,7.0,20.0,4.0
2023-12-22,17.0,42.0,7.0,20.0,7.0
2023-12-26,20.0,42.0,7.0,20.0,4.0
2023-12-27,16.29,27.0,7.0,20.0,4.0
2023-12-28,13.72,27.0,7.0,10.0,4.0
2023-12-29,12.76,23.0,7.0,10.0,4.0
2024-01-01,16.78,38.0,7.0,10.0,4.0
2024-01-02,14.34,28.0,7.0,10.0,4.0
2024-01-03,13.18,23.0,7.0,10.0,4.0
2024-01-04,14.7,28.0,7.0,10.0,4.0
2024-01-05,15.74,33.0,7.0,10.0,4.0
2024-01-08,16.9,38.0,7.0,10.0,4.0
2024-01-09,21.38,47.0,7.0,18.0,4.0
2024-01-10,17.07,37.0,7.0,10.0,4.0
2024-01-11,13.61,23.0,7.0,10.0,4.0
2024-01-12,14.8,28.0,7.0,10.0,4.0
2024-01-15,10.49,23.0,7.0,10.0,7.0
2024-01-16,13.26,23.0,7.0,10.0,4.0
2024-01-17,20.26,52.0,7.0,10.0,4.0
2024-01-18,14.27,27.0,7.0,10.0,4.0
2024-01-19,14.69,28.0,7.0,10.0,4.0
2024-01-23,16.62,28.0,7.0,20.0,4.0
2024-01-24,15.92,23.0,7.0,20.0,4.0
2024-01-25,18.61,33.0,7.0,20.0,4.0
2024-01-29,21.15,43.0,7.0,20.0,4.0
2024-01-30,14.89,28.0,7.0,10.0,4.0
2024-01-31,10.82,23.0,7.0,10.0,7.0
2024-02-01,10.69,23.0,7.0,10.0,7.0
2024-02-02,0.0,8.0,7.0,10.0,15.0
2024-02-05,0.46,13.0,7.0,0.0,12.0
2024-02-06,0.68,13.0,7.0,0.0,12.0
2024-02-07,1.99,18.0,7.0,0.0,12.0
2024-02-08,3.93,27.0,7.0,0.0,12.0
