scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,8.17,23.0,12.0,10.0,12.0
2023-09-05,11.06,35.0,12.0,10.0,12.0
2023-09-06,11.19,35.0,12.0,10.0,12.0
2023-09-07,9.14,27.0,12.0,10.0,12.0
2023-09-08,8.14,23.0,12.0,10.0,12.0
2023-09-11,21.15,75.0,12.0,10.0,12.0
2023-09-12,15.87,50.0,12.0,18.0,12.0
2023-09-13,18.7,60.0,12.0,18.0,12.0
2023-09-14,34.59,90.0,12.0,18.0,4.0
2023-09-15,31.92,80.0,12.0,18.0,4.0
2023-09-18,30.45,75.0,12.0,18.0,4.0
2023-09-20,28.99,70.0,12.0,18.0,4.0
2023-09-21,24.36,65.0,12.0,18.0,7.0
2023-09-22,7.42,17.0,12.0,18.0,12.0
2023-09-25,3.54,13.0,12.0,18.0,15.0
2023-09-26,41.33,90.0,12.0,48.0,4.0
2023-09-27,35.14,70.0,12.0,55.0,7.0
2023-09-28,37.9,70.0,12.0,55.0,4.0
2023-09-29,32.21,65.0,12.0,48.0,7.0
2023-10-03,43.11,90.0,12.0,55.0,4.0
2023-10-04,36.46,65.0,12.0,55.0,4.0
2023-10-05,31.99,65.0,12.0,48.0,7.0
2023-10-06,33.26,70.0,12.0,48.0,7.0
2023-10-09,31.26,65.0,12.0,48.0,7.0
2023-10-10,31.74,65.0,12.0,48.0,7.0
2023-10-11,30.9,70.0,12.0,38.0,7.0
2023-10-12,32.42,65.0,12.0,48.0,7.0
2023-10-13,25.34,47.0,12.0,38.0,7.0
2023-10-16,20.87,47.0,12.0,20.0,7.0
2023-10-17,23.05,43.0,12.0,20.0,4.0
2023-10-18,22.1,52.0,12.0,20.0,7.0
2023-10-19,30.89,57.0,12.0,38.0,4.0
2023-10-20,25.21,47.0,12.0,38.0,7.0
2023-10-23,34.5,67.0,12.0,48.0,4.0
2023-10-25,5.77,23.0,12.0,10.0,12.0
2023-10-26,6.96,27.0,12.0,10.0,12.0
2023-10-27,24.32,75.0,12.0,10.0,7.0
2023-10-30,22.91,70.0,12.0,10.0,7.0
2023-10-31,17.17,47.0,12.0,10.0,7.0
2023-11-01,7.13,28.0,12.0,10.0,12.0
2023-11-02,6.23,23.0,12.0,10.0,12.0
2023-11-03,3.84,13.0,12.0,10.0,12.0
2023-11-06,5.26,18.0,12.0,10.0,12.0
2023-11-07,2.38,18.0,12.0,10.0,15.0
2023-11-08,3.35,22.0,12.0,10.0,15.0
2023-11-09,0.73,13.0,12.0,10.0,15.0
2023-11-10,2.95,22.0,12.0,10.0,15.0
2023-11-13,12.4,37.0,12.0,0.0,7.0
2023-11-15,16.8,32.0,12.0,10.0,4.0
2023-11-16,19.39,55.0,12.0,10.0,7.0
2023-11-17,13.73,32.0,12.0,10.0,7.0
2023-11-20,19.42,55.0,12.0,10.0,7.0
2023-11-21,30.89,80.0,12.0,18.0,4.0
2023-11-22,35.96,80.0,12.0,38.0,4.0
2023-11-23,23.56,50.0,12.0,18.0,4.0
2023-11-24,20.44,50.0,12.0,18.0,7.0
2023-11-28,17.06,32.0,12.0,10.0,4.0
2023-11-29,17.78,37.0,12.0,20.0,7.0
2023-11-30,26.78,55.0,12.0,38.0,7.0
2023-12-01,31.18,60.0,12.0,38.0,4.0
2023-12-04,36.02,72.0,12.0,45.0,4.0
2023-12-05,44.73,72.0,12.0,80.0,4.0
2023-12-06,38.25,70.0,12.0,55.0,4.0
2023-12-07,39.95,62.0,12.0,70.0,4.0
2023-12-08,36.61,65.0,12.0,55.0,4.0
2023-12-11,38.64,57.0,12.0,70.0,4.0
2023-12-12,41.77,60.0,12.0,80.0,4.0
2023-12-13,36.34,60.0,12.0,70.0,7.0
2023-12-14,32.71,60.0,12.0,55.0,7.0
2023-12-15,34.08,65.0,12.0,55.0,7.0
2023-12-18,45.12,72.0,12.0,80.0,4.0
2023-12-19,41.44,57.0,12.0,80.0,4.0
2023-12-20,31.34,65.0,12.0,55.0,9.0
2023-12-21,38.9,70.0,12.0,70.0,7.0
2023-12-22,37.86,65.0,12.0,70.0,7.0
2023-12-26,44.9,70.0,12.0,80.0,4.0
2023-12-27,39.41,60.0,12.0,80.0,7.0
2023-12-28,33.0,60.0,12.0,55.0,7.0
2023-12-29,36.0,60.0,12.0,55.0,4.0
2024-01-01,33.4,60.0,12.0,55.0,7.0
2024-01-02,29.12,60.0,12.0,38.0,7.0
2024-01-03,34.64,70.0,12.0,38.0,4.0
2024-01-04,33.47,65.0,12.0,38.0,4.0
2024-01-05,38.3,75.0,12.0,48.0,4.0
2024-01-08,50.37,72.0,12.0,100.0,4.0
2024-01-09,50.49,72.0,12.0,100.0,4.0
2024-01-10,44.16,47.0,12.0,100.0,4.0
2024-01-11,45.54,52.0,12.0,100.0,4.0
2024-01-12,45.43,52.0,12.0,100.0,4.0
2024-01-15,42.36,52.0,12.0,100.0,7.0
2024-01-16,30.93,70.0,12.0,45.0,9.0
2024-01-17,42.49,65.0,12.0,78.0,4.0
2024-01-18,42.84,60.0,12.0,95.0,7.0
2024-01-19,38.93,60.0,12.0,78.0,7.0
2024-01-23,33.68,42.0,12.0,78.0,7.0
2024-01-24,19.6,42.0,12.0,20.0,7.0
2024-01-25,36.86,52.0,12.0,78.0,7.0
2024-01-29,32.72,65.0,12.0,48.0,7.0
2024-01-30,51.18,80.0,12.0,95.0,4.0
2024-01-31,46.36,60.0,12.0,95.0,4.0
2024-02-01,47.23,65.0,12.0,95.0,4.0
2024-02-02,45.96,60.0,12.0,95.0,4.0
2024-02-05,34.62,60.0,12.0,63.0,7.0
2024-02-06,30.24,42.0,12.0,63.0,7.0
2024-02-07,27.64,38.0,12.0,45.0,4.0
2024-02-08,16.21,38.0,12.0,20.0,9.0
2024-02-09,22.11,43.0,12.0,20.0,4.0
2024-02-12,16.59,23.0,12.0,20.0,4.0
2024-02-13,19.1,33.0,12.0,20.0,4.0
2024-02-14,13.79,23.0,12.0,20.0,7.0
2024-02-15,18.77,32.0,12.0,30.0,7.0
2024-02-16,14.05,23.0,12.0,20.0,7.0
2024-02-19,14.26,23.0,12.0,20.0,7.0
2024-02-20,14.15,23.0,12.0,20.0,7.0
2024-02-21,14.1,23.0,12.0,20.0,7.0
2024-02-22,18.41,28.0,12.0,20.0,4.0
2024-02-23,19.63,33.0,12.0,20.0,4.0
2024-02-26,16.89,23.0,12.0,20.0,4.0
2024-02-27,13.61,23.0,12.0,20.0,7.0
2024-02-28,13.15,23.0,12.0,20.0,7.0
2024-02-29,15.77,33.0,12.0,20.0,7.0
2024-03-01,14.68,28.0,12.0,20.0,7.0
2024-03-04,14.5,28.0,12.0,20.0,7.0
2024-03-05,11.84,28.0,12.0,10.0,7.0
2024-03-06,13.13,23.0,12.0,10.0,4.0
2024-03-07,11.5,28.0,12.0,10.0,7.0
2024-03-11,15.21,33.0,12.0,10.0,4.0
2024-03-12,13.67,28.0,12.0,10.0,4.0
2024-03-13,0.0,24.0,12.0,10.0,17.0
2024-03-14,15.06,33.0,12.0,10.0,4.0
2024-03-15,12.23,23.0,12.0,10.0,4.0
2024-03-18,22.85,55.0,12.0,20.0,4.0
2024-03-19,10.04,27.0,12.0,10.0,7.0
2024-03-20,10.01,27.0,12.0,10.0,7.0
2024-03-21,13.58,27.0,12.0,10.0,4.0
2024-03-22,12.01,32.0,12.0,10.0,7.0
2024-03-26,14.68,32.0,12.0,10.0,4.0
2024-03-27,16.08,37.0,12.0,10.0,4.0
2024-03-28,12.52,23.0,12.0,10.0,4.0
2024-04-01,21.09,45.0,12.0,18.0,4.0
2024-04-02,15.1,40.0,12.0,10.0,7.0
2024-04-03,21.77,45.0,12.0,18.0,4.0
2024-04-04,30.47,60.0,12.0,38.0,4.0
2024-04-05,24.39,55.0,12.0,18.0,4.0
2024-04-08,22.87,50.0,12.0,18.0,4.0
2024-04-09,18.96,35.0,12.0,18.0,4.0
2024-04-10,17.59,27.0,12.0,18.0,4.0
2024-04-12,20.7,40.0,12.0,18.0,4.0
2024-04-15,21.52,27.0,12.0,35.0,4.0
2024-04-16,17.29,27.0,12.0,18.0,4.0
2024-04-18,26.7,55.0,12.0,28.0,4.0
2024-04-19,17.15,35.0,12.0,10.0,4.0
2024-04-22,27.15,65.0,12.0,18.0,4.0
2024-04-23,26.09,60.0,12.0,18.0,4.0
2024-04-24,32.55,75.0,12.0,28.0,4.0
2024-04-25,26.09,50.0,12.0,28.0,4.0
2024-04-26,23.8,50.0,12.0,18.0,4.0
2024-04-29,20.74,50.0,12.0,18.0,7.0
2024-04-30,23.79,50.0,12.0,18.0,4.0
2024-05-02,23.59,50.0,12.0,18.0,4.0
2024-05-03,21.19,42.0,12.0,18.0,4.0
2024-05-06,16.46,33.0,12.0,10.0,4.0
2024-05-07,14.8,28.0,12.0,10.0,4.0
2024-05-08,14.97,28.0,12.0,10.0,4.0
2024-05-09,13.08,23.0,12.0,10.0,4.0
2024-05-10,1.63,8.0,12.0,10.0,12.0
2024-05-13,1.53,8.0,12.0,10.0,12.0
2024-05-14,11.93,28.0,12.0,10.0,7.0
2024-05-15,15.22,28.0,12.0,10.0,4.0
2024-05-16,13.17,32.0,12.0,10.0,7.0
2024-05-17,12.33,27.0,12.0,10.0,7.0
2024-05-21,16.53,32.0,12.0,10.0,4.0
2024-05-22,19.05,55.0,12.0,10.0,7.0
2024-05-23,16.03,32.0,12.0,10.0,4.0
2024-05-24,21.61,55.0,12.0,10.0,4.0
2024-05-27,14.7,28.0,12.0,10.0,4.0
2024-05-28,12.4,32.0,12.0,10.0,7.0
2024-05-29,6.47,28.0,12.0,10.0,12.0
2024-05-30,2.37,13.0,12.0,10.0,12.0
2024-05-31,3.71,18.0,12.0,10.0,12.0
2024-06-03,5.39,23.0,12.0,10.0,12.0
2024-06-04,4.43,23.0,12.0,10.0,12.0
2024-06-05,5.11,23.0,12.0,10.0,12.0
2024-06-06,4.38,18.0,12.0,10.0,12.0
2024-06-07,6.0,23.0,12.0,10.0,12.0
2024-06-10,9.16,35.0,12.0,8.0,12.0
2024-06-11,19.82,45.0,12.0,8.0,4.0
2024-06-12,4.02,22.0,12.0,0.0,12.0
2024-06-13,2.14,13.0,12.0,0.0,12.0
2024-06-14,11.66,40.0,12.0,10.0,12.0
2024-06-18,29.44,70.0,12.0,18.0,4.0
2024-06-19,24.74,60.0,12.0,10.0,4.0
2024-06-20,27.8,70.0,12.0,10.0,4.0
2024-06-21,8.28,35.0,12.0,0.0,12.0
2024-06-24,22.57,60.0,12.0,0.0,4.0
2024-06-25,24.44,50.0,12.0,18.0,4.0
2024-06-26,24.5,50.0,12.0,18.0,4.0
2024-06-27,3.13,20.0,12.0,8.0,15.0
2024-06-28,6.26,20.0,12.0,8.0,12.0
2024-07-01,19.26,40.0,12.0,18.0,7.0
2024-07-02,26.17,55.0,12.0,18.0,4.0
2024-07-03,30.37,65.0,12.0,25.0,4.0
2024-07-04,27.79,55.0,12.0,25.0,4.0
2024-07-05,27.64,55.0,12.0,25.0,4.0
2024-07-08,18.95,50.0,12.0,8.0,7.0
2024-07-09,21.76,50.0,12.0,8.0,4.0
2024-07-10,7.77,27.0,12.0,8.0,12.0
2024-07-11,6.19,32.0,12.0,8.0,15.0
2024-07-12,3.87,12.0,12.0,8.0,12.0
2024-07-15,23.94,60.0,12.0,8.0,4.0
2024-07-16,29.05,70.0,12.0,18.0,4.0
2024-07-18,28.61,70.0,12.0,18.0,4.0
2024-07-19,25.37,60.0,12.0,18.0,4.0
2024-07-22,25.85,60.0,12.0,18.0,4.0
2024-07-23,24.26,55.0,12.0,18.0,4.0
2024-07-24,28.76,70.0,12.0,18.0,4.0
2024-07-25,33.39,72.0,12.0,35.0,4.0
2024-07-26,31.21,62.0,12.0,35.0,4.0
2024-07-29,37.5,67.0,12.0,55.0,4.0
2024-07-30,32.67,47.0,12.0,55.0,4.0
2024-07-31,32.86,60.0,12.0,55.0,7.0
2024-08-01,31.19,60.0,12.0,38.0,4.0
2024-08-02,28.58,60.0,12.0,28.0,4.0
2024-08-05,22.78,50.0,12.0,18.0,4.0
2024-08-06,20.65,42.0,12.0,18.0,4.0
2024-08-07,36.38,85.0,12.0,35.0,4.0
2024-08-08,25.62,50.0,12.0,28.0,4.0
2024-08-09,22.93,50.0,12.0,28.0,7.0
2024-08-12,25.86,50.0,12.0,28.0,4.0
2024-08-13,17.86,42.0,12.0,18.0,7.0
2024-08-14,23.96,47.0,12.0,38.0,7.0
2024-08-16,19.78,47.0,12.0,20.0,7.0
2024-08-19,26.57,42.0,12.0,38.0,4.0
2024-08-20,19.9,47.0,12.0,18.0,7.0
2024-08-21,31.43,60.0,12.0,38.0,4.0
2024-08-22,21.61,50.0,12.0,20.0,7.0
2024-08-23,25.11,65.0,12.0,20.0,7.0
2024-08-26,29.38,70.0,12.0,20.0,4.0
2024-08-27,27.1,60.0,12.0,20.0,4.0
2024-08-28,23.86,60.0,12.0,20.0,7.0
2024-08-29,27.82,65.0,12.0,20.0,4.0
2024-08-30,32.49,65.0,12.0,38.0,4.0
2024-09-02,28.09,60.0,12.0,38.0,7.0
2024-09-03,30.97,60.0,12.0,48.0,7.0
2024-09-04,40.38,70.0,12.0,63.0,4.0
2024-09-05,44.07,85.0,12.0,63.0,4.0
2024-09-06,44.98,80.0,12.0,73.0,4.0
2024-09-09,44.39,72.0,12.0,80.0,4.0
2024-09-10,44.8,72.0,12.0,80.0,4.0
2024-09-11,45.87,62.0,12.0,95.0,4.0
2024-09-12,39.62,52.0,12.0,80.0,4.0
2024-09-13,39.41,47.0,12.0,95.0,7.0
2024-09-16,38.95,60.0,12.0,80.0,7.0
2024-09-17,43.86,60.0,12.0,100.0,7.0
2024-09-18,36.0,60.0,12.0,70.0,7.0
2024-09-19,36.74,60.0,12.0,63.0,4.0
