scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,43.69,75.0,0.0,88.0,4.0
2023-09-05,38.09,70.0,0.0,70.0,4.0
2023-09-06,38.01,70.0,0.0,70.0,4.0
2023-09-07,35.74,60.0,0.0,70.0,4.0
2023-09-08,45.41,80.0,0.0,88.0,4.0
2023-09-11,46.38,72.0,0.0,100.0,4.0
2023-09-12,38.4,75.0,0.0,88.0,9.0
2023-09-13,46.04,85.0,0.0,88.0,4.0
2023-09-14,43.52,75.0,0.0,88.0,4.0
2023-09-15,36.92,60.0,0.0,88.0,7.0
2023-09-18,38.12,65.0,0.0,88.0,7.0
2023-09-20,39.81,60.0,0.0,88.0,4.0
2023-09-21,36.82,60.0,0.0,88.0,7.0
2023-09-22,38.12,65.0,0.0,88.0,7.0
2023-09-25,38.03,65.0,0.0,88.0,7.0
2023-09-26,39.47,70.0,0.0,88.0,7.0
2023-09-27,40.62,65.0,0.0,98.0,7.0
2023-09-28,43.53,65.0,0.0,98.0,4.0
2023-09-29,40.99,65.0,0.0,98.0,7.0
2023-10-03,44.52,65.0,0.0,100.0,4.0
2023-10-04,39.58,60.0,0.0,98.0,7.0
2023-10-05,38.39,65.0,0.0,88.0,7.0
2023-10-06,39.58,60.0,0.0,98.0,7.0
2023-10-09,39.49,60.0,0.0,88.0,4.0
2023-10-10,41.12,65.0,0.0,88.0,4.0
2023-10-11,36.67,65.0,0.0,70.0,4.0
2023-10-12,46.64,75.0,0.0,98.0,4.0
2023-10-13,40.03,60.0,0.0,88.0,4.0
2023-10-16,29.95,60.0,0.0,60.0,7.0
2023-10-17,43.7,75.0,0.0,88.0,4.0
2023-10-18,37.35,60.0,0.0,78.0,4.0
2023-10-19,30.15,42.0,0.0,78.0,7.0
2023-10-20,49.15,85.0,0.0,100.0,4.0
2023-10-23,45.77,75.0,0.0,100.0,4.0
2023-10-25,41.46,60.0,0.0,98.0,4.0
2023-10-26,39.05,60.0,0.0,88.0,4.0
2023-10-27,36.38,60.0,0.0,88.0,7.0
2023-10-30,35.06,65.0,0.0,78.0,7.0
2023-10-31,33.76,60.0,0.0,78.0,7.0
2023-11-01,31.49,65.0,0.0,63.0,7.0
2023-11-02,44.46,80.0,0.0,88.0,4.0
