scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,66.66,60.0,59.0,100.0,3.0
2023-09-05,69.11,70.0,59.0,100.0,3.0
2023-09-06,66.5,60.0,59.0,100.0,3.0
2023-09-07,69.22,70.0,59.0,100.0,3.0
2023-09-08,64.88,52.0,59.0,100.0,3.0
2023-09-11,66.85,60.0,59.0,100.0,3.0
2023-09-12,66.28,60.0,59.0,100.0,3.0
2023-09-13,63.13,60.0,59.0,88.0,3.0
2023-09-14,58.69,60.0,59.0,70.0,3.0
2023-09-15,56.26,38.0,59.0,70.0,0.0
2023-09-18,52.91,38.0,59.0,70.0,3.0
2023-09-20,55.03,47.0,59.0,70.0,3.0
2023-09-21,52.39,38.0,59.0,70.0,3.0
2023-09-22,53.71,43.0,59.0,70.0,3.0
2023-09-25,56.07,52.0,59.0,70.0,3.0
2023-09-26,53.69,42.0,59.0,70.0,3.0
2023-09-27,53.68,42.0,59.0,70.0,3.0
2023-09-28,52.51,38.0,59.0,70.0,3.0
2023-09-29,53.85,43.0,59.0,70.0,3.0
2023-10-03,53.18,28.0,59.0,70.0,0.0
2023-10-04,51.6,23.0,59.0,70.0,0.0
2023-10-05,51.65,23.0,59.0,70.0,0.0
2023-10-06,55.47,38.0,59.0,70.0,0.0
2023-10-09,54.67,38.0,59.0,70.0,0.0
2023-10-10,52.63,28.0,59.0,70.0,0.0
2023-10-11,60.72,60.0,59.0,70.0,0.0
2023-10-12,58.62,50.0,59.0,70.0,0.0
2023-10-13,57.17,45.0,59.0,70.0,0.0
2023-10-16,71.75,85.0,59.0,88.0,0.0
2023-10-17,71.75,72.0,59.0,100.0,0.0
2023-10-18,68.94,62.0,59.0,100.0,0.0
2023-10-19,69.71,65.0,59.0,100.0,0.0
2023-10-20,69.79,67.0,59.0,100.0,0.0
2023-10-23,60.25,65.0,59.0,88.0,5.0
2023-10-25,64.97,65.0,59.0,88.0,0.0
2023-10-26,53.0,27.0,59.0,78.0,0.0
2023-10-27,51.8,32.0,59.0,78.0,3.0
2023-10-30,70.4,75.0,59.0,98.0,0.0
2023-10-31,66.56,60.0,59.0,98.0,0.0
2023-11-01,69.49,70.0,59.0,100.0,0.0
2023-11-02,65.78,65.0,59.0,100.0,3.0
2023-11-03,64.63,60.0,59.0,100.0,3.0
2023-11-06,66.14,65.0,59.0,100.0,3.0
2023-11-07,61.91,60.0,59.0,88.0,3.0
2023-11-08,63.35,65.0,59.0,88.0,3.0
2023-11-09,54.13,27.0,59.0,78.0,0.0
2023-11-10,52.56,32.0,59.0,78.0,3.0
2023-11-13,48.9,32.0,59.0,63.0,3.0
2023-11-15,45.14,23.0,59.0,45.0,0.0
2023-11-16,42.57,23.0,59.0,35.0,0.0
2023-11-17,46.43,37.0,59.0,35.0,0.0
2023-11-20,42.23,32.0,59.0,35.0,3.0
2023-11-21,43.19,23.0,59.0,35.0,0.0
2023-11-22,43.13,23.0,59.0,35.0,0.0
2023-11-23,41.48,28.0,59.0,35.0,3.0
2023-11-24,44.63,28.0,59.0,35.0,0.0
2023-11-28,45.82,33.0,59.0,35.0,0.0
2023-11-29,44.45,28.0,59.0,35.0,0.0
2023-11-30,61.29,85.0,59.0,43.0,0.0
2023-12-01,56.55,65.0,59.0,45.0,0.0
2023-12-04,63.78,75.0,59.0,63.0,0.0
2023-12-05,63.35,75.0,59.0,63.0,0.0
2023-12-06,59.54,60.0,59.0,63.0,0.0
2023-12-07,59.85,60.0,59.0,63.0,0.0
2023-12-08,56.59,60.0,59.0,63.0,3.0
2023-12-11,52.98,65.0,59.0,43.0,3.0
2023-12-12,54.35,60.0,59.0,43.0,0.0
2023-12-13,51.55,60.0,59.0,43.0,3.0
2023-12-14,56.16,65.0,59.0,43.0,0.0
2023-12-15,59.98,60.0,59.0,63.0,0.0
2023-12-18,57.97,65.0,59.0,63.0,3.0
2023-12-19,56.54,60.0,59.0,63.0,3.0
2023-12-20,65.71,70.0,59.0,80.0,0.0
2023-12-21,59.5,60.0,59.0,63.0,0.0
2023-12-22,59.69,65.0,59.0,70.0,3.0
2023-12-26,59.87,65.0,59.0,70.0,3.0
2023-12-27,62.87,65.0,59.0,70.0,0.0
2023-12-28,56.8,60.0,59.0,63.0,3.0
2023-12-29,61.03,65.0,59.0,63.0,0.0
2024-01-01,59.81,60.0,59.0,63.0,0.0
2024-01-02,53.37,65.0,59.0,45.0,3.0
2024-01-03,47.74,42.0,59.0,45.0,3.0
2024-01-04,52.17,47.0,59.0,45.0,0.0
2024-01-05,47.08,27.0,59.0,45.0,0.0
2024-01-08,46.08,23.0,59.0,45.0,0.0
2024-01-09,46.16,23.0,59.0,45.0,0.0
2024-01-10,44.5,28.0,59.0,45.0,3.0
2024-01-11,46.1,23.0,59.0,45.0,0.0
2024-01-12,45.92,23.0,59.0,45.0,0.0
2024-01-15,43.46,38.0,59.0,20.0,0.0
2024-01-16,39.6,33.0,59.0,10.0,0.0
2024-01-17,37.08,23.0,59.0,10.0,0.0
2024-01-18,38.58,29.0,59.0,10.0,0.0
2024-01-19,43.44,48.0,59.0,10.0,0.0
2024-01-23,41.66,43.0,59.0,10.0,0.0
2024-01-24,38.56,28.0,59.0,10.0,0.0
2024-01-25,38.4,28.0,59.0,10.0,0.0
2024-01-29,40.97,37.0,59.0,10.0,0.0
2024-01-30,43.31,37.0,59.0,20.0,0.0
2024-01-31,40.01,33.0,59.0,10.0,0.0
2024-02-01,37.25,23.0,59.0,10.0,0.0
2024-02-02,36.52,32.0,59.0,10.0,3.0
2024-02-05,39.37,32.0,59.0,10.0,0.0
2024-02-06,35.28,27.0,59.0,10.0,3.0
2024-02-07,39.47,32.0,59.0,10.0,0.0
2024-02-08,34.23,23.0,59.0,10.0,3.0
2024-02-09,36.79,23.0,59.0,10.0,0.0
2024-02-12,33.36,23.0,59.0,10.0,3.0
2024-02-13,36.56,23.0,59.0,10.0,0.0
2024-02-14,22.54,8.0,59.0,0.0,8.0
2024-02-15,23.78,13.0,59.0,0.0,8.0
2024-02-16,38.16,38.0,59.0,0.0,0.0
2024-02-19,39.99,37.0,59.0,8.0,0.0
2024-02-20,36.39,32.0,59.0,0.0,0.0
2024-02-21,34.03,23.0,59.0,0.0,0.0
2024-02-22,25.0,18.0,59.0,0.0,8.0
2024-02-23,42.29,47.0,59.0,8.0,0.0
2024-02-26,39.75,45.0,59.0,0.0,0.0
2024-02-27,46.0,60.0,59.0,10.0,0.0
2024-02-28,40.62,50.0,59.0,0.0,0.0
2024-02-29,46.76,65.0,59.0,8.0,0.0
2024-03-01,37.03,35.0,59.0,0.0,0.0
2024-03-04,35.09,27.0,59.0,0.0,0.0
2024-03-05,33.84,23.0,59.0,0.0,0.0
2024-03-06,34.62,28.0,59.0,0.0,0.0
2024-03-07,22.01,8.0,59.0,0.0,8.0
2024-03-11,36.92,37.0,59.0,0.0,0.0
2024-03-12,21.4,8.0,59.0,0.0,8.0
2024-03-13,18.06,18.0,59.0,0.0,13.0
2024-03-14,41.18,47.0,59.0,8.0,0.0
2024-03-15,28.02,27.0,59.0,8.0,8.0
2024-03-18,21.09,8.0,59.0,0.0,8.0
2024-03-19,22.04,13.0,59.0,0.0,8.0
2024-03-20,22.03,13.0,59.0,0.0,8.0
2024-03-21,25.44,22.0,59.0,0.0,8.0
2024-03-22,24.67,12.0,59.0,8.0,8.0
2024-03-26,24.06,17.0,59.0,0.0,8.0
2024-03-27,52.74,80.0,59.0,18.0,0.0
2024-03-28,50.12,70.0,59.0,18.0,0.0
2024-04-01,51.33,60.0,73.0,8.0,0.0
2024-04-02,47.12,50.0,73.0,0.0,0.0
2024-04-03,57.9,75.0,73.0,18.0,0.0
2024-04-04,53.95,60.0,73.0,18.0,0.0
2024-04-05,62.24,75.0,73.0,35.0,0.0
2024-04-08,56.77,60.0,73.0,28.0,0.0
2024-04-09,56.36,60.0,73.0,28.0,0.0
2024-04-10,54.12,60.0,73.0,18.0,0.0
2024-04-12,59.2,70.0,73.0,28.0,0.0
2024-04-15,40.4,27.0,73.0,28.0,8.0
2024-04-16,50.0,55.0,73.0,18.0,3.0
2024-04-18,59.28,70.0,73.0,28.0,0.0
2024-04-19,39.02,32.0,73.0,18.0,8.0
2024-04-22,64.51,70.0,73.0,48.0,0.0
2024-04-23,57.1,60.0,73.0,28.0,0.0
2024-04-24,58.34,65.0,73.0,28.0,0.0
2024-04-25,58.45,65.0,73.0,28.0,0.0
2024-04-26,62.24,80.0,73.0,28.0,0.0
2024-04-29,73.07,72.0,73.0,80.0,0.0
2024-04-30,73.14,72.0,73.0,80.0,0.0
2024-05-02,68.88,65.0,73.0,70.0,0.0
2024-05-03,73.66,85.0,73.0,70.0,0.0
2024-05-06,71.23,67.0,73.0,80.0,0.0
2024-05-07,68.29,57.0,73.0,80.0,0.0
2024-05-08,67.3,52.0,73.0,80.0,0.0
2024-05-09,66.69,52.0,73.0,80.0,0.0
2024-05-10,65.98,60.0,73.0,80.0,3.0
2024-05-13,67.21,65.0,73.0,80.0,3.0
2024-05-14,66.66,60.0,73.0,80.0,3.0
2024-05-15,69.31,70.0,73.0,80.0,3.0
2024-05-16,69.31,57.0,73.0,80.0,0.0
2024-05-17,70.22,52.0,73.0,100.0,3.0
2024-05-21,69.01,47.0,73.0,100.0,3.0
2024-05-22,67.1,60.0,73.0,80.0,3.0
2024-05-23,73.35,65.0,73.0,100.0,3.0
2024-05-24,72.01,60.0,73.0,100.0,3.0
2024-05-27,78.78,75.0,73.0,100.0,0.0
2024-05-28,72.97,65.0,73.0,100.0,3.0
2024-05-29,74.83,60.0,73.0,100.0,0.0
2024-05-30,70.96,60.0,73.0,98.0,3.0
