scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,46.6,65.0,5.0,100.0,4.0
2023-09-05,45.41,60.0,5.0,100.0,4.0
2023-09-06,51.68,85.0,5.0,100.0,4.0
2023-09-07,45.51,60.0,5.0,100.0,4.0
2023-09-08,43.65,65.0,5.0,100.0,7.0
2023-09-11,40.49,52.0,5.0,100.0,7.0
2023-09-12,39.67,60.0,5.0,100.0,9.0
2023-09-13,39.78,60.0,5.0,80.0,4.0
2023-09-14,47.48,70.0,5.0,100.0,4.0
2023-09-15,44.61,70.0,5.0,100.0,7.0
2023-09-18,40.77,60.0,5.0,95.0,7.0
2023-09-20,34.27,42.0,5.0,88.0,7.0
2023-09-21,49.72,80.0,5.0,100.0,4.0
2023-09-22,41.18,60.0,5.0,98.0,7.0
2023-09-25,39.98,65.0,5.0,88.0,7.0
2023-09-26,32.92,65.0,5.0,60.0,7.0
2023-09-27,45.7,75.0,5.0,88.0,4.0
2023-09-28,51.12,85.0,5.0,100.0,4.0
2023-09-29,46.65,67.0,5.0,100.0,4.0
2023-10-03,44.15,57.0,5.0,100.0,4.0
2023-10-04,44.15,60.0,5.0,98.0,4.0
2023-10-05,47.97,72.0,5.0,100.0,4.0
2023-10-06,41.74,47.0,5.0,100.0,4.0
2023-10-09,45.66,65.0,5.0,100.0,4.0
2023-10-10,45.89,65.0,5.0,100.0,4.0
2023-10-11,44.87,60.0,5.0,100.0,4.0
2023-10-12,49.96,80.0,5.0,100.0,4.0
2023-10-13,44.91,60.0,5.0,100.0,4.0
2023-10-16,44.84,60.0,5.0,100.0,4.0
2023-10-17,43.16,65.0,5.0,100.0,7.0
2023-10-18,43.07,65.0,5.0,100.0,7.0
2023-10-19,46.02,65.0,5.0,100.0,4.0
2023-10-20,45.82,65.0,5.0,100.0,4.0
2023-10-23,40.09,65.0,5.0,100.0,9.0
2023-10-25,41.24,52.0,5.0,98.0,4.0
2023-10-26,37.87,38.0,5.0,98.0,4.0
2023-10-27,41.82,52.0,5.0,98.0,4.0
2023-10-30,39.34,65.0,5.0,88.0,7.0
2023-10-31,42.32,65.0,5.0,88.0,4.0
2023-11-01,31.87,42.0,5.0,70.0,4.0
2023-11-02,23.64,38.0,5.0,60.0,9.0
2023-11-03,24.97,38.0,5.0,45.0,4.0
2023-11-06,30.11,43.0,5.0,60.0,4.0
2023-11-07,25.18,23.0,5.0,60.0,4.0
2023-11-08,22.29,23.0,5.0,60.0,7.0
2023-11-09,26.43,28.0,5.0,60.0,4.0
2023-11-10,23.46,28.0,5.0,60.0,7.0
2023-11-13,23.76,28.0,5.0,60.0,7.0
2023-11-15,22.59,23.0,5.0,60.0,7.0
2023-11-16,23.95,28.0,5.0,60.0,7.0
2023-11-17,23.84,28.0,5.0,60.0,7.0
2023-11-20,28.11,33.0,5.0,60.0,4.0
2023-11-21,24.94,32.0,5.0,60.0,7.0
2023-11-22,23.85,27.0,5.0,60.0,7.0
2023-11-23,28.25,32.0,5.0,60.0,4.0
2023-11-24,30.22,40.0,5.0,60.0,4.0
2023-11-28,25.04,35.0,5.0,45.0,4.0
2023-11-29,20.62,27.0,5.0,35.0,4.0
