scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,34.54,37.0,5.0,80.0,4.0
2023-09-05,44.57,57.0,5.0,100.0,4.0
2023-09-06,41.58,50.0,5.0,95.0,4.0
2023-09-07,34.83,50.0,5.0,80.0,7.0
2023-09-08,34.67,50.0,5.0,80.0,7.0
2023-09-11,35.83,55.0,5.0,80.0,7.0
2023-09-12,34.02,50.0,5.0,80.0,7.0
2023-09-13,35.72,55.0,5.0,80.0,7.0
2023-09-14,34.63,50.0,5.0,80.0,7.0
2023-09-15,34.72,50.0,5.0,80.0,7.0
2023-09-18,39.28,60.0,5.0,90.0,7.0
2023-09-20,41.53,60.0,5.0,100.0,7.0
2023-09-21,38.96,50.0,5.0,100.0,7.0
2023-09-22,41.45,60.0,5.0,100.0,7.0
2023-09-25,40.23,55.0,5.0,100.0,7.0
2023-09-26,38.79,50.0,5.0,100.0,7.0
2023-09-27,39.08,50.0,5.0,100.0,7.0
2023-09-28,36.06,50.0,5.0,88.0,7.0
2023-09-29,31.98,50.0,5.0,70.0,7.0
2023-10-03,32.0,50.0,5.0,70.0,7.0
2023-10-04,29.65,42.0,5.0,70.0,7.0
2023-10-05,31.01,47.0,5.0,70.0,7.0
2023-10-06,37.24,60.0,5.0,70.0,4.0
2023-10-09,32.2,42.0,5.0,70.0,4.0
2023-10-10,30.72,47.0,5.0,70.0,7.0
2023-10-11,32.05,52.0,5.0,70.0,7.0
2023-10-12,35.21,55.0,5.0,78.0,7.0
2023-10-13,27.85,42.0,5.0,50.0,4.0
2023-10-16,27.15,42.0,5.0,60.0,7.0
2023-10-17,34.73,42.0,5.0,78.0,4.0
2023-10-18,27.74,42.0,5.0,50.0,4.0
2023-10-19,30.2,42.0,5.0,60.0,4.0
2023-10-20,29.9,42.0,5.0,60.0,4.0
2023-10-23,26.73,33.0,5.0,60.0,4.0
2023-10-25,20.26,33.0,5.0,35.0,4.0
2023-10-26,9.95,9.0,5.0,50.0,12.0
2023-10-27,24.26,33.0,5.0,50.0,4.0
2023-10-30,21.78,23.0,5.0,50.0,4.0
2023-10-31,15.02,23.0,5.0,35.0,7.0
2023-11-01,15.0,23.0,5.0,35.0,7.0
2023-11-02,25.92,38.0,5.0,50.0,4.0
2023-11-03,18.44,23.0,5.0,35.0,4.0
2023-11-06,20.84,32.0,5.0,35.0,4.0
2023-11-07,31.23,55.0,5.0,53.0,4.0
2023-11-08,45.24,75.0,5.0,88.0,4.0
2023-11-09,24.5,45.0,5.0,35.0,4.0
2023-11-10,24.39,45.0,5.0,35.0,4.0
2023-11-13,25.72,50.0,5.0,35.0,4.0
2023-11-15,35.2,70.0,5.0,53.0,4.0
2023-11-16,29.1,45.0,5.0,53.0,4.0
2023-11-17,23.76,42.0,5.0,35.0,4.0
2023-11-20,21.45,32.0,5.0,35.0,4.0
2023-11-21,21.6,32.0,5.0,35.0,4.0
2023-11-22,39.55,75.0,5.0,63.0,4.0
2023-11-23,42.39,65.0,5.0,85.0,4.0
2023-11-24,47.81,75.0,5.0,95.0,4.0
2023-11-28,43.95,60.0,5.0,95.0,4.0
2023-11-29,38.7,50.0,5.0,85.0,4.0
2023-11-30,30.83,50.0,5.0,53.0,4.0
2023-12-01,22.0,50.0,5.0,18.0,4.0
2023-12-04,19.95,42.0,5.0,18.0,4.0
2023-12-05,15.98,27.0,5.0,18.0,4.0
2023-12-06,15.82,27.0,5.0,18.0,4.0
2023-12-07,27.88,75.0,5.0,18.0,4.0
2023-12-08,30.23,70.0,5.0,33.0,4.0
2023-12-11,23.89,60.0,5.0,18.0,4.0
2023-12-12,28.7,60.0,5.0,38.0,4.0
2023-12-13,21.47,50.0,5.0,18.0,4.0
2023-12-14,32.68,75.0,5.0,38.0,4.0
2023-12-15,39.63,70.0,5.0,70.0,4.0
2023-12-18,42.67,72.0,5.0,80.0,4.0
2023-12-19,47.58,72.0,5.0,100.0,4.0
2023-12-20,32.51,65.0,5.0,70.0,9.0
2023-12-21,38.24,65.0,5.0,70.0,4.0
2023-12-22,35.83,55.0,5.0,70.0,4.0
2023-12-26,30.06,50.0,5.0,63.0,7.0
2023-12-27,32.93,50.0,5.0,63.0,4.0
2023-12-28,32.79,50.0,5.0,63.0,4.0
2023-12-29,31.05,55.0,5.0,63.0,7.0
2024-01-01,32.93,55.0,5.0,70.0,7.0
2024-01-02,36.05,55.0,5.0,80.0,7.0
2024-01-03,34.93,50.0,5.0,80.0,7.0
2024-01-04,41.64,65.0,5.0,80.0,4.0
2024-01-05,34.82,55.0,5.0,63.0,4.0
2024-01-08,31.73,55.0,5.0,63.0,7.0
2024-01-09,51.58,85.0,5.0,100.0,4.0
2024-01-10,51.49,85.0,5.0,100.0,4.0
2024-01-11,41.74,65.0,5.0,80.0,4.0
2024-01-12,48.23,72.0,5.0,100.0,4.0
2024-01-15,48.13,72.0,5.0,100.0,4.0
2024-01-16,44.18,57.0,5.0,100.0,4.0
2024-01-17,44.62,60.0,5.0,100.0,4.0
2024-01-18,46.72,67.0,5.0,100.0,4.0
2024-01-19,44.89,60.0,5.0,100.0,4.0
2024-01-23,38.89,60.0,5.0,98.0,9.0
2024-01-24,47.3,70.0,5.0,100.0,4.0
2024-01-25,45.89,65.0,5.0,100.0,4.0
2024-01-29,48.49,75.0,5.0,100.0,4.0
2024-01-30,44.85,60.0,5.0,100.0,4.0
2024-01-31,46.38,65.0,5.0,100.0,4.0
2024-02-01,41.76,60.0,5.0,100.0,7.0
2024-02-02,50.86,85.0,5.0,100.0,4.0
2024-02-05,47.51,72.0,5.0,100.0,4.0
2024-02-06,42.86,52.0,5.0,100.0,4.0
2024-02-07,46.67,67.0,5.0,100.0,4.0
2024-02-08,39.8,60.0,5.0,100.0,9.0
2024-02-09,44.51,60.0,5.0,100.0,4.0
2024-02-12,33.3,50.0,5.0,100.0,12.0
2024-02-13,35.48,50.0,5.0,88.0,7.0
2024-02-14,38.2,60.0,5.0,88.0,7.0
2024-02-15,35.96,50.0,5.0,88.0,7.0
2024-02-16,37.48,55.0,5.0,88.0,7.0
2024-02-19,36.28,50.0,5.0,88.0,7.0
2024-02-20,36.21,50.0,5.0,88.0,7.0
2024-02-21,34.04,42.0,5.0,88.0,7.0
2024-02-22,38.56,60.0,5.0,88.0,7.0
2024-02-23,37.28,55.0,5.0,88.0,7.0
2024-02-26,29.36,42.0,5.0,70.0,7.0
2024-02-27,29.18,42.0,5.0,70.0,7.0
2024-02-28,28.8,42.0,5.0,70.0,7.0
2024-02-29,24.16,23.0,5.0,70.0,7.0
2024-03-01,31.45,52.0,5.0,70.0,7.0
2024-03-04,17.72,23.0,5.0,45.0,7.0
2024-03-05,19.57,32.0,5.0,45.0,7.0
2024-03-06,15.11,23.0,5.0,45.0,9.0
2024-03-07,12.18,28.0,5.0,20.0,7.0
2024-03-11,5.89,23.0,5.0,10.0,9.0
2024-03-12,15.74,33.0,5.0,20.0,4.0
2024-03-13,0.0,9.0,5.0,0.0,17.0
2024-03-14,0.0,19.0,5.0,0.0,12.0
2024-03-15,0.0,9.0,5.0,0.0,12.0
2024-03-18,0.0,4.0,5.0,0.0,12.0
2024-03-19,0.0,4.0,5.0,0.0,12.0
2024-03-20,0.0,4.0,5.0,0.0,12.0
2024-03-21,0.0,18.0,5.0,10.0,15.0
2024-03-22,13.21,33.0,5.0,10.0,4.0
2024-03-26,0.0,13.0,5.0,0.0,12.0
2024-03-27,0.23,23.0,5.0,0.0,12.0
2024-03-28,0.0,18.0,5.0,0.0,12.0
2024-04-01,0.24,18.0,5.0,0.0,12.0
2024-04-02,0.53,18.0,5.0,0.0,12.0
2024-04-03,18.43,47.0,5.0,10.0,4.0
2024-04-04,13.42,27.0,5.0,10.0,4.0
2024-04-05,21.87,50.0,5.0,20.0,4.0
2024-04-08,13.59,27.0,5.0,10.0,4.0
2024-04-09,10.32,27.0,5.0,10.0,7.0
2024-04-10,10.53,27.0,5.0,10.0,7.0
2024-04-12,10.66,27.0,5.0,10.0,7.0
2024-04-15,2.75,8.0,5.0,18.0,12.0
2024-04-16,4.23,13.0,5.0,18.0,12.0
2024-04-18,0.0,8.0,5.0,18.0,15.0
2024-04-19,0.0,8.0,5.0,18.0,15.0
2024-04-22,1.33,13.0,5.0,18.0,15.0
2024-04-23,3.84,13.0,5.0,28.0,15.0
2024-04-24,23.12,45.0,5.0,28.0,4.0
2024-04-25,21.63,50.0,5.0,18.0,4.0
2024-04-26,17.62,35.0,5.0,28.0,7.0
2024-04-29,17.62,35.0,5.0,28.0,7.0
2024-04-30,18.77,27.0,5.0,28.0,4.0
2024-05-02,17.31,32.0,5.0,18.0,4.0
2024-05-03,2.91,8.0,5.0,18.0,12.0
2024-05-06,0.0,8.0,5.0,10.0,15.0
2024-05-07,0.1,8.0,5.0,10.0,12.0
2024-05-08,0.0,18.0,5.0,10.0,15.0
2024-05-09,0.0,8.0,5.0,10.0,12.0
2024-05-10,1.29,13.0,5.0,10.0,12.0
2024-05-13,0.0,8.0,5.0,10.0,12.0
2024-05-14,1.41,13.0,5.0,10.0,12.0
2024-05-15,4.82,17.0,5.0,18.0,12.0
2024-05-16,0.0,8.0,5.0,0.0,12.0
2024-05-17,2.67,17.0,5.0,10.0,12.0
2024-05-21,0.18,8.0,5.0,10.0,12.0
2024-05-22,13.91,55.0,5.0,18.0,12.0
2024-05-23,25.35,70.0,5.0,18.0,4.0
2024-05-24,21.96,65.0,5.0,10.0,4.0
2024-05-27,4.45,27.0,5.0,10.0,12.0
2024-05-28,0.0,23.0,5.0,10.0,17.0
2024-05-29,2.11,18.0,5.0,10.0,12.0
2024-05-30,0.0,13.0,5.0,0.0,12.0
2024-05-31,0.0,13.0,5.0,0.0,12.0
2024-06-03,0.0,8.0,5.0,0.0,12.0
2024-06-04,0.0,13.0,5.0,0.0,12.0
2024-06-05,0.0,18.0,5.0,0.0,12.0
2024-06-06,0.0,13.0,5.0,0.0,12.0
2024-06-07,11.59,45.0,5.0,18.0,12.0
2024-06-10,3.68,20.0,5.0,10.0,12.0
2024-06-11,13.28,50.0,5.0,18.0,12.0
2024-06-12,10.89,40.0,5.0,18.0,12.0
2024-06-13,8.38,40.0,5.0,8.0,12.0
2024-06-14,3.61,20.0,5.0,8.0,12.0
2024-06-18,2.28,12.0,5.0,10.0,12.0
2024-06-19,0.0,12.0,5.0,10.0,15.0
2024-06-20,0.0,17.0,5.0,0.0,15.0
2024-06-21,12.92,55.0,5.0,10.0,12.0
2024-06-24,4.17,20.0,5.0,10.0,12.0
2024-06-25,2.16,12.0,5.0,10.0,12.0
2024-06-26,6.75,22.0,5.0,18.0,12.0
2024-06-27,1.3,12.0,5.0,8.0,12.0
2024-06-28,0.62,8.0,5.0,8.0,12.0
2024-07-01,0.31,17.0,5.0,8.0,15.0
2024-07-02,3.5,8.0,5.0,18.0,12.0
2024-07-03,5.05,17.0,5.0,15.0,12.0
2024-07-04,3.37,17.0,5.0,8.0,12.0
2024-07-05,2.35,12.0,5.0,8.0,12.0
2024-07-08,0.0,8.0,5.0,0.0,12.0
2024-07-09,0.0,8.0,5.0,0.0,12.0
2024-07-10,0.0,8.0,5.0,0.0,12.0
2024-07-11,0.0,8.0,5.0,0.0,12.0
2024-07-12,4.28,32.0,5.0,0.0,12.0
2024-07-15,0.0,8.0,5.0,0.0,12.0
2024-07-16,0.0,8.0,5.0,0.0,12.0
2024-07-18,0.0,13.0,5.0,0.0,12.0
2024-07-19,0.0,8.0,5.0,0.0,15.0
2024-07-22,0.0,8.0,5.0,0.0,12.0
2024-07-23,0.0,13.0,5.0,0.0,12.0
2024-07-24,0.0,8.0,5.0,0.0,12.0
2024-07-25,0.0,8.0,5.0,0.0,12.0
2024-07-26,2.75,23.0,5.0,0.0,12.0
2024-07-29,1.46,18.0,5.0,0.0,12.0
2024-07-30,1.56,18.0,5.0,0.0,12.0
2024-07-31,0.4,13.0,5.0,0.0,12.0
2024-08-01,0.0,8.0,5.0,0.0,12.0
2024-08-02,0.0,8.0,5.0,0.0,12.0
2024-08-05,0.0,9.0,5.0,0.0,12.0
2024-08-06,0.0,4.0,5.0,0.0,20.0
2024-08-07,4.96,32.0,5.0,0.0,12.0
2024-08-08,3.59,27.0,5.0,0.0,12.0
2024-08-09,0.0,8.0,5.0,0.0,12.0
2024-08-12,0.0,8.0,5.0,0.0,15.0
2024-08-13,0.0,8.0,5.0,0.0,12.0
2024-08-14,0.0,8.0,5.0,0.0,12.0
2024-08-16,0.0,8.0,5.0,0.0,12.0
2024-08-19,0.52,13.0,5.0,0.0,12.0
2024-08-20,0.69,13.0,5.0,0.0,12.0
2024-08-21,3.45,23.0,5.0,0.0,12.0
2024-08-22,7.0,37.0,5.0,0.0,12.0
2024-08-23,1.84,17.0,5.0,0.0,12.0
2024-08-26,0.0,8.0,5.0,0.0,12.0
2024-08-27,0.0,8.0,5.0,0.0,12.0
2024-08-28,0.0,8.0,5.0,0.0,15.0
2024-08-29,0.0,8.0,5.0,0.0,12.0
2024-08-30,0.0,8.0,5.0,0.0,12.0
2024-09-02,0.0,8.0,5.0,0.0,12.0
2024-09-03,0.0,8.0,5.0,0.0,12.0
2024-09-04,2.39,8.0,5.0,8.0,12.0
2024-09-05,1.63,13.0,5.0,0.0,12.0
2024-09-06,1.47,13.0,5.0,0.0,12.0
2024-09-09,0.25,8.0,5.0,0.0,12.0
2024-09-10,1.69,13.0,5.0,0.0,12.0
2024-09-11,1.63,13.0,5.0,0.0,12.0
2024-09-12,1.68,13.0,5.0,0.0,12.0
2024-09-13,0.44,8.0,5.0,0.0,12.0
2024-09-16,0.43,8.0,5.0,0.0,12.0
2024-09-17,2.9,18.0,5.0,0.0,12.0
2024-09-18,15.1,60.0,5.0,8.0,12.0
2024-09-19,12.05,50.0,5.0,8.0,12.0
2024-09-20,3.25,22.0,5.0,0.0,12.0
2024-09-23,3.98,25.0,5.0,0.0,12.0
2024-09-24,2.68,20.0,5.0,0.0,12.0
2024-09-25,0.57,12.0,5.0,0.0,12.0
2024-09-26,0.31,12.0,5.0,0.0,12.0
2024-09-27,14.41,60.0,5.0,8.0,12.0
2024-09-30,21.33,60.0,5.0,35.0,12.0
2024-10-01,23.21,47.0,5.0,55.0,12.0
2024-10-03,8.17,40.0,5.0,25.0,17.0
2024-10-04,9.93,35.0,5.0,18.0,12.0
2024-10-07,0.0,12.0,5.0,8.0,17.0
2024-10-08,7.45,37.0,5.0,18.0,15.0
2024-10-09,8.26,40.0,5.0,18.0,15.0
2024-10-10,8.05,40.0,5.0,18.0,15.0
2024-10-11,7.02,35.0,5.0,18.0,15.0
2024-10-14,1.26,12.0,5.0,18.0,15.0
2024-10-15,6.41,32.0,5.0,18.0,15.0
2024-10-16,1.57,12.0,5.0,18.0,15.0
2024-10-17,0.0,12.0,5.0,0.0,15.0
2024-10-18,0.0,8.0,5.0,0.0,15.0
2024-10-21,0.0,8.0,5.0,0.0,12.0
2024-10-22,0.0,8.0,5.0,0.0,15.0
2024-10-23,0.0,18.0,5.0,0.0,15.0
2024-10-24,0.0,13.0,5.0,0.0,15.0
2024-10-25,0.0,8.0,5.0,0.0,15.0
2024-10-28,0.0,18.0,5.0,0.0,15.0
