scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,21.26,40.0,9.0,18.0,4.0
2023-09-05,27.56,65.0,9.0,18.0,4.0
2023-09-06,23.83,50.0,9.0,18.0,4.0
2023-09-07,26.41,60.0,9.0,18.0,4.0
2023-09-08,23.8,50.0,9.0,18.0,4.0
2023-09-11,25.14,55.0,9.0,18.0,4.0
2023-09-12,23.07,50.0,9.0,18.0,4.0
2023-09-13,17.43,27.0,9.0,18.0,4.0
2023-09-14,21.63,55.0,9.0,18.0,7.0
2023-09-15,17.76,27.0,9.0,18.0,4.0
2023-09-18,22.67,47.0,9.0,18.0,4.0
2023-09-20,24.42,55.0,9.0,18.0,4.0
2023-09-21,21.12,42.0,9.0,18.0,4.0
2023-09-22,12.33,27.0,9.0,10.0,7.0
2023-09-25,13.63,32.0,9.0,10.0,7.0
2023-09-26,22.32,55.0,9.0,10.0,4.0
2023-09-27,21.35,50.0,9.0,10.0,4.0
2023-09-28,14.52,23.0,9.0,10.0,4.0
2023-09-29,14.55,23.0,9.0,10.0,4.0
2023-10-03,17.05,33.0,9.0,10.0,4.0
2023-10-04,22.3,55.0,9.0,10.0,4.0
2023-10-05,19.37,42.0,9.0,10.0,4.0
2023-10-06,22.64,55.0,9.0,10.0,4.0
2023-10-09,22.06,55.0,9.0,10.0,4.0
2023-10-10,24.79,65.0,9.0,10.0,4.0
2023-10-11,25.02,65.0,9.0,10.0,4.0
2023-10-12,22.61,55.0,9.0,10.0,4.0
2023-10-13,27.06,65.0,9.0,18.0,4.0
2023-10-16,25.74,60.0,9.0,18.0,4.0
2023-10-17,25.81,60.0,9.0,18.0,4.0
2023-10-18,33.72,62.0,9.0,48.0,4.0
2023-10-19,32.42,57.0,9.0,48.0,4.0
2023-10-20,29.22,55.0,9.0,38.0,4.0
2023-10-23,25.24,42.0,9.0,38.0,4.0
2023-10-25,34.64,70.0,9.0,48.0,4.0
2023-10-26,29.77,50.0,9.0,48.0,4.0
2023-10-27,31.47,55.0,9.0,48.0,4.0
2023-10-30,31.24,55.0,9.0,48.0,4.0
2023-10-31,26.96,50.0,9.0,48.0,7.0
2023-11-01,29.77,50.0,9.0,48.0,4.0
2023-11-02,28.79,55.0,9.0,38.0,4.0
2023-11-03,31.37,55.0,9.0,48.0,4.0
2023-11-06,37.76,80.0,9.0,48.0,4.0
2023-11-07,41.33,72.0,9.0,70.0,4.0
2023-11-08,38.94,62.0,9.0,70.0,4.0
2023-11-09,38.33,60.0,9.0,70.0,4.0
2023-11-10,34.86,65.0,9.0,63.0,7.0
2023-11-13,35.16,65.0,9.0,63.0,7.0
2023-11-15,38.24,65.0,9.0,63.0,4.0
2023-11-16,40.6,67.0,9.0,70.0,4.0
2023-11-17,38.24,65.0,9.0,63.0,4.0
2023-11-20,37.01,60.0,9.0,63.0,4.0
2023-11-21,42.59,65.0,9.0,80.0,4.0
2023-11-22,36.0,60.0,9.0,70.0,7.0
2023-11-23,39.15,60.0,9.0,70.0,4.0
2023-11-24,39.12,60.0,9.0,70.0,4.0
2023-11-28,34.69,60.0,9.0,53.0,4.0
2023-11-29,32.27,65.0,9.0,38.0,4.0
2023-11-30,33.51,70.0,9.0,38.0,4.0
2023-12-01,37.77,70.0,9.0,55.0,4.0
2023-12-04,32.76,60.0,9.0,45.0,4.0
2023-12-05,29.33,60.0,9.0,45.0,7.0
2023-12-06,31.9,65.0,9.0,38.0,4.0
2023-12-07,27.98,60.0,9.0,38.0,7.0
2023-12-08,32.04,65.0,9.0,38.0,4.0
2023-12-11,32.21,65.0,9.0,38.0,4.0
2023-12-12,42.03,72.0,9.0,70.0,4.0
2023-12-13,32.77,52.0,9.0,53.0,4.0
2023-12-14,38.25,62.0,9.0,63.0,4.0
2023-12-15,37.03,57.0,9.0,63.0,4.0
2023-12-18,35.65,52.0,9.0,63.0,4.0
2023-12-19,37.61,60.0,9.0,63.0,4.0
2023-12-20,34.56,60.0,9.0,53.0,4.0
2023-12-21,38.65,65.0,9.0,63.0,4.0
2023-12-22,38.72,65.0,9.0,63.0,4.0
2023-12-26,34.47,60.0,9.0,63.0,7.0
2023-12-27,34.4,60.0,9.0,63.0,7.0
2023-12-28,27.99,60.0,9.0,38.0,7.0
2023-12-29,27.94,60.0,9.0,38.0,7.0
2024-01-01,30.9,60.0,9.0,48.0,7.0
2024-01-02,34.55,60.0,9.0,63.0,7.0
2024-01-03,23.79,42.0,9.0,38.0,7.0
2024-01-04,29.71,65.0,9.0,38.0,7.0
2024-01-05,29.85,65.0,9.0,38.0,7.0
2024-01-08,23.96,42.0,9.0,38.0,7.0
2024-01-09,32.91,65.0,9.0,38.0,4.0
2024-01-10,28.33,65.0,9.0,20.0,4.0
2024-01-11,27.08,60.0,9.0,20.0,4.0
2024-01-12,31.24,75.0,9.0,20.0,4.0
2024-01-15,27.29,60.0,9.0,20.0,4.0
2024-01-16,22.52,42.0,9.0,20.0,4.0
2024-01-17,22.2,42.0,9.0,20.0,4.0
2024-01-18,21.49,38.0,9.0,20.0,4.0
2024-01-19,19.03,28.0,9.0,20.0,4.0
2024-01-23,19.59,33.0,9.0,20.0,4.0
2024-01-24,7.31,34.0,9.0,20.0,17.0
2024-01-25,11.03,29.0,9.0,20.0,12.0
2024-01-29,9.84,24.0,9.0,20.0,12.0
2024-01-30,7.24,24.0,9.0,10.0,12.0
2024-01-31,8.71,29.0,9.0,10.0,12.0
2024-02-01,9.81,24.0,9.0,20.0,12.0
2024-02-02,9.82,24.0,9.0,20.0,12.0
2024-02-05,0.0,4.0,9.0,20.0,20.0
2024-02-06,20.15,33.0,9.0,20.0,4.0
2024-02-07,16.32,28.0,9.0,10.0,4.0
2024-02-08,14.89,23.0,9.0,10.0,4.0
2024-02-09,2.78,8.0,9.0,10.0,12.0
2024-02-12,1.07,4.0,9.0,10.0,12.0
2024-02-13,1.12,4.0,9.0,10.0,12.0
2024-02-14,1.17,4.0,9.0,10.0,12.0
2024-02-15,0.0,9.0,9.0,10.0,15.0
2024-02-16,3.7,13.0,9.0,10.0,12.0
2024-02-19,17.94,38.0,9.0,10.0,4.0
2024-02-20,18.71,42.0,9.0,10.0,4.0
2024-02-21,14.93,27.0,9.0,10.0,4.0
2024-02-22,18.16,32.0,9.0,18.0,4.0
2024-02-23,20.9,42.0,9.0,18.0,4.0
2024-02-26,16.02,23.0,9.0,18.0,4.0
2024-02-27,4.25,8.0,9.0,18.0,12.0
2024-02-28,1.74,8.0,9.0,10.0,12.0
2024-02-29,24.89,60.0,9.0,18.0,4.0
2024-03-01,19.1,37.0,9.0,18.0,4.0
2024-03-04,4.74,12.0,9.0,18.0,12.0
2024-03-05,1.46,8.0,9.0,10.0,12.0
2024-03-06,1.06,8.0,9.0,10.0,12.0
2024-03-07,7.25,32.0,9.0,10.0,12.0
2024-03-11,6.21,22.0,9.0,18.0,12.0
2024-03-12,2.34,8.0,9.0,18.0,12.0
2024-03-13,1.03,23.0,9.0,0.0,12.0
2024-03-14,7.98,30.0,9.0,18.0,12.0
2024-03-15,4.37,17.0,9.0,18.0,12.0
2024-03-18,3.12,12.0,9.0,18.0,12.0
2024-03-19,0.93,12.0,9.0,10.0,12.0
2024-03-20,0.0,8.0,9.0,10.0,15.0
2024-03-21,4.6,25.0,9.0,10.0,12.0
2024-03-22,0.0,12.0,9.0,10.0,15.0
2024-03-26,2.48,17.0,9.0,10.0,12.0
2024-03-27,2.59,17.0,9.0,10.0,12.0
2024-03-28,24.56,65.0,9.0,18.0,4.0
2024-04-01,10.29,35.0,9.0,18.0,12.0
2024-04-02,2.63,12.0,9.0,10.0,12.0
2024-04-03,31.22,85.0,9.0,18.0,4.0
2024-04-04,28.74,75.0,9.0,18.0,4.0
2024-04-05,26.36,65.0,9.0,18.0,4.0
2024-04-08,25.07,60.0,9.0,18.0,4.0
2024-04-09,24.94,60.0,9.0,18.0,4.0
2024-04-10,25.0,60.0,9.0,18.0,4.0
2024-04-12,8.85,27.0,9.0,18.0,12.0
2024-04-15,5.1,13.0,9.0,18.0,12.0
2024-04-16,3.28,13.0,9.0,10.0,12.0
2024-04-18,2.07,8.0,9.0,10.0,12.0
2024-04-19,1.75,8.0,9.0,10.0,12.0
2024-04-22,0.0,8.0,9.0,0.0,12.0
2024-04-23,0.0,8.0,9.0,0.0,12.0
2024-04-24,0.0,24.0,9.0,0.0,20.0
2024-04-25,0.0,9.0,9.0,0.0,12.0
2024-04-26,0.16,9.0,9.0,0.0,12.0
2024-04-29,0.0,4.0,9.0,0.0,12.0
2024-04-30,0.24,9.0,9.0,0.0,12.0
2024-05-02,1.13,13.0,9.0,0.0,12.0
2024-05-03,0.0,8.0,9.0,0.0,15.0
2024-05-06,0.0,8.0,9.0,0.0,15.0
2024-05-07,0.17,13.0,9.0,0.0,12.0
