scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-01,40.43,65.0,33.0,20.0,0.0
2023-09-04,40.72,65.0,33.0,20.0,0.0
2023-09-05,39.57,60.0,33.0,20.0,0.0
2023-09-06,40.46,65.0,33.0,20.0,0.0
2023-09-07,43.25,75.0,33.0,20.0,0.0
2023-09-08,46.66,70.0,33.0,38.0,0.0
2023-09-11,48.12,75.0,33.0,38.0,0.0
2023-09-12,40.33,65.0,33.0,20.0,0.0
2023-09-13,40.81,65.0,33.0,20.0,0.0
2023-09-14,37.82,65.0,33.0,20.0,3.0
2023-09-15,39.7,60.0,33.0,20.0,0.0
2023-09-18,55.94,72.0,33.0,73.0,0.0
2023-09-20,56.18,67.0,33.0,80.0,0.0
2023-09-21,54.98,70.0,33.0,73.0,0.0
2023-09-22,62.48,72.0,33.0,100.0,0.0
2023-09-25,62.37,72.0,33.0,100.0,0.0
2023-09-26,60.82,67.0,33.0,100.0,0.0
2023-09-27,62.53,72.0,33.0,100.0,0.0
2023-09-28,62.23,72.0,33.0,100.0,0.0
2023-09-29,58.58,57.0,33.0,100.0,0.0
2023-10-03,56.29,60.0,33.0,100.0,3.0
2023-10-04,59.21,62.0,33.0,100.0,0.0
2023-10-05,53.82,52.0,33.0,100.0,3.0
2023-10-06,56.21,60.0,33.0,100.0,3.0
2023-10-09,55.56,60.0,33.0,100.0,3.0
2023-10-10,57.42,65.0,33.0,100.0,3.0
2023-10-11,57.2,65.0,33.0,100.0,3.0
2023-10-12,56.23,60.0,33.0,100.0,3.0
2023-10-13,56.05,60.0,33.0,100.0,3.0
2023-10-16,55.94,60.0,33.0,100.0,3.0
2023-10-17,61.71,70.0,33.0,100.0,0.0
2023-10-18,55.78,60.0,33.0,100.0,3.0
2023-10-19,57.11,65.0,33.0,100.0,3.0
2023-10-20,55.75,60.0,33.0,100.0,3.0
2023-10-23,54.92,60.0,33.0,100.0,3.0
2023-10-25,47.2,42.0,33.0,88.0,3.0
2023-10-26,50.64,47.0,33.0,98.0,3.0
2023-10-27,50.19,70.0,33.0,70.0,3.0
2023-10-30,42.81,42.0,33.0,70.0,3.0
2023-10-31,51.79,65.0,33.0,70.0,0.0
2023-11-01,51.44,65.0,33.0,70.0,0.0
2023-11-02,51.98,65.0,33.0,70.0,0.0
2023-11-03,49.13,65.0,33.0,70.0,3.0
2023-11-06,52.12,65.0,33.0,70.0,0.0
2023-11-07,53.95,65.0,33.0,88.0,3.0
