scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2024-02-26,32.4,31.0,62.0,0.0,5.0
2024-02-27,36.13,26.0,62.0,0.0,0.0
2024-02-28,33.91,19.0,62.0,0.0,0.0
2024-02-29,38.64,36.0,62.0,0.0,0.0
2024-03-01,34.44,21.0,62.0,0.0,0.0
2024-03-04,30.08,16.0,62.0,0.0,3.0
2024-03-05,33.8,21.0,62.0,0.0,0.0
2024-03-06,32.49,16.0,62.0,0.0,0.0
2024-03-07,43.85,53.0,62.0,8.0,0.0
2024-03-11,33.46,21.0,62.0,0.0,0.0
2024-03-12,32.01,16.0,62.0,0.0,0.0
2024-03-13,32.64,21.0,62.0,0.0,0.0
2024-03-14,33.74,21.0,62.0,0.0,0.0
2024-03-15,32.4,16.0,62.0,0.0,0.0
2024-03-18,28.8,16.0,62.0,0.0,3.0
2024-03-19,28.29,16.0,62.0,0.0,3.0
2024-03-20,31.22,16.0,62.0,0.0,0.0
2024-03-21,31.99,16.0,62.0,0.0,0.0
2024-03-22,30.14,21.0,62.0,0.0,3.0
2024-03-26,31.66,16.0,62.0,0.0,0.0
2024-03-27,33.1,21.0,62.0,0.0,0.0
2024-03-28,31.94,16.0,62.0,0.0,0.0
2024-04-01,42.8,30.0,75.0,8.0,0.0
2024-04-02,48.66,53.0,75.0,8.0,0.0
2024-04-03,51.85,65.0,75.0,8.0,0.0
2024-04-04,51.96,55.0,75.0,18.0,0.0
2024-04-05,46.2,43.0,75.0,8.0,0.0
2024-04-08,46.2,43.0,75.0,8.0,0.0
2024-04-09,49.15,63.0,75.0,0.0,0.0
2024-04-10,46.1,43.0,75.0,8.0,0.0
2024-04-12,42.99,43.0,75.0,8.0,3.0
2024-04-15,39.86,20.0,75.0,8.0,0.0
2024-04-16,38.74,16.0,75.0,8.0,0.0
2024-04-18,36.66,16.0,75.0,0.0,0.0
2024-04-19,36.25,16.0,75.0,0.0,0.0
2024-04-22,36.94,21.0,75.0,8.0,3.0
2024-04-23,44.53,38.0,75.0,8.0,0.0
2024-04-24,43.91,48.0,75.0,8.0,3.0
2024-04-25,37.01,20.0,75.0,8.0,3.0
2024-04-26,38.63,25.0,75.0,8.0,3.0
2024-04-29,37.47,20.0,75.0,8.0,3.0
2024-04-30,38.62,25.0,75.0,8.0,3.0
2024-05-02,50.2,58.0,75.0,8.0,0.0
2024-05-03,45.31,48.0,75.0,0.0,0.0
2024-05-06,39.3,26.0,75.0,0.0,0.0
2024-05-07,36.67,16.0,75.0,0.0,0.0
2024-05-08,33.5,16.0,75.0,0.0,3.0
2024-05-09,36.31,16.0,75.0,0.0,0.0
2024-05-10,36.56,16.0,75.0,0.0,0.0
2024-05-13,34.84,21.0,75.0,0.0,3.0
2024-05-14,40.36,30.0,75.0,0.0,0.0
2024-05-15,34.99,20.0,75.0,0.0,3.0
2024-05-16,35.5,20.0,75.0,0.0,3.0
2024-05-17,35.21,20.0,75.0,0.0,3.0
2024-05-21,38.67,25.0,75.0,8.0,3.0
2024-05-22,38.94,25.0,75.0,8.0,3.0
2024-05-23,35.48,20.0,75.0,0.0,3.0
2024-05-24,50.18,68.0,75.0,0.0,0.0
2024-05-27,50.12,58.0,75.0,8.0,0.0
2024-05-28,43.76,43.0,75.0,0.0,0.0
2024-05-29,37.75,20.0,75.0,0.0,0.0
2024-05-30,37.4,20.0,75.0,0.0,0.0
2024-05-31,36.52,16.0,75.0,0.0,0.0
2024-06-03,39.02,26.0,75.0,0.0,0.0
2024-06-04,39.7,31.0,75.0,0.0,0.0
2024-06-05,38.13,21.0,75.0,0.0,0.0
2024-06-06,43.13,30.0,75.0,8.0,0.0
2024-06-07,51.26,58.0,75.0,8.0,0.0
2024-06-10,43.29,28.0,75.0,8.0,0.0
2024-06-11,45.87,38.0,75.0,8.0,0.0
2024-06-12,44.85,33.0,75.0,8.0,0.0
2024-06-13,46.34,38.0,75.0,8.0,0.0
2024-06-14,41.82,30.0,75.0,0.0,0.0
2024-06-18,44.71,30.0,75.0,10.0,0.0
2024-06-19,39.78,21.0,75.0,0.0,0.0
2024-06-20,42.33,31.0,75.0,0.0,0.0
2024-06-21,42.7,31.0,75.0,0.0,0.0
2024-06-24,39.93,21.0,75.0,0.0,0.0
2024-06-25,36.84,21.0,75.0,0.0,3.0
2024-06-26,36.74,21.0,75.0,0.0,3.0
2024-06-27,42.38,30.0,75.0,0.0,0.0
2024-06-28,43.74,25.0,75.0,10.0,0.0
2024-07-01,37.48,20.0,75.0,0.0,3.0
2024-07-02,36.32,16.0,75.0,0.0,3.0
