scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-05-27,17.47,60.0,4.0,0.0,4.0
2026-05-28,17.25,60.0,4.0,0.0,4.0
2026-05-29,6.68,17.0,4.0,0.0,4.0
2026-06-01,17.1,60.0,4.0,0.0,4.0
2026-06-02,12.51,42.0,4.0,0.0,4.0
2026-06-03,6.23,17.0,4.0,0.0,4.0
2026-06-04,3.31,17.0,4.0,0.0,7.0
2026-06-05,2.28,13.0,4.0,0.0,7.0
2026-06-08,4.18,22.0,4.0,0.0,7.0
2026-06-09,4.87,22.0,4.0,0.0,7.0
2026-06-10,5.2,17.0,4.0,8.0,7.0
2026-06-11,1.93,13.0,4.0,0.0,7.0
2026-06-12,2.41,13.0,4.0,0.0,7.0
2026-06-15,6.75,18.0,4.0,0.0,4.0
2026-06-16,3.71,18.0,4.0,0.0,7.0
2026-06-17,6.76,18.0,4.0,0.0,4.0
2026-06-18,6.94,18.0,4.0,0.0,4.0
2026-06-19,2.69,13.0,4.0,0.0,7.0
2026-06-22,7.84,21.0,4.0,0.0,4.0
2026-06-23,7.1,19.0,4.0,0.0,4.0
2026-06-24,5.89,14.0,4.0,0.0,4.0
2026-06-25,4.18,9.0,4.0,0.0,4.0
2026-06-26,4.14,9.0,4.0,0.0,4.0
2026-06-29,4.42,9.0,4.0,0.0,4.0
2026-06-30,5.21,14.0,4.0,0.0,4.0
2026-07-01,0.0,14.0,4.0,0.0,12.0
2026-07-02,5.41,14.0,4.0,0.0,4.0
2026-07-03,8.49,26.0,4.0,0.0,4.0
2026-07-06,12.32,42.0,4.0,0.0,4.0
2026-07-07,5.77,17.0,4.0,0.0,4.0
2026-07-08,0.18,16.0,4.0,0.0,9.0
2026-07-09,6.94,21.0,4.0,0.0,4.0
2026-07-10,8.15,26.0,4.0,0.0,4.0
2026-07-13,9.07,30.0,4.0,0.0,4.0
2026-07-14,2.78,26.0,4.0,0.0,9.0
2026-07-15,7.88,26.0,4.0,0.0,4.0
2026-07-16,7.78,26.0,4.0,0.0,4.0
2026-07-17,8.88,31.0,4.0,0.0,4.0
2026-07-20,5.06,16.0,4.0,0.0,4.0
2026-07-21,6.46,21.0,4.0,0.0,4.0
2026-07-22,5.77,19.0,4.0,0.0,4.0
2026-07-23,7.78,26.0,4.0,0.0,4.0
2026-07-24,3.34,9.0,4.0,0.0,4.0
2026-07-27,3.59,9.0,4.0,0.0,4.0
2026-07-28,4.66,14.0,4.0,0.0,4.0
2026-07-29,11.49,41.0,4.0,0.0,4.0
2026-07-30,11.14,41.0,4.0,0.0,4.0
2026-07-31,9.28,33.0,4.0,0.0,4.0
2026-08-03,5.57,18.0,4.0,0.0,4.0
2026-08-04,4.41,13.0,4.0,0.0,4.0
2026-08-05,5.38,16.0,4.0,0.0,4.0
2026-08-06,5.29,16.0,4.0,0.0,4.0
2026-08-07,6.5,21.0,4.0,0.0,4.0
2026-08-10,3.53,21.0,4.0,0.0,7.0
2026-08-11,2.15,16.0,4.0,0.0,7.0
2026-08-12,0.0,9.0,4.0,0.0,9.0
2026-08-13,6.53,21.0,4.0,0.0,4.0
2026-08-14,7.74,26.0,4.0,0.0,4.0
2026-08-17,5.13,16.0,4.0,0.0,4.0
2026-08-18,2.21,16.0,4.0,0.0,7.0
2026-08-19,4.92,16.0,4.0,0.0,4.0
2026-08-20,3.38,21.0,4.0,0.0,7.0
2026-08-21,2.19,16.0,4.0,0.0,7.0
2026-08-24,7.16,24.0,4.0,0.0,4.0
2026-08-25,8.31,29.0,4.0,0.0,4.0
2026-08-26,7.22,24.0,4.0,0.0,4.0
2026-08-27,5.82,19.0,4.0,0.0,4.0
2026-08-28,0.0,14.0,4.0,0.0,12.0
2026-08-31,0.0,14.0,4.0,0.0,12.0
2026-09-01,1.47,14.0,4.0,0.0,7.0
2026-09-03,12.06,16.0,34.0,0.0,7.0
