scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,43.8,65.0,5.0,88.0,4.0
2023-09-05,48.58,72.0,5.0,100.0,4.0
2023-09-06,46.23,65.0,5.0,98.0,4.0
2023-09-07,42.01,60.0,5.0,98.0,7.0
2023-09-08,42.01,60.0,5.0,98.0,7.0
2023-09-11,45.1,60.0,5.0,98.0,4.0
2023-09-12,43.07,65.0,5.0,88.0,4.0
2023-09-13,31.87,42.0,5.0,78.0,7.0
2023-09-14,30.26,23.0,5.0,78.0,4.0
2023-09-15,20.32,28.0,5.0,45.0,7.0
2023-09-18,21.88,23.0,5.0,45.0,4.0
2023-09-20,25.45,23.0,5.0,60.0,4.0
2023-09-21,19.72,28.0,5.0,45.0,7.0
2023-09-22,19.71,28.0,5.0,45.0,7.0
2023-09-25,18.59,23.0,5.0,45.0,7.0
2023-09-26,19.86,28.0,5.0,45.0,7.0
2023-09-27,20.87,32.0,5.0,45.0,7.0
2023-09-28,23.71,32.0,5.0,45.0,4.0
2023-09-29,29.11,65.0,5.0,45.0,7.0
2023-10-03,35.0,70.0,5.0,63.0,7.0
2023-10-04,31.47,60.0,5.0,60.0,7.0
2023-10-05,22.65,27.0,5.0,45.0,4.0
2023-10-06,21.05,32.0,5.0,45.0,7.0
2023-10-09,22.23,27.0,5.0,45.0,4.0
2023-10-10,33.38,70.0,5.0,45.0,4.0
2023-10-11,35.93,80.0,5.0,45.0,4.0
2023-10-12,25.57,37.0,5.0,45.0,4.0
2023-10-13,21.96,23.0,5.0,45.0,4.0
2023-10-16,24.33,32.0,5.0,45.0,4.0
2023-10-17,32.82,47.0,5.0,63.0,4.0
2023-10-18,32.65,37.0,5.0,73.0,4.0
2023-10-19,31.56,32.0,5.0,73.0,4.0
2023-10-20,32.68,37.0,5.0,73.0,4.0
2023-10-23,18.66,23.0,5.0,35.0,4.0
2023-10-25,22.1,38.0,5.0,35.0,4.0
2023-10-26,23.5,43.0,5.0,35.0,4.0
2023-10-27,21.4,33.0,5.0,35.0,4.0
2023-10-30,15.78,23.0,5.0,35.0,7.0
2023-10-31,15.73,23.0,5.0,35.0,7.0
2023-11-01,16.82,28.0,5.0,35.0,7.0
2023-11-02,15.76,23.0,5.0,35.0,7.0
2023-11-03,18.09,32.0,5.0,35.0,7.0
2023-11-06,27.0,55.0,5.0,35.0,4.0
2023-11-07,39.0,75.0,5.0,63.0,4.0
2023-11-08,40.32,80.0,5.0,63.0,4.0
2023-11-09,41.36,85.0,5.0,63.0,4.0
2023-11-10,37.58,60.0,5.0,73.0,4.0
2023-11-13,40.37,70.0,5.0,73.0,4.0
2023-11-15,47.2,75.0,5.0,95.0,4.0
2023-11-16,42.83,65.0,5.0,88.0,4.0
2023-11-17,37.98,60.0,5.0,73.0,4.0
2023-11-20,40.43,70.0,5.0,73.0,4.0
2023-11-21,40.61,70.0,5.0,73.0,4.0
2023-11-22,41.09,65.0,5.0,80.0,4.0
2023-11-23,38.17,65.0,5.0,80.0,7.0
2023-11-24,39.95,60.0,5.0,80.0,4.0
2023-11-28,42.4,70.0,5.0,80.0,4.0
2023-11-29,42.34,70.0,5.0,80.0,4.0
2023-11-30,42.45,70.0,5.0,80.0,4.0
2023-12-01,36.96,60.0,5.0,80.0,7.0
2023-12-04,35.66,65.0,5.0,70.0,7.0
2023-12-05,30.95,60.0,5.0,45.0,4.0
2023-12-06,24.65,42.0,5.0,38.0,4.0
2023-12-07,19.78,42.0,5.0,18.0,4.0
2023-12-08,25.35,65.0,5.0,18.0,4.0
2023-12-11,17.84,42.0,5.0,10.0,4.0
2023-12-12,25.42,65.0,5.0,18.0,4.0
2023-12-13,38.14,80.0,5.0,53.0,4.0
2023-12-14,42.0,85.0,5.0,63.0,4.0
2023-12-15,36.92,65.0,5.0,63.0,4.0
2023-12-18,35.6,60.0,5.0,63.0,4.0
2023-12-19,37.97,70.0,5.0,63.0,4.0
2023-12-20,15.63,47.0,5.0,20.0,9.0
2023-12-21,19.91,42.0,5.0,20.0,4.0
2023-12-22,20.0,42.0,5.0,20.0,4.0
2023-12-26,16.15,38.0,5.0,20.0,7.0
2023-12-27,15.41,23.0,5.0,20.0,4.0
2023-12-28,15.3,23.0,5.0,20.0,4.0
2023-12-29,15.38,23.0,5.0,20.0,4.0
2024-01-01,22.84,52.0,5.0,20.0,4.0
2024-01-02,18.43,47.0,5.0,20.0,7.0
2024-01-03,24.07,57.0,5.0,20.0,4.0
