scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,42.19,57.0,0.0,100.0,4.0
2023-09-05,40.09,60.0,0.0,100.0,7.0
2023-09-06,38.76,60.0,0.0,95.0,7.0
2023-09-07,46.99,75.0,0.0,100.0,4.0
2023-09-08,41.66,65.0,0.0,100.0,7.0
2023-09-11,41.63,65.0,0.0,100.0,7.0
2023-09-12,30.9,50.0,0.0,95.0,12.0
2023-09-13,41.04,65.0,0.0,100.0,7.0
2023-09-14,36.02,50.0,0.0,95.0,7.0
2023-09-15,38.16,65.0,0.0,88.0,7.0
2023-09-18,30.62,50.0,0.0,73.0,7.0
2023-09-20,30.56,50.0,0.0,73.0,7.0
2023-09-21,30.57,50.0,0.0,73.0,7.0
2023-09-22,31.87,55.0,0.0,73.0,7.0
2023-09-25,28.53,42.0,0.0,73.0,7.0
2023-09-26,40.47,70.0,0.0,80.0,4.0
2023-09-27,32.37,50.0,0.0,80.0,7.0
2023-09-28,37.28,55.0,0.0,95.0,7.0
2023-09-29,49.49,85.0,0.0,100.0,4.0
2023-10-03,42.77,70.0,0.0,88.0,4.0
2023-10-04,37.58,60.0,0.0,78.0,4.0
2023-10-05,37.14,60.0,0.0,88.0,7.0
2023-10-06,42.58,70.0,0.0,88.0,4.0
2023-10-09,46.99,80.0,0.0,98.0,4.0
2023-10-10,36.87,60.0,0.0,88.0,7.0
2023-10-11,38.67,70.0,0.0,73.0,4.0
2023-10-12,42.14,75.0,0.0,80.0,4.0
2023-10-13,43.03,60.0,0.0,100.0,4.0
2023-10-16,38.7,60.0,0.0,95.0,7.0
2023-10-17,30.7,60.0,0.0,63.0,7.0
2023-10-18,33.1,60.0,0.0,73.0,7.0
2023-10-19,36.4,65.0,0.0,80.0,7.0
2023-10-20,34.9,60.0,0.0,80.0,7.0
2023-10-23,19.27,38.0,0.0,63.0,12.0
2023-10-25,12.96,23.0,0.0,53.0,12.0
2023-10-26,47.05,85.0,0.0,95.0,4.0
2023-10-27,42.38,65.0,0.0,95.0,4.0
2023-10-30,41.06,60.0,0.0,95.0,4.0
2023-10-31,33.51,65.0,0.0,60.0,4.0
2023-11-01,48.24,85.0,0.0,98.0,4.0
2023-11-02,46.96,80.0,0.0,98.0,4.0
2023-11-03,39.61,60.0,0.0,88.0,4.0
2023-11-06,39.7,60.0,0.0,88.0,4.0
2023-11-07,42.59,70.0,0.0,88.0,4.0
2023-11-08,43.66,65.0,0.0,98.0,4.0
2023-11-09,37.29,60.0,0.0,78.0,4.0
2023-11-10,29.68,60.0,0.0,60.0,7.0
2023-11-13,29.71,60.0,0.0,60.0,7.0
2023-11-15,35.71,65.0,0.0,78.0,7.0
2023-11-16,45.01,70.0,0.0,98.0,4.0
2023-11-17,36.74,60.0,0.0,88.0,7.0
2023-11-20,34.38,60.0,0.0,78.0,7.0
2023-11-21,36.67,60.0,0.0,88.0,7.0
2023-11-22,29.61,42.0,0.0,78.0,7.0
2023-11-23,44.03,70.0,0.0,95.0,4.0
2023-11-24,30.02,60.0,0.0,60.0,7.0
2023-11-28,40.05,60.0,0.0,88.0,4.0
2023-11-29,30.02,42.0,0.0,78.0,7.0
2023-11-30,42.5,70.0,0.0,88.0,4.0
2023-12-01,35.35,60.0,0.0,70.0,4.0
2023-12-04,26.2,60.0,0.0,45.0,7.0
2023-12-05,24.82,65.0,0.0,35.0,7.0
2023-12-06,34.89,65.0,0.0,63.0,4.0
2023-12-07,30.81,60.0,0.0,63.0,7.0
2023-12-08,24.55,42.0,0.0,45.0,4.0
2023-12-11,23.45,47.0,0.0,35.0,4.0
2023-12-12,14.91,28.0,0.0,20.0,4.0
2023-12-13,16.06,33.0,0.0,20.0,4.0
2023-12-14,14.98,28.0,0.0,20.0,4.0
2023-12-15,46.13,85.0,0.0,88.0,4.0
2023-12-18,45.97,72.0,0.0,100.0,4.0
2023-12-19,46.12,72.0,0.0,100.0,4.0
2023-12-20,45.5,72.0,0.0,100.0,4.0
2023-12-21,45.92,72.0,0.0,100.0,4.0
2023-12-22,39.1,57.0,0.0,100.0,7.0
2023-12-26,39.12,57.0,0.0,100.0,7.0
2023-12-27,36.45,47.0,0.0,100.0,7.0
2023-12-28,36.5,47.0,0.0,100.0,7.0
2023-12-29,37.34,50.0,0.0,100.0,7.0
2024-01-01,42.47,57.0,0.0,100.0,4.0
2024-01-02,34.34,37.0,0.0,100.0,7.0
2024-01-03,37.86,50.0,0.0,100.0,7.0
2024-01-04,37.93,50.0,0.0,100.0,7.0
2024-01-05,40.31,60.0,0.0,100.0,7.0
2024-01-08,43.05,70.0,0.0,100.0,7.0
2024-01-09,40.56,60.0,0.0,100.0,7.0
2024-01-10,38.05,50.0,0.0,100.0,7.0
2024-01-11,39.27,55.0,0.0,100.0,7.0
2024-01-12,37.85,50.0,0.0,100.0,7.0
2024-01-15,37.74,50.0,0.0,100.0,7.0
2024-01-16,37.58,50.0,0.0,100.0,7.0
2024-01-17,32.5,42.0,0.0,88.0,7.0
2024-01-18,32.84,60.0,0.0,70.0,7.0
2024-01-19,28.31,42.0,0.0,70.0,7.0
2024-01-23,30.47,42.0,0.0,70.0,4.0
2024-01-24,28.11,42.0,0.0,70.0,7.0
2024-01-25,30.44,38.0,0.0,70.0,4.0
2024-01-29,33.59,52.0,0.0,70.0,4.0
2024-01-30,28.21,42.0,0.0,70.0,7.0
2024-01-31,27.38,38.0,0.0,70.0,7.0
2024-02-01,27.3,38.0,0.0,70.0,7.0
2024-02-02,27.32,38.0,0.0,70.0,7.0
2024-02-05,26.49,23.0,0.0,70.0,4.0
2024-02-06,23.17,23.0,0.0,70.0,7.0
2024-02-07,29.18,33.0,0.0,70.0,4.0
2024-02-08,33.58,52.0,0.0,70.0,4.0
2024-02-09,33.54,52.0,0.0,70.0,4.0
2024-02-12,37.24,70.0,0.0,70.0,4.0
2024-02-13,33.3,55.0,0.0,70.0,4.0
2024-02-14,34.79,60.0,0.0,70.0,4.0
2024-02-15,38.16,55.0,0.0,88.0,4.0
2024-02-16,34.27,50.0,0.0,88.0,7.0
2024-02-19,34.38,50.0,0.0,88.0,7.0
2024-02-20,34.45,50.0,0.0,88.0,7.0
2024-02-21,34.01,50.0,0.0,88.0,7.0
2024-02-22,28.11,27.0,0.0,88.0,7.0
2024-02-23,28.18,27.0,0.0,88.0,7.0
2024-02-26,23.64,27.0,0.0,70.0,7.0
2024-02-27,26.79,23.0,0.0,88.0,7.0
2024-02-28,22.06,23.0,0.0,70.0,7.0
2024-02-29,22.21,23.0,0.0,70.0,7.0
2024-03-01,22.44,23.0,0.0,70.0,7.0
2024-03-04,22.41,23.0,0.0,70.0,7.0
2024-03-05,22.37,23.0,0.0,70.0,7.0
2024-03-06,21.74,23.0,0.0,70.0,7.0
2024-03-07,27.58,34.0,0.0,70.0,4.0
2024-03-11,24.87,24.0,0.0,70.0,4.0
2024-03-12,25.57,29.0,0.0,70.0,4.0
2024-03-13,11.48,19.0,0.0,70.0,15.0
2024-03-14,18.76,34.0,0.0,70.0,12.0
2024-03-15,11.89,19.0,0.0,70.0,15.0
2024-03-18,11.29,29.0,0.0,45.0,12.0
2024-03-19,3.03,19.0,0.0,35.0,15.0
2024-03-20,2.99,19.0,0.0,35.0,15.0
2024-03-21,12.53,24.0,0.0,35.0,7.0
2024-03-22,11.23,19.0,0.0,35.0,7.0
2024-03-26,21.01,48.0,0.0,35.0,4.0
2024-03-27,18.74,38.0,0.0,35.0,4.0
2024-03-28,13.83,19.0,0.0,35.0,4.0
2024-04-01,18.46,33.0,0.0,35.0,4.0
2024-04-02,18.5,33.0,0.0,35.0,4.0
2024-04-03,20.27,38.0,0.0,35.0,4.0
2024-04-04,14.77,28.0,0.0,35.0,7.0
2024-04-05,23.84,52.0,0.0,35.0,4.0
2024-04-08,24.64,55.0,0.0,35.0,4.0
2024-04-09,19.63,40.0,0.0,43.0,7.0
2024-04-10,18.35,35.0,0.0,43.0,7.0
2024-04-12,16.08,27.0,0.0,43.0,7.0
2024-04-15,15.99,27.0,0.0,43.0,7.0
2024-04-16,15.19,23.0,0.0,43.0,7.0
2024-04-18,15.01,23.0,0.0,43.0,7.0
2024-04-19,11.45,23.0,0.0,18.0,4.0
2024-04-22,8.97,23.0,0.0,18.0,7.0
2024-04-23,7.19,23.0,0.0,10.0,7.0
2024-04-24,10.17,23.0,0.0,10.0,4.0
2024-04-25,6.98,23.0,0.0,10.0,7.0
2024-04-26,12.81,33.0,0.0,10.0,4.0
2024-04-29,10.31,23.0,0.0,10.0,4.0
2024-04-30,17.84,28.0,0.0,35.0,4.0
2024-05-02,14.64,28.0,0.0,35.0,7.0
2024-05-03,8.26,28.0,0.0,10.0,7.0
2024-05-06,17.94,47.0,0.0,20.0,4.0
2024-05-07,25.28,55.0,0.0,43.0,4.0
2024-05-08,23.26,55.0,0.0,35.0,4.0
2024-05-09,25.46,65.0,0.0,35.0,4.0
2024-05-10,26.81,70.0,0.0,35.0,4.0
2024-05-13,28.93,70.0,0.0,43.0,4.0
2024-05-14,25.47,55.0,0.0,43.0,4.0
2024-05-15,24.22,50.0,0.0,43.0,4.0
2024-05-16,27.82,55.0,0.0,53.0,4.0
2024-05-17,24.29,50.0,0.0,43.0,4.0
2024-05-21,34.81,75.0,0.0,60.0,4.0
2024-05-22,33.57,70.0,0.0,60.0,4.0
2024-05-23,25.31,50.0,0.0,60.0,7.0
2024-05-24,25.51,50.0,0.0,60.0,7.0
2024-05-27,28.1,50.0,0.0,60.0,4.0
2024-05-28,30.47,60.0,0.0,60.0,4.0
2024-05-29,30.37,60.0,0.0,60.0,4.0
2024-05-30,28.84,55.0,0.0,60.0,4.0
2024-05-31,30.05,60.0,0.0,60.0,4.0
2024-06-03,29.12,55.0,0.0,60.0,4.0
2024-06-04,29.89,60.0,0.0,60.0,4.0
2024-06-05,30.23,60.0,0.0,60.0,4.0
2024-06-06,39.07,75.0,0.0,80.0,4.0
2024-06-07,33.09,50.0,0.0,80.0,4.0
2024-06-10,33.3,50.0,0.0,80.0,4.0
2024-06-11,31.58,60.0,0.0,63.0,4.0
2024-06-12,34.87,55.0,0.0,80.0,4.0
2024-06-13,43.78,75.0,0.0,95.0,4.0
2024-06-14,34.6,50.0,0.0,95.0,7.0
2024-06-18,32.08,60.0,0.0,63.0,4.0
2024-06-19,42.16,65.0,0.0,100.0,4.0
2024-06-20,35.66,50.0,0.0,98.0,7.0
2024-06-21,40.99,60.0,0.0,98.0,4.0
2024-06-24,40.83,57.0,0.0,100.0,4.0
2024-06-25,42.25,62.0,0.0,100.0,4.0
2024-06-26,32.93,65.0,0.0,80.0,9.0
2024-06-27,40.15,75.0,0.0,80.0,4.0
2024-06-28,28.87,50.0,0.0,60.0,4.0
2024-07-01,28.95,50.0,0.0,60.0,4.0
2024-07-02,27.44,55.0,0.0,60.0,7.0
2024-07-03,30.38,55.0,0.0,60.0,4.0
2024-07-04,30.43,55.0,0.0,60.0,4.0
2024-07-05,30.32,55.0,0.0,60.0,4.0
2024-07-08,25.93,50.0,0.0,60.0,7.0
2024-07-09,30.23,55.0,0.0,60.0,4.0
2024-07-10,27.08,55.0,0.0,60.0,7.0
2024-07-11,27.19,55.0,0.0,60.0,7.0
2024-07-12,25.54,50.0,0.0,60.0,7.0
2024-07-15,28.21,60.0,0.0,60.0,7.0
2024-07-16,34.96,75.0,0.0,60.0,4.0
2024-07-18,23.53,50.0,0.0,60.0,9.0
2024-07-19,29.46,55.0,0.0,60.0,4.0
2024-07-22,27.9,60.0,0.0,60.0,7.0
2024-07-23,26.0,50.0,0.0,63.0,7.0
2024-07-24,25.15,50.0,0.0,45.0,4.0
2024-07-25,33.4,65.0,0.0,63.0,4.0
2024-07-26,28.01,60.0,0.0,45.0,4.0
2024-07-29,22.62,50.0,0.0,45.0,7.0
2024-07-30,23.84,55.0,0.0,45.0,7.0
2024-07-31,28.14,60.0,0.0,45.0,4.0
2024-08-01,30.85,55.0,0.0,63.0,4.0
2024-08-02,22.18,50.0,0.0,45.0,7.0
2024-08-05,13.1,23.0,0.0,45.0,9.0
2024-08-06,35.46,75.0,0.0,63.0,4.0
2024-08-07,33.39,65.0,0.0,63.0,4.0
2024-08-08,27.49,60.0,0.0,45.0,4.0
2024-08-09,27.98,60.0,0.0,45.0,4.0
2024-08-12,26.34,55.0,0.0,45.0,4.0
2024-08-13,19.77,42.0,0.0,45.0,7.0
2024-08-14,24.11,60.0,0.0,45.0,7.0
2024-08-16,27.67,55.0,0.0,63.0,7.0
2024-08-19,29.6,50.0,0.0,63.0,4.0
2024-08-20,23.09,42.0,0.0,45.0,4.0
2024-08-21,17.86,42.0,0.0,35.0,7.0
2024-08-22,23.6,55.0,0.0,45.0,7.0
2024-08-23,23.33,55.0,0.0,45.0,7.0
2024-08-26,22.2,50.0,0.0,45.0,7.0
2024-08-27,32.38,60.0,0.0,63.0,4.0
2024-08-28,8.18,27.0,0.0,20.0,9.0
2024-08-29,28.96,60.0,0.0,63.0,7.0
2024-08-30,17.16,55.0,0.0,20.0,7.0
2024-09-02,21.52,55.0,0.0,38.0,7.0
2024-09-03,19.11,35.0,0.0,48.0,7.0
2024-09-04,11.97,35.0,0.0,20.0,7.0
2024-09-05,12.57,35.0,0.0,20.0,7.0
2024-09-06,24.7,40.0,0.0,53.0,4.0
2024-09-09,23.32,35.0,0.0,53.0,4.0
2024-09-10,21.35,45.0,0.0,35.0,4.0
2024-09-11,21.32,42.0,0.0,38.0,4.0
2024-09-12,19.93,40.0,0.0,35.0,4.0
2024-09-13,13.96,27.0,0.0,35.0,7.0
2024-09-16,23.58,42.0,0.0,45.0,4.0
2024-09-17,14.82,33.0,0.0,20.0,4.0
2024-09-18,24.24,47.0,0.0,45.0,4.0
2024-09-19,20.24,33.0,0.0,45.0,4.0
2024-09-20,9.28,23.0,0.0,10.0,4.0
2024-09-23,12.86,28.0,0.0,20.0,4.0
2024-09-24,8.8,23.0,0.0,10.0,4.0
2024-09-25,11.34,33.0,0.0,10.0,4.0
2024-09-26,24.4,60.0,0.0,35.0,4.0
2024-09-27,35.11,75.0,0.0,63.0,4.0
2024-09-30,33.06,65.0,0.0,63.0,4.0
2024-10-01,42.65,85.0,0.0,80.0,4.0
2024-10-03,34.4,60.0,0.0,73.0,4.0
2024-10-04,31.25,50.0,0.0,73.0,4.0
2024-10-07,25.24,50.0,0.0,63.0,7.0
2024-10-08,25.09,55.0,0.0,43.0,4.0
2024-10-09,28.53,60.0,0.0,63.0,7.0
2024-10-10,34.12,60.0,0.0,73.0,4.0
2024-10-11,31.6,50.0,0.0,73.0,4.0
2024-10-14,28.7,50.0,0.0,73.0,7.0
2024-10-15,38.39,70.0,0.0,80.0,4.0
2024-10-16,42.38,70.0,0.0,95.0,4.0
2024-10-17,35.76,60.0,0.0,80.0,4.0
2024-10-18,30.24,50.0,0.0,80.0,7.0
2024-10-21,19.12,27.0,0.0,60.0,7.0
2024-10-22,15.8,23.0,0.0,53.0,7.0
2024-10-23,30.01,52.0,0.0,80.0,7.0
2024-10-24,23.42,27.0,0.0,80.0,7.0
2024-10-25,22.75,32.0,0.0,73.0,7.0
2024-10-28,17.21,47.0,0.0,35.0,7.0
2024-10-29,32.87,60.0,0.0,73.0,4.0
2024-10-30,32.44,70.0,0.0,60.0,4.0
2024-10-31,38.17,75.0,0.0,78.0,4.0
2024-11-01,42.32,70.0,0.0,98.0,4.0
2024-11-04,44.22,80.0,0.0,95.0,4.0
2024-11-05,45.51,85.0,0.0,95.0,4.0
2024-11-06,43.39,75.0,0.0,95.0,4.0
2024-11-07,44.55,75.0,0.0,100.0,4.0
2024-11-08,39.42,60.0,0.0,95.0,4.0
2024-11-11,40.45,60.0,0.0,100.0,4.0
2024-11-12,37.11,60.0,0.0,88.0,4.0
2024-11-13,36.84,60.0,0.0,88.0,4.0
2024-11-14,25.31,42.0,0.0,60.0,4.0
2024-11-18,29.32,42.0,0.0,88.0,7.0
2024-11-19,22.2,23.0,0.0,78.0,7.0
2024-11-21,19.45,28.0,0.0,63.0,7.0
2024-11-22,36.57,70.0,0.0,88.0,7.0
2024-11-25,37.25,60.0,0.0,88.0,4.0
2024-11-26,18.64,23.0,0.0,63.0,7.0
2024-11-27,35.13,52.0,0.0,88.0,4.0
2024-11-28,24.97,42.0,0.0,68.0,7.0
2024-11-29,34.33,70.0,0.0,78.0,7.0
2024-12-02,32.02,60.0,0.0,78.0,7.0
2024-12-03,33.72,65.0,0.0,78.0,7.0
2024-12-04,28.03,60.0,0.0,60.0,7.0
2024-12-05,30.3,70.0,0.0,60.0,7.0
2024-12-06,47.09,85.0,0.0,98.0,4.0
2024-12-09,43.6,72.0,0.0,98.0,4.0
2024-12-10,35.8,70.0,0.0,88.0,9.0
2024-12-11,38.3,60.0,0.0,88.0,4.0
2024-12-12,38.06,70.0,0.0,78.0,4.0
2024-12-13,43.57,70.0,0.0,100.0,4.0
2024-12-16,42.68,65.0,0.0,100.0,4.0
2024-12-17,39.52,65.0,0.0,100.0,7.0
2024-12-18,38.03,60.0,0.0,100.0,7.0
2024-12-19,46.22,80.0,0.0,100.0,4.0
2024-12-20,43.83,72.0,0.0,100.0,4.0
2024-12-23,43.61,72.0,0.0,100.0,4.0
2024-12-24,44.29,75.0,0.0,100.0,4.0
2024-12-26,37.45,60.0,0.0,100.0,7.0
2024-12-27,35.12,50.0,0.0,100.0,7.0
2024-12-30,36.64,50.0,0.0,95.0,4.0
2024-12-31,31.23,42.0,0.0,95.0,7.0
2025-01-01,28.7,42.0,0.0,85.0,7.0
2025-01-02,28.71,42.0,0.0,85.0,7.0
2025-01-03,28.39,47.0,0.0,78.0,7.0
2025-01-06,33.54,60.0,0.0,88.0,7.0
2025-01-07,29.45,60.0,0.0,70.0,7.0
2025-01-08,35.14,55.0,0.0,98.0,7.0
2025-01-09,28.75,50.0,0.0,78.0,7.0
2025-01-10,26.39,42.0,0.0,78.0,7.0
2025-01-13,14.13,23.0,0.0,50.0,7.0
2025-01-14,30.78,60.0,0.0,78.0,7.0
2025-01-15,33.08,60.0,0.0,88.0,7.0
2025-01-16,30.91,50.0,0.0,88.0,7.0
2025-01-17,27.52,55.0,0.0,70.0,7.0
2025-01-20,28.7,60.0,0.0,70.0,7.0
2025-01-21,26.0,50.0,0.0,70.0,7.0
2025-01-22,30.1,55.0,0.0,70.0,4.0
2025-01-23,26.45,50.0,0.0,60.0,4.0
2025-01-24,28.2,60.0,0.0,70.0,7.0
2025-01-27,35.49,60.0,0.0,88.0,4.0
2025-01-28,22.96,42.0,0.0,68.0,7.0
2025-01-29,26.92,47.0,0.0,78.0,7.0
2025-01-30,35.03,60.0,0.0,98.0,7.0
2025-01-31,42.48,75.0,0.0,100.0,4.0
2025-02-01,38.24,70.0,0.0,100.0,7.0
2025-02-03,27.49,50.0,0.0,78.0,7.0
2025-02-04,35.16,70.0,0.0,88.0,7.0
2025-02-05,30.24,50.0,0.0,88.0,7.0
2025-02-06,30.02,50.0,0.0,88.0,7.0
2025-02-07,33.06,55.0,0.0,95.0,7.0
2025-02-10,25.58,42.0,0.0,78.0,7.0
2025-02-11,14.56,27.0,0.0,50.0,7.0
2025-02-12,15.92,32.0,0.0,50.0,7.0
2025-02-13,39.26,75.0,0.0,88.0,4.0
2025-02-14,19.33,27.0,0.0,70.0,7.0
2025-02-17,19.35,27.0,0.0,70.0,7.0
2025-02-18,16.24,23.0,0.0,50.0,4.0
