scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,45.81,65.0,4.0,98.0,4.0
2023-09-06,44.58,60.0,4.0,98.0,4.0
2023-09-07,45.91,65.0,4.0,98.0,4.0
2023-09-08,48.3,75.0,4.0,98.0,4.0
2023-09-11,47.64,70.0,4.0,100.0,4.0
2023-09-12,41.32,60.0,4.0,88.0,4.0
2023-09-13,42.68,65.0,4.0,88.0,4.0
2023-09-14,38.63,60.0,4.0,88.0,7.0
2023-09-15,41.76,60.0,4.0,88.0,4.0
2023-09-18,27.92,42.0,4.0,63.0,7.0
2023-09-20,23.17,42.0,4.0,45.0,7.0
2023-09-21,18.37,23.0,4.0,45.0,7.0
2023-09-22,19.58,28.0,4.0,45.0,7.0
2023-09-25,19.63,28.0,4.0,45.0,7.0
2023-09-26,24.32,32.0,4.0,60.0,7.0
2023-09-27,38.6,70.0,4.0,78.0,7.0
2023-09-28,37.27,65.0,4.0,78.0,7.0
2023-09-29,44.05,70.0,4.0,88.0,4.0
2023-10-03,46.55,80.0,4.0,88.0,4.0
2023-10-04,36.8,60.0,4.0,70.0,4.0
2023-10-05,41.62,60.0,4.0,88.0,4.0
2023-10-06,42.89,65.0,4.0,88.0,4.0
2023-10-09,36.56,60.0,4.0,70.0,4.0
2023-10-10,35.54,65.0,4.0,60.0,4.0
2023-10-11,35.77,65.0,4.0,60.0,4.0
2023-10-12,36.61,65.0,4.0,63.0,4.0
2023-10-13,35.31,60.0,4.0,63.0,4.0
2023-10-16,32.24,60.0,4.0,63.0,7.0
2023-10-17,36.56,65.0,4.0,63.0,4.0
2023-10-18,42.72,80.0,4.0,73.0,4.0
2023-10-19,40.17,70.0,4.0,73.0,4.0
2023-10-20,37.47,60.0,4.0,73.0,4.0
2023-10-23,22.49,33.0,4.0,63.0,9.0
2023-10-25,33.64,43.0,4.0,78.0,4.0
2023-10-26,34.77,37.0,4.0,88.0,4.0
2023-10-27,27.72,32.0,4.0,63.0,4.0
2023-10-30,28.24,47.0,4.0,63.0,7.0
2023-10-31,18.72,27.0,4.0,45.0,7.0
2023-11-01,17.52,23.0,4.0,45.0,7.0
2023-11-02,17.79,23.0,4.0,45.0,7.0
2023-11-03,19.12,28.0,4.0,45.0,7.0
2023-11-06,17.76,32.0,4.0,35.0,7.0
2023-11-07,17.83,32.0,4.0,35.0,7.0
2023-11-08,16.69,27.0,4.0,35.0,7.0
2023-11-09,15.58,23.0,4.0,35.0,7.0
2023-11-10,16.86,28.0,4.0,35.0,7.0
2023-11-13,15.91,23.0,4.0,35.0,7.0
2023-11-15,20.24,28.0,4.0,35.0,4.0
2023-11-16,16.6,23.0,4.0,25.0,4.0
2023-11-17,16.49,23.0,4.0,25.0,4.0
2023-11-20,16.51,23.0,4.0,25.0,4.0
2023-11-21,17.84,28.0,4.0,25.0,4.0
2023-11-22,16.75,23.0,4.0,25.0,4.0
2023-11-23,18.15,28.0,4.0,25.0,4.0
2023-11-24,13.12,23.0,4.0,10.0,4.0
2023-11-28,14.44,29.0,4.0,10.0,4.0
2023-11-29,13.27,24.0,4.0,10.0,4.0
2023-11-30,15.76,34.0,4.0,10.0,4.0
2023-12-01,18.02,43.0,4.0,10.0,4.0
2023-12-04,17.76,42.0,4.0,10.0,4.0
2023-12-05,14.83,32.0,4.0,10.0,4.0
2023-12-06,12.65,23.0,4.0,10.0,4.0
2023-12-07,22.23,60.0,4.0,10.0,4.0
2023-12-08,23.29,65.0,4.0,10.0,4.0
2023-12-11,14.21,28.0,4.0,10.0,4.0
2023-12-12,16.78,38.0,4.0,10.0,4.0
2023-12-13,15.27,32.0,4.0,10.0,4.0
2023-12-14,13.5,23.0,4.0,10.0,4.0
2023-12-15,15.78,32.0,4.0,10.0,4.0
2023-12-18,25.9,65.0,4.0,18.0,4.0
2023-12-19,18.86,45.0,4.0,10.0,4.0
2023-12-20,25.31,65.0,4.0,18.0,4.0
2023-12-21,33.15,75.0,4.0,38.0,4.0
2023-12-22,33.22,75.0,4.0,38.0,4.0
2023-12-26,30.72,65.0,4.0,38.0,4.0
2023-12-27,33.15,75.0,4.0,38.0,4.0
2023-12-28,29.24,60.0,4.0,38.0,4.0
2023-12-29,30.44,65.0,4.0,38.0,4.0
2024-01-01,30.9,65.0,4.0,38.0,4.0
2024-01-02,21.55,60.0,4.0,18.0,7.0
2024-01-03,21.54,60.0,4.0,18.0,7.0
2024-01-04,22.96,65.0,4.0,18.0,7.0
2024-01-05,23.1,65.0,4.0,18.0,7.0
2024-01-08,25.96,65.0,4.0,18.0,4.0
2024-01-09,24.91,60.0,4.0,18.0,4.0
2024-01-10,26.08,65.0,4.0,18.0,4.0
2024-01-11,24.83,60.0,4.0,18.0,4.0
2024-01-12,26.49,65.0,4.0,18.0,4.0
2024-01-15,22.04,60.0,4.0,18.0,7.0
2024-01-16,17.77,42.0,4.0,8.0,4.0
2024-01-17,25.7,65.0,4.0,18.0,4.0
2024-01-18,20.24,42.0,4.0,18.0,4.0
2024-01-19,26.03,75.0,4.0,8.0,4.0
2024-01-23,0.0,19.0,4.0,0.0,25.0
2024-01-24,4.06,28.0,4.0,0.0,12.0
2024-01-25,0.0,8.0,4.0,0.0,12.0
2024-01-29,0.34,13.0,4.0,0.0,12.0
2024-01-30,0.0,8.0,4.0,0.0,12.0
2024-01-31,5.46,33.0,4.0,0.0,12.0
2024-02-01,0.0,8.0,4.0,0.0,12.0
2024-02-02,0.0,8.0,4.0,0.0,12.0
2024-02-05,0.0,8.0,4.0,0.0,12.0
2024-02-06,0.0,13.0,4.0,0.0,15.0
2024-02-07,0.32,13.0,4.0,0.0,12.0
2024-02-08,0.0,8.0,4.0,0.0,12.0
2024-02-09,0.0,8.0,4.0,0.0,12.0
2024-02-12,0.0,14.0,4.0,0.0,17.0
2024-02-13,0.0,14.0,4.0,0.0,12.0
2024-02-14,4.17,33.0,4.0,0.0,12.0
2024-02-15,4.45,33.0,4.0,0.0,12.0
2024-02-16,1.7,22.0,4.0,0.0,12.0
2024-02-19,0.0,8.0,4.0,0.0,12.0
2024-02-20,0.0,8.0,4.0,0.0,15.0
2024-02-21,3.43,22.0,4.0,8.0,12.0
2024-02-22,0.16,17.0,4.0,0.0,12.0
2024-02-23,0.4,17.0,4.0,0.0,12.0
2024-02-26,0.0,12.0,4.0,0.0,12.0
2024-02-27,0.0,8.0,4.0,0.0,15.0
2024-02-28,3.49,32.0,4.0,0.0,12.0
2024-02-29,0.0,12.0,4.0,0.0,12.0
2024-03-01,0.0,17.0,4.0,0.0,15.0
2024-03-04,3.74,25.0,4.0,8.0,12.0
2024-03-05,0.0,12.0,4.0,0.0,15.0
2024-03-06,0.0,8.0,4.0,0.0,12.0
2024-03-07,7.0,40.0,4.0,8.0,12.0
2024-03-11,0.0,8.0,4.0,8.0,12.0
2024-03-12,0.0,8.0,4.0,8.0,12.0
2024-03-13,0.0,18.0,4.0,0.0,17.0
2024-03-14,0.0,23.0,4.0,0.0,12.0
2024-03-15,0.0,13.0,4.0,0.0,12.0
2024-03-18,0.0,8.0,4.0,0.0,15.0
2024-03-19,0.0,8.0,4.0,0.0,12.0
2024-03-20,0.0,8.0,4.0,0.0,12.0
2024-03-21,0.0,13.0,4.0,0.0,12.0
