scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,28.0,37.0,12.0,43.0,4.0
2023-09-05,40.03,65.0,12.0,63.0,4.0
2023-09-06,23.43,27.0,12.0,35.0,4.0
2023-09-07,37.96,85.0,12.0,35.0,4.0
2023-09-08,37.46,75.0,12.0,43.0,4.0
2023-09-11,42.55,75.0,12.0,63.0,4.0
2023-09-12,40.52,70.0,12.0,63.0,4.0
2023-09-13,38.07,60.0,12.0,63.0,4.0
2023-09-14,36.96,75.0,12.0,43.0,4.0
2023-09-15,35.77,70.0,12.0,43.0,4.0
2023-09-18,31.33,65.0,12.0,43.0,7.0
2023-09-20,32.15,57.0,12.0,43.0,4.0
2023-09-21,40.17,80.0,12.0,53.0,4.0
2023-09-22,41.91,80.0,12.0,60.0,4.0
2023-09-25,37.79,70.0,12.0,53.0,4.0
2023-09-26,48.31,85.0,12.0,80.0,4.0
2023-09-27,45.82,75.0,12.0,80.0,4.0
2023-09-28,31.41,70.0,12.0,28.0,4.0
2023-09-29,30.31,65.0,12.0,28.0,4.0
2023-10-03,29.2,65.0,12.0,35.0,7.0
2023-10-04,30.17,65.0,12.0,28.0,4.0
2023-10-05,30.35,65.0,12.0,28.0,4.0
2023-10-06,29.25,60.0,12.0,28.0,4.0
2023-10-09,34.93,65.0,12.0,48.0,4.0
2023-10-10,31.58,60.0,12.0,38.0,4.0
2023-10-11,27.88,60.0,12.0,35.0,7.0
2023-10-12,23.02,42.0,12.0,20.0,4.0
2023-10-13,24.16,47.0,12.0,20.0,4.0
2023-10-16,28.78,47.0,12.0,38.0,4.0
2023-10-17,27.77,42.0,12.0,38.0,4.0
2023-10-18,27.6,42.0,12.0,38.0,4.0
2023-10-19,30.26,52.0,12.0,38.0,4.0
2023-10-20,24.38,47.0,12.0,20.0,4.0
2023-10-23,17.36,23.0,12.0,20.0,4.0
2023-10-25,17.05,23.0,12.0,20.0,4.0
2023-10-26,32.7,70.0,12.0,35.0,4.0
2023-10-27,26.84,60.0,12.0,20.0,4.0
2023-10-30,26.73,60.0,12.0,20.0,4.0
2023-10-31,22.18,42.0,12.0,20.0,4.0
2023-11-01,17.26,23.0,12.0,20.0,4.0
2023-11-02,19.71,32.0,12.0,20.0,4.0
2023-11-03,18.79,28.0,12.0,20.0,4.0
2023-11-06,21.2,37.0,12.0,20.0,4.0
2023-11-07,29.45,70.0,12.0,20.0,4.0
2023-11-08,28.27,65.0,12.0,20.0,4.0
2023-11-09,36.31,80.0,12.0,38.0,4.0
2023-11-10,36.28,70.0,12.0,48.0,4.0
2023-11-13,36.57,70.0,12.0,48.0,4.0
2023-11-15,32.89,65.0,12.0,38.0,4.0
2023-11-16,31.53,60.0,12.0,38.0,4.0
2023-11-17,36.68,70.0,12.0,48.0,4.0
2023-11-20,36.63,70.0,12.0,48.0,4.0
2023-11-21,31.81,60.0,12.0,38.0,4.0
2023-11-22,33.04,65.0,12.0,38.0,4.0
2023-11-23,23.62,27.0,12.0,38.0,4.0
2023-11-24,20.4,32.0,12.0,20.0,4.0
2023-11-28,18.1,23.0,12.0,20.0,4.0
2023-11-29,34.29,70.0,12.0,38.0,4.0
2023-11-30,23.65,27.0,12.0,38.0,4.0
2023-12-01,23.66,27.0,12.0,38.0,4.0
2023-12-04,23.86,28.0,12.0,38.0,4.0
2023-12-05,22.4,23.0,12.0,38.0,4.0
2023-12-06,23.6,28.0,12.0,38.0,4.0
2023-12-07,37.98,85.0,12.0,38.0,4.0
2023-12-08,37.8,85.0,12.0,38.0,4.0
2023-12-11,34.29,70.0,12.0,38.0,4.0
2023-12-12,32.86,65.0,12.0,38.0,4.0
2023-12-13,42.84,72.0,12.0,70.0,4.0
2023-12-14,42.95,72.0,12.0,70.0,4.0
2023-12-15,41.62,57.0,12.0,80.0,4.0
2023-12-18,36.55,47.0,12.0,70.0,4.0
2023-12-19,38.92,57.0,12.0,70.0,4.0
2023-12-20,35.83,65.0,12.0,53.0,4.0
2023-12-21,46.86,80.0,12.0,80.0,4.0
2023-12-22,35.7,60.0,12.0,55.0,4.0
2023-12-26,39.6,75.0,12.0,55.0,4.0
2023-12-27,35.86,60.0,12.0,55.0,4.0
2023-12-28,37.0,65.0,12.0,55.0,4.0
2023-12-29,37.08,65.0,12.0,55.0,4.0
2024-01-01,33.04,60.0,12.0,55.0,7.0
2024-01-02,34.13,65.0,12.0,55.0,7.0
2024-01-03,34.27,65.0,12.0,55.0,7.0
2024-01-04,33.26,60.0,12.0,55.0,7.0
2024-01-05,37.5,65.0,12.0,55.0,4.0
2024-01-08,38.64,70.0,12.0,55.0,4.0
2024-01-09,46.24,75.0,12.0,80.0,4.0
2024-01-10,49.3,72.0,12.0,95.0,4.0
2024-01-11,50.65,72.0,12.0,100.0,4.0
2024-01-12,42.52,62.0,12.0,78.0,4.0
2024-01-15,38.18,47.0,12.0,88.0,7.0
2024-01-16,41.77,60.0,12.0,78.0,4.0
2024-01-17,44.03,60.0,12.0,88.0,4.0
2024-01-18,44.31,60.0,12.0,100.0,7.0
2024-01-19,38.9,60.0,12.0,78.0,7.0
2024-01-23,41.34,60.0,12.0,78.0,4.0
2024-01-24,41.33,60.0,12.0,88.0,7.0
2024-01-25,41.49,60.0,12.0,88.0,7.0
2024-01-29,37.85,60.0,12.0,73.0,7.0
2024-01-30,35.23,60.0,12.0,63.0,7.0
2024-01-31,42.25,65.0,12.0,73.0,4.0
2024-02-01,48.38,65.0,12.0,98.0,4.0
2024-02-02,33.77,42.0,12.0,63.0,4.0
2024-02-05,30.66,42.0,12.0,63.0,7.0
2024-02-06,42.86,65.0,12.0,88.0,7.0
2024-02-07,34.57,42.0,12.0,78.0,7.0
2024-02-08,26.17,42.0,12.0,45.0,7.0
2024-02-09,44.6,80.0,12.0,70.0,4.0
2024-02-12,35.13,70.0,12.0,45.0,4.0
2024-02-13,21.88,42.0,12.0,20.0,4.0
2024-02-14,35.34,80.0,12.0,35.0,4.0
2024-02-15,23.45,47.0,12.0,20.0,4.0
2024-02-16,19.83,32.0,12.0,20.0,4.0
2024-02-19,29.52,70.0,12.0,20.0,4.0
2024-02-20,28.15,65.0,12.0,20.0,4.0
2024-02-21,18.37,27.0,12.0,20.0,4.0
2024-02-22,17.46,23.0,12.0,20.0,4.0
2024-02-23,17.44,23.0,12.0,20.0,4.0
2024-02-26,14.4,23.0,12.0,20.0,7.0
2024-02-27,18.52,28.0,12.0,20.0,4.0
2024-02-28,19.03,32.0,12.0,20.0,4.0
2024-02-29,33.65,65.0,12.0,45.0,4.0
2024-03-01,44.49,65.0,12.0,88.0,4.0
2024-03-04,40.62,65.0,12.0,73.0,4.0
2024-03-05,23.85,27.0,12.0,45.0,4.0
2024-03-06,19.85,23.0,12.0,35.0,4.0
2024-03-07,25.57,45.0,12.0,35.0,4.0
2024-03-11,16.77,27.0,12.0,20.0,4.0
2024-03-12,15.52,23.0,12.0,20.0,4.0
2024-03-13,16.22,28.0,12.0,20.0,4.0
2024-03-14,14.4,28.0,12.0,10.0,4.0
2024-03-15,17.63,42.0,12.0,10.0,4.0
2024-03-18,15.2,32.0,12.0,10.0,4.0
2024-03-19,13.76,27.0,12.0,10.0,4.0
2024-03-20,14.03,28.0,12.0,10.0,4.0
2024-03-21,15.97,23.0,12.0,20.0,4.0
2024-03-22,17.21,38.0,12.0,10.0,4.0
2024-03-26,13.32,23.0,12.0,10.0,4.0
2024-03-27,16.1,33.0,12.0,10.0,4.0
2024-03-28,13.77,24.0,12.0,10.0,4.0
2024-04-01,18.42,38.0,12.0,10.0,4.0
2024-04-02,18.54,37.0,12.0,10.0,4.0
2024-04-03,21.96,40.0,12.0,20.0,4.0
2024-04-04,15.7,27.0,12.0,20.0,7.0
2024-04-05,15.38,23.0,12.0,10.0,4.0
2024-04-08,15.33,23.0,12.0,10.0,4.0
2024-04-09,16.39,28.0,12.0,10.0,4.0
2024-04-10,15.34,23.0,12.0,10.0,4.0
2024-04-12,18.84,37.0,12.0,10.0,4.0
2024-04-15,15.14,23.0,12.0,10.0,4.0
2024-04-16,12.32,23.0,12.0,10.0,7.0
2024-04-18,6.04,18.0,12.0,10.0,12.0
2024-04-19,7.14,23.0,12.0,10.0,12.0
2024-04-22,0.0,9.0,12.0,0.0,17.0
2024-04-23,0.0,19.0,12.0,0.0,25.0
2024-04-24,10.29,33.0,12.0,10.0,12.0
2024-04-25,4.01,18.0,12.0,0.0,12.0
2024-04-26,0.0,8.0,12.0,0.0,15.0
2024-04-29,2.82,13.0,12.0,0.0,12.0
2024-04-30,1.16,8.0,12.0,10.0,15.0
2024-05-02,2.25,13.0,12.0,10.0,15.0
2024-05-03,0.0,8.0,12.0,0.0,15.0
2024-05-06,0.0,8.0,12.0,0.0,15.0
2024-05-07,0.0,8.0,12.0,0.0,15.0
2024-05-08,0.0,18.0,12.0,0.0,15.0
2024-05-09,0.0,8.0,12.0,0.0,15.0
2024-05-10,22.37,55.0,12.0,10.0,4.0
2024-05-13,6.84,25.0,12.0,10.0,12.0
2024-05-14,3.14,20.0,12.0,10.0,15.0
2024-05-15,4.68,25.0,12.0,10.0,15.0
2024-05-16,1.53,12.0,12.0,10.0,15.0
2024-05-17,0.0,12.0,12.0,0.0,15.0
2024-05-21,12.59,35.0,12.0,18.0,12.0
2024-05-22,8.6,20.0,12.0,18.0,12.0
2024-05-23,7.18,20.0,12.0,25.0,15.0
2024-05-24,1.82,12.0,12.0,0.0,12.0
2024-05-27,0.67,8.0,12.0,0.0,12.0
2024-05-28,6.0,22.0,12.0,8.0,12.0
2024-05-29,3.53,12.0,12.0,8.0,12.0
2024-05-30,4.47,17.0,12.0,8.0,12.0
2024-05-31,1.42,12.0,12.0,0.0,12.0
2024-06-03,5.0,17.0,12.0,8.0,12.0
2024-06-04,1.58,8.0,12.0,8.0,12.0
2024-06-05,2.08,8.0,12.0,8.0,12.0
2024-06-06,6.15,22.0,12.0,8.0,12.0
2024-06-07,3.96,12.0,12.0,8.0,12.0
2024-06-10,2.45,13.0,12.0,0.0,12.0
2024-06-11,7.61,22.0,12.0,10.0,12.0
2024-06-12,2.74,12.0,12.0,0.0,12.0
2024-06-13,4.03,17.0,12.0,0.0,12.0
2024-06-14,4.25,17.0,12.0,0.0,12.0
2024-06-18,6.95,27.0,12.0,0.0,12.0
2024-06-19,12.36,50.0,12.0,0.0,12.0
2024-06-20,10.01,40.0,12.0,0.0,12.0
2024-06-21,10.04,40.0,12.0,0.0,12.0
2024-06-24,13.36,45.0,12.0,8.0,12.0
2024-06-25,10.81,35.0,12.0,8.0,12.0
2024-06-26,12.05,40.0,12.0,8.0,12.0
2024-06-27,8.56,27.0,12.0,8.0,12.0
2024-06-28,9.94,32.0,12.0,8.0,12.0
2024-07-01,9.07,27.0,12.0,8.0,12.0
2024-07-02,13.5,45.0,12.0,8.0,12.0
2024-07-03,5.44,12.0,12.0,8.0,12.0
2024-07-04,10.48,32.0,12.0,8.0,12.0
2024-07-05,12.36,40.0,12.0,8.0,12.0
2024-07-08,6.48,17.0,12.0,8.0,12.0
2024-07-09,17.16,60.0,12.0,8.0,12.0
2024-07-10,3.99,17.0,12.0,0.0,12.0
2024-07-11,1.92,8.0,12.0,0.0,12.0
2024-07-12,3.7,8.0,12.0,8.0,12.0
2024-07-15,7.18,22.0,12.0,8.0,12.0
2024-07-16,4.02,17.0,12.0,0.0,12.0
2024-07-18,2.64,13.0,12.0,0.0,12.0
2024-07-19,0.81,8.0,12.0,0.0,12.0
2024-07-22,1.12,8.0,12.0,0.0,12.0
2024-07-23,2.23,13.0,12.0,0.0,12.0
2024-07-24,6.32,17.0,12.0,10.0,12.0
2024-07-25,1.44,8.0,12.0,0.0,12.0
2024-07-26,2.94,13.0,12.0,0.0,12.0
2024-07-29,1.8,8.0,12.0,0.0,12.0
2024-07-30,3.06,13.0,12.0,0.0,12.0
2024-07-31,12.16,40.0,12.0,10.0,12.0
2024-08-01,0.0,12.0,12.0,0.0,15.0
2024-08-02,0.0,8.0,12.0,0.0,15.0
2024-08-05,1.6,13.0,12.0,0.0,12.0
2024-08-06,7.71,28.0,12.0,10.0,12.0
2024-08-07,0.0,13.0,12.0,0.0,15.0
2024-08-08,0.14,8.0,12.0,10.0,15.0
2024-08-09,0.79,8.0,12.0,0.0,12.0
2024-08-12,3.28,18.0,12.0,0.0,12.0
2024-08-13,17.91,60.0,12.0,18.0,12.0
2024-08-14,30.66,70.0,12.0,28.0,4.0
2024-08-16,14.26,35.0,12.0,28.0,12.0
2024-08-19,30.65,60.0,12.0,35.0,4.0
2024-08-20,29.92,57.0,12.0,35.0,4.0
2024-08-21,26.35,42.0,12.0,35.0,4.0
2024-08-22,23.35,42.0,12.0,35.0,7.0
2024-08-23,25.33,50.0,12.0,35.0,7.0
2024-08-26,45.07,72.0,12.0,80.0,4.0
2024-08-27,42.56,62.0,12.0,80.0,4.0
2024-08-28,38.65,47.0,12.0,80.0,4.0
2024-08-29,29.09,55.0,12.0,35.0,4.0
2024-08-30,43.63,67.0,12.0,80.0,4.0
2024-09-02,44.62,72.0,12.0,80.0,4.0
2024-09-03,50.04,72.0,12.0,100.0,4.0
2024-09-04,48.83,67.0,12.0,100.0,4.0
2024-09-05,45.02,52.0,12.0,100.0,4.0
2024-09-06,41.7,52.0,12.0,100.0,7.0
2024-09-09,42.69,57.0,12.0,100.0,7.0
2024-09-10,40.65,47.0,12.0,100.0,7.0
2024-09-11,40.29,47.0,12.0,100.0,7.0
2024-09-12,43.05,57.0,12.0,100.0,7.0
2024-09-13,43.23,57.0,12.0,100.0,7.0
2024-09-16,43.14,57.0,12.0,100.0,7.0
2024-09-17,41.83,52.0,12.0,100.0,7.0
2024-09-18,40.3,47.0,12.0,100.0,7.0
2024-09-19,43.28,60.0,12.0,100.0,7.0
2024-09-20,42.78,57.0,12.0,100.0,7.0
2024-09-23,42.85,57.0,12.0,100.0,7.0
2024-09-24,42.92,57.0,12.0,100.0,7.0
2024-09-25,45.65,57.0,12.0,100.0,4.0
2024-09-26,42.54,57.0,12.0,100.0,7.0
2024-09-27,45.53,57.0,12.0,100.0,4.0
2024-09-30,40.06,47.0,12.0,100.0,7.0
2024-10-01,40.14,47.0,12.0,100.0,7.0
2024-10-03,39.63,47.0,12.0,100.0,7.0
2024-10-04,42.63,60.0,12.0,100.0,7.0
2024-10-07,42.05,60.0,12.0,100.0,7.0
2024-10-08,42.82,60.0,12.0,100.0,7.0
2024-10-09,48.39,70.0,12.0,100.0,4.0
2024-10-10,44.33,65.0,12.0,100.0,7.0
2024-10-11,44.33,65.0,12.0,100.0,7.0
2024-10-14,47.38,65.0,12.0,100.0,4.0
2024-10-15,45.71,60.0,12.0,98.0,4.0
