scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,45.13,60.0,6.0,98.0,4.0
2023-09-06,42.56,60.0,6.0,88.0,4.0
2023-09-07,40.94,65.0,6.0,88.0,7.0
2023-09-08,39.88,60.0,6.0,88.0,7.0
2023-09-11,36.3,52.0,6.0,70.0,4.0
2023-09-12,23.11,23.0,6.0,70.0,9.0
2023-09-13,28.44,23.0,6.0,70.0,4.0
2023-09-14,26.89,28.0,6.0,70.0,7.0
2023-09-15,25.56,23.0,6.0,70.0,7.0
2023-09-18,25.53,23.0,6.0,70.0,7.0
2023-09-20,25.35,23.0,6.0,70.0,7.0
2023-09-21,24.98,23.0,6.0,70.0,7.0
2023-09-22,29.72,28.0,6.0,70.0,4.0
2023-09-25,25.73,23.0,6.0,70.0,7.0
2023-09-26,26.0,23.0,6.0,60.0,4.0
2023-09-27,28.25,33.0,6.0,70.0,7.0
2023-09-28,28.57,23.0,6.0,70.0,4.0
2023-09-29,25.25,33.0,6.0,45.0,4.0
2023-10-03,19.3,23.0,6.0,45.0,7.0
2023-10-04,19.95,28.0,6.0,45.0,7.0
2023-10-05,19.08,23.0,6.0,45.0,7.0
2023-10-06,24.59,33.0,6.0,45.0,4.0
2023-10-09,18.9,23.0,6.0,35.0,4.0
2023-10-10,20.86,28.0,6.0,45.0,7.0
2023-10-11,25.04,33.0,6.0,45.0,4.0
2023-10-12,26.66,23.0,6.0,60.0,4.0
2023-10-13,51.77,85.0,6.0,98.0,4.0
2023-10-16,51.08,80.0,6.0,100.0,4.0
2023-10-17,47.21,65.0,6.0,100.0,4.0
2023-10-18,42.59,60.0,6.0,88.0,4.0
2023-10-19,43.19,70.0,6.0,80.0,4.0
2023-10-20,40.64,60.0,6.0,80.0,4.0
2023-10-23,21.64,27.0,6.0,43.0,4.0
2023-10-25,34.86,70.0,6.0,53.0,4.0
2023-10-26,32.65,65.0,6.0,60.0,7.0
2023-10-27,36.44,65.0,6.0,60.0,4.0
2023-10-30,42.44,70.0,6.0,80.0,4.0
2023-10-31,36.27,65.0,6.0,60.0,4.0
2023-11-01,46.21,85.0,6.0,80.0,4.0
2023-11-02,49.09,80.0,6.0,95.0,4.0
2023-11-03,44.2,60.0,6.0,95.0,4.0
2023-11-06,47.44,72.0,6.0,95.0,4.0
2023-11-07,48.85,72.0,6.0,100.0,4.0
2023-11-08,46.23,62.0,6.0,100.0,4.0
2023-11-09,45.68,60.0,6.0,100.0,4.0
2023-11-10,43.69,65.0,6.0,100.0,7.0
2023-11-13,42.69,60.0,6.0,100.0,7.0
2023-11-15,43.0,60.0,6.0,100.0,7.0
2023-11-16,37.76,60.0,6.0,80.0,7.0
2023-11-17,49.65,75.0,6.0,100.0,4.0
2023-11-20,49.62,75.0,6.0,100.0,4.0
2023-11-21,46.09,60.0,6.0,100.0,4.0
2023-11-22,47.38,65.0,6.0,100.0,4.0
2023-11-23,49.43,72.0,6.0,100.0,4.0
2023-11-24,47.42,65.0,6.0,100.0,4.0
2023-11-28,46.07,60.0,6.0,100.0,4.0
2023-11-29,47.24,65.0,6.0,100.0,4.0
2023-11-30,42.93,60.0,6.0,100.0,7.0
2023-12-01,41.77,60.0,6.0,95.0,7.0
2023-12-04,47.4,65.0,6.0,100.0,4.0
2023-12-05,41.68,60.0,6.0,95.0,7.0
2023-12-06,37.33,60.0,6.0,78.0,7.0
2023-12-07,40.9,70.0,6.0,70.0,4.0
2023-12-08,36.71,65.0,6.0,70.0,7.0
2023-12-11,44.48,65.0,6.0,88.0,4.0
2023-12-12,39.86,60.0,6.0,88.0,7.0
2023-12-13,47.82,80.0,6.0,88.0,4.0
2023-12-14,44.34,65.0,6.0,88.0,4.0
2023-12-15,47.38,70.0,6.0,95.0,4.0
2023-12-18,42.94,60.0,6.0,88.0,4.0
2023-12-19,49.49,85.0,6.0,88.0,4.0
2023-12-20,35.38,70.0,6.0,70.0,9.0
2023-12-21,46.56,75.0,6.0,88.0,4.0
2023-12-22,39.45,65.0,6.0,70.0,4.0
2023-12-26,43.84,65.0,6.0,88.0,4.0
2023-12-27,42.39,60.0,6.0,88.0,4.0
2023-12-28,37.88,60.0,6.0,70.0,4.0
2023-12-29,43.87,65.0,6.0,88.0,4.0
2024-01-01,44.14,65.0,6.0,88.0,4.0
2024-01-02,39.81,60.0,6.0,88.0,7.0
2024-01-03,41.33,65.0,6.0,88.0,7.0
2024-01-04,42.21,65.0,6.0,88.0,7.0
2024-01-05,40.83,60.0,6.0,88.0,7.0
2024-01-08,39.06,42.0,6.0,88.0,4.0
2024-01-09,41.99,65.0,6.0,88.0,7.0
2024-01-10,40.86,60.0,6.0,88.0,7.0
2024-01-11,48.86,80.0,6.0,88.0,4.0
2024-01-12,48.86,80.0,6.0,88.0,4.0
2024-01-15,44.92,65.0,6.0,88.0,4.0
2024-01-16,43.71,60.0,6.0,88.0,4.0
