scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,50.98,85.0,4.0,98.0,4.0
2023-09-06,45.88,65.0,4.0,98.0,4.0
2023-09-07,42.91,65.0,4.0,98.0,7.0
2023-09-08,38.41,60.0,4.0,73.0,4.0
2023-09-11,38.5,65.0,4.0,80.0,7.0
2023-09-12,32.72,60.0,4.0,53.0,4.0
2023-09-13,34.77,70.0,4.0,63.0,7.0
2023-09-14,26.16,60.0,4.0,38.0,7.0
2023-09-15,21.72,42.0,4.0,38.0,7.0
2023-09-18,27.03,52.0,4.0,38.0,4.0
2023-09-20,12.6,27.0,4.0,18.0,7.0
2023-09-21,17.37,47.0,4.0,18.0,7.0
2023-09-22,17.36,47.0,4.0,18.0,7.0
2023-09-25,11.49,23.0,4.0,18.0,7.0
2023-09-26,11.51,23.0,4.0,18.0,7.0
2023-09-27,12.77,28.0,4.0,18.0,7.0
2023-09-28,17.61,23.0,4.0,43.0,7.0
2023-09-29,30.51,70.0,4.0,35.0,4.0
2023-10-03,25.15,60.0,4.0,35.0,7.0
2023-10-04,18.62,60.0,4.0,10.0,7.0
2023-10-05,23.05,65.0,4.0,10.0,4.0
2023-10-06,21.95,60.0,4.0,10.0,4.0
2023-10-09,27.63,85.0,4.0,10.0,4.0
2023-10-10,29.28,80.0,4.0,20.0,4.0
2023-10-11,42.33,72.0,4.0,80.0,4.0
2023-10-12,36.47,57.0,4.0,70.0,4.0
2023-10-13,42.61,67.0,4.0,85.0,4.0
2023-10-16,37.73,47.0,4.0,85.0,4.0
2023-10-17,31.22,47.0,4.0,70.0,7.0
2023-10-18,37.3,60.0,4.0,70.0,4.0
2023-10-19,41.21,60.0,4.0,85.0,4.0
2023-10-20,42.33,65.0,4.0,85.0,4.0
2023-10-23,43.8,75.0,4.0,85.0,4.0
2023-10-25,42.25,70.0,4.0,85.0,4.0
2023-10-26,46.16,75.0,4.0,95.0,4.0
2023-10-27,38.54,65.0,4.0,85.0,7.0
2023-10-30,38.43,65.0,4.0,85.0,7.0
2023-10-31,38.38,60.0,4.0,78.0,4.0
2023-11-01,30.71,42.0,4.0,78.0,7.0
2023-11-02,25.41,38.0,4.0,48.0,4.0
2023-11-03,33.49,70.0,4.0,48.0,4.0
2023-11-06,28.15,60.0,4.0,48.0,7.0
2023-11-07,29.4,65.0,4.0,48.0,7.0
2023-11-08,31.97,60.0,4.0,63.0,7.0
2023-11-09,24.76,60.0,4.0,35.0,7.0
2023-11-10,37.73,85.0,4.0,50.0,4.0
2023-11-13,46.77,72.0,4.0,98.0,4.0
2023-11-15,47.34,72.0,4.0,100.0,4.0
2023-11-16,45.98,67.0,4.0,100.0,4.0
2023-11-17,47.38,72.0,4.0,100.0,4.0
2023-11-20,42.33,52.0,4.0,100.0,4.0
2023-11-21,41.26,47.0,4.0,100.0,4.0
2023-11-22,41.49,60.0,4.0,100.0,7.0
2023-11-23,44.57,60.0,4.0,100.0,4.0
2023-11-24,33.35,57.0,4.0,78.0,9.0
2023-11-28,35.8,57.0,4.0,68.0,4.0
2023-11-29,34.49,52.0,4.0,68.0,4.0
2023-11-30,39.6,52.0,4.0,88.0,4.0
