scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,47.45,62.0,9.0,100.0,4.0
2023-09-05,43.98,60.0,9.0,100.0,7.0
2023-09-06,46.88,60.0,9.0,100.0,4.0
2023-09-07,43.91,60.0,9.0,100.0,7.0
2023-09-08,49.41,70.0,9.0,100.0,4.0
2023-09-11,49.5,70.0,9.0,100.0,4.0
2023-09-12,41.22,60.0,9.0,100.0,9.0
2023-09-13,48.77,70.0,9.0,100.0,4.0
2023-09-14,43.41,60.0,9.0,100.0,7.0
2023-09-15,51.47,80.0,9.0,100.0,4.0
2023-09-18,43.28,60.0,9.0,100.0,7.0
2023-09-20,46.1,60.0,9.0,100.0,4.0
2023-09-21,46.62,65.0,9.0,98.0,4.0
2023-09-22,35.36,60.0,9.0,70.0,7.0
2023-09-25,35.49,60.0,9.0,70.0,7.0
2023-09-26,36.76,65.0,9.0,70.0,7.0
2023-09-27,48.02,70.0,9.0,98.0,4.0
2023-09-28,45.36,60.0,9.0,98.0,4.0
2023-09-29,35.51,60.0,9.0,70.0,7.0
2023-10-03,35.65,60.0,9.0,70.0,7.0
2023-10-04,40.87,70.0,9.0,70.0,4.0
2023-10-05,36.8,65.0,9.0,70.0,7.0
2023-10-06,38.7,60.0,9.0,70.0,4.0
2023-10-09,33.63,42.0,9.0,70.0,4.0
2023-10-10,31.03,42.0,9.0,70.0,7.0
2023-10-11,32.33,47.0,9.0,70.0,7.0
2023-10-12,45.97,70.0,9.0,88.0,4.0
2023-10-13,44.61,65.0,9.0,88.0,4.0
2023-10-16,45.98,60.0,9.0,98.0,4.0
2023-10-17,47.47,75.0,9.0,88.0,4.0
2023-10-18,52.3,85.0,9.0,98.0,4.0
2023-10-19,47.46,75.0,9.0,88.0,4.0
2023-10-20,52.33,85.0,9.0,98.0,4.0
2023-10-23,31.06,52.0,9.0,70.0,9.0
2023-10-25,28.25,32.0,9.0,60.0,4.0
2023-10-26,28.66,33.0,9.0,60.0,4.0
2023-10-27,26.54,23.0,9.0,60.0,4.0
2023-10-30,26.43,23.0,9.0,60.0,4.0
2023-10-31,29.88,37.0,9.0,60.0,4.0
2023-11-01,25.46,32.0,9.0,60.0,7.0
2023-11-02,24.41,27.0,9.0,60.0,7.0
2023-11-03,45.24,70.0,9.0,88.0,4.0
2023-11-06,44.15,65.0,9.0,88.0,4.0
2023-11-07,45.4,60.0,9.0,98.0,4.0
2023-11-08,43.72,65.0,9.0,98.0,7.0
2023-11-09,42.26,60.0,9.0,98.0,7.0
2023-11-10,37.23,60.0,9.0,78.0,7.0
2023-11-13,50.52,80.0,9.0,98.0,4.0
2023-11-15,49.34,75.0,9.0,98.0,4.0
2023-11-16,45.48,60.0,9.0,98.0,4.0
2023-11-17,49.13,72.0,9.0,100.0,4.0
2023-11-20,47.33,65.0,9.0,100.0,4.0
2023-11-21,49.26,72.0,9.0,100.0,4.0
2023-11-22,47.49,65.0,9.0,100.0,4.0
2023-11-23,46.32,60.0,9.0,100.0,4.0
2023-11-24,48.85,70.0,9.0,100.0,4.0
2023-11-28,42.05,60.0,9.0,95.0,7.0
2023-11-29,49.99,75.0,9.0,100.0,4.0
2023-11-30,46.35,60.0,9.0,100.0,4.0
2023-12-01,44.61,65.0,9.0,100.0,7.0
2023-12-04,47.56,65.0,9.0,100.0,4.0
2023-12-05,46.1,60.0,9.0,100.0,4.0
2023-12-06,38.05,60.0,9.0,80.0,7.0
2023-12-07,43.18,65.0,9.0,95.0,7.0
2023-12-08,48.5,70.0,9.0,100.0,4.0
2023-12-11,46.74,62.0,9.0,100.0,4.0
2023-12-12,41.06,60.0,9.0,100.0,9.0
2023-12-13,47.54,65.0,9.0,100.0,4.0
2023-12-14,43.4,60.0,9.0,100.0,7.0
2023-12-15,50.07,75.0,9.0,100.0,4.0
2023-12-18,43.25,60.0,9.0,88.0,4.0
2023-12-19,44.87,60.0,9.0,95.0,4.0
2023-12-20,39.03,65.0,9.0,70.0,4.0
2023-12-21,45.31,70.0,9.0,88.0,4.0
2023-12-22,44.15,65.0,9.0,88.0,4.0
2023-12-26,40.05,60.0,9.0,88.0,7.0
2023-12-27,40.06,60.0,9.0,88.0,7.0
2023-12-28,42.95,60.0,9.0,88.0,4.0
2023-12-29,45.53,70.0,9.0,88.0,4.0
2024-01-01,40.24,60.0,9.0,88.0,7.0
2024-01-02,43.08,60.0,9.0,88.0,4.0
2024-01-03,40.22,60.0,9.0,88.0,7.0
2024-01-04,41.71,65.0,9.0,88.0,7.0
2024-01-05,40.45,60.0,9.0,88.0,7.0
2024-01-08,41.58,65.0,9.0,88.0,7.0
2024-01-09,40.19,65.0,9.0,70.0,4.0
2024-01-10,43.5,60.0,9.0,88.0,4.0
2024-01-11,49.85,85.0,9.0,88.0,4.0
2024-01-12,43.47,60.0,9.0,88.0,4.0
2024-01-15,35.88,60.0,9.0,70.0,7.0
2024-01-16,48.22,80.0,9.0,88.0,4.0
2024-01-17,44.23,65.0,9.0,88.0,4.0
2024-01-18,44.51,65.0,9.0,88.0,4.0
2024-01-19,48.35,80.0,9.0,88.0,4.0
2024-01-23,46.54,75.0,9.0,88.0,4.0
2024-01-24,48.28,70.0,9.0,98.0,4.0
2024-01-25,47.19,65.0,9.0,98.0,4.0
2024-01-29,46.05,60.0,9.0,98.0,4.0
2024-01-30,42.93,60.0,9.0,98.0,7.0
2024-01-31,44.95,65.0,9.0,88.0,4.0
2024-02-01,46.08,60.0,9.0,98.0,4.0
2024-02-02,41.47,52.0,9.0,88.0,4.0
2024-02-05,30.86,28.0,9.0,70.0,4.0
2024-02-06,33.56,32.0,9.0,88.0,7.0
2024-02-07,31.27,23.0,9.0,88.0,7.0
2024-02-08,26.62,23.0,9.0,70.0,7.0
2024-02-09,29.3,23.0,9.0,70.0,4.0
2024-02-12,17.33,23.0,9.0,45.0,9.0
2024-02-13,24.83,33.0,9.0,45.0,4.0
2024-02-14,25.04,33.0,9.0,45.0,4.0
2024-02-15,22.65,23.0,9.0,45.0,4.0
2024-02-16,24.03,28.0,9.0,45.0,4.0
2024-02-19,29.22,48.0,9.0,45.0,4.0
2024-02-20,25.1,32.0,9.0,45.0,4.0
2024-02-21,21.32,28.0,9.0,35.0,4.0
2024-02-22,26.16,37.0,9.0,45.0,4.0
2024-02-23,21.89,32.0,9.0,45.0,7.0
2024-02-26,23.6,27.0,9.0,45.0,4.0
2024-02-27,16.22,23.0,9.0,20.0,4.0
2024-02-28,10.23,23.0,9.0,10.0,7.0
2024-02-29,13.35,23.0,9.0,10.0,4.0
2024-03-01,13.44,23.0,9.0,10.0,4.0
2024-03-04,14.57,28.0,9.0,10.0,4.0
2024-03-05,13.05,23.0,9.0,10.0,4.0
2024-03-06,13.8,28.0,9.0,10.0,4.0
2024-03-07,14.02,28.0,9.0,10.0,4.0
2024-03-11,15.97,38.0,9.0,10.0,4.0
2024-03-12,13.22,28.0,9.0,10.0,4.0
2024-03-13,9.17,34.0,9.0,10.0,9.0
2024-03-14,17.1,43.0,9.0,10.0,4.0
2024-03-15,10.58,38.0,9.0,10.0,9.0
2024-03-18,13.15,28.0,9.0,10.0,4.0
2024-03-19,8.71,23.0,9.0,10.0,7.0
