scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-05-15,21.14,75.0,27.0,0.0,11.0
2026-05-16,20.74,75.0,27.0,0.0,11.0
2026-05-17,21.7,75.0,27.0,0.0,11.0
2026-05-18,13.05,45.0,27.0,0.0,11.0
2026-05-19,23.35,85.0,27.0,0.0,11.0
2026-05-20,19.55,70.0,27.0,0.0,11.0
2026-05-21,20.99,75.0,27.0,0.0,11.0
2026-05-22,19.68,70.0,27.0,0.0,11.0
2026-05-25,19.93,70.0,27.0,0.0,11.0
2026-05-26,19.07,67.0,27.0,0.0,11.0
2026-05-27,19.12,67.0,27.0,0.0,11.0
2026-05-28,4.87,42.0,27.0,0.0,19.0
2026-05-29,6.85,50.0,27.0,0.0,19.0
2026-06-01,2.89,35.0,27.0,0.0,19.0
2026-06-02,5.36,45.0,27.0,0.0,19.0
2026-06-03,5.29,45.0,27.0,0.0,19.0
2026-06-04,4.14,40.0,27.0,0.0,19.0
2026-06-05,2.83,35.0,27.0,0.0,19.0
2026-06-08,2.5,35.0,27.0,0.0,19.0
2026-06-09,2.9,35.0,27.0,0.0,19.0
2026-06-10,2.6,35.0,27.0,0.0,19.0
2026-06-11,1.59,35.0,27.0,8.0,22.0
2026-06-12,7.78,45.0,27.0,8.0,19.0
2026-06-15,9.85,45.0,27.0,15.0,19.0
2026-06-16,7.14,35.0,27.0,15.0,19.0
2026-06-17,0.0,28.0,27.0,0.0,24.0
2026-06-18,3.85,28.0,27.0,8.0,19.0
2026-06-19,0.0,13.0,27.0,0.0,19.0
2026-06-22,0.69,23.0,27.0,0.0,19.0
2026-06-23,0.0,18.0,27.0,0.0,19.0
2026-06-24,0.0,13.0,27.0,0.0,19.0
2026-06-25,0.36,23.0,27.0,0.0,19.0
2026-06-26,0.37,23.0,27.0,0.0,19.0
2026-06-29,0.0,13.0,27.0,0.0,19.0
2026-06-30,2.98,33.0,27.0,0.0,19.0
2026-07-01,0.0,13.0,27.0,0.0,19.0
2026-07-02,0.0,13.0,27.0,0.0,19.0
2026-07-03,0.0,13.0,27.0,0.0,19.0
2026-07-06,0.0,18.0,27.0,0.0,22.0
2026-07-07,0.0,13.0,27.0,0.0,19.0
2026-07-08,0.0,13.0,27.0,0.0,19.0
2026-07-09,0.0,13.0,27.0,0.0,19.0
2026-07-10,1.94,28.0,27.0,0.0,19.0
2026-07-13,0.0,18.0,27.0,0.0,19.0
2026-07-14,0.0,13.0,27.0,0.0,19.0
2026-07-15,0.0,13.0,27.0,0.0,19.0
2026-07-16,0.0,13.0,27.0,0.0,19.0
2026-07-17,0.0,18.0,27.0,0.0,19.0
2026-07-20,0.0,18.0,27.0,0.0,19.0
2026-07-21,0.0,13.0,27.0,0.0,19.0
2026-07-22,0.0,13.0,27.0,0.0,19.0
2026-07-23,0.0,13.0,27.0,0.0,19.0
2026-07-24,0.0,13.0,27.0,0.0,19.0
2026-07-27,0.0,18.0,27.0,0.0,19.0
2026-07-28,0.0,13.0,27.0,0.0,19.0
2026-07-29,0.0,18.0,27.0,0.0,19.0
2026-07-30,0.0,22.0,27.0,0.0,19.0
2026-07-31,3.32,35.0,27.0,0.0,19.0
2026-08-03,8.15,45.0,27.0,8.0,19.0
2026-08-04,3.09,25.0,27.0,8.0,19.0
2026-08-05,4.47,30.0,27.0,8.0,19.0
2026-08-06,0.11,25.0,27.0,8.0,22.0
2026-08-07,4.33,30.0,27.0,8.0,19.0
2026-08-10,4.57,30.0,27.0,8.0,19.0
2026-08-11,4.6,30.0,27.0,8.0,19.0
2026-08-12,9.74,40.0,27.0,8.0,19.0
2026-08-13,4.3,35.0,0.0,8.0,8.0
2026-08-14,0.15,28.0,0.0,0.0,8.0
2026-08-17,0.0,13.0,18.0,0.0,15.0
2026-08-18,1.28,18.0,18.0,0.0,15.0
2026-08-19,0.0,13.0,18.0,0.0,15.0
2026-08-20,2.06,21.0,18.0,0.0,15.0
2026-08-21,2.1,21.0,18.0,0.0,15.0
2026-08-24,0.7,16.0,18.0,0.0,15.0
2026-08-25,1.82,21.0,18.0,0.0,15.0
2026-08-26,0.78,16.0,18.0,0.0,15.0
2026-08-27,1.85,21.0,18.0,0.0,15.0
2026-08-28,2.0,21.0,18.0,0.0,15.0
2026-08-29,1.85,21.0,18.0,0.0,15.0
2026-08-31,2.01,21.0,18.0,0.0,15.0
2026-09-01,1.93,21.0,18.0,0.0,15.0
2026-09-02,1.77,21.0,18.0,0.0,15.0
2026-09-03,0.65,16.0,18.0,0.0,15.0
2026-09-04,0.0,21.0,18.0,0.0,18.0
