scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,44.4,52.0,8.0,100.0,4.0
2023-09-05,44.46,52.0,8.0,100.0,4.0
2023-09-06,44.48,52.0,8.0,100.0,4.0
2023-09-07,41.56,52.0,8.0,100.0,7.0
2023-09-08,41.45,52.0,8.0,100.0,7.0
2023-09-11,44.54,52.0,8.0,100.0,4.0
2023-09-12,46.22,62.0,8.0,100.0,4.0
2023-09-13,47.58,67.0,8.0,100.0,4.0
2023-09-14,44.03,52.0,8.0,100.0,4.0
2023-09-15,44.16,52.0,8.0,100.0,4.0
2023-09-18,46.57,62.0,8.0,100.0,4.0
2023-09-20,43.82,52.0,8.0,100.0,4.0
2023-09-21,39.52,47.0,8.0,100.0,7.0
2023-09-22,45.73,60.0,8.0,100.0,4.0
2023-09-25,42.78,60.0,8.0,100.0,7.0
2023-09-26,48.22,70.0,8.0,100.0,4.0
2023-09-27,47.25,65.0,8.0,100.0,4.0
2023-09-28,44.17,65.0,8.0,100.0,7.0
2023-09-29,40.95,52.0,8.0,100.0,7.0
2023-10-03,40.95,52.0,8.0,100.0,7.0
2023-10-04,40.7,52.0,8.0,100.0,7.0
2023-10-05,44.02,52.0,8.0,100.0,4.0
2023-10-06,47.79,67.0,8.0,100.0,4.0
2023-10-09,44.71,57.0,8.0,100.0,4.0
2023-10-10,40.69,52.0,8.0,100.0,7.0
2023-10-11,40.92,52.0,8.0,100.0,7.0
2023-10-12,41.01,52.0,8.0,100.0,7.0
2023-10-13,40.96,52.0,8.0,100.0,7.0
2023-10-16,40.89,52.0,8.0,100.0,7.0
2023-10-17,43.96,52.0,8.0,100.0,4.0
2023-10-18,43.87,52.0,8.0,100.0,4.0
2023-10-19,43.82,52.0,8.0,100.0,4.0
2023-10-20,47.37,67.0,8.0,100.0,4.0
2023-10-23,41.64,47.0,8.0,100.0,4.0
2023-10-25,38.54,47.0,8.0,100.0,7.0
2023-10-26,38.67,47.0,8.0,100.0,7.0
2023-10-27,47.12,67.0,8.0,100.0,4.0
2023-10-30,43.14,52.0,8.0,100.0,4.0
2023-10-31,42.11,60.0,8.0,100.0,7.0
2023-11-01,44.92,60.0,8.0,100.0,4.0
2023-11-02,48.94,75.0,8.0,100.0,4.0
2023-11-03,43.52,65.0,8.0,100.0,7.0
2023-11-06,43.41,52.0,8.0,100.0,4.0
2023-11-07,43.48,52.0,8.0,100.0,4.0
2023-11-08,44.84,57.0,8.0,100.0,4.0
2023-11-09,47.98,70.0,8.0,100.0,4.0
2023-11-10,45.51,60.0,8.0,100.0,4.0
2023-11-13,47.81,70.0,8.0,98.0,4.0
2023-11-15,44.14,65.0,8.0,88.0,4.0
2023-11-16,34.0,42.0,8.0,70.0,4.0
2023-11-17,30.89,42.0,8.0,70.0,7.0
2023-11-20,40.91,70.0,8.0,70.0,4.0
2023-11-21,45.49,70.0,8.0,88.0,4.0
2023-11-22,44.9,57.0,8.0,98.0,4.0
2023-11-23,49.3,72.0,8.0,100.0,4.0
2023-11-24,45.52,57.0,8.0,100.0,4.0
2023-11-28,42.34,57.0,8.0,100.0,7.0
2023-11-29,45.42,57.0,8.0,100.0,4.0
2023-11-30,47.91,67.0,8.0,100.0,4.0
2023-12-01,44.17,52.0,8.0,100.0,4.0
2023-12-04,41.16,52.0,8.0,100.0,7.0
2023-12-05,47.48,67.0,8.0,100.0,4.0
2023-12-06,43.8,52.0,8.0,100.0,4.0
2023-12-07,47.88,67.0,8.0,100.0,4.0
2023-12-08,43.94,52.0,8.0,100.0,4.0
2023-12-11,39.86,47.0,8.0,100.0,7.0
2023-12-12,39.93,47.0,8.0,100.0,7.0
2023-12-13,43.17,60.0,8.0,100.0,7.0
2023-12-14,43.65,60.0,8.0,100.0,7.0
2023-12-15,43.68,60.0,8.0,100.0,7.0
2023-12-18,50.3,75.0,8.0,100.0,4.0
2023-12-19,44.76,65.0,8.0,100.0,7.0
2023-12-20,50.96,80.0,8.0,100.0,4.0
2023-12-21,46.3,60.0,8.0,100.0,4.0
2023-12-22,43.37,60.0,8.0,100.0,7.0
2023-12-26,40.37,60.0,8.0,88.0,7.0
2023-12-27,35.8,42.0,8.0,88.0,7.0
2023-12-28,30.14,38.0,8.0,70.0,7.0
2023-12-29,30.09,38.0,8.0,70.0,7.0
2024-01-01,34.05,52.0,8.0,70.0,7.0
2024-01-02,34.7,55.0,8.0,70.0,7.0
2024-01-03,37.19,65.0,8.0,70.0,7.0
2024-01-04,37.36,65.0,8.0,70.0,7.0
2024-01-05,37.5,65.0,8.0,70.0,7.0
2024-01-08,44.11,80.0,8.0,70.0,4.0
2024-01-09,41.81,70.0,8.0,70.0,4.0
2024-01-10,41.73,70.0,8.0,70.0,4.0
2024-01-11,37.48,65.0,8.0,70.0,7.0
2024-01-12,44.14,60.0,8.0,88.0,4.0
2024-01-15,45.19,65.0,8.0,88.0,4.0
2024-01-16,40.67,60.0,8.0,88.0,7.0
2024-01-17,35.85,60.0,8.0,70.0,7.0
2024-01-18,37.39,65.0,8.0,70.0,7.0
2024-01-19,48.68,80.0,8.0,88.0,4.0
2024-01-23,36.49,52.0,8.0,70.0,4.0
2024-01-24,35.96,42.0,8.0,88.0,7.0
2024-01-25,35.18,27.0,8.0,88.0,4.0
2024-01-29,34.24,23.0,8.0,88.0,4.0
2024-01-30,29.64,23.0,8.0,70.0,4.0
2024-01-31,24.86,28.0,8.0,45.0,4.0
2024-02-01,24.96,29.0,8.0,45.0,4.0
2024-02-02,24.72,28.0,8.0,45.0,4.0
2024-02-05,29.55,38.0,8.0,55.0,4.0
2024-02-06,27.3,28.0,8.0,55.0,4.0
2024-02-07,23.47,23.0,8.0,45.0,4.0
2024-02-08,20.29,23.0,8.0,45.0,7.0
2024-02-09,25.42,33.0,8.0,45.0,4.0
2024-02-12,22.47,24.0,8.0,45.0,4.0
2024-02-13,23.77,29.0,8.0,45.0,4.0
2024-02-14,24.82,33.0,8.0,45.0,4.0
2024-02-15,32.35,37.0,8.0,70.0,4.0
2024-02-16,34.35,45.0,8.0,70.0,4.0
2024-02-19,44.34,85.0,8.0,70.0,4.0
2024-02-20,35.36,50.0,8.0,70.0,4.0
2024-02-21,22.33,35.0,8.0,45.0,7.0
2024-02-22,20.31,27.0,8.0,45.0,7.0
2024-02-23,20.55,27.0,8.0,45.0,7.0
2024-02-26,17.92,27.0,8.0,35.0,7.0
2024-02-27,16.9,23.0,8.0,35.0,7.0
2024-02-28,16.39,23.0,8.0,35.0,7.0
2024-02-29,16.54,23.0,8.0,35.0,7.0
2024-03-01,22.75,28.0,8.0,43.0,4.0
2024-03-04,16.39,23.0,8.0,35.0,7.0
2024-03-05,19.1,23.0,8.0,35.0,4.0
2024-03-06,15.71,23.0,8.0,35.0,7.0
2024-03-07,15.9,23.0,8.0,35.0,7.0
2024-03-11,15.36,23.0,8.0,35.0,7.0
2024-03-12,14.99,23.0,8.0,35.0,7.0
2024-03-13,14.42,23.0,8.0,35.0,7.0
2024-03-14,18.13,23.0,8.0,35.0,4.0
2024-03-15,16.77,19.0,8.0,35.0,4.0
2024-03-18,13.77,19.0,8.0,35.0,7.0
2024-03-19,3.08,19.0,8.0,25.0,15.0
2024-03-20,6.05,34.0,8.0,10.0,12.0
2024-03-21,10.25,29.0,8.0,10.0,7.0
2024-03-22,13.79,28.0,8.0,25.0,7.0
2024-03-26,24.13,48.0,8.0,35.0,4.0
2024-03-27,25.24,52.0,8.0,35.0,4.0
2024-03-28,21.71,38.0,8.0,35.0,4.0
2024-04-01,24.69,45.0,8.0,35.0,4.0
2024-04-02,17.28,27.0,8.0,35.0,7.0
2024-04-03,28.87,60.0,8.0,35.0,4.0
2024-04-04,35.89,70.0,8.0,53.0,4.0
2024-04-05,39.01,75.0,8.0,60.0,4.0
2024-04-08,38.97,75.0,8.0,60.0,4.0
2024-04-09,31.84,47.0,8.0,60.0,4.0
2024-04-10,29.65,50.0,8.0,60.0,7.0
2024-04-12,29.75,50.0,8.0,60.0,7.0
2024-04-15,29.5,50.0,8.0,60.0,7.0
2024-04-16,29.68,50.0,8.0,60.0,7.0
2024-04-18,29.72,50.0,8.0,60.0,7.0
2024-04-19,30.65,55.0,8.0,60.0,7.0
2024-04-22,34.17,55.0,8.0,60.0,4.0
2024-04-23,38.0,70.0,8.0,60.0,4.0
2024-04-24,38.02,70.0,8.0,60.0,4.0
2024-04-25,30.37,65.0,8.0,35.0,4.0
2024-04-26,25.06,55.0,8.0,35.0,7.0
2024-04-29,27.6,65.0,8.0,35.0,7.0
2024-04-30,23.89,50.0,8.0,35.0,7.0
2024-05-02,23.78,50.0,8.0,35.0,7.0
2024-05-03,28.5,50.0,8.0,55.0,7.0
2024-05-06,26.17,50.0,8.0,48.0,7.0
2024-05-07,26.57,50.0,8.0,38.0,4.0
2024-05-08,20.28,55.0,8.0,20.0,7.0
2024-05-09,16.63,42.0,8.0,20.0,7.0
2024-05-10,14.43,42.0,8.0,10.0,7.0
2024-05-13,18.17,47.0,8.0,20.0,7.0
2024-05-14,16.23,38.0,8.0,20.0,7.0
2024-05-15,20.57,43.0,8.0,20.0,4.0
2024-05-16,30.84,65.0,8.0,38.0,4.0
2024-05-17,39.56,65.0,8.0,73.0,4.0
2024-05-21,30.8,50.0,8.0,53.0,4.0
2024-05-22,29.4,50.0,8.0,48.0,4.0
2024-05-23,19.72,50.0,8.0,10.0,4.0
2024-05-24,31.53,65.0,8.0,43.0,4.0
2024-05-27,23.19,65.0,8.0,10.0,4.0
2024-05-28,13.57,28.0,8.0,10.0,4.0
2024-05-29,12.28,23.0,8.0,10.0,4.0
2024-05-30,15.85,38.0,8.0,10.0,4.0
2024-05-31,9.7,23.0,8.0,0.0,4.0
2024-06-03,9.77,23.0,8.0,0.0,4.0
2024-06-04,10.51,28.0,8.0,0.0,4.0
2024-06-05,13.33,38.0,8.0,0.0,4.0
2024-06-06,11.21,28.0,8.0,0.0,4.0
2024-06-07,10.81,23.0,8.0,0.0,4.0
2024-06-10,0.0,8.0,8.0,0.0,12.0
2024-06-11,18.56,43.0,8.0,10.0,4.0
2024-06-12,14.95,28.0,8.0,10.0,4.0
2024-06-13,12.3,28.0,8.0,10.0,7.0
2024-06-14,4.76,18.0,8.0,10.0,12.0
2024-06-18,18.06,38.0,8.0,10.0,4.0
2024-06-19,19.6,45.0,8.0,10.0,4.0
2024-06-20,29.7,60.0,8.0,35.0,4.0
2024-06-21,28.97,60.0,8.0,43.0,7.0
2024-06-24,39.97,72.0,8.0,63.0,4.0
2024-06-25,42.8,67.0,8.0,80.0,4.0
2024-06-26,32.83,60.0,8.0,60.0,7.0
2024-06-27,30.2,50.0,8.0,60.0,7.0
2024-06-28,30.42,50.0,8.0,60.0,7.0
2024-07-01,22.04,50.0,8.0,25.0,7.0
2024-07-02,28.17,50.0,8.0,50.0,7.0
2024-07-03,29.02,55.0,8.0,35.0,4.0
2024-07-04,38.97,60.0,8.0,70.0,4.0
2024-07-05,33.84,55.0,8.0,55.0,4.0
2024-07-08,24.17,50.0,8.0,35.0,7.0
2024-07-09,32.15,70.0,8.0,35.0,4.0
2024-07-10,28.17,65.0,8.0,25.0,4.0
2024-07-11,29.51,70.0,8.0,25.0,4.0
2024-07-12,30.95,65.0,8.0,35.0,4.0
2024-07-15,26.75,60.0,8.0,35.0,7.0
2024-07-16,26.62,60.0,8.0,35.0,7.0
2024-07-18,27.65,65.0,8.0,35.0,7.0
2024-07-19,21.58,60.0,8.0,18.0,7.0
2024-07-22,19.13,50.0,8.0,18.0,7.0
2024-07-23,15.13,42.0,8.0,10.0,7.0
2024-07-24,21.89,55.0,8.0,10.0,4.0
2024-07-25,25.44,70.0,8.0,10.0,4.0
2024-07-26,17.76,50.0,8.0,10.0,7.0
2024-07-29,22.7,60.0,8.0,8.0,4.0
2024-07-30,15.3,38.0,8.0,0.0,4.0
2024-07-31,17.58,48.0,8.0,0.0,4.0
2024-08-01,10.99,23.0,8.0,0.0,4.0
2024-08-02,12.2,28.0,8.0,0.0,4.0
2024-08-05,0.0,8.0,8.0,0.0,12.0
2024-08-06,0.0,8.0,8.0,0.0,12.0
2024-08-07,3.94,18.0,8.0,10.0,12.0
2024-08-08,21.96,60.0,8.0,20.0,7.0
2024-08-09,34.56,80.0,8.0,38.0,4.0
2024-08-12,34.6,80.0,8.0,38.0,4.0
2024-08-13,28.38,75.0,8.0,20.0,4.0
2024-08-14,25.71,65.0,8.0,20.0,4.0
2024-08-16,35.67,85.0,8.0,38.0,4.0
2024-08-19,42.43,85.0,8.0,63.0,4.0
2024-08-20,43.5,72.0,8.0,80.0,4.0
2024-08-21,46.0,62.0,8.0,100.0,4.0
2024-08-22,48.46,72.0,8.0,100.0,4.0
2024-08-23,44.23,75.0,8.0,80.0,4.0
2024-08-26,42.31,67.0,8.0,80.0,4.0
2024-08-27,46.16,62.0,8.0,100.0,4.0
2024-08-28,48.3,70.0,8.0,100.0,4.0
2024-08-29,43.04,70.0,8.0,80.0,4.0
2024-08-30,37.61,60.0,8.0,80.0,7.0
2024-09-02,47.99,70.0,8.0,100.0,4.0
2024-09-03,48.13,70.0,8.0,100.0,4.0
2024-09-04,48.15,70.0,8.0,100.0,4.0
2024-09-05,45.03,57.0,8.0,100.0,4.0
2024-09-06,49.18,75.0,8.0,100.0,4.0
2024-09-09,46.33,65.0,8.0,100.0,4.0
2024-09-10,45.45,60.0,8.0,100.0,4.0
2024-09-11,45.39,60.0,8.0,100.0,4.0
2024-09-12,48.06,70.0,8.0,100.0,4.0
2024-09-13,45.16,57.0,8.0,100.0,4.0
2024-09-16,48.95,72.0,8.0,100.0,4.0
2024-09-17,46.28,62.0,8.0,100.0,4.0
2024-09-18,42.07,47.0,8.0,100.0,4.0
2024-09-19,45.03,60.0,8.0,100.0,4.0
2024-09-20,43.59,65.0,8.0,100.0,7.0
2024-09-23,41.59,57.0,8.0,100.0,7.0
2024-09-24,42.16,60.0,8.0,100.0,7.0
2024-09-25,42.25,60.0,8.0,100.0,7.0
2024-09-26,41.97,60.0,8.0,100.0,7.0
2024-09-27,43.31,65.0,8.0,100.0,7.0
2024-09-30,49.9,80.0,8.0,100.0,4.0
2024-10-01,45.12,60.0,8.0,100.0,4.0
2024-10-03,45.88,65.0,8.0,100.0,4.0
