scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-11-07,17.5,45.0,10.0,8.0,7.0
2023-11-08,10.88,27.0,10.0,0.0,7.0
2023-11-09,12.08,32.0,10.0,0.0,7.0
2023-11-10,16.84,40.0,10.0,0.0,4.0
2023-11-13,15.84,12.0,10.0,35.0,7.0
2023-11-15,28.65,50.0,10.0,35.0,4.0
2023-11-16,22.66,27.0,10.0,35.0,4.0
2023-11-17,33.55,70.0,10.0,35.0,4.0
2023-11-20,28.52,50.0,10.0,35.0,4.0
2023-11-21,30.74,50.0,10.0,43.0,4.0
2023-11-22,40.02,70.0,10.0,60.0,4.0
2023-11-23,40.33,70.0,10.0,60.0,4.0
2023-11-24,36.32,55.0,10.0,60.0,4.0
2023-11-28,33.72,45.0,10.0,60.0,4.0
2023-11-29,33.64,45.0,10.0,60.0,4.0
2023-11-30,32.33,50.0,10.0,50.0,4.0
2023-12-01,33.67,45.0,10.0,60.0,4.0
2023-12-04,37.55,60.0,10.0,60.0,4.0
2023-12-05,38.58,65.0,10.0,60.0,4.0
2023-12-06,29.23,45.0,10.0,43.0,4.0
2023-12-07,34.8,50.0,10.0,60.0,4.0
2023-12-08,33.61,45.0,10.0,60.0,4.0
2023-12-11,28.38,45.0,10.0,50.0,7.0
2023-12-12,23.01,45.0,10.0,18.0,4.0
2023-12-13,18.47,27.0,10.0,18.0,4.0
2023-12-14,16.99,32.0,10.0,18.0,7.0
2023-12-15,18.78,27.0,10.0,18.0,4.0
2023-12-18,8.84,8.0,10.0,10.0,7.0
2023-12-19,18.39,37.0,10.0,18.0,7.0
2023-12-20,6.28,8.0,10.0,10.0,9.0
2023-12-21,12.21,22.0,10.0,10.0,7.0
2023-12-22,10.85,17.0,10.0,10.0,7.0
2023-12-26,17.49,32.0,10.0,10.0,4.0
2023-12-27,26.79,70.0,10.0,10.0,4.0
2023-12-28,20.53,45.0,10.0,10.0,4.0
2023-12-29,17.77,45.0,10.0,10.0,7.0
2024-01-01,16.54,27.0,10.0,10.0,4.0
2024-01-02,16.46,27.0,10.0,10.0,4.0
2024-01-03,26.23,65.0,10.0,10.0,4.0
