scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,59.63,60.0,33.0,100.0,0.0
2023-09-05,61.07,65.0,33.0,100.0,0.0
2023-09-06,58.16,65.0,33.0,100.0,3.0
2023-09-07,54.87,52.0,33.0,100.0,3.0
2023-09-08,56.55,47.0,33.0,100.0,0.0
2023-09-11,56.71,47.0,33.0,100.0,0.0
2023-09-12,56.52,60.0,33.0,88.0,0.0
2023-09-13,57.8,65.0,33.0,88.0,0.0
2023-09-14,53.88,60.0,33.0,88.0,3.0
2023-09-15,58.34,65.0,33.0,88.0,0.0
2023-09-18,54.25,60.0,33.0,78.0,0.0
2023-09-20,57.83,65.0,33.0,88.0,0.0
2023-09-21,56.06,60.0,33.0,88.0,0.0
2023-09-22,50.42,65.0,33.0,60.0,0.0
2023-09-25,59.19,72.0,33.0,88.0,0.0
2023-09-26,57.96,57.0,33.0,98.0,0.0
2023-09-27,53.98,60.0,33.0,78.0,0.0
2023-09-28,57.34,75.0,33.0,78.0,0.0
2023-09-29,56.23,70.0,33.0,78.0,0.0
2023-10-03,49.09,60.0,33.0,60.0,0.0
2023-10-04,43.87,42.0,33.0,60.0,0.0
2023-10-05,49.94,65.0,33.0,60.0,0.0
2023-10-06,57.14,65.0,33.0,88.0,0.0
2023-10-09,51.98,65.0,33.0,70.0,0.0
2023-10-10,48.16,60.0,33.0,70.0,3.0
2023-10-11,58.41,70.0,33.0,88.0,0.0
2023-10-12,53.22,60.0,33.0,88.0,3.0
2023-10-13,54.22,65.0,33.0,88.0,3.0
2023-10-16,57.19,65.0,33.0,88.0,0.0
2023-10-17,56.21,60.0,33.0,88.0,0.0
2023-10-18,44.17,42.0,33.0,60.0,0.0
2023-10-19,49.66,65.0,33.0,70.0,3.0
2023-10-20,37.45,27.0,33.0,60.0,3.0
2023-10-23,38.69,23.0,33.0,60.0,0.0
2023-10-25,39.83,28.0,33.0,60.0,0.0
2023-10-26,43.24,42.0,33.0,60.0,0.0
2023-10-27,60.06,80.0,33.0,88.0,0.0
2023-10-30,54.95,60.0,33.0,88.0,0.0
2023-10-31,60.94,75.0,33.0,98.0,0.0
2023-11-01,60.92,75.0,33.0,98.0,0.0
2023-11-02,57.56,60.0,33.0,98.0,0.0
2023-11-03,55.82,65.0,33.0,98.0,3.0
2023-11-06,60.5,70.0,33.0,98.0,0.0
2023-11-07,61.54,72.0,33.0,100.0,0.0
