scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,33.02,55.0,8.0,53.0,4.0
2023-09-06,30.55,60.0,8.0,38.0,4.0
2023-09-07,29.37,55.0,8.0,38.0,4.0
2023-09-08,29.4,55.0,8.0,38.0,4.0
2023-09-11,30.62,60.0,8.0,38.0,4.0
2023-09-12,30.93,65.0,8.0,38.0,4.0
2023-09-13,31.22,65.0,8.0,38.0,4.0
2023-09-14,30.67,62.0,8.0,38.0,4.0
2023-09-15,26.9,47.0,8.0,38.0,4.0
2023-09-18,27.99,52.0,8.0,38.0,4.0
2023-09-20,26.85,60.0,8.0,38.0,7.0
2023-09-21,21.62,28.0,8.0,38.0,4.0
2023-09-22,18.63,28.0,8.0,38.0,7.0
2023-09-25,24.61,52.0,8.0,38.0,7.0
2023-09-26,14.15,28.0,8.0,20.0,7.0
2023-09-27,16.45,37.0,8.0,20.0,7.0
2023-09-28,20.93,37.0,8.0,38.0,7.0
2023-09-29,16.56,37.0,8.0,20.0,7.0
2023-10-03,26.73,65.0,8.0,20.0,4.0
2023-10-04,21.8,47.0,8.0,20.0,4.0
2023-10-05,15.26,32.0,8.0,20.0,7.0
2023-10-06,19.7,37.0,8.0,20.0,4.0
2023-10-09,16.72,28.0,8.0,20.0,4.0
2023-10-10,15.37,33.0,8.0,20.0,7.0
2023-10-11,16.53,37.0,8.0,20.0,7.0
2023-10-12,25.73,60.0,8.0,20.0,4.0
2023-10-13,27.1,60.0,8.0,38.0,7.0
2023-10-16,32.61,70.0,8.0,38.0,4.0
2023-10-17,32.76,70.0,8.0,38.0,4.0
2023-10-18,32.53,70.0,8.0,38.0,4.0
2023-10-19,27.16,60.0,8.0,38.0,7.0
2023-10-20,31.26,65.0,8.0,38.0,4.0
2023-10-23,13.82,28.0,8.0,10.0,4.0
2023-10-25,31.17,70.0,8.0,38.0,4.0
2023-10-26,24.25,32.0,8.0,48.0,4.0
2023-10-27,32.97,75.0,8.0,38.0,4.0
2023-10-30,22.15,32.0,8.0,38.0,4.0
2023-10-31,32.88,65.0,8.0,48.0,4.0
2023-11-01,17.53,32.0,8.0,20.0,4.0
2023-11-02,14.71,32.0,8.0,20.0,7.0
2023-11-03,20.63,37.0,8.0,38.0,7.0
2023-11-06,14.46,32.0,8.0,18.0,7.0
2023-11-07,29.65,60.0,8.0,38.0,4.0
2023-11-08,29.46,60.0,8.0,38.0,4.0
2023-11-09,26.31,60.0,8.0,38.0,7.0
2023-11-10,31.64,70.0,8.0,38.0,4.0
2023-11-13,14.89,32.0,8.0,20.0,7.0
2023-11-15,18.31,45.0,8.0,20.0,7.0
2023-11-16,24.92,60.0,8.0,20.0,4.0
2023-11-17,17.99,32.0,8.0,20.0,4.0
2023-11-20,16.35,37.0,8.0,20.0,7.0
2023-11-21,18.21,32.0,8.0,20.0,4.0
2023-11-22,23.0,32.0,8.0,38.0,4.0
2023-11-23,20.1,38.0,8.0,20.0,4.0
2023-11-24,15.05,28.0,8.0,10.0,4.0
2023-11-28,16.17,33.0,8.0,10.0,4.0
2023-11-29,18.54,43.0,8.0,10.0,4.0
2023-11-30,17.37,38.0,8.0,10.0,4.0
2023-12-01,14.86,28.0,8.0,10.0,4.0
2023-12-04,18.4,42.0,8.0,10.0,4.0
2023-12-05,17.11,38.0,8.0,10.0,4.0
2023-12-06,14.54,28.0,8.0,10.0,4.0
2023-12-07,14.79,28.0,8.0,10.0,4.0
2023-12-08,14.59,28.0,8.0,10.0,4.0
2023-12-11,19.56,47.0,8.0,10.0,4.0
2023-12-12,16.93,37.0,8.0,10.0,4.0
2023-12-13,14.71,28.0,8.0,10.0,4.0
2023-12-14,15.95,33.0,8.0,10.0,4.0
2023-12-15,5.4,23.0,8.0,10.0,12.0
2023-12-18,6.81,28.0,8.0,10.0,12.0
2023-12-19,18.52,43.0,8.0,10.0,4.0
2023-12-20,16.31,38.0,8.0,10.0,4.0
2023-12-21,2.39,13.0,8.0,10.0,12.0
2023-12-22,0.1,13.0,8.0,0.0,12.0
2023-12-26,0.85,18.0,8.0,10.0,15.0
2023-12-27,2.64,13.0,8.0,10.0,12.0
2023-12-28,3.82,18.0,8.0,10.0,12.0
2023-12-29,3.86,18.0,8.0,10.0,12.0
2024-01-01,4.13,18.0,8.0,10.0,12.0
2024-01-02,2.94,13.0,8.0,10.0,12.0
2024-01-03,1.28,18.0,8.0,10.0,15.0
2024-01-04,0.8,13.0,8.0,0.0,12.0
2024-01-05,5.34,22.0,8.0,10.0,12.0
2024-01-08,1.5,17.0,8.0,0.0,12.0
2024-01-09,4.23,17.0,8.0,10.0,12.0
2024-01-10,16.42,45.0,8.0,10.0,7.0
2024-01-11,21.46,45.0,8.0,18.0,4.0
2024-01-12,22.15,60.0,8.0,18.0,7.0
2024-01-15,26.34,65.0,8.0,18.0,4.0
2024-01-16,27.36,70.0,8.0,18.0,4.0
2024-01-17,28.36,75.0,8.0,18.0,4.0
2024-01-18,21.12,55.0,8.0,8.0,4.0
2024-01-19,25.04,60.0,8.0,18.0,4.0
2024-01-23,20.72,55.0,8.0,8.0,4.0
2024-01-24,22.52,60.0,8.0,8.0,4.0
2024-01-25,27.71,70.0,8.0,18.0,4.0
2024-01-29,27.75,60.0,8.0,28.0,4.0
2024-01-30,27.74,60.0,8.0,28.0,4.0
2024-01-31,32.92,60.0,8.0,48.0,4.0
2024-02-01,18.54,55.0,8.0,8.0,7.0
2024-02-02,22.74,60.0,8.0,8.0,4.0
2024-02-05,25.06,60.0,8.0,18.0,4.0
2024-02-06,34.03,75.0,8.0,38.0,4.0
2024-02-07,30.34,60.0,8.0,38.0,4.0
2024-02-08,18.28,55.0,8.0,8.0,7.0
2024-02-09,14.13,28.0,8.0,8.0,4.0
2024-02-12,19.49,52.0,8.0,8.0,4.0
2024-02-13,18.49,60.0,8.0,8.0,7.0
2024-02-14,9.86,32.0,8.0,0.0,7.0
2024-02-15,14.82,52.0,8.0,0.0,7.0
2024-02-16,10.09,32.0,8.0,0.0,7.0
2024-02-19,10.2,32.0,8.0,0.0,7.0
2024-02-20,0.0,13.0,8.0,0.0,15.0
2024-02-21,0.0,13.0,8.0,0.0,15.0
2024-02-22,0.17,13.0,8.0,0.0,12.0
2024-02-23,2.48,22.0,8.0,0.0,12.0
2024-02-26,26.23,65.0,8.0,20.0,4.0
2024-02-27,0.02,13.0,8.0,0.0,12.0
