scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,41.07,60.0,6.0,95.0,7.0
2023-09-06,43.6,65.0,6.0,100.0,7.0
2023-09-07,42.42,60.0,6.0,100.0,7.0
2023-09-08,46.7,65.0,6.0,100.0,4.0
2023-09-11,45.42,60.0,6.0,100.0,4.0
2023-09-12,21.98,42.0,6.0,48.0,9.0
2023-09-13,43.77,70.0,6.0,98.0,7.0
2023-09-14,46.22,65.0,6.0,100.0,4.0
2023-09-15,41.95,60.0,6.0,100.0,7.0
2023-09-18,41.79,60.0,6.0,100.0,7.0
2023-09-20,42.9,65.0,6.0,100.0,7.0
2023-09-21,42.67,65.0,6.0,100.0,7.0
2023-09-22,41.43,60.0,6.0,100.0,7.0
2023-09-25,29.41,42.0,6.0,70.0,7.0
2023-09-26,39.45,70.0,6.0,70.0,4.0
2023-09-27,35.25,65.0,6.0,70.0,7.0
2023-09-28,38.23,65.0,6.0,70.0,4.0
2023-09-29,37.11,60.0,6.0,70.0,4.0
2023-10-03,35.53,65.0,6.0,70.0,7.0
2023-10-04,32.35,42.0,6.0,70.0,4.0
2023-10-05,35.81,65.0,6.0,60.0,4.0
2023-10-06,32.25,65.0,6.0,45.0,4.0
2023-10-09,18.02,23.0,6.0,45.0,7.0
2023-10-10,24.42,47.0,6.0,45.0,7.0
2023-10-11,23.33,42.0,6.0,45.0,7.0
2023-10-12,38.28,60.0,6.0,73.0,4.0
2023-10-13,23.65,42.0,6.0,45.0,7.0
2023-10-16,32.41,65.0,6.0,45.0,4.0
2023-10-17,30.06,55.0,6.0,45.0,4.0
2023-10-18,22.83,27.0,6.0,45.0,4.0
2023-10-19,19.96,27.0,6.0,45.0,7.0
2023-10-20,24.06,32.0,6.0,45.0,4.0
2023-10-23,19.12,27.0,6.0,35.0,4.0
2023-10-25,20.22,32.0,6.0,35.0,4.0
2023-10-26,16.05,27.0,6.0,35.0,7.0
2023-10-27,24.52,32.0,6.0,50.0,4.0
2023-10-30,23.2,27.0,6.0,50.0,4.0
2023-10-31,44.68,85.0,6.0,78.0,4.0
2023-11-01,23.08,27.0,6.0,50.0,4.0
2023-11-02,29.01,32.0,6.0,68.0,4.0
2023-11-03,44.93,85.0,6.0,78.0,4.0
2023-11-06,40.01,65.0,6.0,78.0,4.0
2023-11-07,39.7,65.0,6.0,88.0,7.0
2023-11-08,38.76,60.0,6.0,78.0,4.0
2023-11-09,28.11,45.0,6.0,63.0,7.0
2023-11-10,15.69,27.0,6.0,20.0,4.0
2023-11-13,30.69,50.0,6.0,68.0,7.0
2023-11-15,30.86,50.0,6.0,68.0,7.0
2023-11-16,12.97,27.0,6.0,20.0,7.0
2023-11-17,37.54,80.0,6.0,53.0,4.0
2023-11-20,36.4,60.0,6.0,68.0,4.0
2023-11-21,45.26,85.0,6.0,78.0,4.0
2023-11-22,41.8,70.0,6.0,78.0,4.0
2023-11-23,40.65,65.0,6.0,78.0,4.0
2023-11-24,40.6,65.0,6.0,78.0,4.0
2023-11-28,36.72,65.0,6.0,63.0,4.0
2023-11-29,37.84,70.0,6.0,63.0,4.0
2023-11-30,27.42,60.0,6.0,43.0,7.0
2023-12-01,30.4,60.0,6.0,43.0,4.0
2023-12-04,35.45,80.0,6.0,43.0,4.0
2023-12-05,27.66,75.0,6.0,18.0,4.0
2023-12-06,21.84,60.0,6.0,10.0,4.0
2023-12-07,39.09,85.0,6.0,53.0,4.0
2023-12-08,31.39,75.0,6.0,33.0,4.0
2023-12-11,41.61,85.0,6.0,63.0,4.0
2023-12-12,41.98,80.0,6.0,70.0,4.0
2023-12-13,35.26,60.0,6.0,63.0,4.0
2023-12-14,47.0,85.0,6.0,85.0,4.0
2023-12-15,36.95,60.0,6.0,70.0,4.0
2023-12-18,32.36,60.0,6.0,63.0,7.0
2023-12-19,40.82,75.0,6.0,70.0,4.0
2023-12-20,34.36,60.0,6.0,63.0,4.0
2023-12-21,30.44,65.0,6.0,53.0,7.0
2023-12-22,36.15,65.0,6.0,63.0,4.0
2023-12-26,31.9,60.0,6.0,63.0,7.0
2023-12-27,31.94,60.0,6.0,63.0,7.0
2023-12-28,33.12,65.0,6.0,63.0,7.0
2023-12-29,31.91,60.0,6.0,63.0,7.0
2024-01-01,45.68,85.0,6.0,80.0,4.0
2024-01-02,40.74,65.0,6.0,80.0,4.0
2024-01-03,34.83,60.0,6.0,73.0,7.0
2024-01-04,36.85,60.0,6.0,80.0,7.0
2024-01-05,35.39,60.0,6.0,63.0,4.0
2024-01-08,40.3,80.0,6.0,63.0,4.0
2024-01-09,32.53,60.0,6.0,63.0,7.0
2024-01-10,48.22,85.0,6.0,88.0,4.0
2024-01-11,50.02,80.0,6.0,100.0,4.0
2024-01-12,45.7,65.0,6.0,98.0,4.0
2024-01-15,35.14,60.0,6.0,73.0,7.0
2024-01-16,36.66,65.0,6.0,63.0,4.0
2024-01-17,36.41,65.0,6.0,63.0,4.0
2024-01-18,34.92,60.0,6.0,73.0,7.0
2024-01-19,36.34,65.0,6.0,73.0,7.0
2024-01-23,32.02,60.0,6.0,63.0,7.0
2024-01-24,28.07,42.0,6.0,63.0,7.0
2024-01-25,32.01,47.0,6.0,73.0,7.0
2024-01-29,50.05,80.0,6.0,100.0,4.0
2024-01-30,42.54,60.0,6.0,90.0,4.0
2024-01-31,35.47,60.0,6.0,73.0,7.0
2024-02-01,42.09,75.0,6.0,73.0,4.0
2024-02-02,35.29,60.0,6.0,73.0,7.0
2024-02-05,28.11,42.0,6.0,63.0,7.0
2024-02-06,42.08,75.0,6.0,73.0,4.0
2024-02-07,32.89,60.0,6.0,63.0,7.0
2024-02-08,41.83,75.0,6.0,73.0,4.0
2024-02-09,30.68,60.0,6.0,45.0,4.0
2024-02-12,30.04,60.0,6.0,45.0,4.0
2024-02-13,14.54,23.0,6.0,20.0,4.0
2024-02-14,20.91,47.0,6.0,20.0,4.0
2024-02-15,25.36,52.0,6.0,45.0,7.0
2024-02-16,33.39,65.0,6.0,63.0,7.0
2024-02-19,22.5,52.0,6.0,20.0,4.0
2024-02-20,16.95,42.0,6.0,20.0,7.0
2024-02-21,13.07,27.0,6.0,20.0,7.0
2024-02-22,17.47,27.0,6.0,38.0,7.0
2024-02-23,16.03,27.0,6.0,20.0,4.0
2024-02-26,18.03,47.0,6.0,20.0,7.0
2024-02-27,50.32,85.0,6.0,100.0,4.0
2024-02-28,26.9,75.0,6.0,38.0,9.0
2024-02-29,30.75,70.0,6.0,38.0,4.0
2024-03-01,35.9,65.0,6.0,63.0,4.0
2024-03-04,29.06,60.0,6.0,53.0,7.0
2024-03-05,28.04,60.0,6.0,38.0,4.0
2024-03-06,15.49,42.0,6.0,20.0,7.0
2024-03-07,21.4,65.0,6.0,20.0,7.0
2024-03-11,11.43,27.0,6.0,20.0,7.0
2024-03-12,10.09,23.0,6.0,20.0,7.0
2024-03-13,40.55,85.0,6.0,70.0,4.0
2024-03-14,38.64,75.0,6.0,70.0,4.0
2024-03-15,23.69,60.0,6.0,38.0,7.0
2024-03-18,23.91,60.0,6.0,38.0,7.0
2024-03-19,26.12,60.0,6.0,48.0,7.0
2024-03-20,15.38,27.0,6.0,38.0,7.0
2024-03-21,27.76,65.0,6.0,48.0,7.0
2024-03-22,21.99,42.0,6.0,48.0,7.0
2024-03-26,15.52,27.0,6.0,38.0,7.0
2024-03-27,15.67,27.0,6.0,38.0,7.0
2024-03-28,10.22,23.0,6.0,20.0,7.0
2024-04-01,14.63,37.0,6.0,20.0,7.0
2024-04-02,12.34,27.0,6.0,20.0,7.0
