scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,35.42,42.0,12.0,70.0,4.0
2023-09-05,34.42,50.0,12.0,70.0,7.0
2023-09-06,28.95,50.0,12.0,48.0,7.0
2023-09-07,17.27,35.0,12.0,48.0,15.0
2023-09-08,17.3,35.0,12.0,48.0,15.0
2023-09-11,33.27,60.0,12.0,55.0,7.0
2023-09-12,11.33,35.0,12.0,48.0,20.0
2023-09-13,20.87,45.0,12.0,55.0,15.0
2023-09-14,18.57,35.0,12.0,55.0,15.0
2023-09-15,18.55,35.0,12.0,55.0,15.0
2023-09-18,18.39,35.0,12.0,55.0,15.0
2023-09-20,19.5,40.0,12.0,55.0,15.0
2023-09-21,18.02,35.0,12.0,55.0,15.0
2023-09-22,19.28,40.0,12.0,55.0,15.0
2023-09-25,19.26,40.0,12.0,55.0,15.0
2023-09-26,42.8,75.0,12.0,70.0,4.0
2023-09-27,41.1,55.0,12.0,95.0,7.0
2023-09-28,30.33,50.0,12.0,45.0,4.0
2023-09-29,28.71,55.0,12.0,45.0,7.0
2023-10-03,27.63,50.0,12.0,45.0,7.0
2023-10-04,16.45,27.0,12.0,45.0,12.0
2023-10-05,28.66,55.0,12.0,45.0,7.0
2023-10-06,21.35,50.0,12.0,20.0,7.0
2023-10-09,6.87,27.0,12.0,20.0,15.0
2023-10-10,8.52,32.0,12.0,20.0,15.0
2023-10-11,22.43,55.0,12.0,20.0,7.0
2023-10-12,27.38,55.0,12.0,38.0,7.0
2023-10-13,19.5,42.0,12.0,20.0,7.0
2023-10-16,27.26,55.0,12.0,38.0,7.0
2023-10-17,27.41,55.0,12.0,38.0,7.0
2023-10-18,30.18,55.0,12.0,38.0,4.0
2023-10-19,26.06,50.0,12.0,38.0,7.0
2023-10-20,23.91,42.0,12.0,38.0,7.0
2023-10-23,0.0,8.0,12.0,10.0,15.0
2023-10-25,0.0,8.0,12.0,10.0,15.0
2023-10-26,5.9,13.0,12.0,20.0,12.0
2023-10-27,3.37,13.0,12.0,20.0,15.0
2023-10-30,2.05,8.0,12.0,20.0,15.0
2023-10-31,0.78,13.0,12.0,10.0,15.0
2023-11-01,0.0,8.0,12.0,10.0,15.0
2023-11-02,6.36,13.0,12.0,20.0,12.0
