scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,42.03,65.0,13.0,70.0,4.0
2023-09-05,47.77,70.0,13.0,88.0,4.0
2023-09-06,47.68,70.0,13.0,88.0,4.0
2023-09-07,45.14,60.0,13.0,88.0,4.0
2023-09-08,45.31,60.0,13.0,88.0,4.0
2023-09-11,49.24,75.0,13.0,88.0,4.0
2023-09-12,37.8,52.0,13.0,70.0,4.0
2023-09-13,47.24,70.0,13.0,88.0,4.0
2023-09-14,44.97,60.0,13.0,88.0,4.0
2023-09-15,46.34,65.0,13.0,88.0,4.0
2023-09-18,41.58,65.0,13.0,70.0,4.0
2023-09-20,41.41,65.0,13.0,70.0,4.0
2023-09-21,40.14,60.0,13.0,70.0,4.0
2023-09-22,41.46,65.0,13.0,70.0,4.0
2023-09-25,42.88,70.0,13.0,70.0,4.0
2023-09-26,46.03,65.0,13.0,88.0,4.0
2023-09-27,50.96,72.0,13.0,100.0,4.0
2023-09-28,49.48,67.0,13.0,100.0,4.0
2023-09-29,47.22,57.0,13.0,100.0,4.0
2023-10-03,51.09,72.0,13.0,100.0,4.0
2023-10-04,48.15,62.0,13.0,100.0,4.0
2023-10-05,50.47,70.0,13.0,100.0,4.0
2023-10-06,51.04,72.0,13.0,100.0,4.0
2023-10-09,49.97,70.0,13.0,100.0,4.0
2023-10-10,49.17,65.0,13.0,100.0,4.0
2023-10-11,49.22,65.0,13.0,100.0,4.0
2023-10-12,45.46,60.0,13.0,100.0,7.0
2023-10-13,45.36,60.0,13.0,100.0,7.0
2023-10-16,45.39,60.0,13.0,100.0,7.0
2023-10-17,46.72,65.0,13.0,100.0,7.0
2023-10-18,45.25,60.0,13.0,100.0,7.0
2023-10-19,49.4,65.0,13.0,100.0,4.0
2023-10-20,45.11,60.0,13.0,100.0,7.0
2023-10-23,33.96,42.0,13.0,98.0,12.0
2023-10-25,37.67,38.0,13.0,98.0,7.0
2023-10-26,41.95,43.0,13.0,98.0,4.0
2023-10-27,36.55,47.0,13.0,70.0,4.0
2023-10-30,27.88,23.0,13.0,60.0,4.0
2023-10-31,31.65,38.0,13.0,60.0,4.0
2023-11-01,25.34,28.0,13.0,45.0,4.0
2023-11-02,31.08,47.0,13.0,60.0,7.0
2023-11-03,27.51,47.0,13.0,45.0,7.0
2023-11-06,42.56,80.0,13.0,60.0,4.0
2023-11-07,44.59,70.0,13.0,78.0,4.0
2023-11-08,37.53,60.0,13.0,60.0,4.0
2023-11-09,37.25,60.0,13.0,60.0,4.0
2023-11-10,34.29,60.0,13.0,60.0,7.0
2023-11-13,41.81,70.0,13.0,78.0,7.0
2023-11-15,43.58,65.0,13.0,78.0,4.0
2023-11-16,39.13,60.0,13.0,78.0,7.0
2023-11-17,37.75,60.0,13.0,60.0,4.0
2023-11-20,34.73,60.0,13.0,60.0,7.0
2023-11-21,30.21,42.0,13.0,60.0,7.0
2023-11-22,31.06,42.0,13.0,63.0,7.0
2023-11-23,32.4,47.0,13.0,63.0,7.0
2023-11-24,32.43,47.0,13.0,63.0,7.0
2023-11-28,26.31,23.0,13.0,63.0,7.0
2023-11-29,31.45,32.0,13.0,63.0,4.0
2023-11-30,47.16,80.0,13.0,78.0,4.0
2023-12-01,42.17,60.0,13.0,78.0,4.0
2023-12-04,39.92,65.0,13.0,63.0,4.0
2023-12-05,38.51,60.0,13.0,63.0,4.0
2023-12-06,40.2,70.0,13.0,60.0,4.0
2023-12-07,34.02,60.0,13.0,45.0,4.0
2023-12-08,48.52,85.0,13.0,78.0,4.0
2023-12-11,49.96,80.0,13.0,88.0,4.0
2023-12-12,43.6,65.0,13.0,78.0,4.0
2023-12-13,43.53,65.0,13.0,78.0,4.0
2023-12-14,47.5,70.0,13.0,88.0,4.0
2023-12-15,45.09,60.0,13.0,88.0,4.0
2023-12-18,46.29,65.0,13.0,88.0,4.0
2023-12-19,46.08,65.0,13.0,88.0,4.0
2023-12-20,26.04,33.0,13.0,63.0,9.0
2023-12-21,36.22,52.0,13.0,63.0,4.0
2023-12-22,39.5,65.0,13.0,63.0,4.0
2023-12-26,30.68,42.0,13.0,63.0,7.0
2023-12-27,30.68,42.0,13.0,63.0,7.0
2023-12-28,31.91,47.0,13.0,63.0,7.0
2023-12-29,31.91,47.0,13.0,63.0,7.0
2024-01-01,35.3,47.0,13.0,63.0,4.0
2024-01-02,26.31,42.0,13.0,45.0,7.0
2024-01-03,27.21,47.0,13.0,43.0,7.0
2024-01-04,45.37,85.0,13.0,63.0,4.0
2024-01-05,38.89,60.0,13.0,63.0,4.0
2024-01-08,31.65,60.0,13.0,35.0,4.0
2024-01-09,32.56,65.0,13.0,45.0,7.0
2024-01-10,31.71,60.0,13.0,35.0,4.0
2024-01-11,40.78,85.0,13.0,45.0,4.0
2024-01-12,35.77,65.0,13.0,45.0,4.0
2024-01-15,42.64,75.0,13.0,63.0,4.0
2024-01-16,42.61,75.0,13.0,63.0,4.0
2024-01-17,35.15,65.0,13.0,45.0,4.0
2024-01-18,40.14,65.0,13.0,63.0,4.0
2024-01-19,40.35,65.0,13.0,63.0,4.0
2024-01-23,30.6,47.0,13.0,45.0,4.0
2024-01-24,26.39,38.0,13.0,35.0,4.0
2024-01-25,25.2,33.0,13.0,35.0,4.0
2024-01-29,24.13,28.0,13.0,35.0,4.0
2024-01-30,22.98,23.0,13.0,35.0,4.0
2024-01-31,20.6,28.0,13.0,20.0,4.0
2024-02-01,19.16,23.0,13.0,20.0,4.0
2024-02-02,20.44,28.0,13.0,20.0,4.0
2024-02-05,30.69,70.0,13.0,20.0,4.0
2024-02-06,37.83,80.0,13.0,38.0,4.0
2024-02-07,32.82,60.0,13.0,38.0,4.0
2024-02-08,29.51,75.0,13.0,10.0,4.0
2024-02-09,25.45,50.0,13.0,20.0,4.0
2024-02-12,15.35,23.0,13.0,10.0,4.0
2024-02-13,15.34,23.0,13.0,10.0,4.0
2024-02-14,16.95,28.0,13.0,10.0,4.0
2024-02-15,19.25,37.0,13.0,10.0,4.0
2024-02-16,13.88,27.0,13.0,10.0,7.0
2024-02-19,16.03,23.0,13.0,10.0,4.0
2024-02-20,12.81,23.0,13.0,10.0,7.0
2024-02-21,12.6,23.0,13.0,10.0,7.0
2024-02-22,15.59,23.0,13.0,10.0,4.0
2024-02-23,13.89,28.0,13.0,10.0,7.0
2024-02-26,12.55,23.0,13.0,10.0,7.0
2024-02-27,12.32,23.0,13.0,10.0,7.0
2024-02-28,13.74,19.0,13.0,10.0,4.0
2024-02-29,19.95,43.0,13.0,10.0,4.0
2024-03-01,12.02,23.0,13.0,10.0,7.0
2024-03-04,11.91,23.0,13.0,10.0,7.0
2024-03-05,11.84,23.0,13.0,10.0,7.0
2024-03-06,14.21,23.0,13.0,10.0,4.0
2024-03-07,12.64,28.0,13.0,10.0,7.0
2024-03-11,13.89,23.0,13.0,10.0,4.0
2024-03-12,0.0,9.0,13.0,0.0,12.0
2024-03-13,0.0,19.0,13.0,0.0,25.0
2024-03-14,4.17,28.0,13.0,0.0,12.0
2024-03-15,1.35,18.0,13.0,0.0,12.0
2024-03-18,0.1,13.0,13.0,0.0,12.0
2024-03-19,1.1,18.0,13.0,0.0,12.0
2024-03-20,0.07,14.0,13.0,0.0,12.0
2024-03-21,5.33,33.0,13.0,0.0,12.0
2024-03-22,1.62,18.0,13.0,0.0,12.0
2024-03-26,0.14,13.0,13.0,0.0,12.0
2024-03-27,1.5,18.0,13.0,0.0,12.0
2024-03-28,2.77,23.0,13.0,0.0,12.0
2024-04-01,6.54,32.0,13.0,0.0,12.0
2024-04-02,12.45,45.0,13.0,10.0,12.0
2024-04-03,7.81,35.0,13.0,0.0,12.0
2024-04-04,30.5,85.0,13.0,8.0,4.0
2024-04-05,35.58,85.0,13.0,28.0,4.0
2024-04-08,29.27,70.0,13.0,18.0,4.0
2024-04-09,26.6,60.0,13.0,18.0,4.0
2024-04-10,21.22,60.0,13.0,8.0,7.0
2024-04-12,23.79,60.0,13.0,18.0,7.0
2024-04-15,10.22,20.0,13.0,25.0,12.0
2024-04-16,22.3,55.0,13.0,18.0,7.0
2024-04-18,23.92,55.0,13.0,25.0,7.0
2024-04-19,26.76,55.0,13.0,25.0,4.0
2024-04-22,27.75,55.0,13.0,25.0,4.0
2024-04-23,24.73,55.0,13.0,25.0,7.0
2024-04-24,30.25,65.0,13.0,25.0,4.0
2024-04-25,23.44,50.0,13.0,25.0,7.0
2024-04-26,23.47,50.0,13.0,25.0,7.0
2024-04-29,30.25,65.0,13.0,25.0,4.0
2024-04-30,26.08,60.0,13.0,25.0,7.0
2024-05-02,36.29,80.0,13.0,35.0,4.0
2024-05-03,29.2,60.0,13.0,28.0,4.0
2024-05-06,28.72,60.0,13.0,28.0,4.0
2024-05-07,21.2,50.0,13.0,10.0,4.0
2024-05-08,18.35,50.0,13.0,10.0,7.0
2024-05-09,4.48,27.0,13.0,0.0,12.0
2024-05-10,10.62,50.0,13.0,0.0,12.0
2024-05-13,4.54,27.0,13.0,0.0,12.0
2024-05-14,6.12,32.0,13.0,0.0,12.0
2024-05-15,10.35,40.0,13.0,8.0,12.0
2024-05-16,5.48,28.0,13.0,0.0,12.0
2024-05-17,10.05,37.0,13.0,8.0,12.0
2024-05-21,10.14,45.0,13.0,0.0,12.0
2024-05-22,11.86,45.0,13.0,8.0,12.0
2024-05-23,7.25,35.0,13.0,0.0,12.0
2024-05-24,7.08,35.0,13.0,0.0,12.0
2024-05-27,11.64,45.0,13.0,8.0,12.0
2024-05-28,6.72,35.0,13.0,0.0,12.0
2024-05-29,3.67,23.0,13.0,0.0,12.0
2024-05-30,3.39,23.0,13.0,0.0,12.0
2024-05-31,4.76,28.0,13.0,0.0,12.0
2024-06-03,5.42,28.0,13.0,0.0,12.0
2024-06-04,0.0,19.0,13.0,0.0,17.0
2024-06-05,4.74,28.0,13.0,0.0,12.0
2024-06-06,2.94,18.0,13.0,0.0,12.0
2024-06-07,5.69,27.0,13.0,0.0,12.0
2024-06-10,5.75,27.0,13.0,0.0,12.0
2024-06-11,2.37,12.0,13.0,0.0,12.0
2024-06-12,2.72,12.0,13.0,0.0,12.0
2024-06-13,2.7,12.0,13.0,0.0,12.0
2024-06-14,6.7,17.0,13.0,10.0,12.0
2024-06-18,8.44,22.0,13.0,10.0,12.0
2024-06-19,5.68,12.0,13.0,10.0,12.0
2024-06-20,8.64,23.0,13.0,10.0,12.0
2024-06-21,8.43,23.0,13.0,10.0,12.0
2024-06-24,3.7,23.0,13.0,10.0,17.0
2024-06-25,7.35,18.0,13.0,10.0,12.0
2024-06-26,3.55,14.0,13.0,0.0,12.0
2024-06-27,3.38,14.0,13.0,0.0,12.0
2024-06-28,7.24,28.0,13.0,0.0,12.0
2024-07-01,6.24,13.0,13.0,10.0,12.0
2024-07-02,2.22,8.0,13.0,0.0,12.0
2024-07-03,3.63,13.0,13.0,0.0,12.0
2024-07-04,3.4,13.0,13.0,0.0,12.0
2024-07-05,2.1,8.0,13.0,0.0,12.0
2024-07-08,3.06,13.0,13.0,0.0,12.0
2024-07-09,3.14,13.0,13.0,0.0,12.0
2024-07-10,1.52,8.0,13.0,0.0,12.0
2024-07-11,2.83,13.0,13.0,0.0,12.0
2024-07-12,3.65,17.0,13.0,0.0,12.0
2024-07-15,1.58,8.0,13.0,0.0,12.0
2024-07-16,3.93,17.0,13.0,0.0,12.0
2024-07-18,1.4,8.0,13.0,0.0,12.0
2024-07-19,0.0,8.0,13.0,0.0,15.0
2024-07-22,4.58,22.0,13.0,0.0,12.0
2024-07-23,1.72,12.0,13.0,0.0,12.0
2024-07-24,5.53,17.0,13.0,8.0,12.0
2024-07-25,4.33,13.0,13.0,8.0,12.0
2024-07-26,6.1,18.0,13.0,8.0,12.0
2024-07-29,8.26,27.0,13.0,8.0,12.0
2024-07-30,10.18,35.0,13.0,8.0,12.0
2024-07-31,7.72,25.0,13.0,8.0,12.0
2024-08-01,7.4,25.0,13.0,8.0,12.0
2024-08-02,5.9,20.0,13.0,8.0,12.0
2024-08-05,1.36,13.0,13.0,0.0,12.0
2024-08-06,0.02,8.0,13.0,0.0,12.0
2024-08-07,0.65,8.0,13.0,0.0,12.0
2024-08-08,0.55,8.0,13.0,0.0,12.0
2024-08-09,0.79,8.0,13.0,0.0,12.0
2024-08-12,0.72,8.0,13.0,0.0,12.0
2024-08-13,0.3,8.0,13.0,0.0,12.0
2024-08-14,1.45,13.0,13.0,0.0,12.0
2024-08-16,1.86,13.0,13.0,0.0,12.0
2024-08-19,4.82,23.0,13.0,0.0,12.0
2024-08-20,9.27,40.0,13.0,0.0,12.0
2024-08-21,7.04,30.0,13.0,0.0,12.0
2024-08-22,5.79,25.0,13.0,0.0,12.0
2024-08-23,2.38,12.0,13.0,0.0,12.0
2024-08-26,7.61,25.0,13.0,8.0,12.0
2024-08-27,9.42,40.0,13.0,0.0,12.0
2024-08-28,4.5,20.0,13.0,0.0,12.0
2024-08-29,2.23,12.0,13.0,0.0,12.0
2024-08-30,9.39,40.0,13.0,0.0,12.0
2024-09-02,9.18,40.0,13.0,0.0,12.0
2024-09-03,14.18,40.0,13.0,18.0,12.0
2024-09-04,10.29,35.0,13.0,8.0,12.0
2024-09-05,7.52,35.0,13.0,8.0,15.0
2024-09-06,3.18,8.0,13.0,8.0,12.0
2024-09-09,2.97,8.0,13.0,8.0,12.0
2024-09-10,4.44,13.0,13.0,8.0,12.0
2024-09-11,3.13,8.0,13.0,8.0,12.0
2024-09-12,3.28,8.0,13.0,8.0,12.0
2024-09-13,6.1,17.0,13.0,8.0,12.0
2024-09-16,6.05,17.0,13.0,8.0,12.0
2024-09-17,2.7,12.0,13.0,0.0,12.0
2024-09-18,1.44,8.0,13.0,0.0,12.0
2024-09-19,2.28,13.0,13.0,0.0,12.0
2024-09-20,7.29,32.0,13.0,0.0,12.0
2024-09-23,4.12,18.0,13.0,0.0,12.0
2024-09-24,1.4,8.0,13.0,0.0,12.0
2024-09-25,1.33,8.0,13.0,0.0,12.0
2024-09-26,2.32,13.0,13.0,0.0,12.0
2024-09-27,3.59,18.0,13.0,0.0,12.0
2024-09-30,2.17,13.0,13.0,0.0,12.0
2024-10-01,2.61,14.0,13.0,0.0,12.0
2024-10-03,2.21,14.0,13.0,0.0,12.0
2024-10-04,2.91,18.0,13.0,0.0,12.0
2024-10-07,0.04,9.0,13.0,0.0,12.0
2024-10-08,2.89,18.0,13.0,0.0,12.0
2024-10-09,2.65,17.0,13.0,0.0,12.0
2024-10-10,0.42,8.0,13.0,0.0,12.0
2024-10-11,0.0,8.0,13.0,0.0,15.0
2024-10-14,0.62,8.0,13.0,0.0,12.0
