scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,24.13,50.0,8.0,20.0,4.0
2023-09-06,22.78,45.0,8.0,20.0,4.0
2023-09-07,15.81,17.0,8.0,20.0,4.0
2023-09-08,20.31,17.0,8.0,38.0,4.0
2023-09-11,22.9,27.0,8.0,38.0,4.0
2023-09-12,21.12,23.0,8.0,38.0,4.0
2023-09-13,19.92,18.0,8.0,38.0,4.0
2023-09-14,15.56,18.0,8.0,20.0,4.0
2023-09-15,15.62,18.0,8.0,20.0,4.0
2023-09-18,19.93,18.0,8.0,38.0,4.0
2023-09-20,15.25,18.0,8.0,20.0,4.0
2023-09-21,15.02,18.0,8.0,20.0,4.0
2023-09-22,13.76,13.0,8.0,20.0,4.0
2023-09-25,15.14,18.0,8.0,20.0,4.0
2023-09-26,15.16,18.0,8.0,20.0,4.0
2023-09-27,16.42,23.0,8.0,20.0,4.0
2023-09-28,16.26,23.0,8.0,20.0,4.0
2023-09-29,22.41,47.0,8.0,20.0,4.0
2023-10-03,19.05,33.0,8.0,20.0,4.0
2023-10-04,23.52,52.0,8.0,20.0,4.0
2023-10-05,18.95,33.0,8.0,20.0,4.0
2023-10-06,15.35,28.0,8.0,10.0,4.0
2023-10-09,3.03,13.0,8.0,10.0,12.0
2023-10-10,4.68,18.0,8.0,10.0,12.0
2023-10-11,3.48,13.0,8.0,10.0,12.0
2023-10-12,7.62,28.0,8.0,10.0,12.0
2023-10-13,5.01,18.0,8.0,10.0,12.0
2023-10-16,22.38,55.0,8.0,10.0,4.0
2023-10-17,16.87,32.0,8.0,10.0,4.0
2023-10-18,19.95,45.0,8.0,10.0,4.0
2023-10-19,16.86,32.0,8.0,10.0,4.0
2023-10-20,12.73,28.0,8.0,10.0,7.0
2023-10-23,2.96,13.0,8.0,10.0,12.0
2023-10-25,2.65,13.0,8.0,10.0,12.0
2023-10-26,2.8,13.0,8.0,10.0,12.0
2023-10-27,2.7,23.0,8.0,10.0,15.0
2023-10-30,0.08,13.0,8.0,10.0,15.0
2023-10-31,1.28,18.0,8.0,10.0,15.0
2023-11-01,6.37,27.0,8.0,10.0,12.0
2023-11-02,0.0,17.0,8.0,0.0,15.0
2023-11-03,2.39,22.0,8.0,10.0,15.0
2023-11-06,2.55,22.0,8.0,10.0,15.0
2023-11-07,21.3,45.0,8.0,18.0,4.0
2023-11-08,18.87,45.0,8.0,8.0,4.0
2023-11-09,3.66,17.0,8.0,8.0,12.0
2023-11-10,5.13,31.0,8.0,0.0,12.0
2023-11-13,3.42,23.0,8.0,0.0,12.0
2023-11-15,3.5,23.0,8.0,0.0,12.0
2023-11-16,5.38,31.0,8.0,0.0,12.0
2023-11-17,4.78,28.0,8.0,0.0,12.0
2023-11-20,0.98,13.0,8.0,0.0,12.0
2023-11-21,1.16,13.0,8.0,0.0,12.0
2023-11-22,3.14,21.0,8.0,0.0,12.0
2023-11-23,3.22,21.0,8.0,0.0,12.0
2023-11-24,5.75,23.0,8.0,8.0,12.0
2023-11-28,1.95,16.0,8.0,0.0,12.0
2023-11-29,1.89,16.0,8.0,0.0,12.0
2023-11-30,2.0,16.0,8.0,0.0,12.0
2023-12-01,6.26,23.0,8.0,10.0,12.0
2023-12-04,5.96,32.0,8.0,0.0,12.0
2023-12-05,2.0,17.0,8.0,0.0,12.0
2023-12-06,3.2,22.0,8.0,0.0,12.0
2023-12-07,4.58,27.0,8.0,0.0,12.0
2023-12-08,11.4,55.0,8.0,0.0,12.0
2023-12-11,12.39,50.0,8.0,8.0,12.0
2023-12-12,7.22,30.0,8.0,8.0,12.0
2023-12-13,6.19,25.0,8.0,8.0,12.0
2023-12-14,4.8,27.0,8.0,0.0,12.0
2023-12-15,5.47,22.0,8.0,8.0,12.0
2023-12-18,4.65,27.0,8.0,0.0,12.0
2023-12-19,4.27,26.0,8.0,0.0,12.0
2023-12-20,3.43,26.0,8.0,0.0,12.0
2023-12-21,5.96,26.0,8.0,8.0,12.0
2023-12-22,3.55,16.0,8.0,8.0,12.0
2023-12-26,8.45,35.0,8.0,8.0,12.0
2023-12-27,35.21,80.0,8.0,38.0,4.0
2023-12-28,32.6,70.0,8.0,38.0,4.0
2023-12-29,31.43,65.0,8.0,38.0,4.0
2024-01-01,29.14,55.0,8.0,38.0,4.0
2024-01-02,23.98,55.0,8.0,18.0,4.0
2024-01-03,30.37,60.0,8.0,38.0,4.0
2024-01-04,21.36,55.0,8.0,18.0,7.0
2024-01-05,21.35,55.0,8.0,18.0,7.0
2024-01-08,30.48,60.0,8.0,38.0,4.0
2024-01-09,30.59,60.0,8.0,38.0,4.0
2024-01-10,34.9,67.0,8.0,48.0,4.0
2024-01-11,30.0,47.0,8.0,48.0,4.0
2024-01-12,25.37,42.0,8.0,35.0,4.0
2024-01-15,20.53,42.0,8.0,28.0,7.0
2024-01-16,24.12,55.0,8.0,18.0,4.0
2024-01-17,27.63,60.0,8.0,28.0,4.0
2024-01-18,30.91,65.0,8.0,35.0,4.0
2024-01-19,23.75,55.0,8.0,28.0,7.0
2024-01-23,26.19,55.0,8.0,28.0,4.0
2024-01-24,24.93,60.0,8.0,28.0,7.0
2024-01-25,7.59,28.0,8.0,10.0,12.0
2024-01-29,26.95,65.0,8.0,18.0,4.0
2024-01-30,21.33,55.0,8.0,18.0,7.0
2024-01-31,24.6,55.0,8.0,18.0,4.0
2024-02-01,21.48,55.0,8.0,18.0,7.0
2024-02-02,25.62,60.0,8.0,18.0,4.0
2024-02-05,24.26,55.0,8.0,18.0,4.0
2024-02-06,10.71,32.0,8.0,18.0,12.0
2024-02-07,26.17,70.0,8.0,10.0,4.0
2024-02-08,25.52,60.0,8.0,18.0,4.0
2024-02-09,0.0,28.0,8.0,0.0,17.0
2024-02-12,3.48,26.0,8.0,0.0,12.0
2024-02-13,4.73,21.0,8.0,10.0,12.0
2024-02-14,5.44,23.0,8.0,10.0,12.0
2024-02-15,0.0,13.0,8.0,0.0,15.0
2024-02-16,1.43,18.0,8.0,10.0,15.0
2024-02-19,3.37,13.0,8.0,10.0,12.0
2024-02-20,6.75,27.0,8.0,10.0,12.0
2024-02-21,2.97,13.0,8.0,10.0,12.0
2024-02-22,2.31,22.0,8.0,10.0,15.0
2024-02-23,3.04,13.0,8.0,10.0,12.0
2024-02-26,5.25,22.0,8.0,10.0,12.0
2024-02-27,35.87,85.0,8.0,38.0,4.0
2024-02-28,25.38,65.0,8.0,18.0,4.0
2024-02-29,23.0,55.0,8.0,18.0,4.0
2024-03-01,23.09,55.0,8.0,18.0,4.0
2024-03-04,19.97,55.0,8.0,18.0,7.0
2024-03-05,7.95,40.0,8.0,18.0,15.0
2024-03-06,0.0,17.0,8.0,10.0,15.0
2024-03-07,21.92,65.0,8.0,18.0,7.0
2024-03-11,1.37,17.0,8.0,18.0,15.0
2024-03-12,0.62,13.0,8.0,8.0,12.0
2024-03-13,0.0,16.0,8.0,0.0,17.0
2024-03-14,0.0,23.0,8.0,0.0,15.0
2024-03-15,0.0,16.0,8.0,0.0,15.0
2024-03-18,0.0,18.0,8.0,0.0,15.0
2024-03-19,0.0,13.0,8.0,0.0,15.0
2024-03-20,0.0,16.0,8.0,10.0,15.0
2024-03-21,4.07,27.0,8.0,18.0,15.0
2024-03-22,2.81,22.0,8.0,18.0,15.0
2024-03-26,0.0,13.0,8.0,10.0,15.0
2024-03-27,0.0,16.0,8.0,0.0,12.0
2024-03-28,1.12,21.0,8.0,0.0,12.0
2024-04-01,3.78,27.0,8.0,0.0,12.0
2024-04-02,6.14,35.0,8.0,0.0,12.0
2024-04-03,7.56,30.0,8.0,10.0,12.0
2024-04-04,13.8,55.0,8.0,10.0,12.0
2024-04-05,7.73,40.0,8.0,0.0,12.0
2024-04-08,7.93,45.0,8.0,8.0,15.0
2024-04-09,7.49,40.0,8.0,0.0,12.0
2024-04-10,8.94,45.0,8.0,0.0,12.0
2024-04-12,5.94,25.0,8.0,8.0,12.0
2024-04-15,8.74,27.0,8.0,18.0,12.0
2024-04-16,5.17,22.0,8.0,8.0,12.0
2024-04-18,7.64,22.0,8.0,18.0,12.0
2024-04-19,3.24,17.0,8.0,18.0,15.0
2024-04-22,10.78,45.0,8.0,18.0,15.0
2024-04-23,11.37,45.0,8.0,8.0,12.0
2024-04-24,11.39,45.0,8.0,8.0,12.0
2024-04-25,7.11,40.0,8.0,8.0,15.0
2024-04-26,4.46,17.0,8.0,8.0,12.0
