scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,41.97,60.0,5.0,100.0,7.0
2023-09-05,43.22,65.0,5.0,100.0,7.0
2023-09-06,42.0,60.0,5.0,100.0,7.0
2023-09-07,46.82,67.0,5.0,100.0,4.0
2023-09-08,45.6,62.0,5.0,100.0,4.0
2023-09-11,42.07,60.0,5.0,100.0,7.0
2023-09-12,43.63,60.0,5.0,98.0,4.0
2023-09-13,48.17,75.0,5.0,100.0,4.0
2023-09-14,47.12,70.0,5.0,100.0,4.0
2023-09-15,42.85,65.0,5.0,100.0,7.0
2023-09-18,47.44,72.0,5.0,100.0,4.0
2023-09-20,47.3,72.0,5.0,100.0,4.0
2023-09-21,44.57,62.0,5.0,100.0,4.0
2023-09-22,44.08,60.0,5.0,100.0,4.0
2023-09-25,42.06,52.0,5.0,100.0,4.0
2023-09-26,42.1,52.0,5.0,100.0,4.0
2023-09-27,42.15,52.0,5.0,100.0,4.0
2023-09-28,41.13,60.0,5.0,100.0,7.0
2023-09-29,42.51,65.0,5.0,100.0,7.0
2023-10-03,48.18,75.0,5.0,100.0,4.0
2023-10-04,45.25,65.0,5.0,100.0,4.0
2023-10-05,45.46,65.0,5.0,100.0,4.0
2023-10-06,41.4,60.0,5.0,100.0,7.0
2023-10-09,40.17,60.0,5.0,98.0,7.0
2023-10-10,43.57,70.0,5.0,100.0,7.0
2023-10-11,42.48,65.0,5.0,100.0,7.0
2023-10-12,41.68,60.0,5.0,100.0,7.0
2023-10-13,42.8,65.0,5.0,100.0,7.0
2023-10-16,41.56,60.0,5.0,100.0,7.0
2023-10-17,41.21,60.0,5.0,98.0,7.0
2023-10-18,38.48,60.0,5.0,88.0,7.0
2023-10-19,44.11,70.0,5.0,88.0,4.0
2023-10-20,41.46,60.0,5.0,88.0,4.0
2023-10-23,26.52,43.0,5.0,70.0,9.0
2023-10-25,26.37,23.0,5.0,70.0,4.0
2023-10-26,27.7,28.0,5.0,70.0,4.0
2023-10-27,34.17,52.0,5.0,70.0,4.0
2023-10-30,31.6,42.0,5.0,70.0,4.0
2023-10-31,29.83,47.0,5.0,70.0,7.0
2023-11-01,26.73,23.0,5.0,70.0,4.0
2023-11-02,36.66,62.0,5.0,70.0,4.0
2023-11-03,31.83,42.0,5.0,70.0,4.0
2023-11-06,33.16,47.0,5.0,70.0,4.0
2023-11-07,41.6,80.0,5.0,70.0,4.0
2023-11-08,31.91,42.0,5.0,70.0,4.0
2023-11-09,27.01,23.0,5.0,70.0,4.0
2023-11-10,39.84,75.0,5.0,70.0,4.0
2023-11-13,37.59,65.0,5.0,70.0,4.0
2023-11-15,37.76,65.0,5.0,70.0,4.0
2023-11-16,33.37,60.0,5.0,70.0,7.0
2023-11-17,46.94,72.0,5.0,100.0,4.0
2023-11-20,47.3,75.0,5.0,98.0,4.0
2023-11-21,48.66,80.0,5.0,98.0,4.0
2023-11-22,48.2,75.0,5.0,100.0,4.0
2023-11-23,46.3,67.0,5.0,100.0,4.0
2023-11-24,41.25,47.0,5.0,100.0,4.0
2023-11-28,41.37,60.0,5.0,100.0,7.0
2023-11-29,42.49,65.0,5.0,100.0,7.0
2023-11-30,41.32,60.0,5.0,100.0,7.0
2023-12-01,49.3,80.0,5.0,100.0,4.0
2023-12-04,44.35,60.0,5.0,100.0,4.0
2023-12-05,41.06,60.0,5.0,100.0,7.0
2023-12-06,40.99,60.0,5.0,100.0,7.0
2023-12-07,41.24,60.0,5.0,100.0,7.0
2023-12-08,41.04,60.0,5.0,100.0,7.0
2023-12-11,38.51,42.0,5.0,95.0,4.0
2023-12-12,46.63,70.0,5.0,100.0,4.0
2023-12-13,39.91,60.0,5.0,95.0,7.0
2023-12-14,41.15,65.0,5.0,95.0,7.0
2023-12-15,41.1,65.0,5.0,95.0,7.0
2023-12-18,34.26,60.0,5.0,60.0,4.0
2023-12-19,32.47,65.0,5.0,60.0,7.0
2023-12-20,33.26,75.0,5.0,45.0,4.0
2023-12-21,31.09,65.0,5.0,45.0,4.0
2023-12-22,31.3,65.0,5.0,45.0,4.0
2023-12-26,31.3,65.0,5.0,45.0,4.0
2023-12-27,35.84,65.0,5.0,63.0,4.0
2023-12-28,35.77,65.0,5.0,63.0,4.0
2023-12-29,31.56,60.0,5.0,63.0,7.0
2024-01-01,31.58,65.0,5.0,45.0,4.0
2024-01-02,27.39,60.0,5.0,45.0,7.0
2024-01-03,31.73,65.0,5.0,45.0,4.0
2024-01-04,39.0,75.0,5.0,63.0,4.0
2024-01-05,35.04,60.0,5.0,63.0,4.0
2024-01-08,34.95,60.0,5.0,63.0,4.0
2024-01-09,36.43,65.0,5.0,63.0,4.0
2024-01-10,36.62,65.0,5.0,63.0,4.0
2024-01-11,36.66,65.0,5.0,63.0,4.0
2024-01-12,32.35,60.0,5.0,63.0,7.0
2024-01-15,39.04,75.0,5.0,63.0,4.0
2024-01-16,35.06,60.0,5.0,63.0,4.0
2024-01-17,27.31,42.0,5.0,63.0,7.0
2024-01-18,21.32,23.0,5.0,45.0,4.0
2024-01-19,22.74,28.0,5.0,45.0,4.0
2024-01-23,20.92,23.0,5.0,45.0,4.0
2024-01-24,19.72,28.0,5.0,45.0,7.0
2024-01-25,21.66,23.0,5.0,45.0,4.0
2024-01-29,25.2,37.0,5.0,45.0,4.0
2024-01-30,33.44,70.0,5.0,45.0,4.0
2024-01-31,36.12,70.0,5.0,55.0,4.0
2024-02-01,50.49,85.0,5.0,98.0,4.0
2024-02-02,50.44,85.0,5.0,98.0,4.0
2024-02-05,46.51,70.0,5.0,98.0,4.0
2024-02-06,42.23,52.0,5.0,98.0,4.0
2024-02-07,48.04,75.0,5.0,98.0,4.0
2024-02-08,29.48,57.0,5.0,63.0,9.0
2024-02-09,21.08,23.0,5.0,45.0,4.0
2024-02-12,20.44,23.0,5.0,45.0,4.0
2024-02-13,18.69,28.0,5.0,45.0,7.0
2024-02-14,20.81,23.0,5.0,45.0,4.0
2024-02-15,19.02,28.0,5.0,45.0,7.0
2024-02-16,24.54,37.0,5.0,45.0,4.0
2024-02-19,15.65,23.0,5.0,35.0,7.0
2024-02-20,17.85,32.0,5.0,35.0,7.0
2024-02-21,15.47,23.0,5.0,35.0,7.0
2024-02-22,16.62,28.0,5.0,35.0,7.0
2024-02-23,15.93,23.0,5.0,25.0,4.0
2024-02-26,11.43,32.0,5.0,10.0,7.0
2024-02-27,8.97,23.0,5.0,10.0,7.0
2024-02-28,8.55,23.0,5.0,10.0,7.0
2024-02-29,11.65,23.0,5.0,10.0,4.0
2024-03-01,14.3,33.0,5.0,10.0,4.0
2024-03-04,10.96,32.0,5.0,10.0,7.0
2024-03-05,12.44,27.0,5.0,10.0,4.0
2024-03-06,12.14,28.0,5.0,10.0,4.0
2024-03-07,8.05,23.0,5.0,10.0,7.0
2024-03-11,11.83,28.0,5.0,10.0,4.0
2024-03-12,11.49,28.0,5.0,10.0,4.0
2024-03-13,0.0,9.0,5.0,10.0,17.0
2024-03-14,14.04,38.0,5.0,10.0,4.0
2024-03-15,12.59,33.0,5.0,10.0,4.0
2024-03-18,13.81,37.0,5.0,10.0,4.0
2024-03-19,11.02,27.0,5.0,10.0,4.0
2024-03-20,7.03,23.0,5.0,10.0,7.0
2024-03-21,13.91,37.0,5.0,10.0,4.0
2024-03-22,17.89,45.0,5.0,18.0,4.0
2024-03-26,13.17,35.0,5.0,10.0,4.0
2024-03-27,15.82,45.0,5.0,10.0,4.0
2024-03-28,15.87,45.0,5.0,10.0,4.0
2024-04-01,17.53,40.0,5.0,18.0,4.0
2024-04-02,38.24,85.0,5.0,55.0,4.0
2024-04-03,26.75,65.0,5.0,28.0,4.0
2024-04-04,31.74,65.0,5.0,48.0,4.0
2024-04-05,25.51,70.0,5.0,18.0,4.0
2024-04-08,23.0,50.0,5.0,28.0,4.0
2024-04-09,21.06,55.0,5.0,28.0,7.0
2024-04-10,22.96,50.0,5.0,28.0,4.0
2024-04-12,17.19,27.0,5.0,28.0,4.0
2024-04-15,18.71,27.0,5.0,35.0,4.0
2024-04-16,17.11,32.0,5.0,35.0,7.0
2024-04-18,17.16,27.0,5.0,28.0,4.0
2024-04-19,12.65,32.0,5.0,18.0,7.0
2024-04-22,13.14,32.0,5.0,18.0,7.0
2024-04-23,17.1,47.0,5.0,18.0,7.0
2024-04-24,23.37,60.0,5.0,18.0,4.0
2024-04-25,15.66,42.0,5.0,18.0,7.0
2024-04-26,15.79,42.0,5.0,18.0,7.0
2024-04-29,28.38,60.0,5.0,38.0,4.0
2024-04-30,22.98,50.0,5.0,38.0,7.0
2024-05-02,26.94,55.0,5.0,38.0,4.0
2024-05-03,20.96,60.0,5.0,10.0,4.0
2024-05-06,15.99,42.0,5.0,10.0,4.0
2024-05-07,10.88,23.0,5.0,10.0,4.0
2024-05-08,9.32,28.0,5.0,10.0,7.0
2024-05-09,0.0,8.0,5.0,10.0,12.0
2024-05-10,13.33,33.0,5.0,10.0,4.0
