scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,27.29,37.0,50.0,0.0,8.0
2023-09-05,26.59,17.0,50.0,18.0,8.0
2023-09-06,26.53,27.0,50.0,8.0,8.0
2023-09-07,21.03,13.0,50.0,0.0,8.0
2023-09-08,21.02,13.0,50.0,0.0,8.0
2023-09-11,25.54,23.0,50.0,8.0,8.0
2023-09-12,22.87,23.0,50.0,0.0,8.0
2023-09-13,22.11,18.0,50.0,0.0,8.0
2023-09-14,25.63,23.0,50.0,8.0,8.0
2023-09-15,27.96,33.0,50.0,8.0,8.0
2023-09-18,23.75,18.0,50.0,8.0,8.0
2023-09-20,21.34,18.0,50.0,0.0,8.0
2023-09-21,22.35,23.0,50.0,0.0,8.0
2023-09-22,19.8,13.0,50.0,0.0,8.0
2023-09-25,20.04,13.0,50.0,0.0,8.0
2023-09-26,19.0,9.0,50.0,0.0,8.0
2023-09-27,9.9,24.0,50.0,0.0,21.0
2023-09-28,13.0,19.0,50.0,0.0,16.0
2023-09-29,26.31,38.0,50.0,0.0,8.0
2023-10-03,27.09,42.0,50.0,0.0,8.0
2023-10-04,20.49,18.0,50.0,0.0,8.0
2023-10-05,19.29,13.0,50.0,0.0,8.0
2023-10-06,17.57,18.0,50.0,0.0,11.0
2023-10-09,16.45,16.0,50.0,0.0,11.0
2023-10-10,17.49,18.0,50.0,0.0,11.0
2023-10-11,23.04,27.0,50.0,0.0,8.0
2023-10-12,20.99,17.0,50.0,0.0,8.0
2023-10-13,20.6,17.0,50.0,0.0,8.0
2023-10-16,24.13,30.0,50.0,0.0,8.0
2023-10-17,21.18,30.0,50.0,0.0,11.0
2023-10-18,20.84,30.0,50.0,0.0,11.0
2023-10-19,17.58,17.0,50.0,0.0,11.0
2023-10-20,16.17,13.0,50.0,0.0,11.0
2023-10-23,19.1,16.0,50.0,0.0,8.0
2023-10-25,20.23,21.0,50.0,0.0,8.0
2023-10-26,18.78,16.0,50.0,0.0,8.0
2023-10-27,21.77,21.0,50.0,18.0,11.0
2023-10-30,21.78,21.0,50.0,18.0,11.0
2023-10-31,17.27,21.0,50.0,0.0,11.0
2023-11-01,25.96,45.0,50.0,0.0,8.0
2023-11-02,30.86,55.0,50.0,8.0,8.0
2023-11-03,33.67,55.0,50.0,18.0,8.0
2023-11-06,32.86,50.0,50.0,18.0,8.0
2023-11-07,32.82,50.0,50.0,18.0,8.0
2023-11-08,30.73,40.0,50.0,18.0,8.0
2023-11-09,30.28,40.0,50.0,18.0,8.0
2023-11-10,41.54,75.0,50.0,28.0,8.0
2023-11-13,33.04,40.0,50.0,28.0,8.0
2023-11-15,30.8,40.0,50.0,18.0,8.0
2023-11-16,30.7,40.0,50.0,18.0,8.0
2023-11-17,34.72,55.0,50.0,18.0,8.0
2023-11-20,34.38,45.0,50.0,28.0,8.0
2023-11-21,34.72,45.0,50.0,28.0,8.0
2023-11-22,33.37,40.0,50.0,28.0,8.0
