scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,35.91,65.0,8.0,53.0,4.0
2023-09-06,34.79,60.0,8.0,53.0,4.0
2023-09-07,32.99,65.0,8.0,53.0,7.0
2023-09-08,39.74,65.0,8.0,68.0,4.0
2023-09-11,35.5,65.0,8.0,63.0,7.0
2023-09-12,16.97,28.0,8.0,38.0,9.0
2023-09-13,28.3,52.0,8.0,38.0,4.0
2023-09-14,24.44,47.0,8.0,38.0,7.0
2023-09-15,31.27,65.0,8.0,48.0,7.0
2023-09-18,29.8,60.0,8.0,48.0,7.0
2023-09-20,26.34,65.0,8.0,30.0,7.0
2023-09-21,20.71,42.0,8.0,20.0,4.0
2023-09-22,13.02,23.0,8.0,20.0,7.0
2023-09-25,13.14,23.0,8.0,20.0,7.0
2023-09-26,14.43,28.0,8.0,20.0,7.0
2023-09-27,13.24,23.0,8.0,20.0,7.0
2023-09-28,14.25,28.0,8.0,20.0,7.0
2023-09-29,19.31,47.0,8.0,20.0,7.0
2023-10-03,17.21,27.0,8.0,20.0,4.0
2023-10-04,16.81,27.0,8.0,20.0,4.0
2023-10-05,30.34,65.0,8.0,35.0,4.0
2023-10-06,46.11,85.0,8.0,78.0,4.0
2023-10-09,34.11,65.0,8.0,53.0,4.0
2023-10-10,30.09,65.0,8.0,35.0,4.0
2023-10-11,36.25,70.0,8.0,53.0,4.0
2023-10-12,37.77,65.0,8.0,63.0,4.0
2023-10-13,33.44,60.0,8.0,63.0,7.0
2023-10-16,33.97,65.0,8.0,48.0,4.0
2023-10-17,25.9,60.0,8.0,20.0,4.0
2023-10-18,37.7,75.0,8.0,53.0,4.0
2023-10-19,35.24,65.0,8.0,53.0,4.0
2023-10-20,36.32,70.0,8.0,53.0,4.0
2023-10-23,10.1,23.0,8.0,20.0,9.0
2023-10-25,16.12,28.0,8.0,20.0,4.0
2023-10-26,20.06,43.0,8.0,20.0,4.0
2023-10-27,18.17,28.0,8.0,38.0,7.0
2023-10-30,19.01,32.0,8.0,38.0,7.0
2023-10-31,16.27,27.0,8.0,20.0,4.0
2023-11-01,18.73,32.0,8.0,38.0,7.0
2023-11-02,31.58,55.0,8.0,53.0,4.0
2023-11-03,25.44,45.0,8.0,38.0,4.0
2023-11-06,22.36,50.0,8.0,20.0,4.0
2023-11-07,18.23,45.0,8.0,20.0,7.0
2023-11-08,29.95,80.0,8.0,20.0,4.0
2023-11-09,23.33,55.0,8.0,20.0,4.0
2023-11-10,20.8,45.0,8.0,20.0,4.0
2023-11-13,23.0,65.0,8.0,20.0,7.0
2023-11-15,26.15,65.0,8.0,20.0,4.0
2023-11-16,26.24,60.0,8.0,38.0,7.0
2023-11-17,24.83,60.0,8.0,20.0,4.0
2023-11-20,26.02,65.0,8.0,20.0,4.0
2023-11-21,27.74,65.0,8.0,38.0,7.0
2023-11-22,28.31,60.0,8.0,33.0,4.0
