scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,0.0,13.0,4.0,0.0,20.0
2023-09-06,0.0,8.0,4.0,8.0,20.0
2023-09-07,0.0,8.0,4.0,18.0,20.0
2023-09-08,0.0,8.0,4.0,25.0,20.0
2023-09-11,0.0,17.0,4.0,25.0,20.0
2023-09-12,0.0,8.0,4.0,25.0,20.0
2023-09-13,0.0,8.0,4.0,25.0,20.0
2023-09-14,0.0,8.0,4.0,25.0,20.0
2023-09-15,0.0,8.0,4.0,8.0,20.0
2023-09-18,0.0,8.0,4.0,8.0,20.0
2023-09-20,0.0,13.0,4.0,8.0,20.0
2023-09-21,0.0,13.0,4.0,0.0,20.0
2023-09-22,0.0,17.0,4.0,0.0,20.0
2023-09-25,0.0,25.0,4.0,0.0,20.0
2023-09-26,0.0,20.0,4.0,8.0,17.0
2023-09-27,0.0,12.0,4.0,0.0,17.0
2023-09-28,0.0,18.0,4.0,0.0,17.0
2023-09-29,0.0,8.0,4.0,0.0,17.0
2023-10-03,6.83,55.0,4.0,8.0,17.0
2023-10-04,10.15,60.0,4.0,18.0,17.0
2023-10-05,9.11,55.0,4.0,18.0,17.0
2023-10-06,4.3,45.0,4.0,8.0,17.0
2023-10-09,9.82,60.0,4.0,18.0,17.0
2023-10-10,11.97,60.0,4.0,25.0,17.0
2023-10-11,10.88,55.0,4.0,25.0,17.0
2023-10-12,10.08,50.0,4.0,25.0,17.0
2023-10-13,7.45,40.0,4.0,25.0,17.0
2023-10-16,6.71,37.0,4.0,25.0,17.0
2023-10-17,5.61,32.0,4.0,25.0,17.0
2023-10-18,7.38,40.0,4.0,25.0,17.0
2023-10-19,8.76,45.0,4.0,25.0,17.0
2023-10-20,3.11,35.0,4.0,25.0,20.0
2023-10-23,1.92,35.0,4.0,25.0,20.0
2023-10-25,0.0,27.0,4.0,18.0,20.0
2023-10-26,0.0,23.0,4.0,18.0,20.0
2023-10-27,4.07,37.0,4.0,18.0,17.0
2023-10-30,4.75,45.0,4.0,25.0,20.0
2023-10-31,0.23,27.0,4.0,25.0,20.0
2023-11-01,0.0,27.0,4.0,18.0,20.0
2023-11-02,0.0,27.0,4.0,0.0,20.0
2023-11-03,0.73,45.0,4.0,8.0,20.0
2023-11-06,1.31,27.0,4.0,28.0,20.0
2023-11-07,6.0,40.0,4.0,33.0,20.0
2023-11-08,2.56,35.0,4.0,25.0,20.0
2023-11-09,3.41,27.0,4.0,25.0,17.0
2023-11-10,5.74,27.0,4.0,35.0,17.0
2023-11-13,14.99,55.0,4.0,43.0,17.0
2023-11-15,15.16,55.0,4.0,43.0,17.0
2023-11-16,10.52,45.0,4.0,35.0,17.0
2023-11-17,13.84,50.0,4.0,43.0,17.0
2023-11-20,17.7,55.0,4.0,53.0,17.0
2023-11-21,13.81,32.0,4.0,60.0,17.0
2023-11-22,18.6,50.0,4.0,60.0,17.0
2023-11-23,19.95,55.0,4.0,60.0,17.0
2023-11-24,16.15,40.0,4.0,60.0,17.0
2023-11-28,16.02,40.0,4.0,60.0,17.0
2023-11-29,10.39,35.0,4.0,43.0,17.0
2023-11-30,17.22,45.0,4.0,60.0,17.0
2023-12-01,14.7,35.0,4.0,60.0,17.0
2023-12-04,14.75,35.0,4.0,60.0,17.0
2023-12-05,10.21,35.0,4.0,43.0,17.0
2023-12-06,6.89,32.0,4.0,33.0,17.0
2023-12-07,14.64,45.0,4.0,50.0,17.0
2023-12-08,13.19,40.0,4.0,50.0,17.0
2023-12-11,13.41,40.0,4.0,50.0,17.0
2023-12-12,18.28,50.0,4.0,60.0,17.0
2023-12-13,11.56,40.0,4.0,43.0,17.0
2023-12-14,14.05,50.0,4.0,43.0,17.0
2023-12-15,11.5,40.0,4.0,43.0,17.0
2023-12-18,10.41,35.0,4.0,43.0,17.0
2023-12-19,8.37,35.0,4.0,35.0,17.0
2023-12-20,0.41,27.0,4.0,35.0,22.0
2023-12-21,11.49,50.0,4.0,35.0,17.0
2023-12-22,7.95,35.0,4.0,35.0,17.0
2023-12-26,10.45,45.0,4.0,35.0,17.0
2023-12-27,11.24,40.0,4.0,43.0,17.0
2023-12-28,9.92,35.0,4.0,43.0,17.0
2023-12-29,4.96,35.0,4.0,35.0,20.0
2024-01-01,11.48,40.0,4.0,43.0,17.0
2024-01-02,14.04,50.0,4.0,43.0,17.0
2024-01-03,20.88,60.0,4.0,60.0,17.0
2024-01-04,21.15,60.0,4.0,60.0,17.0
2024-01-05,17.69,47.0,4.0,60.0,17.0
2024-01-08,17.6,47.0,4.0,60.0,17.0
2024-01-09,11.58,22.0,4.0,60.0,17.0
2024-01-10,12.02,35.0,4.0,60.0,20.0
2024-01-11,12.06,35.0,4.0,60.0,20.0
2024-01-12,4.0,35.0,4.0,28.0,20.0
2024-01-15,6.44,35.0,4.0,38.0,20.0
2024-01-16,1.21,35.0,4.0,18.0,20.0
2024-01-17,8.46,35.0,4.0,48.0,20.0
2024-01-18,10.47,35.0,4.0,55.0,20.0
2024-01-19,4.39,27.0,4.0,38.0,20.0
