scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,22.57,50.0,11.0,10.0,4.0
2023-09-05,28.71,50.0,11.0,35.0,4.0
2023-09-06,37.09,75.0,11.0,43.0,4.0
2023-09-07,35.79,70.0,11.0,43.0,4.0
2023-09-08,37.04,65.0,11.0,53.0,4.0
2023-09-11,30.8,50.0,11.0,43.0,4.0
2023-09-12,14.02,32.0,11.0,18.0,9.0
2023-09-13,25.1,55.0,11.0,18.0,4.0
2023-09-14,29.99,60.0,11.0,43.0,7.0
2023-09-15,23.57,50.0,11.0,28.0,7.0
2023-09-18,15.1,27.0,11.0,18.0,7.0
2023-09-20,16.14,32.0,11.0,18.0,7.0
2023-09-21,14.51,27.0,11.0,18.0,7.0
2023-09-22,13.57,23.0,11.0,18.0,7.0
2023-09-25,16.68,23.0,11.0,18.0,4.0
2023-09-26,16.73,23.0,11.0,18.0,4.0
2023-09-27,13.04,28.0,11.0,10.0,7.0
2023-09-28,11.55,23.0,11.0,10.0,7.0
2023-09-29,20.36,37.0,11.0,18.0,4.0
2023-10-03,14.76,27.0,11.0,18.0,7.0
2023-10-04,13.61,32.0,11.0,10.0,7.0
2023-10-05,22.14,45.0,11.0,18.0,4.0
2023-10-06,15.66,27.0,11.0,10.0,4.0
2023-10-09,14.91,27.0,11.0,10.0,4.0
2023-10-10,15.64,28.0,11.0,10.0,4.0
2023-10-11,19.55,42.0,11.0,10.0,4.0
2023-10-12,17.32,32.0,11.0,10.0,4.0
2023-10-13,14.24,32.0,11.0,10.0,7.0
2023-10-16,16.02,27.0,11.0,10.0,4.0
2023-10-17,26.95,70.0,11.0,10.0,4.0
2023-10-18,25.0,55.0,11.0,18.0,4.0
2023-10-19,25.04,55.0,11.0,18.0,4.0
2023-10-20,26.12,60.0,11.0,18.0,4.0
2023-10-23,11.15,33.0,11.0,10.0,9.0
2023-10-25,1.67,8.0,11.0,10.0,12.0
2023-10-26,17.36,38.0,11.0,10.0,4.0
2023-10-27,17.47,37.0,11.0,10.0,4.0
2023-10-30,14.81,27.0,11.0,10.0,4.0
2023-10-31,16.07,32.0,11.0,10.0,4.0
2023-11-01,11.53,27.0,11.0,10.0,7.0
2023-11-02,13.13,32.0,11.0,10.0,7.0
2023-11-03,14.99,27.0,11.0,10.0,4.0
2023-11-06,16.41,32.0,11.0,10.0,4.0
2023-11-07,15.28,27.0,11.0,10.0,4.0
2023-11-08,23.0,50.0,11.0,18.0,4.0
2023-11-09,17.63,38.0,11.0,10.0,4.0
2023-11-10,4.6,18.0,11.0,10.0,12.0
2023-11-13,16.55,33.0,11.0,10.0,4.0
2023-11-15,3.7,13.0,11.0,10.0,12.0
2023-11-16,2.29,8.0,11.0,10.0,12.0
2023-11-17,3.63,13.0,11.0,10.0,12.0
2023-11-20,18.82,32.0,11.0,20.0,4.0
2023-11-21,5.04,8.0,11.0,20.0,12.0
2023-11-22,9.61,8.0,11.0,38.0,12.0
2023-11-23,29.46,55.0,11.0,38.0,4.0
2023-11-24,6.34,13.0,11.0,20.0,12.0
2023-11-28,5.21,8.0,11.0,20.0,12.0
2023-11-29,2.68,8.0,11.0,10.0,12.0
2023-11-30,0.18,8.0,11.0,0.0,12.0
2023-12-01,2.58,17.0,11.0,0.0,12.0
2023-12-04,0.42,8.0,11.0,0.0,12.0
2023-12-05,0.38,8.0,11.0,0.0,12.0
2023-12-06,4.4,23.0,11.0,0.0,12.0
2023-12-07,3.1,18.0,11.0,0.0,12.0
2023-12-08,1.51,13.0,11.0,0.0,12.0
2023-12-11,4.04,22.0,11.0,0.0,12.0
2023-12-12,2.92,18.0,11.0,0.0,12.0
2023-12-13,10.49,40.0,11.0,8.0,12.0
2023-12-14,24.86,65.0,11.0,8.0,4.0
2023-12-15,23.74,60.0,11.0,8.0,4.0
2023-12-18,27.52,75.0,11.0,8.0,4.0
2023-12-19,28.59,62.0,11.0,25.0,4.0
2023-12-20,17.99,60.0,11.0,8.0,9.0
2023-12-21,29.05,65.0,11.0,25.0,4.0
2023-12-22,28.76,50.0,11.0,38.0,4.0
2023-12-26,35.8,70.0,11.0,45.0,4.0
2023-12-27,35.81,70.0,11.0,45.0,4.0
2023-12-28,34.4,55.0,11.0,55.0,4.0
2023-12-29,33.15,50.0,11.0,55.0,4.0
2024-01-01,26.05,50.0,11.0,25.0,4.0
2024-01-02,29.77,55.0,11.0,35.0,4.0
2024-01-03,29.79,55.0,11.0,35.0,4.0
2024-01-04,26.87,50.0,11.0,28.0,4.0
2024-01-05,25.45,50.0,11.0,35.0,7.0
2024-01-08,19.02,42.0,11.0,18.0,7.0
2024-01-09,19.14,42.0,11.0,18.0,7.0
2024-01-10,21.06,38.0,11.0,18.0,4.0
2024-01-11,16.94,43.0,11.0,8.0,7.0
2024-01-12,23.33,47.0,11.0,18.0,4.0
2024-01-15,0.0,8.0,11.0,0.0,15.0
2024-01-16,15.58,47.0,11.0,0.0,7.0
2024-01-17,4.14,23.0,11.0,0.0,12.0
2024-01-18,0.0,8.0,11.0,0.0,15.0
2024-01-19,7.08,32.0,11.0,0.0,12.0
2024-01-23,0.33,8.0,11.0,0.0,12.0
2024-01-24,3.25,8.0,11.0,10.0,12.0
2024-01-25,4.75,13.0,11.0,10.0,12.0
2024-01-29,1.12,8.0,11.0,0.0,12.0
2024-01-30,1.08,8.0,11.0,0.0,12.0
2024-01-31,4.76,22.0,11.0,0.0,12.0
2024-02-01,0.88,8.0,11.0,0.0,12.0
2024-02-02,4.36,22.0,11.0,0.0,12.0
2024-02-05,0.52,8.0,11.0,0.0,12.0
2024-02-06,0.64,8.0,11.0,0.0,12.0
2024-02-07,3.04,18.0,11.0,0.0,12.0
2024-02-08,5.11,27.0,11.0,0.0,12.0
2024-02-09,1.01,12.0,11.0,0.0,12.0
2024-02-12,0.74,13.0,11.0,0.0,12.0
2024-02-13,0.0,28.0,11.0,0.0,17.0
2024-02-14,5.94,33.0,11.0,0.0,12.0
2024-02-15,2.42,18.0,11.0,0.0,12.0
2024-02-16,6.2,33.0,11.0,0.0,12.0
2024-02-19,2.66,18.0,11.0,0.0,12.0
2024-02-20,0.05,8.0,11.0,0.0,12.0
2024-02-21,0.0,8.0,11.0,0.0,12.0
2024-02-22,0.0,8.0,11.0,0.0,15.0
2024-02-23,2.28,17.0,11.0,0.0,12.0
2024-02-26,3.29,22.0,11.0,0.0,12.0
2024-02-27,0.0,8.0,11.0,0.0,12.0
2024-02-28,0.3,13.0,11.0,0.0,12.0
2024-02-29,0.42,13.0,11.0,0.0,12.0
2024-03-01,1.83,18.0,11.0,0.0,12.0
2024-03-04,0.4,13.0,11.0,0.0,12.0
2024-03-05,0.0,13.0,11.0,0.0,15.0
2024-03-06,0.0,13.0,11.0,0.0,12.0
2024-03-07,1.15,18.0,11.0,0.0,12.0
2024-03-11,0.0,14.0,11.0,0.0,12.0
2024-03-12,0.0,19.0,11.0,0.0,20.0
2024-03-13,0.0,19.0,11.0,0.0,20.0
2024-03-14,6.21,41.0,11.0,0.0,12.0
2024-03-15,1.38,23.0,11.0,0.0,12.0
2024-03-18,2.75,28.0,11.0,0.0,12.0
2024-03-19,4.69,37.0,11.0,0.0,12.0
2024-03-20,2.91,30.0,11.0,0.0,12.0
2024-03-21,7.23,45.0,11.0,0.0,12.0
2024-03-22,3.66,30.0,11.0,0.0,12.0
2024-03-26,3.33,30.0,11.0,0.0,12.0
2024-03-27,7.23,45.0,11.0,0.0,12.0
2024-03-28,11.67,55.0,11.0,8.0,12.0
2024-04-01,10.24,45.0,11.0,8.0,12.0
2024-04-02,5.0,35.0,11.0,8.0,15.0
2024-04-03,30.67,65.0,11.0,35.0,4.0
2024-04-04,28.12,55.0,11.0,35.0,4.0
2024-04-05,25.79,55.0,11.0,25.0,4.0
2024-04-08,9.52,35.0,11.0,25.0,15.0
2024-04-09,9.36,35.0,11.0,25.0,15.0
2024-04-10,12.99,35.0,11.0,25.0,12.0
2024-04-12,12.85,35.0,11.0,25.0,12.0
2024-04-15,10.67,27.0,11.0,25.0,12.0
2024-04-16,10.94,40.0,11.0,25.0,15.0
2024-04-18,7.1,13.0,11.0,25.0,12.0
2024-04-19,5.3,13.0,11.0,18.0,12.0
2024-04-22,3.3,13.0,11.0,8.0,12.0
2024-04-23,10.74,42.0,11.0,8.0,12.0
2024-04-24,7.45,40.0,11.0,8.0,15.0
2024-04-25,7.24,40.0,11.0,8.0,15.0
2024-04-26,10.45,40.0,11.0,8.0,12.0
2024-04-29,9.14,35.0,11.0,8.0,12.0
2024-04-30,2.19,27.0,11.0,0.0,15.0
2024-05-02,8.74,42.0,11.0,0.0,12.0
2024-05-03,7.09,37.0,11.0,0.0,12.0
2024-05-06,7.36,40.0,11.0,0.0,12.0
2024-05-07,2.7,23.0,11.0,0.0,12.0
2024-05-08,1.62,18.0,11.0,0.0,12.0
2024-05-09,2.23,23.0,11.0,0.0,12.0
2024-05-10,2.53,23.0,11.0,0.0,12.0
2024-05-13,0.0,13.0,11.0,0.0,15.0
2024-05-14,2.83,23.0,11.0,0.0,12.0
2024-05-15,0.62,13.0,11.0,0.0,12.0
2024-05-16,2.82,22.0,11.0,0.0,12.0
2024-05-17,15.98,55.0,11.0,18.0,12.0
2024-05-21,12.18,40.0,11.0,18.0,12.0
2024-05-22,36.2,75.0,11.0,48.0,4.0
2024-05-23,15.43,35.0,11.0,38.0,12.0
2024-05-24,12.76,45.0,11.0,18.0,12.0
2024-05-27,21.34,60.0,11.0,38.0,12.0
2024-05-28,9.8,35.0,11.0,18.0,12.0
2024-05-29,9.87,35.0,11.0,18.0,12.0
2024-05-30,17.02,45.0,11.0,38.0,12.0
2024-05-31,9.61,35.0,11.0,18.0,12.0
2024-06-03,30.54,65.0,11.0,38.0,4.0
2024-06-04,0.0,23.0,11.0,0.0,17.0
2024-06-05,34.01,70.0,11.0,48.0,4.0
2024-06-06,41.28,75.0,11.0,70.0,4.0
2024-06-07,40.4,70.0,11.0,70.0,4.0
2024-06-10,47.31,85.0,11.0,80.0,4.0
2024-06-11,44.22,72.0,11.0,80.0,4.0
2024-06-12,40.42,57.0,11.0,80.0,4.0
2024-06-13,43.29,52.0,11.0,95.0,4.0
2024-06-14,39.81,52.0,11.0,80.0,4.0
2024-06-18,42.09,60.0,11.0,80.0,4.0
2024-06-19,49.88,72.0,11.0,100.0,4.0
2024-06-20,47.95,62.0,11.0,100.0,4.0
2024-06-21,45.18,52.0,11.0,100.0,4.0
2024-06-24,47.72,62.0,11.0,100.0,4.0
2024-06-25,43.84,47.0,11.0,100.0,4.0
2024-06-26,47.66,67.0,11.0,95.0,4.0
2024-06-27,43.53,47.0,11.0,100.0,4.0
2024-06-28,46.16,57.0,11.0,100.0,4.0
2024-07-01,42.41,52.0,11.0,100.0,7.0
2024-07-02,41.32,47.0,11.0,100.0,7.0
2024-07-03,42.52,52.0,11.0,100.0,7.0
2024-07-04,39.94,47.0,11.0,95.0,7.0
2024-07-05,41.04,52.0,11.0,95.0,7.0
2024-07-08,44.1,60.0,11.0,100.0,7.0
2024-07-09,42.66,60.0,11.0,95.0,7.0
2024-07-10,38.67,60.0,11.0,80.0,7.0
2024-07-11,43.84,65.0,11.0,95.0,7.0
2024-07-12,42.27,60.0,11.0,95.0,7.0
2024-07-15,44.84,65.0,11.0,100.0,7.0
2024-07-16,44.95,65.0,11.0,100.0,7.0
2024-07-18,40.26,60.0,11.0,88.0,7.0
2024-07-19,27.27,42.0,11.0,45.0,4.0
2024-07-22,29.0,47.0,11.0,45.0,4.0
2024-07-23,32.66,48.0,11.0,60.0,4.0
2024-07-24,29.41,47.0,11.0,45.0,4.0
2024-07-25,42.54,75.0,11.0,70.0,4.0
2024-07-26,48.61,80.0,11.0,88.0,4.0
2024-07-29,42.9,75.0,11.0,70.0,4.0
2024-07-30,40.57,65.0,11.0,70.0,4.0
2024-07-31,41.76,70.0,11.0,70.0,4.0
2024-08-01,38.84,60.0,11.0,70.0,4.0
2024-08-02,38.73,60.0,11.0,70.0,4.0
2024-08-05,35.93,52.0,11.0,70.0,4.0
2024-08-06,29.8,38.0,11.0,60.0,4.0
2024-08-07,35.28,47.0,11.0,70.0,4.0
2024-08-08,32.77,38.0,11.0,70.0,4.0
2024-08-09,32.33,47.0,11.0,70.0,7.0
2024-08-12,26.26,23.0,11.0,70.0,7.0
2024-08-13,27.51,28.0,11.0,60.0,4.0
2024-08-14,22.36,23.0,11.0,45.0,4.0
2024-08-16,48.93,85.0,11.0,88.0,4.0
2024-08-19,46.97,75.0,11.0,88.0,4.0
2024-08-20,45.8,70.0,11.0,88.0,4.0
2024-08-21,36.58,32.0,11.0,88.0,4.0
2024-08-22,43.76,60.0,11.0,88.0,4.0
2024-08-23,41.01,50.0,11.0,88.0,4.0
2024-08-26,32.03,32.0,11.0,70.0,4.0
2024-08-27,30.0,23.0,11.0,70.0,4.0
2024-08-28,29.76,23.0,11.0,70.0,4.0
2024-08-29,29.48,23.0,11.0,70.0,4.0
2024-08-30,30.89,28.0,11.0,70.0,4.0
2024-09-02,28.24,28.0,11.0,60.0,4.0
2024-09-03,34.62,42.0,11.0,70.0,4.0
2024-09-04,30.03,23.0,11.0,70.0,4.0
2024-09-05,23.72,23.0,11.0,45.0,4.0
2024-09-06,23.38,23.0,11.0,45.0,4.0
2024-09-09,21.29,28.0,11.0,45.0,7.0
2024-09-10,20.45,23.0,11.0,45.0,7.0
2024-09-11,24.52,28.0,11.0,45.0,4.0
2024-09-12,20.77,23.0,11.0,35.0,4.0
2024-09-13,22.31,28.0,11.0,35.0,4.0
2024-09-16,24.85,28.0,11.0,45.0,4.0
2024-09-17,21.01,23.0,11.0,35.0,4.0
2024-09-18,20.65,23.0,11.0,35.0,4.0
2024-09-19,22.64,33.0,11.0,35.0,4.0
2024-09-20,18.63,28.0,11.0,35.0,7.0
2024-09-23,21.8,28.0,11.0,35.0,4.0
2024-09-24,24.89,40.0,11.0,35.0,4.0
2024-09-25,36.76,80.0,11.0,43.0,4.0
2024-09-26,30.22,55.0,11.0,43.0,4.0
2024-09-27,26.55,40.0,11.0,43.0,4.0
2024-09-30,26.59,40.0,11.0,43.0,4.0
2024-10-01,21.18,50.0,11.0,10.0,4.0
2024-10-03,16.71,35.0,11.0,10.0,4.0
2024-10-04,35.91,80.0,11.0,43.0,4.0
2024-10-07,16.98,32.0,11.0,18.0,4.0
2024-10-08,27.14,70.0,11.0,18.0,4.0
2024-10-09,20.88,45.0,11.0,18.0,4.0
2024-10-10,38.59,80.0,11.0,53.0,4.0
2024-10-11,31.18,60.0,11.0,43.0,4.0
2024-10-14,20.3,27.0,11.0,33.0,4.0
2024-10-15,38.61,80.0,11.0,53.0,4.0
2024-10-16,47.0,85.0,11.0,80.0,4.0
2024-10-17,42.79,70.0,11.0,80.0,4.0
