scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-09-04,16.61,37.0,0.0,18.0,0.0
2026-09-07,9.72,17.0,11.0,0.0,4.0
2026-09-08,5.81,13.0,11.0,0.0,7.0
2026-09-09,8.77,13.0,11.0,0.0,4.0
2026-09-10,12.42,18.0,11.0,10.0,4.0
2026-09-11,17.0,22.0,11.0,25.0,4.0
2026-09-14,17.0,22.0,11.0,25.0,4.0
2026-09-15,9.12,13.0,11.0,25.0,9.0
2026-09-16,8.71,18.0,11.0,10.0,7.0
2026-09-17,7.73,13.0,11.0,10.0,7.0
2026-09-18,8.6,13.0,11.0,0.0,4.0
2026-09-21,8.77,13.0,13.0,10.0,7.0
