scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,9.71,25.0,8.0,0.0,7.0
2023-09-06,9.73,25.0,8.0,0.0,7.0
2023-09-07,9.81,25.0,8.0,0.0,7.0
2023-09-08,9.7,25.0,8.0,0.0,7.0
2023-09-11,9.79,25.0,8.0,0.0,7.0
2023-09-12,8.97,25.0,8.0,0.0,7.0
2023-09-13,9.08,25.0,8.0,0.0,7.0
2023-09-14,9.28,25.0,8.0,0.0,7.0
2023-09-15,9.41,25.0,8.0,0.0,7.0
2023-09-18,9.32,25.0,8.0,0.0,7.0
2023-09-20,9.07,25.0,8.0,0.0,7.0
2023-09-21,9.02,25.0,8.0,0.0,7.0
2023-09-22,8.98,25.0,8.0,0.0,7.0
2023-09-25,9.03,25.0,8.0,0.0,7.0
2023-09-26,8.97,25.0,8.0,0.0,7.0
2023-09-27,9.25,25.0,8.0,0.0,7.0
2023-09-28,9.17,25.0,8.0,0.0,7.0
2023-09-29,9.2,25.0,8.0,0.0,7.0
2023-10-03,9.2,25.0,8.0,0.0,7.0
2023-10-04,8.95,25.0,8.0,0.0,7.0
2023-10-05,9.27,25.0,8.0,0.0,7.0
2023-10-06,9.29,25.0,8.0,0.0,7.0
2023-10-09,8.71,25.0,8.0,0.0,7.0
2023-10-10,8.94,25.0,8.0,0.0,7.0
2023-10-11,9.17,25.0,8.0,0.0,7.0
2023-10-12,9.26,25.0,8.0,0.0,7.0
2023-10-13,9.21,25.0,8.0,0.0,7.0
2023-10-16,9.14,25.0,8.0,0.0,7.0
2023-10-17,9.21,25.0,8.0,0.0,7.0
2023-10-18,9.12,25.0,8.0,0.0,7.0
2023-10-19,9.07,25.0,8.0,0.0,7.0
2023-10-20,8.87,25.0,8.0,0.0,7.0
2023-10-23,8.14,25.0,8.0,0.0,7.0
2023-10-25,8.04,25.0,8.0,0.0,7.0
2023-10-26,8.17,25.0,8.0,0.0,7.0
2023-10-27,8.62,25.0,8.0,0.0,7.0
2023-10-30,8.39,25.0,8.0,0.0,7.0
2023-10-31,8.37,25.0,8.0,0.0,7.0
2023-11-01,8.17,25.0,8.0,0.0,7.0
2023-11-02,8.44,25.0,8.0,0.0,7.0
2023-11-03,8.52,25.0,8.0,0.0,7.0
2023-11-06,8.66,25.0,8.0,0.0,7.0
2023-11-07,8.73,25.0,8.0,0.0,7.0
2023-11-08,8.84,25.0,8.0,0.0,7.0
2023-11-09,8.73,25.0,8.0,0.0,7.0
2023-11-10,8.76,25.0,8.0,0.0,7.0
2023-11-13,9.06,25.0,8.0,0.0,7.0
2023-11-15,9.14,25.0,8.0,0.0,7.0
2023-11-16,9.25,25.0,8.0,0.0,7.0
2023-11-17,9.14,25.0,8.0,0.0,7.0
2023-11-20,9.16,25.0,8.0,0.0,7.0
2023-11-21,9.24,25.0,8.0,0.0,7.0
2023-11-22,9.4,25.0,8.0,0.0,7.0
2023-11-23,9.55,25.0,8.0,0.0,7.0
2023-11-24,9.52,25.0,8.0,0.0,7.0
2023-11-28,9.34,25.0,8.0,0.0,7.0
2023-11-29,9.42,25.0,8.0,0.0,7.0
2023-11-30,9.41,25.0,8.0,0.0,7.0
2023-12-01,9.42,25.0,8.0,0.0,7.0
2023-12-04,9.41,25.0,8.0,0.0,7.0
2023-12-05,8.98,25.0,8.0,0.0,7.0
2023-12-06,9.05,25.0,8.0,0.0,7.0
2023-12-07,9.38,25.0,8.0,0.0,7.0
2023-12-08,9.19,25.0,8.0,0.0,7.0
2023-12-11,9.36,25.0,8.0,0.0,7.0
2023-12-12,9.43,25.0,8.0,0.0,7.0
2023-12-13,9.42,25.0,8.0,0.0,7.0
2023-12-14,9.9,25.0,8.0,0.0,7.0
2023-12-15,9.93,25.0,8.0,0.0,7.0
2023-12-18,9.8,25.0,8.0,0.0,7.0
2023-12-19,9.76,25.0,8.0,0.0,7.0
2023-12-20,9.21,25.0,8.0,0.0,7.0
2023-12-21,9.55,25.0,8.0,0.0,7.0
2023-12-22,9.62,25.0,8.0,0.0,7.0
2023-12-26,9.62,25.0,8.0,0.0,7.0
2023-12-27,9.55,25.0,8.0,0.0,7.0
2023-12-28,9.39,25.0,8.0,0.0,7.0
2023-12-29,9.34,25.0,8.0,0.0,7.0
2024-01-01,9.8,25.0,8.0,0.0,7.0
2024-01-02,9.7,25.0,8.0,0.0,7.0
2024-01-03,9.69,25.0,8.0,0.0,7.0
2024-01-04,9.86,25.0,8.0,0.0,7.0
2024-01-05,10.0,25.0,8.0,0.0,7.0
2024-01-08,9.86,25.0,8.0,0.0,7.0
2024-01-09,10.06,25.0,8.0,0.0,7.0
2024-01-10,9.98,25.0,8.0,0.0,7.0
2024-01-11,9.98,25.0,8.0,0.0,7.0
2024-01-12,10.39,25.0,8.0,0.0,7.0
2024-01-15,10.19,25.0,8.0,0.0,7.0
2024-01-16,9.92,25.0,8.0,0.0,7.0
2024-01-17,9.6,25.0,8.0,0.0,7.0
2024-01-18,9.89,25.0,8.0,0.0,7.0
2024-01-19,9.93,25.0,8.0,0.0,7.0
2024-01-23,9.24,25.0,8.0,0.0,7.0
2024-01-24,9.71,25.0,8.0,0.0,7.0
2024-01-25,9.68,25.0,8.0,0.0,7.0
2024-01-29,9.74,25.0,8.0,0.0,7.0
2024-01-30,9.64,25.0,8.0,0.0,7.0
2024-01-31,9.86,25.0,8.0,0.0,7.0
2024-02-01,9.71,25.0,8.0,0.0,7.0
2024-02-02,9.72,25.0,8.0,0.0,7.0
2024-02-05,9.55,25.0,8.0,0.0,7.0
2024-02-06,9.8,25.0,8.0,0.0,7.0
2024-02-07,9.72,25.0,8.0,0.0,7.0
2024-02-08,9.54,25.0,8.0,0.0,7.0
2024-02-09,9.18,25.0,8.0,0.0,7.0
2024-02-12,8.47,25.0,8.0,0.0,7.0
2024-02-13,8.52,25.0,8.0,0.0,7.0
2024-02-14,8.57,25.0,8.0,0.0,7.0
2024-02-15,8.85,25.0,8.0,0.0,7.0
2024-02-16,8.85,25.0,8.0,0.0,7.0
2024-02-19,8.84,25.0,8.0,0.0,7.0
