scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,51.7,80.0,10.0,100.0,4.0
2023-09-06,47.89,65.0,10.0,100.0,4.0
2023-09-07,45.88,57.0,10.0,100.0,4.0
2023-09-08,39.01,60.0,10.0,70.0,4.0
2023-09-11,41.86,65.0,10.0,88.0,7.0
2023-09-12,42.66,60.0,10.0,88.0,4.0
2023-09-13,36.64,65.0,10.0,70.0,7.0
2023-09-14,39.56,65.0,10.0,70.0,4.0
2023-09-15,44.39,65.0,10.0,88.0,4.0
2023-09-18,32.44,60.0,10.0,45.0,4.0
2023-09-20,24.64,42.0,10.0,45.0,7.0
2023-09-21,33.39,65.0,10.0,45.0,4.0
2023-09-22,24.73,42.0,10.0,45.0,7.0
2023-09-25,27.61,42.0,10.0,45.0,4.0
2023-09-26,27.44,42.0,10.0,45.0,4.0
2023-09-27,27.72,42.0,10.0,45.0,4.0
2023-09-28,24.21,28.0,10.0,45.0,4.0
2023-09-29,41.9,80.0,10.0,63.0,4.0
2023-10-03,32.7,42.0,10.0,63.0,4.0
2023-10-04,23.12,23.0,10.0,45.0,4.0
2023-10-05,22.55,32.0,10.0,45.0,7.0
2023-10-06,22.44,32.0,10.0,45.0,7.0
2023-10-09,19.74,23.0,10.0,45.0,7.0
2023-10-10,22.33,32.0,10.0,45.0,7.0
2023-10-11,25.57,32.0,10.0,45.0,4.0
2023-10-12,32.08,55.0,10.0,45.0,4.0
2023-10-13,19.38,27.0,10.0,35.0,7.0
2023-10-16,21.32,23.0,10.0,35.0,4.0
2023-10-17,21.33,23.0,10.0,35.0,4.0
2023-10-18,29.91,43.0,10.0,50.0,4.0
2023-10-19,30.94,37.0,10.0,60.0,4.0
2023-10-20,35.2,55.0,10.0,60.0,4.0
2023-10-23,23.64,23.0,10.0,50.0,4.0
2023-10-25,23.17,28.0,10.0,45.0,4.0
2023-10-26,19.6,23.0,10.0,35.0,4.0
2023-10-27,26.42,38.0,10.0,45.0,4.0
2023-10-30,23.61,38.0,10.0,35.0,4.0
2023-10-31,37.9,70.0,10.0,60.0,4.0
2023-11-01,45.88,85.0,10.0,78.0,4.0
2023-11-02,45.21,70.0,10.0,88.0,4.0
2023-11-03,46.48,75.0,10.0,88.0,4.0
2023-11-06,40.52,60.0,10.0,78.0,4.0
2023-11-07,36.71,45.0,10.0,78.0,4.0
2023-11-08,28.38,27.0,10.0,63.0,4.0
2023-11-09,35.09,55.0,10.0,63.0,4.0
2023-11-10,18.6,38.0,10.0,35.0,9.0
2023-11-13,21.38,28.0,10.0,35.0,4.0
2023-11-15,21.66,28.0,10.0,35.0,4.0
2023-11-16,22.71,33.0,10.0,35.0,4.0
2023-11-17,20.4,23.0,10.0,35.0,4.0
2023-11-20,17.37,23.0,10.0,35.0,7.0
2023-11-21,26.44,47.0,10.0,35.0,4.0
2023-11-22,22.67,32.0,10.0,35.0,4.0
2023-11-23,21.85,32.0,10.0,43.0,7.0
2023-11-24,24.62,32.0,10.0,43.0,4.0
2023-11-28,29.3,50.0,10.0,43.0,4.0
2023-11-29,22.78,42.0,10.0,25.0,4.0
2023-11-30,23.77,47.0,10.0,25.0,4.0
2023-12-01,38.6,85.0,10.0,45.0,4.0
2023-12-04,29.62,60.0,10.0,35.0,4.0
2023-12-05,21.4,27.0,10.0,35.0,4.0
2023-12-06,29.79,70.0,10.0,25.0,4.0
2023-12-07,38.05,85.0,10.0,43.0,4.0
2023-12-08,42.97,85.0,10.0,63.0,4.0
2023-12-11,42.2,80.0,10.0,63.0,4.0
2023-12-12,46.28,80.0,10.0,80.0,4.0
2023-12-13,41.44,60.0,10.0,80.0,4.0
2023-12-14,41.61,70.0,10.0,70.0,4.0
2023-12-15,40.04,65.0,10.0,70.0,4.0
2023-12-18,44.02,70.0,10.0,80.0,4.0
2023-12-19,35.23,65.0,10.0,50.0,4.0
2023-12-20,18.37,28.0,10.0,43.0,9.0
2023-12-21,31.12,57.0,10.0,43.0,4.0
2023-12-22,39.49,70.0,10.0,63.0,4.0
2023-12-26,24.42,42.0,10.0,43.0,7.0
2023-12-27,35.23,65.0,10.0,63.0,7.0
2023-12-28,37.94,65.0,10.0,63.0,4.0
2023-12-29,38.02,65.0,10.0,63.0,4.0
2024-01-01,39.71,70.0,10.0,63.0,4.0
2024-01-02,44.22,70.0,10.0,80.0,4.0
2024-01-03,38.96,60.0,10.0,80.0,7.0
2024-01-04,43.29,65.0,10.0,80.0,4.0
2024-01-05,37.82,60.0,10.0,63.0,4.0
2024-01-08,30.69,60.0,10.0,45.0,7.0
2024-01-09,14.24,38.0,10.0,10.0,9.0
2024-01-10,27.14,43.0,10.0,35.0,4.0
2024-01-11,15.7,23.0,10.0,10.0,4.0
2024-01-12,15.26,23.0,10.0,10.0,4.0
2024-01-15,15.18,23.0,10.0,10.0,4.0
2024-01-16,18.72,38.0,10.0,10.0,4.0
2024-01-17,14.77,23.0,10.0,10.0,4.0
2024-01-18,18.84,38.0,10.0,10.0,4.0
2024-01-19,1.95,23.0,10.0,10.0,17.0
2024-01-23,0.0,24.0,10.0,0.0,25.0
2024-01-24,0.0,34.0,10.0,0.0,20.0
2024-01-25,0.0,9.0,10.0,0.0,20.0
2024-01-29,0.0,9.0,10.0,0.0,20.0
2024-01-30,4.58,24.0,10.0,0.0,12.0
2024-01-31,0.0,14.0,10.0,0.0,15.0
2024-02-01,0.0,9.0,10.0,0.0,15.0
2024-02-02,2.15,14.0,10.0,0.0,12.0
2024-02-05,4.16,23.0,10.0,0.0,12.0
2024-02-06,0.0,13.0,10.0,0.0,15.0
2024-02-07,4.35,23.0,10.0,0.0,12.0
2024-02-08,3.14,18.0,10.0,0.0,12.0
2024-02-09,6.03,32.0,10.0,0.0,12.0
2024-02-12,0.0,13.0,10.0,0.0,17.0
2024-02-13,0.0,18.0,10.0,0.0,15.0
2024-02-14,3.26,22.0,10.0,0.0,12.0
2024-02-15,0.0,13.0,10.0,0.0,20.0
2024-02-16,0.0,13.0,10.0,0.0,15.0
2024-02-19,0.0,13.0,10.0,0.0,15.0
2024-02-20,6.47,32.0,10.0,0.0,12.0
2024-02-21,2.98,31.0,10.0,8.0,17.0
2024-02-22,5.89,23.0,10.0,8.0,12.0
2024-02-23,5.75,23.0,10.0,8.0,12.0
2024-02-26,0.01,13.0,10.0,8.0,15.0
2024-02-27,3.98,18.0,10.0,8.0,12.0
2024-02-28,0.0,16.0,10.0,0.0,17.0
2024-02-29,4.93,31.0,10.0,0.0,12.0
2024-03-01,1.25,16.0,10.0,0.0,12.0
2024-03-04,0.0,16.0,10.0,0.0,15.0
2024-03-05,0.0,21.0,10.0,0.0,15.0
2024-03-06,0.0,16.0,10.0,0.0,15.0
2024-03-07,2.88,26.0,10.0,0.0,12.0
2024-03-11,0.0,16.0,10.0,0.0,12.0
2024-03-12,0.82,21.0,10.0,0.0,12.0
2024-03-13,0.0,16.0,10.0,0.0,17.0
2024-03-14,0.68,21.0,10.0,0.0,12.0
2024-03-15,0.0,16.0,10.0,0.0,12.0
2024-03-18,0.0,21.0,10.0,0.0,15.0
2024-03-19,0.0,16.0,10.0,0.0,15.0
2024-03-20,0.0,16.0,10.0,0.0,12.0
2024-03-21,0.0,21.0,10.0,0.0,15.0
2024-03-22,0.73,21.0,10.0,0.0,12.0
2024-03-26,0.0,16.0,10.0,0.0,12.0
2024-03-27,4.28,36.0,10.0,0.0,12.0
2024-03-28,0.44,21.0,10.0,0.0,12.0
2024-04-01,2.78,26.0,10.0,0.0,12.0
2024-04-02,5.62,37.0,10.0,0.0,12.0
2024-04-03,2.17,22.0,10.0,0.0,12.0
2024-04-04,0.0,22.0,10.0,0.0,15.0
2024-04-05,0.0,17.0,10.0,0.0,15.0
2024-04-08,0.0,16.0,10.0,0.0,15.0
2024-04-09,0.0,16.0,10.0,0.0,15.0
2024-04-10,3.76,30.0,10.0,0.0,12.0
2024-04-12,0.0,16.0,10.0,0.0,15.0
2024-04-15,0.0,16.0,10.0,0.0,15.0
2024-04-16,5.64,30.0,10.0,8.0,12.0
2024-04-18,2.16,16.0,10.0,8.0,12.0
