scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,47.85,75.0,4.0,98.0,4.0
2023-09-06,43.29,55.0,4.0,100.0,4.0
2023-09-07,47.03,70.0,4.0,100.0,4.0
2023-09-08,35.66,55.0,4.0,70.0,4.0
2023-09-11,32.01,50.0,4.0,60.0,4.0
2023-09-12,22.81,52.0,4.0,45.0,9.0
2023-09-13,33.29,55.0,4.0,63.0,4.0
2023-09-14,29.96,42.0,4.0,63.0,4.0
2023-09-15,28.29,42.0,4.0,55.0,4.0
2023-09-18,30.34,42.0,4.0,63.0,4.0
2023-09-20,32.54,52.0,4.0,63.0,4.0
2023-09-21,31.79,42.0,4.0,70.0,4.0
2023-09-22,33.13,47.0,4.0,70.0,4.0
2023-09-25,42.01,65.0,4.0,88.0,4.0
2023-09-26,32.84,47.0,4.0,70.0,4.0
2023-09-27,43.37,70.0,4.0,88.0,4.0
2023-09-28,43.36,60.0,4.0,98.0,4.0
2023-09-29,42.3,55.0,4.0,98.0,4.0
2023-10-03,46.85,70.0,4.0,100.0,4.0
2023-10-04,42.27,55.0,4.0,98.0,4.0
2023-10-05,44.95,75.0,4.0,88.0,4.0
2023-10-06,36.09,50.0,4.0,78.0,4.0
2023-10-09,33.64,50.0,4.0,70.0,4.0
2023-10-10,32.23,55.0,4.0,70.0,7.0
2023-10-11,47.47,75.0,4.0,98.0,4.0
2023-10-12,48.73,75.0,4.0,100.0,4.0
2023-10-13,47.28,70.0,4.0,100.0,4.0
2023-10-16,42.22,50.0,4.0,100.0,4.0
2023-10-17,39.23,50.0,4.0,100.0,7.0
2023-10-18,42.06,50.0,4.0,100.0,4.0
2023-10-19,39.09,50.0,4.0,100.0,7.0
2023-10-20,41.85,50.0,4.0,100.0,4.0
2023-10-23,32.29,38.0,4.0,98.0,9.0
2023-10-25,36.07,47.0,4.0,98.0,7.0
2023-10-26,40.0,60.0,4.0,100.0,7.0
2023-10-27,38.82,55.0,4.0,98.0,7.0
2023-10-30,35.76,42.0,4.0,88.0,4.0
2023-10-31,36.05,55.0,4.0,88.0,7.0
2023-11-01,42.53,60.0,4.0,98.0,4.0
2023-11-02,43.61,60.0,4.0,100.0,4.0
2023-11-03,46.13,70.0,4.0,100.0,4.0
2023-11-06,44.42,62.0,4.0,100.0,4.0
2023-11-07,41.36,50.0,4.0,100.0,4.0
2023-11-08,42.53,55.0,4.0,100.0,4.0
2023-11-09,38.99,42.0,4.0,100.0,4.0
2023-11-10,37.5,42.0,4.0,95.0,4.0
2023-11-13,34.78,37.0,4.0,100.0,7.0
2023-11-15,38.31,50.0,4.0,100.0,7.0
2023-11-16,44.11,62.0,4.0,100.0,4.0
2023-11-17,42.55,55.0,4.0,100.0,4.0
2023-11-20,41.27,50.0,4.0,100.0,4.0
2023-11-21,41.34,50.0,4.0,100.0,4.0
2023-11-22,41.32,50.0,4.0,100.0,4.0
2023-11-23,38.5,50.0,4.0,100.0,7.0
2023-11-24,38.27,50.0,4.0,100.0,7.0
2023-11-28,43.95,60.0,4.0,100.0,4.0
2023-11-29,41.42,50.0,4.0,100.0,4.0
2023-11-30,36.17,42.0,4.0,100.0,7.0
2023-12-01,44.0,65.0,4.0,95.0,4.0
2023-12-04,38.27,50.0,4.0,88.0,4.0
2023-12-05,35.06,55.0,4.0,70.0,4.0
2023-12-06,31.94,42.0,4.0,70.0,4.0
2023-12-07,31.45,65.0,4.0,45.0,4.0
2023-12-08,44.62,75.0,4.0,88.0,4.0
2023-12-11,40.6,57.0,4.0,88.0,4.0
2023-12-12,42.43,65.0,4.0,88.0,4.0
2023-12-13,43.84,70.0,4.0,88.0,4.0
2023-12-14,39.01,50.0,4.0,88.0,4.0
2023-12-15,38.69,50.0,4.0,88.0,4.0
2023-12-18,38.92,50.0,4.0,88.0,4.0
