scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,47.6,67.0,8.0,100.0,4.0
2023-09-05,48.87,72.0,8.0,100.0,4.0
2023-09-06,46.39,62.0,8.0,100.0,4.0
2023-09-07,48.97,72.0,8.0,100.0,4.0
2023-09-08,46.5,62.0,8.0,100.0,4.0
2023-09-11,45.19,57.0,8.0,100.0,4.0
2023-09-12,44.27,57.0,8.0,100.0,4.0
2023-09-13,44.56,57.0,8.0,100.0,4.0
2023-09-14,46.04,62.0,8.0,100.0,4.0
2023-09-15,44.27,75.0,8.0,100.0,9.0
2023-09-18,45.34,60.0,8.0,100.0,4.0
2023-09-20,45.22,60.0,8.0,100.0,4.0
2023-09-21,47.49,70.0,8.0,100.0,4.0
2023-09-22,43.26,65.0,8.0,100.0,7.0
2023-09-25,41.99,60.0,8.0,100.0,7.0
2023-09-26,43.29,65.0,8.0,100.0,7.0
2023-09-27,42.08,60.0,8.0,100.0,7.0
2023-09-28,45.05,60.0,8.0,100.0,4.0
2023-09-29,43.43,65.0,8.0,100.0,7.0
2023-10-03,39.37,60.0,8.0,88.0,7.0
2023-10-04,38.94,60.0,8.0,88.0,7.0
2023-10-05,37.63,60.0,8.0,70.0,4.0
2023-10-06,34.82,60.0,8.0,70.0,7.0
2023-10-09,29.59,42.0,8.0,70.0,7.0
2023-10-10,35.74,65.0,8.0,70.0,7.0
2023-10-11,35.91,65.0,8.0,70.0,7.0
2023-10-12,36.35,65.0,8.0,70.0,7.0
2023-10-13,44.99,70.0,8.0,88.0,4.0
2023-10-16,34.99,60.0,8.0,70.0,7.0
2023-10-17,39.64,60.0,8.0,88.0,7.0
2023-10-18,47.42,70.0,8.0,98.0,4.0
2023-10-19,42.05,60.0,8.0,98.0,7.0
2023-10-20,39.38,60.0,8.0,88.0,7.0
2023-10-23,36.71,60.0,8.0,70.0,4.0
2023-10-25,32.05,42.0,8.0,70.0,4.0
2023-10-26,37.88,65.0,8.0,70.0,4.0
2023-10-27,49.1,80.0,8.0,98.0,4.0
2023-10-30,41.55,60.0,8.0,88.0,4.0
2023-10-31,41.53,60.0,8.0,88.0,4.0
2023-11-01,40.16,65.0,8.0,78.0,4.0
2023-11-02,44.09,70.0,8.0,88.0,4.0
2023-11-03,43.02,65.0,8.0,88.0,4.0
2023-11-06,45.58,65.0,8.0,98.0,4.0
2023-11-07,48.28,75.0,8.0,98.0,4.0
2023-11-08,46.82,70.0,8.0,98.0,4.0
2023-11-09,44.17,60.0,8.0,98.0,4.0
2023-11-10,49.02,80.0,8.0,98.0,4.0
2023-11-13,44.24,70.0,8.0,88.0,4.0
2023-11-15,44.4,70.0,8.0,88.0,4.0
2023-11-16,41.78,60.0,8.0,88.0,4.0
2023-11-17,41.85,60.0,8.0,88.0,4.0
2023-11-20,45.68,75.0,8.0,88.0,4.0
2023-11-21,42.05,60.0,8.0,88.0,4.0
2023-11-22,36.57,47.0,8.0,78.0,4.0
2023-11-23,44.93,70.0,8.0,88.0,4.0
2023-11-24,34.88,42.0,8.0,88.0,7.0
2023-11-28,26.98,27.0,8.0,60.0,4.0
2023-11-29,25.85,23.0,8.0,60.0,4.0
2023-11-30,43.96,67.0,8.0,88.0,4.0
2023-12-01,44.68,70.0,8.0,88.0,4.0
2023-12-04,40.97,80.0,8.0,63.0,4.0
2023-12-05,39.42,75.0,8.0,63.0,4.0
2023-12-06,31.08,60.0,8.0,45.0,4.0
2023-12-07,26.83,42.0,8.0,45.0,4.0
2023-12-08,29.14,52.0,8.0,45.0,4.0
2023-12-11,28.1,57.0,8.0,35.0,4.0
2023-12-12,19.45,23.0,8.0,35.0,4.0
2023-12-13,20.74,28.0,8.0,35.0,4.0
2023-12-14,19.48,23.0,8.0,35.0,4.0
2023-12-15,21.68,32.0,8.0,35.0,4.0
2023-12-18,16.57,23.0,8.0,35.0,7.0
2023-12-19,26.8,42.0,8.0,45.0,4.0
2023-12-20,22.09,27.0,8.0,45.0,4.0
2023-12-21,18.41,23.0,8.0,45.0,7.0
2023-12-22,19.88,28.0,8.0,45.0,7.0
2023-12-26,9.87,23.0,8.0,10.0,7.0
2023-12-27,17.91,33.0,8.0,20.0,4.0
2023-12-28,15.33,33.0,8.0,10.0,4.0
2023-12-29,41.62,85.0,8.0,63.0,4.0
2024-01-01,36.9,65.0,8.0,63.0,4.0
2024-01-02,39.44,75.0,8.0,63.0,4.0
2024-01-03,32.54,75.0,8.0,35.0,4.0
2024-01-04,27.81,45.0,8.0,45.0,4.0
2024-01-05,34.13,65.0,8.0,63.0,7.0
2024-01-08,34.04,65.0,8.0,63.0,7.0
2024-01-09,34.27,65.0,8.0,63.0,7.0
2024-01-10,36.21,60.0,8.0,63.0,4.0
2024-01-11,24.98,27.0,8.0,63.0,7.0
2024-01-12,38.69,70.0,8.0,63.0,4.0
2024-01-15,33.12,60.0,8.0,63.0,7.0
2024-01-16,37.16,65.0,8.0,63.0,4.0
2024-01-17,36.89,65.0,8.0,63.0,4.0
2024-01-18,39.65,65.0,8.0,73.0,4.0
2024-01-19,41.58,65.0,8.0,80.0,4.0
2024-01-23,37.74,52.0,8.0,80.0,4.0
2024-01-24,39.54,57.0,8.0,80.0,4.0
2024-01-25,38.7,60.0,8.0,73.0,4.0
2024-01-29,42.5,75.0,8.0,73.0,4.0
2024-01-30,35.48,57.0,8.0,63.0,4.0
2024-01-31,34.43,52.0,8.0,63.0,4.0
2024-02-01,12.54,38.0,8.0,10.0,9.0
