scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,26.74,40.0,4.0,60.0,7.0
2023-09-06,28.01,35.0,4.0,70.0,7.0
2023-09-07,21.75,35.0,4.0,45.0,7.0
2023-09-08,19.58,27.0,4.0,45.0,7.0
2023-09-11,17.7,8.0,4.0,45.0,4.0
2023-09-12,14.6,8.0,4.0,35.0,4.0
2023-09-13,25.87,23.0,4.0,63.0,4.0
2023-09-14,27.27,28.0,4.0,63.0,4.0
2023-09-15,26.09,23.0,4.0,63.0,4.0
2023-09-18,29.13,37.0,4.0,63.0,4.0
2023-09-20,22.36,23.0,4.0,63.0,7.0
2023-09-21,20.8,23.0,4.0,45.0,4.0
2023-09-22,23.02,32.0,4.0,45.0,4.0
2023-09-25,33.32,55.0,4.0,63.0,4.0
2023-09-26,23.64,35.0,4.0,45.0,4.0
2023-09-27,23.93,35.0,4.0,45.0,4.0
2023-09-28,21.88,27.0,4.0,45.0,4.0
2023-09-29,24.81,37.0,4.0,45.0,4.0
2023-10-03,19.33,27.0,4.0,45.0,7.0
2023-10-04,20.99,23.0,4.0,45.0,4.0
2023-10-05,23.12,28.0,4.0,60.0,7.0
2023-10-06,23.08,28.0,4.0,60.0,7.0
2023-10-09,24.3,23.0,4.0,60.0,4.0
2023-10-10,24.07,33.0,4.0,60.0,7.0
2023-10-11,26.9,32.0,4.0,60.0,4.0
2023-10-12,18.36,23.0,4.0,45.0,7.0
2023-10-13,18.23,23.0,4.0,45.0,7.0
2023-10-16,34.8,60.0,4.0,63.0,4.0
2023-10-17,23.6,35.0,4.0,43.0,4.0
2023-10-18,19.62,27.0,4.0,35.0,4.0
2023-10-19,16.6,27.0,4.0,35.0,7.0
2023-10-20,19.55,32.0,4.0,43.0,7.0
2023-10-23,19.84,33.0,4.0,35.0,4.0
2023-10-25,18.36,28.0,4.0,35.0,4.0
2023-10-26,17.07,23.0,4.0,35.0,4.0
2023-10-27,19.88,33.0,4.0,35.0,4.0
2023-10-30,17.42,23.0,4.0,35.0,4.0
2023-10-31,16.65,32.0,4.0,35.0,7.0
2023-11-01,18.36,27.0,4.0,35.0,4.0
2023-11-02,27.78,55.0,4.0,43.0,4.0
2023-11-03,35.35,75.0,4.0,53.0,4.0
2023-11-06,30.49,65.0,4.0,43.0,4.0
2023-11-07,25.64,35.0,4.0,53.0,4.0
2023-11-08,23.42,35.0,4.0,43.0,4.0
2023-11-09,21.39,27.0,4.0,43.0,4.0
2023-11-10,18.3,27.0,4.0,43.0,7.0
2023-11-13,28.42,55.0,4.0,43.0,4.0
2023-11-15,21.35,60.0,4.0,10.0,4.0
2023-11-16,15.76,27.0,4.0,20.0,4.0
2023-11-17,15.66,27.0,4.0,20.0,4.0
2023-11-20,21.59,32.0,4.0,38.0,4.0
2023-11-21,13.7,28.0,4.0,10.0,4.0
2023-11-22,30.7,52.0,4.0,53.0,4.0
2023-11-23,19.26,27.0,4.0,33.0,4.0
2023-11-24,14.89,23.0,4.0,18.0,4.0
2023-11-28,11.81,23.0,4.0,18.0,7.0
2023-11-29,16.85,32.0,4.0,18.0,4.0
2023-11-30,12.74,23.0,4.0,10.0,4.0
2023-12-01,12.64,23.0,4.0,10.0,4.0
2023-12-04,12.58,23.0,4.0,10.0,4.0
2023-12-05,13.62,28.0,4.0,10.0,4.0
2023-12-06,13.47,28.0,4.0,10.0,4.0
2023-12-07,13.52,28.0,4.0,10.0,4.0
2023-12-08,12.12,23.0,4.0,10.0,4.0
2023-12-11,13.28,28.0,4.0,10.0,4.0
2023-12-12,10.6,28.0,4.0,0.0,4.0
2023-12-13,9.61,23.0,4.0,0.0,4.0
2023-12-14,9.56,23.0,4.0,0.0,4.0
2023-12-15,9.75,23.0,4.0,0.0,4.0
2023-12-18,17.07,52.0,4.0,0.0,4.0
2023-12-19,32.25,75.0,4.0,38.0,4.0
2023-12-20,6.41,33.0,4.0,0.0,9.0
2023-12-21,32.18,75.0,4.0,38.0,4.0
2023-12-22,20.24,55.0,4.0,10.0,4.0
2023-12-26,15.47,35.0,4.0,10.0,4.0
2023-12-27,27.35,75.0,4.0,18.0,4.0
2023-12-28,17.7,45.0,4.0,10.0,4.0
2023-12-29,13.43,40.0,4.0,10.0,7.0
2024-01-01,27.35,75.0,4.0,18.0,4.0
2024-01-02,21.67,50.0,4.0,18.0,4.0
2024-01-03,16.02,27.0,4.0,18.0,4.0
2024-01-04,16.22,40.0,4.0,18.0,7.0
2024-01-05,22.92,55.0,4.0,18.0,4.0
2024-01-08,15.82,27.0,4.0,18.0,4.0
2024-01-09,14.18,32.0,4.0,18.0,7.0
2024-01-10,17.07,32.0,4.0,18.0,4.0
2024-01-11,16.11,27.0,4.0,18.0,4.0
2024-01-12,14.1,32.0,4.0,18.0,7.0
2024-01-15,12.74,27.0,4.0,18.0,7.0
2024-01-16,9.99,23.0,4.0,0.0,4.0
2024-01-17,9.69,23.0,4.0,0.0,4.0
2024-01-18,13.33,28.0,4.0,8.0,4.0
2024-01-19,6.98,23.0,4.0,0.0,7.0
2024-01-23,0.0,8.0,4.0,0.0,12.0
2024-01-24,0.0,13.0,4.0,0.0,15.0
2024-01-25,0.0,8.0,4.0,0.0,15.0
2024-01-29,0.0,13.0,4.0,0.0,12.0
2024-01-30,0.0,8.0,4.0,0.0,12.0
2024-01-31,0.98,18.0,4.0,0.0,12.0
2024-02-01,0.0,13.0,4.0,0.0,12.0
2024-02-02,2.94,28.0,4.0,0.0,12.0
