scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,21.47,60.0,4.0,20.0,7.0
2023-09-06,22.74,65.0,4.0,20.0,7.0
2023-09-07,42.82,75.0,4.0,78.0,4.0
2023-09-08,45.35,85.0,4.0,78.0,4.0
2023-09-11,30.79,60.0,4.0,45.0,4.0
2023-09-12,16.62,52.0,4.0,20.0,9.0
2023-09-13,29.66,65.0,4.0,38.0,4.0
2023-09-14,33.64,70.0,4.0,48.0,4.0
2023-09-15,32.37,65.0,4.0,48.0,4.0
2023-09-18,27.94,60.0,4.0,48.0,7.0
2023-09-20,31.57,60.0,4.0,63.0,7.0
2023-09-21,26.84,42.0,4.0,63.0,7.0
2023-09-22,28.11,47.0,4.0,63.0,7.0
2023-09-25,16.84,27.0,4.0,38.0,7.0
2023-09-26,28.14,47.0,4.0,63.0,7.0
2023-09-27,36.43,65.0,4.0,78.0,7.0
2023-09-28,26.15,42.0,4.0,60.0,7.0
2023-09-29,46.78,72.0,4.0,100.0,4.0
2023-10-03,46.97,72.0,4.0,100.0,4.0
2023-10-04,41.54,52.0,4.0,100.0,4.0
2023-10-05,43.73,60.0,4.0,100.0,4.0
2023-10-06,42.17,65.0,4.0,100.0,7.0
2023-10-09,34.69,60.0,4.0,98.0,12.0
2023-10-10,42.59,70.0,4.0,98.0,7.0
2023-10-11,43.26,70.0,4.0,100.0,7.0
2023-10-12,41.2,60.0,4.0,100.0,7.0
2023-10-13,41.09,60.0,4.0,100.0,7.0
2023-10-16,41.09,60.0,4.0,100.0,7.0
2023-10-17,42.49,65.0,4.0,100.0,7.0
2023-10-18,42.26,65.0,4.0,100.0,7.0
2023-10-19,47.9,75.0,4.0,100.0,4.0
2023-10-20,43.98,60.0,4.0,100.0,4.0
2023-10-23,37.81,60.0,4.0,100.0,9.0
2023-10-25,39.65,60.0,4.0,100.0,7.0
2023-10-26,38.48,60.0,4.0,95.0,7.0
2023-10-27,41.45,70.0,4.0,95.0,7.0
2023-10-30,38.9,60.0,4.0,95.0,7.0
2023-10-31,26.38,60.0,4.0,45.0,7.0
2023-11-01,34.26,65.0,4.0,60.0,4.0
2023-11-02,31.44,65.0,4.0,60.0,7.0
2023-11-03,30.37,60.0,4.0,60.0,7.0
2023-11-06,34.68,65.0,4.0,60.0,4.0
2023-11-07,38.88,65.0,4.0,88.0,7.0
2023-11-08,21.42,47.0,4.0,45.0,9.0
2023-11-09,24.02,38.0,4.0,45.0,4.0
2023-11-10,29.86,47.0,4.0,60.0,4.0
2023-11-13,23.34,47.0,4.0,45.0,7.0
2023-11-15,22.25,42.0,4.0,45.0,7.0
2023-11-16,44.13,85.0,4.0,78.0,4.0
2023-11-17,32.95,60.0,4.0,70.0,7.0
2023-11-20,26.03,42.0,4.0,60.0,7.0
2023-11-21,37.4,65.0,4.0,70.0,4.0
2023-11-22,33.42,60.0,4.0,70.0,7.0
2023-11-23,26.53,42.0,4.0,60.0,7.0
2023-11-24,42.23,75.0,4.0,78.0,4.0
2023-11-28,32.08,65.0,4.0,60.0,7.0
2023-11-29,46.95,85.0,4.0,88.0,4.0
2023-11-30,38.31,60.0,4.0,78.0,4.0
2023-12-01,40.78,70.0,4.0,78.0,4.0
2023-12-04,34.57,60.0,4.0,63.0,4.0
2023-12-05,34.27,60.0,4.0,63.0,4.0
2023-12-06,29.68,60.0,4.0,45.0,4.0
2023-12-07,34.93,65.0,4.0,60.0,4.0
2023-12-08,39.24,65.0,4.0,78.0,4.0
2023-12-11,34.45,60.0,4.0,63.0,4.0
2023-12-12,31.8,50.0,4.0,63.0,4.0
2023-12-13,28.09,45.0,4.0,53.0,4.0
2023-12-14,35.58,75.0,4.0,53.0,4.0
2023-12-15,40.53,70.0,4.0,78.0,4.0
2023-12-18,28.17,60.0,4.0,38.0,4.0
2023-12-19,33.15,65.0,4.0,53.0,4.0
2023-12-20,14.69,28.0,4.0,20.0,4.0
2023-12-21,15.01,28.0,4.0,20.0,4.0
2023-12-22,16.48,33.0,4.0,20.0,4.0
2023-12-26,13.97,23.0,4.0,20.0,4.0
2023-12-27,14.01,23.0,4.0,20.0,4.0
2023-12-28,13.93,23.0,4.0,20.0,4.0
2023-12-29,13.97,23.0,4.0,20.0,4.0
2024-01-01,17.75,37.0,4.0,20.0,4.0
2024-01-02,12.79,27.0,4.0,10.0,4.0
2024-01-03,15.64,23.0,4.0,25.0,4.0
2024-01-04,14.41,32.0,4.0,10.0,4.0
2024-01-05,35.73,85.0,4.0,43.0,4.0
2024-01-08,34.39,80.0,4.0,43.0,4.0
2024-01-09,35.87,65.0,4.0,63.0,4.0
2024-01-10,36.06,65.0,4.0,63.0,4.0
2024-01-11,31.08,65.0,4.0,43.0,4.0
2024-01-12,38.54,75.0,4.0,63.0,4.0
2024-01-15,38.47,75.0,4.0,63.0,4.0
2024-01-16,35.76,65.0,4.0,63.0,4.0
2024-01-17,15.99,27.0,4.0,35.0,7.0
2024-01-18,21.25,27.0,4.0,43.0,4.0
2024-01-19,19.68,32.0,4.0,43.0,7.0
2024-01-23,19.84,23.0,4.0,43.0,4.0
2024-01-24,19.64,32.0,4.0,43.0,7.0
2024-01-25,17.55,23.0,4.0,43.0,7.0
2024-01-29,18.1,23.0,4.0,33.0,4.0
2024-01-30,12.58,28.0,4.0,18.0,7.0
2024-01-31,37.53,85.0,4.0,48.0,4.0
2024-02-01,34.88,75.0,4.0,48.0,4.0
2024-02-02,31.08,60.0,4.0,48.0,4.0
