scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,37.24,42.0,4.0,88.0,4.0
2023-09-06,37.26,42.0,4.0,88.0,4.0
2023-09-07,35.5,47.0,4.0,88.0,7.0
2023-09-08,37.08,42.0,4.0,88.0,4.0
2023-09-11,32.2,23.0,4.0,88.0,4.0
2023-09-12,20.85,23.0,4.0,45.0,4.0
2023-09-13,19.62,28.0,4.0,45.0,7.0
2023-09-14,25.02,37.0,4.0,45.0,4.0
2023-09-15,18.59,23.0,4.0,45.0,7.0
2023-09-18,17.38,23.0,4.0,30.0,4.0
2023-09-20,14.61,23.0,4.0,20.0,4.0
2023-09-21,19.05,28.0,4.0,45.0,7.0
2023-09-22,22.02,28.0,4.0,45.0,4.0
2023-09-25,18.32,23.0,4.0,35.0,4.0
2023-09-26,18.89,28.0,4.0,45.0,7.0
2023-09-27,19.18,28.0,4.0,45.0,7.0
2023-09-28,20.88,23.0,4.0,45.0,4.0
2023-09-29,22.56,28.0,4.0,45.0,4.0
2023-10-03,18.33,23.0,4.0,45.0,7.0
2023-10-04,17.99,23.0,4.0,45.0,7.0
2023-10-05,22.37,28.0,4.0,45.0,4.0
2023-10-06,16.83,28.0,4.0,35.0,7.0
2023-10-09,19.3,28.0,4.0,35.0,4.0
2023-10-10,20.82,33.0,4.0,35.0,4.0
2023-10-11,23.4,33.0,4.0,45.0,4.0
2023-10-12,22.61,38.0,4.0,35.0,4.0
2023-10-13,21.23,33.0,4.0,35.0,4.0
2023-10-16,30.3,60.0,4.0,45.0,4.0
2023-10-17,37.35,70.0,4.0,63.0,4.0
2023-10-18,44.87,75.0,4.0,88.0,4.0
2023-10-19,47.85,80.0,4.0,95.0,4.0
2023-10-20,40.05,65.0,4.0,80.0,4.0
2023-10-23,18.59,40.0,4.0,43.0,9.0
2023-10-25,22.61,27.0,4.0,53.0,4.0
2023-10-26,27.07,45.0,4.0,53.0,4.0
2023-10-27,29.88,35.0,4.0,73.0,4.0
2023-10-30,38.67,70.0,4.0,73.0,4.0
2023-10-31,33.65,50.0,4.0,73.0,4.0
2023-11-01,27.86,27.0,4.0,73.0,4.0
2023-11-02,24.53,32.0,4.0,53.0,4.0
2023-11-03,36.6,60.0,4.0,73.0,4.0
2023-11-06,40.99,70.0,4.0,80.0,4.0
2023-11-07,42.39,75.0,4.0,80.0,4.0
2023-11-08,40.17,65.0,4.0,80.0,4.0
2023-11-09,41.39,70.0,4.0,80.0,4.0
2023-11-10,38.8,60.0,4.0,80.0,4.0
2023-11-13,41.42,70.0,4.0,80.0,4.0
2023-11-15,29.6,60.0,4.0,43.0,4.0
2023-11-16,28.01,65.0,4.0,43.0,7.0
2023-11-17,27.66,60.0,4.0,35.0,4.0
2023-11-20,26.59,55.0,4.0,35.0,4.0
2023-11-21,21.2,33.0,4.0,35.0,4.0
2023-11-22,28.2,52.0,4.0,43.0,4.0
2023-11-23,18.76,27.0,4.0,43.0,7.0
2023-11-24,16.14,23.0,4.0,35.0,7.0
2023-11-28,28.31,52.0,4.0,43.0,4.0
2023-11-29,41.35,85.0,4.0,63.0,4.0
2023-11-30,45.74,85.0,4.0,80.0,4.0
2023-12-01,41.89,70.0,4.0,80.0,4.0
2023-12-04,43.08,75.0,4.0,80.0,4.0
2023-12-05,42.12,72.0,4.0,80.0,4.0
2023-12-06,42.72,75.0,4.0,80.0,4.0
2023-12-07,47.02,72.0,4.0,100.0,4.0
2023-12-08,45.12,70.0,4.0,95.0,4.0
2023-12-11,43.78,65.0,4.0,95.0,4.0
2023-12-12,39.34,60.0,4.0,95.0,7.0
2023-12-13,42.11,65.0,4.0,100.0,7.0
2023-12-14,40.81,60.0,4.0,100.0,7.0
2023-12-15,42.25,65.0,4.0,100.0,7.0
2023-12-18,42.32,65.0,4.0,100.0,7.0
2023-12-19,41.0,60.0,4.0,100.0,7.0
2023-12-20,26.91,42.0,4.0,85.0,12.0
2023-12-21,38.43,70.0,4.0,80.0,7.0
2023-12-22,35.99,60.0,4.0,80.0,7.0
2023-12-26,42.47,65.0,4.0,100.0,7.0
2023-12-27,38.6,60.0,4.0,90.0,7.0
2023-12-28,40.45,70.0,4.0,88.0,7.0
2023-12-29,25.43,60.0,4.0,38.0,7.0
2024-01-01,33.1,65.0,4.0,63.0,7.0
2024-01-02,36.17,60.0,4.0,78.0,7.0
2024-01-03,33.02,65.0,4.0,60.0,7.0
2024-01-04,31.72,60.0,4.0,60.0,7.0
2024-01-05,34.67,60.0,4.0,60.0,4.0
2024-01-08,30.07,42.0,4.0,60.0,4.0
2024-01-09,29.18,65.0,4.0,45.0,7.0
2024-01-10,23.32,42.0,4.0,45.0,7.0
2024-01-11,37.36,85.0,4.0,45.0,4.0
2024-01-12,37.1,60.0,4.0,70.0,4.0
2024-01-15,31.99,65.0,4.0,45.0,4.0
2024-01-16,24.24,60.0,4.0,20.0,4.0
2024-01-17,23.94,60.0,4.0,20.0,4.0
2024-01-18,28.83,60.0,4.0,38.0,4.0
2024-01-19,24.23,60.0,4.0,20.0,4.0
2024-01-23,20.73,42.0,4.0,38.0,7.0
2024-01-24,16.65,42.0,4.0,20.0,7.0
2024-01-25,43.54,85.0,4.0,73.0,4.0
2024-01-29,28.6,60.0,4.0,38.0,4.0
2024-01-30,31.96,65.0,4.0,58.0,7.0
2024-01-31,40.23,85.0,4.0,58.0,4.0
2024-02-01,31.1,60.0,4.0,48.0,4.0
2024-02-02,30.94,60.0,4.0,48.0,4.0
2024-02-05,30.84,60.0,4.0,48.0,4.0
2024-02-06,24.22,42.0,4.0,38.0,4.0
2024-02-07,27.02,65.0,4.0,38.0,7.0
2024-02-08,31.2,70.0,4.0,38.0,4.0
2024-02-09,25.39,60.0,4.0,38.0,7.0
2024-02-12,17.44,37.0,4.0,20.0,4.0
2024-02-13,14.11,23.0,4.0,20.0,4.0
2024-02-14,12.61,28.0,4.0,20.0,7.0
2024-02-15,15.85,28.0,4.0,20.0,4.0
2024-02-16,14.15,32.0,4.0,20.0,7.0
2024-02-19,9.45,23.0,4.0,10.0,7.0
2024-02-20,33.64,80.0,4.0,38.0,4.0
2024-02-21,37.23,70.0,4.0,63.0,4.0
2024-02-22,30.99,60.0,4.0,48.0,4.0
2024-02-23,41.98,72.0,4.0,80.0,4.0
2024-02-26,40.8,75.0,4.0,73.0,4.0
2024-02-27,35.6,65.0,4.0,63.0,4.0
2024-02-28,27.72,60.0,4.0,38.0,4.0
2024-02-29,29.08,65.0,4.0,38.0,4.0
2024-03-01,24.89,60.0,4.0,38.0,7.0
2024-03-04,27.65,60.0,4.0,38.0,4.0
2024-03-05,24.26,60.0,4.0,38.0,7.0
2024-03-06,22.53,42.0,4.0,38.0,4.0
2024-03-07,20.37,65.0,4.0,18.0,7.0
2024-03-11,18.33,47.0,4.0,18.0,4.0
2024-03-12,12.67,33.0,4.0,10.0,4.0
2024-03-13,9.47,23.0,4.0,10.0,4.0
2024-03-14,11.71,33.0,4.0,18.0,7.0
2024-03-15,10.09,28.0,4.0,18.0,7.0
2024-03-18,10.37,28.0,4.0,18.0,7.0
2024-03-19,6.74,23.0,4.0,10.0,7.0
2024-03-20,11.05,28.0,4.0,10.0,4.0
2024-03-21,12.19,33.0,4.0,20.0,7.0
2024-03-22,10.62,37.0,4.0,10.0,7.0
2024-03-26,11.61,32.0,4.0,20.0,7.0
2024-03-27,19.41,50.0,4.0,20.0,4.0
2024-03-28,13.7,27.0,4.0,20.0,4.0
2024-04-01,13.57,32.0,4.0,10.0,4.0
2024-04-02,25.87,70.0,4.0,20.0,4.0
2024-04-03,28.51,80.0,4.0,20.0,4.0
2024-04-04,30.99,65.0,4.0,45.0,4.0
2024-04-05,35.73,65.0,4.0,63.0,4.0
2024-04-08,35.68,65.0,4.0,63.0,4.0
2024-04-09,23.4,60.0,4.0,20.0,4.0
2024-04-10,33.12,70.0,4.0,48.0,4.0
2024-04-12,36.99,70.0,4.0,63.0,4.0
2024-04-15,28.58,27.0,4.0,73.0,4.0
2024-04-16,20.01,32.0,4.0,33.0,4.0
2024-04-18,15.66,27.0,4.0,33.0,7.0
2024-04-19,13.75,23.0,4.0,18.0,4.0
2024-04-22,13.41,32.0,4.0,18.0,7.0
2024-04-23,16.45,32.0,4.0,18.0,4.0
2024-04-24,26.99,65.0,4.0,38.0,7.0
2024-04-25,17.23,27.0,4.0,38.0,7.0
2024-04-26,20.47,27.0,4.0,38.0,4.0
2024-04-29,26.21,50.0,4.0,38.0,4.0
2024-04-30,15.59,27.0,4.0,18.0,4.0
2024-05-02,16.63,32.0,4.0,18.0,4.0
2024-05-03,11.22,32.0,4.0,10.0,7.0
2024-05-06,12.62,27.0,4.0,10.0,4.0
2024-05-07,11.13,23.0,4.0,10.0,4.0
2024-05-08,9.48,28.0,4.0,10.0,7.0
2024-05-09,10.63,23.0,4.0,10.0,4.0
2024-05-10,12.32,28.0,4.0,10.0,4.0
2024-05-13,15.75,42.0,4.0,10.0,4.0
2024-05-14,13.48,32.0,4.0,10.0,4.0
2024-05-15,12.59,27.0,4.0,10.0,4.0
2024-05-16,12.44,27.0,4.0,10.0,4.0
2024-05-17,13.97,23.0,4.0,20.0,4.0
2024-05-21,16.26,33.0,4.0,20.0,4.0
2024-05-22,11.22,23.0,4.0,10.0,4.0
2024-05-23,13.43,33.0,4.0,10.0,4.0
2024-05-24,14.53,38.0,4.0,10.0,4.0
2024-05-27,12.0,28.0,4.0,10.0,4.0
2024-05-28,11.85,28.0,4.0,10.0,4.0
2024-05-29,10.67,23.0,4.0,10.0,4.0
2024-05-30,8.47,28.0,4.0,10.0,7.0
2024-05-31,10.32,23.0,4.0,10.0,4.0
2024-06-03,21.95,70.0,4.0,10.0,4.0
2024-06-04,0.0,23.0,4.0,10.0,17.0
2024-06-05,1.3,18.0,4.0,10.0,12.0
2024-06-06,15.54,52.0,4.0,0.0,4.0
2024-06-07,28.92,85.0,4.0,18.0,4.0
2024-06-10,34.25,85.0,4.0,38.0,4.0
2024-06-11,34.88,80.0,4.0,45.0,4.0
2024-06-12,35.49,72.0,4.0,55.0,4.0
2024-06-13,35.46,72.0,4.0,55.0,4.0
2024-06-14,41.93,72.0,4.0,80.0,4.0
2024-06-18,40.85,67.0,4.0,80.0,4.0
2024-06-19,39.33,62.0,4.0,80.0,4.0
2024-06-20,37.04,52.0,4.0,80.0,4.0
2024-06-21,39.01,60.0,4.0,80.0,4.0
2024-06-24,39.0,60.0,4.0,80.0,4.0
2024-06-25,41.52,70.0,4.0,80.0,4.0
2024-06-26,36.09,60.0,4.0,80.0,7.0
2024-06-27,35.69,60.0,4.0,80.0,7.0
2024-06-28,29.73,60.0,4.0,55.0,7.0
2024-07-01,31.4,65.0,4.0,55.0,7.0
2024-07-02,41.84,70.0,4.0,80.0,4.0
2024-07-03,38.94,70.0,4.0,80.0,7.0
2024-07-04,37.75,65.0,4.0,80.0,7.0
2024-07-05,30.44,60.0,4.0,55.0,7.0
2024-07-08,29.99,60.0,4.0,55.0,7.0
2024-07-09,29.78,60.0,4.0,55.0,7.0
2024-07-10,25.31,60.0,4.0,38.0,7.0
2024-07-11,26.57,65.0,4.0,38.0,7.0
2024-07-12,20.63,60.0,4.0,20.0,7.0
2024-07-15,26.38,70.0,4.0,20.0,4.0
2024-07-16,22.27,65.0,4.0,20.0,7.0
2024-07-18,20.64,60.0,4.0,20.0,7.0
2024-07-19,20.13,60.0,4.0,20.0,7.0
2024-07-22,15.9,42.0,4.0,20.0,7.0
2024-07-23,18.9,42.0,4.0,20.0,4.0
2024-07-24,26.67,70.0,4.0,20.0,4.0
2024-07-25,29.97,65.0,4.0,38.0,4.0
2024-07-26,30.11,65.0,4.0,38.0,4.0
2024-07-29,41.36,85.0,4.0,63.0,4.0
2024-07-30,42.7,80.0,4.0,73.0,4.0
2024-07-31,37.78,70.0,4.0,63.0,4.0
2024-08-01,38.1,72.0,4.0,63.0,4.0
2024-08-02,47.42,72.0,4.0,100.0,4.0
2024-08-05,47.49,75.0,4.0,100.0,4.0
2024-08-06,43.5,65.0,4.0,95.0,4.0
2024-08-07,46.88,70.0,4.0,100.0,4.0
2024-08-08,41.25,60.0,4.0,100.0,7.0
2024-08-09,41.15,60.0,4.0,100.0,7.0
2024-08-12,46.92,70.0,4.0,100.0,4.0
2024-08-13,40.92,60.0,4.0,100.0,7.0
2024-08-14,40.77,60.0,4.0,100.0,7.0
2024-08-16,42.31,65.0,4.0,100.0,7.0
2024-08-19,42.92,65.0,4.0,100.0,7.0
2024-08-20,43.06,65.0,4.0,100.0,7.0
2024-08-21,46.36,65.0,4.0,100.0,4.0
2024-08-22,42.13,60.0,4.0,100.0,7.0
2024-08-23,48.76,75.0,4.0,100.0,4.0
2024-08-26,47.68,70.0,4.0,100.0,4.0
2024-08-27,43.5,65.0,4.0,100.0,7.0
2024-08-28,41.64,60.0,4.0,98.0,7.0
2024-08-29,41.99,60.0,4.0,100.0,7.0
2024-08-30,33.07,60.0,4.0,63.0,7.0
2024-09-02,35.14,75.0,4.0,45.0,4.0
2024-09-03,37.33,65.0,4.0,63.0,4.0
2024-09-04,42.76,60.0,4.0,88.0,4.0
2024-09-05,44.0,65.0,4.0,88.0,4.0
2024-09-06,37.08,60.0,4.0,78.0,7.0
2024-09-09,40.1,60.0,4.0,78.0,4.0
2024-09-10,44.04,65.0,4.0,88.0,4.0
2024-09-11,39.74,60.0,4.0,88.0,7.0
2024-09-12,41.53,65.0,4.0,78.0,4.0
2024-09-13,36.53,60.0,4.0,63.0,4.0
2024-09-16,27.49,42.0,4.0,45.0,4.0
2024-09-17,26.46,38.0,4.0,45.0,4.0
2024-09-18,24.39,43.0,4.0,45.0,7.0
2024-09-19,21.87,23.0,4.0,45.0,4.0
2024-09-20,36.37,80.0,4.0,45.0,4.0
2024-09-23,32.56,65.0,4.0,45.0,4.0
2024-09-24,22.96,27.0,4.0,45.0,4.0
2024-09-25,21.87,23.0,4.0,45.0,4.0
2024-09-26,19.08,28.0,4.0,30.0,4.0
2024-09-27,16.69,28.0,4.0,20.0,4.0
2024-09-30,16.84,28.0,4.0,20.0,4.0
2024-10-01,25.49,37.0,4.0,45.0,4.0
2024-10-03,18.71,23.0,4.0,35.0,4.0
2024-10-04,14.72,33.0,4.0,10.0,4.0
2024-10-07,17.78,38.0,4.0,20.0,4.0
2024-10-08,17.25,33.0,4.0,20.0,4.0
2024-10-09,18.56,38.0,4.0,20.0,4.0
2024-10-10,12.87,28.0,4.0,20.0,7.0
2024-10-11,17.12,32.0,4.0,20.0,4.0
2024-10-14,17.15,32.0,4.0,20.0,4.0
2024-10-15,13.03,27.0,4.0,20.0,7.0
2024-10-16,14.44,32.0,4.0,20.0,7.0
2024-10-17,14.12,32.0,4.0,20.0,7.0
2024-10-18,14.97,23.0,4.0,20.0,4.0
2024-10-21,19.46,28.0,4.0,35.0,4.0
2024-10-22,16.25,33.0,4.0,20.0,4.0
2024-10-23,14.03,23.0,4.0,20.0,4.0
2024-10-24,13.92,23.0,4.0,20.0,4.0
2024-10-25,13.64,33.0,4.0,10.0,4.0
2024-10-28,14.17,33.0,4.0,10.0,4.0
2024-10-29,9.69,28.0,4.0,10.0,7.0
2024-10-30,14.88,32.0,4.0,25.0,7.0
2024-10-31,15.29,32.0,4.0,25.0,7.0
2024-11-01,19.88,32.0,4.0,43.0,7.0
2024-11-04,21.72,27.0,4.0,43.0,4.0
2024-11-05,25.14,40.0,4.0,43.0,4.0
2024-11-06,18.68,35.0,4.0,33.0,7.0
2024-11-07,16.49,23.0,4.0,25.0,4.0
