sector,recent_avg_final_score,prior_avg_final_score,change,change_pct
Energy,41.09,32.17,8.91,27.708353936342466
Capital Goods,8.04,0.2,7.84,3876.5205403915074
Healthcare,38.58,32.12,6.46,20.100989488835857
Consumer Services,6.13,0.12,6.01,5161.8025751072955
Construction Materials,8.56,3.12,5.45,174.87069734260749
Power,4.66,0.0,4.66,
Basic Materials,28.26,25.33,2.93,11.565676764854722
Technology,24.76,22.4,2.36,10.52995657748311
Fast Moving Consumer Goods,1.85,0.0,1.85,
Financial Services,26.32,24.94,1.38,5.5301977637527
Communication Services,17.37,16.35,1.02,6.247260650156739
Metals & Mining,1.01,0.0,1.01,
Industrials,26.12,25.25,0.87,3.462083275385873
Consumer Cyclical,25.97,25.46,0.5,1.9795310130120425
Unknown,13.96,14.44,-0.48,-3.315512345283442
Utilities,16.56,17.86,-1.3,-7.303613903679911
Consumer Defensive,22.86,26.58,-3.72,-13.997320287738162
Real Estate,19.54,23.58,-4.04,-17.12102818819203
Automobile and Auto Components,6.05,11.22,-5.17,-46.068528421469594
Information Technology,2.41,7.75,-5.34,-68.9247311827957
Consumer Durables,7.32,35.66,-28.34,-79.46201334981879
